repository,state,title,label,body
Tyde/TuCanMobile,open,Notenanzeige bei mehreren Studiengängen,[],"Ist man in mehreren Studiengängen eingeschrieben, so wird in TUCaN in der Notenübersicht ein DropDown-Menü sichtbar, welches erlaubt, den Studiengang auszuwählen, um die entsprechenden Noten zu betrachten.
Dies ist leider in der App derzeit nicht möglich, hier wird nur der erste Studiengang ausgewählt und man kann nicht zwischen den Studiengängen wählen.
"
Tyde/TuCanMobile,closed,Sich überschneidende Veranstaltungen werden nicht angezeigt,[],"Hallo

Mir ist dieses Semester aufgefallen dass bei Veranstaltungen die sich Zeitlich überschneiden immer nur eine Veranstaltung im Wiget und in der  Stundeplan Ansicht angezeigt werden. Im App Menü werde alle korrekt angezeigt.
Würde mich freuen wenn das behoben wird.

Grüße
Meneken17
TUCaN Mobile 0.4.4 auf Nexus5
"
Tyde/TuCanMobile,open,F-Droid auf die aktuellste version bringen,[],"Das Buildscript hier:
https://gitlab.com/fdroid/fdroiddata/blob/master/metadata/com.dalthed.tucan.txt
muss angepasst werden.

Aktuelle Nutzer von F-Droid können sich sonst nicht anmelden. Siehe #72 
"
Tyde/TuCanMobile,closed,"""Login Fehlerhaft"" bei Angabe korrekter Login-Daten","[Label(name=""bug"")]","Einloggen ist nicht möglich, da die App die Login-Daten nicht akzeptiert.
TuCanMobile 0.4.2 unter Android 4.4.4 sowie 4.2.
"
Tyde/TuCanMobile,closed,English compatibility by Pradeep,[],
Tyde/TuCanMobile,closed,Updated some project Gradle and SDK versions,[],"- added sourceCompatibility and targetCompatibility to 1.7 Java
- updated Gradle to 2.6
- updated Gradle build plugin version to 1.3.0
- updated SDK compile version to 23 and Support v4 library to 23.0.1 version
- renamed ""Connection"" package to ""connection""
"
Tyde/TuCanMobile,open,Materialien zu einzelnen Terminen anzeigen,[],"Manche Veranstaltungen haben einzelne Materialien für einzelne Termine. Diese werden dann in der Terminliste über einen Link verfügbar gemacht. Diese sollten erkannt werden
![image](https://cloud.githubusercontent.com/assets/1103207/5740270/1366c140-9c02-11e4-9916-e1d45df0d13e.png)
"
Tyde/TuCanMobile,open,Anzeigen des Prüfungsdurchschnittes und der Notenverteilung,"[Label(name=""basic feature""), Label(name=""new feature"")]","Die Notendurchschnitte und die Verteilung von Prüfungen ist interessant anzusehen. Deswegen wäre es sinnvoll, das auszulesen und anzuzeigen.
"
Tyde/TuCanMobile,closed,RuntimeException bei SimpleSecureBrowser,"[Label(name=""bug""), Label(name=""priority-high"")]","```
Can't create handler inside thread that has not called Looper.prepare() at        com.dalthed.tucan.Connection.SimpleSecureBrowser.doInBackground(SimpleSecureBrowser.java:94) 
```

tritt auf, weil bei fehlender Internetverbindung versucht wird, ein Toast zu zeigen. SimpleSecureBrowser scheint wohl nicht den Context richtig zu haben. Das sollte durch einen Handler erledigt werden, welcher in der Activity ausgeführt wird.

http://dttyde.de:5984/acralyzer/_design/acralyzer/index.html#/reports-browser/tucan/bug/1ba2835495867bba8969289ff2b74709
"
Tyde/TuCanMobile,open,Feature: sliding navigation menu,"[Label(name=""new feature"")]","Wie wäre es mit einem Navigations Menü das man durch sliden an der linken Seite ins Bild bringen kann (wie im play store). Dann kann man leichter zwischen verschiedenen unterkategorien wechseln. 

Könnte ich schreiben falls Interesse besteht. 
"
Tyde/TuCanMobile,closed,fixed AuthenticatioManager for Api level 7,[],"""Kleiner"" Bug in meinem Pull.
Da api level 7 keinen Base64Encoder hat funktioniert die Verschlüsselung nur ab api 8. Der Code geht aber davon aus das auch bei api7 verschlüsselt wird, setzt somit die crypted flag in der LOGIN.xml und das entschlüsseln funktoniert somit nicht mehr.

Behoben indem unter api 8 nicht keine flag mehr gesetzt wird.
"
Tyde/TuCanMobile,closed,Widget: Fix für Überlappung von Zeit & Raum,[],"Ein kleiner request: Behebt nur bei zu langen Raumnamen die Überlappung mit der Uhrzeit im Widget.
"
Tyde/TuCanMobile,closed,Passwort und Id werden in Klartext gespeichert,[],"In der aktuellen Version werden Passwort und TUID als Klartext gespeichert (/data/data/packagename/shard_prefs/LOGIN.xml). Diese Datei kann bei gerooteten Smartphones oder mittels Privelege Escalation ausgelesen werden.

Der Pull enthält eine Manager Klasse für den Benutzer Account. Account Daten werden verschlüsselt gespeichert und können mit den Methoden updateAccount(), deleteAccount() und getAccount() genutzt werden. Abwärtskompatibilität ist gegeben, sodass alte Versionen nach einem Update noch funktionieren.
"
Tyde/TuCanMobile,closed,Diverse Verbessungen am Widget -> Version 0.3.7?,[],"Es gab nochmal einige Verbesserungen am Widget. Unter Anderem wird nun, wenn noch keine Einträge für das Stundenplanwidget vorhanden sind, die App beim Klicken geöffnet. Außerdem hat das Widget nun in der Auswahl ein ""Vorschaubild""

=> Wäre es möglich, wegen des Fixes aus commit 642ce59416, nach dem Mergen ein <b>Release 0.3.7 zu taggen</b>, damit eine neue Version in F-Droid landet?

Danke :)
"
Tyde/TuCanMobile,closed,Fix: App crashes if widget has <10 entries,[],"Hatte leider im alten Code einen dummen Fehler drin, der nun behoben sein sollte. Dabei ist die App abgestürzt, wenn das Widget weniger als 10 Stundenplaneinträge hatte (Min vs Max... -Fehler).

Ansonsten code ein bisschen aufgeräumt...
"
Tyde/TuCanMobile,closed,Fixes Für Widget,[],"2 kleine Commits:
1.) Widgets lassen sich nun auch auf Lockscreen ablegen (ab Android 4.2)
2.) Eventuell Fix für die automatische Aktualisierung des Widgets -> Wird sich die nächsten Tage noch besser zeigen, aber so kannst Du es auch ausprobieren :)

Was noch fehlt ist das direkte Übernehmen der Transparenzeinstellung von den Einstellungen zum Widget
"
Tyde/TuCanMobile,closed,Changelog hinzugefügt,[],"Falls dieses Feature gewünscht:
Nach jedem Update der App sollte nun einmalig ein Popup erscheinen, das die Neuerungen dieser Version anzeigt. Könnte eventuell auch genutzt werden um Werbung für TUCaN Mobile zu machen, um ein paar Leute zu rekrutieren :)

Vor jedem Release bitte in /res/raw/changelog.txt die Neuerungen hinzufügen, am besten schon während der Entwicklung.

Beispiel-Schreenshot: [Klick mich!](http://www.abload.de/img/tucanmobile_changelog5ju4n.png)
"
Tyde/TuCanMobile,closed,Fix: Widget shows wrong data,[],
Tyde/TuCanMobile,closed,Korrekturen am Widget,[],"-set widget update interval to 45min instead of 24h
-remove appointment from widget after it ends, not when it has started
-refactoring
"
Tyde/TuCanMobile,closed,Vorbereitungen für F-Droid & andere Änderungen,[],"Änderungen um TuCanMobile F-Droid kompatibel zu machen:
- proprietäre Libs bugsense & google analytics entfernt
- Apache Commons Lang in Readme ergänzt
- Lizenzheader zu allen Dateien hinzugefügt

Bitte nochmal Umlaute prüfen, da diese bei mir nicht funktioniert haben. Wenn alles funktioniert, bitte demnächst ein neues Release-Taggen, damit diese tolle App in den F-Doid ""App Store"" ( https://f-droid.org/contribute/ ) aufgenommen werden kann :)
"
Tyde/TuCanMobile,closed,Cannot resolve import com.dalthed.tucan.R;,[],"Beim Compilieren des Projekts in Eclipse erhalte ich die Meldung, dass ""import com.dalthed.tucan.R;"" nicht aufgelöst werden kann.
Die Klasse scheint zu fehlen :(
"
Tyde/TuCanMobile,closed,Add licenses of used libraries,[],"Es ist zwar schön, dass TuCanMobile als Open Source beworben wird, aber unter welcher Lizenz? 
Bitte Lizenz festlegen und in den Source-Files hinzufügen, damit dies eindeutig ist.
Als ersten Schritt habe ich die Lizenzen für die verwendeten Libs rausgesucht und in der Readme ergänzt - ist bugsense wirklich Proprietär? 
"
Tyde/TuCanMobile,open,Fehler bei Prüfungen,[],"http://dttyde.de:5984/acralyzer/_design/acralyzer/index.html#/reports-browser/tucan/bug/509cd561c97c14588818d546b48384f6
"
Tyde/TuCanMobile,open,Bewerbungsmodus erkennen und handlen,"[Label(name=""bug"")]","siehe hier: http://dttyde.de:5984/acralyzer/_design/acralyzer/index.html#/report-details/tucan/db69c112-90a8-41ea-b316-a147d40ba33d
"
Tyde/TuCanMobile,closed,Bei screen rotation in login activity crash,"[Label(name=""bug""), Label(name=""priority-high"")]",
Tyde/TuCanMobile,closed,Nach Logout kann wieder per Back button auf Das Hauptmenu zugegriffen werden,"[Label(name=""bug""), Label(name=""priority-medium"")]",
Tyde/TuCanMobile,open,Neue Ansicht für Stundenplan,"[Label(name=""new feature""), Label(name=""priority-medium"")]",
