repository,state,title,label,body
btimofeev/UniPatcher,closed,General rework,[],
btimofeev/UniPatcher,closed,Specifying free,[],
btimofeev/UniPatcher,closed,"""Gratis"", and new Genesis checksum text",[],"Making the distinction between free as in free software, and what is not, one could also go with ""freeware"" but it has fallen out of fashion i think."
btimofeev/UniPatcher,closed,Spelling: July,[],"Presumably this is not meant to be ""June"""
btimofeev/UniPatcher,open,Select SD Card for Android 5.0 and up,"[Label(name=""enhancement"")]",Should support select external SD Card for android 5.0 and up
btimofeev/UniPatcher,closed,Clarification of intent,[],
btimofeev/UniPatcher,open,Support simple expand ROM,"[Label(name=""enhancement"")]",Allow the user to expand or trim the ROM by entering the required size.
btimofeev/UniPatcher,closed,Support creating Xdelta3 patches,"[Label(name=""enhancement"")]",
btimofeev/UniPatcher,closed,UniPatcher deletes directory,"[Label(name=""bug"")]","If the output file name is empty (after renaming), the program deletes the parent directory."
btimofeev/UniPatcher,closed,F-Droid package,"[Label(name=""enhancement"")]",
btimofeev/UniPatcher,open,"Support extender script ""ROM Expander Pro.txt""","[Label(name=""enhancement"")]",Description of the file format can be read from this [link](https://github.com/btimofeev/UniPatcher/wiki/ROM-Expander-Pro)
btimofeev/UniPatcher,open,Support XPC patches,"[Label(name=""enhancement"")]",
btimofeev/UniPatcher,open,Support NMP format,"[Label(name=""enhancement"")]",
btimofeev/UniPatcher,open,Support XDelta1 patches,"[Label(name=""enhancement"")]",
