repository,state,title,label,body
biylda/WhereYouGo,open,Allows the app to run if screen is off,[],Please review this code change
biylda/WhereYouGo,open,Allows GPS updates on android 8.0 and above if app is in background or screen is off,[],Please review this code change
biylda/WhereYouGo,open,Compass not moving on Xperia XZ2 Compact with Android 8.0,[],"I have installed Whereyougo on my new Xperia XZ2 Compact with Android 8.0. I have found out the compass does not move while navigating. The compass heads north and arrow aims to the target. I have encountered the similar problem in GDAK application. However, c:geo and Locus are working OK. I have tried some diagnostic tools, too. Everything works fine... "
biylda/WhereYouGo,open,WhereYouGo not running in background on Android 8.0,[],"Hi every one

Recently I wanted to play the cartridge “Bergsteigen” (3d1080c3-c3f3-4df7-b96c-0f4f2aebe343) but it didn’t work as expected in the WhereYouGo player.

Future analyses showed two problems occurring if the WhereYouGo player is running on Android 8.0.

1. If the phone gets locked, the app only gets only randomly some CPU time. So it can happen that the cartridge only gets called every few minutes what for some cartridge might not be enough. Here it would help if the WhereYouGo player offers an option to make a WakeLock (https://developer.android.com/reference/android/os/PowerManager.WakeLock) call to the android API.


2. After installing a Wake Lock app on my phone the WhereYouGo player was working even if the phone was locked. But the mentioned cartridge still didn’t behave the way it should. I recognised that if the phone was locked the WhereYouGo player signalled several times an hour a GPS fix. This brought me to the following URL: https://developer.android.com/about/versions/oreo/background-location-limits. Means that the WhereYouGo app is considered as a background app if the phone gets locked and only can get a few location updates an hour. It would be good if one of the mentioned functionality would be implemented to make the app even if the phone is locked recognised as a foreground app.

 

I think, those two issues could get to a real issue for the app as soon as Android 8.0 is more widely used.

 
Thanks Chris"
biylda/WhereYouGo,open,Update strings_mapsforge.xml,[],Translated into Slovak
biylda/WhereYouGo,open,Update strings_pref.xml,[],"Revised, proofreading"
biylda/WhereYouGo,open,Update strings.xml,[],"Revised, proofreading"
biylda/WhereYouGo,open,Update README.md,[],"Hi,

This small and useless PR adds two buttons to get your app on F-Droid and the Play Store 👍 "
biylda/WhereYouGo,open,Problems with playing videos,[],"Hello,

first of all, thank you very much for your work.

I have problems to play videos a new feature from you. I tried different MP4 videos. Than I took a look into the code, and it seems, that the viedeo isn't started. With this stack overflow (https://stackoverflow.com/questions/17399351/how-to-play-mp4-video-in-videoview-in-android), I assume, that you have to start the video when the VideoView is prepared. Is this correct? Or do you have any cartridge to test this behavior?

Best regards,
Charlenni"
biylda/WhereYouGo,open,Improve german translation,[],
biylda/WhereYouGo,open,German translation for changelog,[],
biylda/WhereYouGo,open,Images not stretching when Stretch Images set to true,[],"I've tested a cartridge on both a Samsung J3 and S8 on both I don't seem to get stretched images.

In my cart I'm using 230px wide images as recommended by the whergio FAQs

I've also noticed that the size of images is also variable, I can load the same item multiple times getting different results each time, See below for example, I've previously also got blank images but can't replicate right now.

![win_20170820_10_00_46_pro](https://user-images.githubusercontent.com/3881929/29493498-4279a500-858f-11e7-8ebc-5fecd80342a6.jpg)
![win_20170820_10_01_00_pro](https://user-images.githubusercontent.com/3881929/29493497-427808d0-858f-11e7-866a-796cefa6bffa.jpg)

Example generated using a very simple test cartridge with one media item listed as the image for one zone.

-UPDATE-

Have just realised that the issue is only present with GIF images, If I use BMP, JPG or PNG they all stretch OK
"
biylda/WhereYouGo,open,Issue with compass while timer is running in cartridge,[],"In the lastest version I've found an issue regarding internal compass jumping from true values to completely faulty values and (eventually) back to correct values if there is a timer running in the background of the cartrdige.
Details and a testcartdridge for showing the issue can be found on:
https://groups.google.com/forum/#!topic/whereyougo/Vt6HD2c0Wws

It would be great if someone could have a look at this issue... thanks in advance.
Patrik"
biylda/WhereYouGo,closed,updated japanese translation,[],Hello!
biylda/WhereYouGo,closed,Update strings.xml,[],Fixed minor type errors
biylda/WhereYouGo,closed,strings_mapsforge.xml,[],Norwegian translation of strings_mapsforge.xml by cghove (cachetur.no)
biylda/WhereYouGo,closed,Update and improve german translation,[],"- Add translation for untranslated strings
- Correct mixed usage of informal ""Sie"" and formal ""Du"" addressing of user to use only informal ""du""
- Improve some translations to use more common wording"
biylda/WhereYouGo,closed,Norwegian strings_pref.xml,[],Editet to norwegian Bokmål (UTF-8) By cghove. www.cachetur.no
biylda/WhereYouGo,closed,Norwegian strings.xml,[],Editet to norwegian Bokmål (UTF-8) By cghove. www.cachetur.no
biylda/WhereYouGo,closed,Updated french translation,[],
biylda/WhereYouGo,open,Variable arguments not supported,[],"Hi,

Variable arguments eg. function i18n(key, ...) are not supported in WhereYouGo.
## The emulator works well with them, but not WhereYouGo.

geokoodi@gmail.com
"
biylda/WhereYouGo,open,Sources for mapsforge-map-0.3.1-SNAPSHOT-jar-with-dependencies.jar,[],"Hi,

I would like to add WhereYouGo to the [F-Droid](https://f-droid.org/) repo. For this I need the exact source of mapsforge-map-0.3.1-SNAPSHOT-jar-with-dependencies.jar, could you please provide it?

Thanks!
"
biylda/WhereYouGo,closed,Fix build system,[],"- Add jitpack.io repos.
- Simplify installation instructions.
- Remove precompiled mapsforge-map.jar.
"
biylda/WhereYouGo,open,Java Exception at resume game @ task.on_complete_changed,[],"Hi!

Hopefully this is the correct place to report potential bug as the exception references openwig.googlecode.com which seem to have move. 

Suprisingly a could't find this problem mentioned below, but probably I searched at the wrong places.

In the middle of the development of my cartridge - which work well in the urwigo-simulator also with no problems with save/and resume - I testet it on the smartphone: Lot's of java exceptions when I resumed a saved game: especially index of non-table and calling nil! I updated to the current version 
same result. 
So i started to analyse the problems. I am using tasks (also partly LUA-function in there). The problem at the resume-time seem to be, that the taskcompletion is called (which migth be ok and is ok to me), but there aren't any ""objects"" already ""initiated""!
So a call of e.g.:
- lua-function (call nil)
- setting an attribute of item, character,.. (index of non-table)
- move item to player
- ...

fail, as all ""the reference"" is  nil and I think this is bug. 

Of course I can implement a workaround, but I have to put it in many task ... 
So probably there is a simpler workaround (some settings) or I did something wrong, ...

I implemented an easy cartrige, to eliminate potential problem caused by me.
I attach this simple/short cartrige with no lua and just in urwigo (urwigo und compiled code attached) for reproduction of this problem:
1. Start cartrige
2. Schweizermesser.CloseTask
3. Exit with save
4. Start with resume -> java exception (just for a short time)
5. Exit no save -> java exception (til press away)

I'am currently working with urwigo and on an Samsung GT-S5690 Android: 2.36 /Gingerbread ( Kernel2.6.35.7).

If additional Information is need just let me know.

Thanx in advance for help or fixing the bug
hansmen

[testtask.zip](https://github.com/biylda/WhereYouGo/files/246107/testtask.zip)
"
biylda/WhereYouGo,closed,Fix #5 - Improved german Play description and changelog,[],
biylda/WhereYouGo,closed,Complete and improve german translation,[],"- Added translation for remaining english strings
- Correct some wrong translations
- Use informal addressing consistently
"
biylda/WhereYouGo,closed,Improve german Google Play translation,[],"The current german Google Play translation seems to be auto-translated which makes it really hard to understand.
I can volnuteer to create a proper description (and change log if needed) if someone can establish a method to do this (e.g. include in some file here or create a Github wiki page as source to copy it from when publishing on Google Play).
"
