repository,state,title,label,body
j4velin/WiFi-Auto-Off,open,"Automatically ""learn"" locations",[],"At the moment you manually have to add locations where you want WiFi to be turned on. Why not have the locations be added automatically at the moment you manually switch WiFi on?

It makes using the app more efficient. Now it's multiple manual steps (switching app, go through settings, etc) that makes it a bit cumbersome."
j4velin/WiFi-Auto-Off,closed,Italian translation,[],Italian translation
j4velin/WiFi-Auto-Off,closed,ES translations update,[],"Hi Thomas, 
It's been a long time since I last contributed.
I send you an update for spanish translations.

Regards."
j4velin/WiFi-Auto-Off,open,Turn WiFi on with custom frequency,[],"Hi

I lohe this app but it would be great if you could change the setting to ""Turn WiFi on every 2 hours"" to ""Turn WiFi on every... "" with the possibility of choosing intervals such as 10, 20, 30, 45, 60 minutes, etc (as well as the never / disabled option).

Thank you for your work. "
j4velin/WiFi-Auto-Off,open,Also check Wi-Fi directed on not connected to any network for,[],
j4velin/WiFi-Auto-Off,closed,Update strings.xml,[],"Fix an important french translation in ""Disable""/""Enable"" confusion"
j4velin/WiFi-Auto-Off,closed,Release 1.7.4,[],Please release the source code of the latest version available.
j4velin/WiFi-Auto-Off,closed,Update strings.xml,[],updated russian translate
j4velin/WiFi-Auto-Off,closed,.,[],".
"
j4velin/WiFi-Auto-Off,closed,how to bypass the androids settings?,[],"Im trying to figure out how to bypass the androids setting to turn off wifi by force when screen shuts off? This used to work but it doesnt anymore.
"
j4velin/WiFi-Auto-Off,closed,czech translation update,[],
j4velin/WiFi-Auto-Off,closed,switch off at certain time does not work,[],"Hi,

wifi automatic does not switch my wifi off at the set time. 

I am running cyanogenMod on a Wileyfox Swift. These are my settings (they are translated from German):

Switch on:
- daily at 7:00 am
- during charging

Switch off:
- if no network is within reach
- daily at 10:00 pm

Regards
Stephan
"
j4velin/WiFi-Auto-Off,closed,feature request: stop switching on during a period of time,[],"I recently installed WiFi-Automatic on my Wileyfox Swift, running CyanogenMod 13. 

These are my settings (they are translated from German):

Switch on: 
- daily at 7:00 am
- every 1 hours
- during charging

Switch off: 
- if no network is within reach
- daily at 10:00 pm

Everything works fine except for switching off at 10:00 pm. Even if I switch it off by myself, it is switched on again to connect to my home network. 

It looks like it is still switching on every hour even between 10:00 pm and 7:00 am to look for known networks? 

May I ask to add a feature to set a time span when wireless is never automatically switched on?

Thanks in advance.
"
