repository,state,title,label,body
Zanshinmu/Wifi-Fixer,open,Fix Maven central repository URL,[],Fixes #39
Zanshinmu/Wifi-Fixer,open,insecure gradle,[],"Your gradle uses an insecure URL:

~~~
repositories {
        maven { url 'http://repo1.maven.org/maven2' }
~~~

This can easily be solved by replacing `http` with `https`. Could you please do so – if the app is still maintained, that is?"
Zanshinmu/Wifi-Fixer,closed,Update for Droid Maxx,[],Update
Zanshinmu/Wifi-Fixer,closed,Master,[],
Zanshinmu/Wifi-Fixer,open,Reconnect to point automaticaly,[],It'll be nice if the program could reconnect to point automaticaly
Zanshinmu/Wifi-Fixer,closed,Master,[],Test pull request
Zanshinmu/Wifi-Fixer,closed,Wif-fixer is disconnecting.,[],"It keeps disconnecting from my cell phone
 Droid Maxx 
Version: Android version 4.4.4"
Zanshinmu/Wifi-Fixer,open,Please add russian language,[],"Good day!

I do not know why fans with 4pda not add translation here, but [Russian localization is already in the nature](http://4pda.ru/forum/index.php?s=&showtopic=227184&view=findpost&p=53795382)! Please add it to the repository.

"
Zanshinmu/Wifi-Fixer,closed,Good ,[],Goodmorne
Zanshinmu/Wifi-Fixer,open,Allow entering HTTP endpoint (IP/hostname) for testing if network works. ,[],"Entering host(s) used for testing (including default gateway or public ones like google.com) would make it easier to use it in an environment like a school. Our gateways don't respond to HTTP since they don't behave like a home AP, they're lacking web admin console, etc.
"
Zanshinmu/Wifi-Fixer,open,Idea: Fold in capabilities from PrivacyPolice re: multipoint security / disabling,[],"@Zanshinmu @All

https://github.com/BramBonne/privacypolice has very similar multipoint detection capabilities as Wifi-Fixer has, with a slightly different focus: it's to _prevent_ from connecting to certain repeaters for security purposes.  I propose to include this capability in Wifi Fixer for both security & performance reasons: if 1 could mark a MAC address as ""do-not-connect"" (or conversely be prompted to whitelist it, as PrivacyPolice does), it would solve a lot of public vs private wifi issues.

Here's an example: In my area, a lot of businesses choose to have public wifi via AT&T (attwifi) or Comcast/Xfinity (xfinitywifi), &, when in business, that wifi is completely open. But, when at home, my neighbors, having either AT&T or Comcast/Xfinity, have both their own (secured) SSIDs, but also the same semi-open SSIDs (attwifi or xfinitywifi), which my device now ignores because of Privacy Police, but Wifi Fixer would try to connect to automatically at home, which then fails there, after much attempting.

What do you think?

P.S.:  I helped you test initial multipoint capabilities many moons ago via a very long e-mail chain.  I'm very happy & thankful to see the feature at this level of maturity.
"
Zanshinmu/Wifi-Fixer,open,Galaxy Note 3 Sign-In Connections Resetting Before Successful Sign-In,[],"Local grocery store and airport require sign-in via web page to accept terms of service but the Fixer tries to reassociate before the sign-in can be completed. Removing Fixer allows normal login. Samsung SM-900A, Android 4.3
"
Zanshinmu/Wifi-Fixer,closed,Networks with no SSID not showing correctly in Local Networks sub-fragment,[],
Zanshinmu/Wifi-Fixer,closed,Excessive battery use in scan mode,"[Label(name=""Accepted"")]",
Zanshinmu/Wifi-Fixer,open,"After LocalNetworksFragment backstack restoration on orientation change or switched to, ""ghost"" fragments may persist",[],
