repository,state,title,label,body
VREMSoftwareDevelopment/WifiAnalyzer,open,MAC vendor search is case sensitive,"[Label(name=""bug"")]","**Please search issues (open and closed) to see the issues has already been reported.**

**Is your feature request related to a problem? Please describe.**
In #145 a hardware address vendor search was added, which I highly appreciate.

However, as already stated in one of the comments, the search is case sensitive, it only works if you type upper case letters. That breaks user expectations and is cumbersome to type with some keyboards.

I consider that a bug, because lower case letters are perfectly valid for a hexadecimal value.

**Describe the solution you'd like**
Please make hardware address input/search case insensitive!

**Describe alternatives you've considered**
A clear and concise description of any alternative solutions or features you've considered.

**How I can help**
A clear and concise description of what you can do to help.

**Additional context**
Add any other context or screenshots about the feature request here.

**Provide Device/Android OS information**"
VREMSoftwareDevelopment/WifiAnalyzer,closed,Improve french translation,[],"The label of the menu item used to share the results is ""Exportation""
It should be ""Partager""

I've not found translation strings in the repository to do the PR
"
VREMSoftwareDevelopment/WifiAnalyzer,open,Location Service Permission requirements need better information in the app,"[Label(name=""enhancement"")]","The latest update I got now requires network location access. Denying it causes the app to close. Why is this permission now needed and why is it required?

[How to report a bug](https://github.com/VREMSoftwareDevelopment/WiFiAnalyzer/wiki/Feedback)

**Please search issues (open and closed) to see the issues has already been reported.**

**Describe the bug**
A clear and concise description of what the bug is.

**To Reproduce**
Steps to reproduce the behavior:
1. Go to '...'
2. Click on '....'
3. Scroll down to '....'
4. See error

**Expected behavior**
A clear and concise description of what you expected to happen.

**Screenshots**
If applicable, add screenshots to help explain your problem.

**Note**
Some behaviour only occurs on certain devices or versions of Android, please provide the following screenshots/information Device/Android OS (Settings → About Phone) and WiFi Analyzer version (Menu -> About)

**Additional context**
Add any other context about the problem here.

**Provide Device/Android OS information**
"
VREMSoftwareDevelopment/WifiAnalyzer,closed,v2.0.3?,[],"Why is v2.0.3 only in the Play Store? I need the normal apk (instead of ""split apk"" done by Google). Thanks.

[How to report a bug](https://github.com/VREMSoftwareDevelopment/WiFiAnalyzer/wiki/Feedback)

**Please search issues (open and closed) to see the issues has already been reported.**

**Describe the bug**
A clear and concise description of what the bug is.

**To Reproduce**
Steps to reproduce the behavior:
1. Go to '...'
2. Click on '....'
3. Scroll down to '....'
4. See error

**Expected behavior**
A clear and concise description of what you expected to happen.

**Screenshots**
If applicable, add screenshots to help explain your problem.

**Note**
Some behaviour only occurs on certain devices or versions of Android, please provide the following screenshots/information Device/Android OS (Settings → About Phone) and WiFi Analyzer version (Menu -> About)

**Additional context**
Add any other context about the problem here.

**Provide Device/Android OS information**
"
VREMSoftwareDevelopment/WifiAnalyzer,closed,Wavelength units are wrong.,[],"[How to report a bug](https://github.com/VREMSoftwareDevelopment/WiFiAnalyzer/wiki/Feedback)

**Please search issues (open and closed) to see the issues has already been reported.**

**Describe the bug**
Wavelengths are provided for each channel.  They're listed as meters, but would be numerically correct if the units were centimeters (at least in 5GHz band - didn't check 2.4)

**To Reproduce**
Steps to reproduce the behavior:
1. Go to '...'
2. Click on '....'
3. Scroll down to '....'
4. See error

**Expected behavior**
A clear and concise description of what you expected to happen.

**Screenshots**
If applicable, add screenshots to help explain your problem.

**Note**
Some behaviour only occurs on certain devices or versions of Android, please provide the following screenshots/information Device/Android OS (Settings → About Phone) and WiFi Analyzer version (Menu -> About)

**Additional context**
Add any other context about the problem here.
"
VREMSoftwareDevelopment/WifiAnalyzer,closed,Add fallback to use CHANGE_WIFI_STATE permission if geolocation not allowed on Android 8,[],"**Please search issues (open and closed) to see the issues has already been reported.**

**Is your feature request related to a problem? Please describe.**
Latest update in Google Play (2.0.2) makes this app hard to use with Android 8 (at least): you need to grant geolocation permission, enable geolocation, change geolocation from ""gps only""...

**Describe the solution you'd like**
Can you use CHANGE_WIFI_STATE permission to scan WiFi as fallback if no geolocation permissions granted instead of closing the app?
I ask this question because all worked perfectly without geolocation before 2.0.2

**Describe alternatives you've considered**
A clear and concise description of any alternative solutions or features you've considered.

**How I can help**
A clear and concise description of what you can do to help.

**Additional context**
Add any other context or screenshots about the feature request here.

Device: SM-N960F, Android 8.1.0"
VREMSoftwareDevelopment/WifiAnalyzer,closed,Added location permission.,[],"Newer versions of android 6+ require additional location permission in order to scan the wifi.

Thanks for sending a pull request!

[How to submit a pull request](https://github.com/VREMSoftwareDevelopment/WiFiAnalyzer/wiki/Pull-Request)

**What does this implement/fix? Please describe.**
Works on Android p.

**Does this close any currently open issues?**
#215

**Additional context**
none

**Where has this been tested?**

"
VREMSoftwareDevelopment/WifiAnalyzer,closed,Add Portuguese (pt-rPT) translation,[],"Hello,

regional Portuguese has some words and expressions that are quite different from Brazilian, therefore I thought that making a pt-rPT was a good contribution.

Kind regards

"
VREMSoftwareDevelopment/WifiAnalyzer,closed,Graphs don't update after opening settings ,"[Label(name=""bug"")]","[How to report a bug](https://github.com/VREMSoftwareDevelopment/WiFiAnalyzer/wiki/Feedback)

**Please search issues (open and closed) to see the issues has already been reported.**

**Describe the bug**
When viewing either graph, if you open settings, and then hit back, the graph no longer updates or responds to user input. The issue also happens in the channel rating view and also happens with the about page.

**To Reproduce**
Steps to reproduce the behavior:
1. Go to '...'
2. Click on '....'
3. Scroll down to '....'
4. See error

**Screenshots**

![screenshot_20181021-133327](https://user-images.githubusercontent.com/17463126/47271598-1f036080-d538-11e8-9e1d-38c59819401a.png)

Device: Google Pixel XL
Android version: 9
App version: 2.0.1 42S (9-28)

**Additional context**
Add any other context about the problem here."
VREMSoftwareDevelopment/WifiAnalyzer,closed,Add missing permission for Android 9.0,[],"**What does this implement/fix? Please describe.**
This PR fixes the failure to scan wifi networks on the Oneplus 6 with Android 9 (Pie).

**Does this close any currently open issues?**

This fix is an addition to issue #202.

**Additional context**
The ACCESS_FINE_LOCATION permission is required for the wifi scan to
work on the Oneplus6 with Android 9.0. Without this permission, the
following errors are triggered:

    E/libc: Access denied finding property ""vendor.perf.iop_v3.enable""
    E/libc: Access denied finding property ""vendor.perf.iop_v3.enable.debug""

Both other permissions are still required for the scan to work.

**Where has this been tested?**
- Operating System: OxygenOS 9.0 (Android 9.0)
- Platform: Oneplus 6 (Model number: `ONEPLUS A6007`)
- Target Platform: 22
- Toolchain Version: 28.0.2
- SDK Version: 27
"
VREMSoftwareDevelopment/WifiAnalyzer,closed,Update German translation,[],"Some recent changes weren't proper German or even misleading.

Fix the sentence and some hyphenated words."
VREMSoftwareDevelopment/WifiAnalyzer,closed,Should the Channel Rating be reversed?,"[Label(name=""question"")]","In the ""Channel Rating"" view, we can see the ranking for each WiFi channel, based on the amount of access points using that channel:

![photo_2018-10-01_16-22-48](https://user-images.githubusercontent.com/2697916/46294679-97f54500-c596-11e8-8ce3-abfa1048f05c.jpg)

But something seems off - channels with the best ranking are the channels that are used by the most access points... shouldn't it be reversed? So that the best channels are the ones used the *least*?
"
