repository,state,title,label,body
pocmo/Yaaic,open,Bug with Registered nicks,[],"Hi !! I locate a bug with some servers, when i try to logging with a registered nick, the connect works fine, but i don´t see when i join to channels. why?"
pocmo/Yaaic,open,BlowFish encryption support [Feature],[],"It would be very nice to add blowfish encryption support to the application like mirc, hex-chat, irssi do."
pocmo/Yaaic,open,No link to GitHub from inside the app,[],"Please add a link to this 
GitHub project from the About page inside the app."
pocmo/Yaaic,open,Can't tell if we are currently on the bottom,[],"If several minutes pass with no new comments, it may be because we are not actually at the bottom of the conversation list, however there is no visual clue to show that with somehow bumped our screen so we're not currently at the bottom of the conversation list."
pocmo/Yaaic,open,Pinging users through Discord-IRC bridge kicks users using Yet Another Android IRC Client (Yaaic) off IRC,[],"I started a thread over here: https://github.com/reactiflux/discord-irc/issues/338#issuecomment-346428310

Basically, when usernames are mentioned on Discord, they result in the user losing their connection if they're on IRC. However, if you add ""@"" before the username, they stay connected. I'm not sure if anybody else uses an IRC bridge and has encountered this strange behaviour too."
pocmo/Yaaic,open,feature request: Show several networks in the same tab?,[],"Hey there, 
I'm using znc and I dislike having to switch between tabs  all the time. Would it be possible to dump all server buffers into one core buffer and have all channels listed under that one?

Thank you for maintaining this."
pocmo/Yaaic,open,New release?,[],"Hello!

There has been no commit in the past year or so. I do understand
that people go other routes as time passes, and that is perfectly fine.

However, the current version on fdroid is still using vereskion 1.1
(which is more than 2 years ago) and is marked as broken.

Can we come to a conclusion and tag a release so we can at least
update to the current code? We need a tag, to be sure the version
code is stable andnot reused later.

Thank you! :-)

Regards,
Yann E. MORIN."
pocmo/Yaaic,open,/nick and /clear not working for Android application,"[Label(name=""Bug"")]","The IRC nick won't change on /nick command. Besides, /clear is also not recognised."
pocmo/Yaaic,open,Fixed channel parting and op/voice/etc actions on users,[],
pocmo/Yaaic,open,Double text selection handles displayed,"[Label(name=""Bug"")]","Some odd long-pressing produced the results here... captured for posterity :-)

https://www.dropbox.com/s/zxynlk6o32zouum/bugYaaic%20Selection.png?dl=0

"
pocmo/Yaaic,open,gibot messages in libreoffice-dev instead of f-droid channel,"[Label(name=""Bug"")]","ls-4001
android 5.1
yaaic 1.1

five messages from gibot [21:00], [21:40], [22:11], [22:12] & [22:15] are in libreoffice-dev channel instead of f-droid channel.

those five messages belong to f-droid channel & they are appearing in wrong channel.

both channels are on freenode.

please find the attached screenshot.
![gibot messages in libreoffice-dev instead of f-dro](https://cloud.githubusercontent.com/assets/22496610/23333035/4838d854-fbaa-11e6-9f56-3493ab945af7.png)

"
pocmo/Yaaic,open,Update all broadcast sending to use LocalBroadcastManager.,[],"This breaks a lot as the receiving part is not changed yet. But this is
a branch anyways ... so let's break stuff!"
pocmo/Yaaic,open,Cannot close/part rooms,"[Label(name=""Bug"")]","Via mail:

```
After updating to android 7 oficial version on my nexus 5x i cannot close rooms i join.
I select the room and from the dropdown i select close and nothing happends.
```
"
pocmo/Yaaic,open,username addition ,[],"refer to #222, without ZNC support, username become handy because ZNC is using username for login and decide which server should it bounce.

So I might want to ask here. 
"
pocmo/Yaaic,open,SSL + commands,"[Label(name=""Bug"")]","```
12:19:45 <nBIink> I have an issue: basically, when the server has SSL on, Yaaic won't
                  let me close channels or use /part command. When the server has
                  SSL off instead, it will let me quit channels and use the command
12:20:47 <nBIink> The only way to close channels in an SSL server is to use
                  /raw PART #channelname
```
"
pocmo/Yaaic,open,Support to exclude some sender nicks for notifications,"[Label(name=""Feature"")]","I think it would be very useful to be able to blacklist nick-highlight notifications from certain nicks (and perhaps a similar option to instead accept highlights only from a specified list - but blacklisting would be more generally useful I think).

Use-case: sitting in a channel with a bot that announces the list of players in a game - if I'm in-game, every time the list is announced I'd get an alert from YAAIC.  It would be nice to be able to tell YAAIC to ignore nick highlights from the bot's nick.

Even more powerful would be the ability to use partial patterns, e.g. `*bot`.
"
pocmo/Yaaic,open,ZNC,"[Label(name=""Feature"")]","Could you please add ZNC support? 
"
pocmo/Yaaic,open,Channel listing ,"[Label(name=""Feature"")]","This is likely an education issue, but I figured I'd inquire here.  When using ZNC everything connects fine, but it seems the only way I can change channels is to swipe right/left. Is there a more efficient way to get a channel list when you're using a bouncer?

Being in around 20 channels makes it really hard to move between them quickly.
"
pocmo/Yaaic,open,Yaiic error,"[Label(name=""Bug"")]","I see in my ARN list this error very frequency. Do you now where is the error? Thanks.

```
java.util.ConcurrentModificationException
    at java.util.LinkedHashMap$LinkedHashIterator.nextEntry(LinkedHashMap.java:346)
    at java.util.LinkedHashMap$ValueIterator.next(LinkedHashMap.java:370)
    at org.yaaic.fragment.ConversationFragment.onCreateView(ConversationFragment.java)
    at com.appeiros.chatsfree.fragments.ChatConversationFragment.onCreateView(ChatConversationFragment.java)
    at android.support.v4.app.Fragment.performCreateView(Fragment.java)
    at android.support.v4.app.FragmentManagerImpl.moveToState(FragmentManagerImpl.java)
    at android.support.v4.app.FragmentManagerImpl.moveToState(FragmentManagerImpl.java)
    at android.support.v4.app.BackStackRecord.run(BackStackRecord.java)
    at android.support.v4.app.FragmentManagerImpl.execPendingActions(FragmentManagerImpl.java)
    at android.support.v4.app.FragmentManagerImpl$1.run(FragmentManagerImpl.java)
    at android.os.Handler.handleCallback(Handler.java:739)
    at android.os.Handler.dispatchMessage(Handler.java:95)
    at android.os.Looper.loop(Looper.java:135)
    at android.app.ActivityThread.main(ActivityThread.java:5274)
    at java.lang.reflect.Method.invoke(Method.java)
    at java.lang.reflect.Method.invoke(Method.java:372)
    at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:909)
    at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:704)
```
"
pocmo/Yaaic,open,move sending raw lines to a background thread,[],"A potential fix for https://github.com/pocmo/Yaaic/issues/218 in the simplest way possible, moving things to a background thread at the last moment. Having looked around a little I think this is neater than trying to move things to a background thread earlier.

also apparently removes a lot of superfluous whitespace
"
