repository,state,title,label,body
rtyley/agit,open,cuck,[],cuck
rtyley/agit,open,Wiki Page ConnectBot Source link broken,[],"On the Wiki Page, the ""source"" link for ConnectBot (ssh-agent) is now broken, it still points to a Google Code repository and Google Code has been shut down for quite a while now."
rtyley/agit,closed,Use SSH agent option not saved since last update,[],"Since last update I cannot use ssh agent any more from the application

The option ""Use SSH authentication agent"" was reset on all my servers and when I try to enable it and save it, this option was also reset. Therefore I cannot use SSH authentication agent on my hosts."
rtyley/agit,closed,Proxy support,[],"Hi! Please, add an ability to work with Orbot/I2P services!"
rtyley/agit,open,Scrollable Views change position on Device Rotation,[],"When I perform these sequences of events, the scrollable webview on screen goes back to the top:

Sequence 1:
1. Click on ""..."" opening overflow menu
2. Click on About
3. Scroll Down
4. Orientation Change

Sequence 2:
1. Click on Repo item in list
2. Click on Branches
3. Scroll Down
4. Orientation Change"
rtyley/agit,closed,Compile ability,[],"Add the ability to compile the app locally, directly with the downloaded source code
"
rtyley/agit,closed,F-Droid integration,[],"Add an ability to ""read"" the apps installed from 
F-Droid, and add the ability to download automatically source code of this apps
"
rtyley/agit,closed,Black theme AMOLED,[],"Add black theme ""AMOLED"" for save the battery
"
rtyley/agit,open,Add support for yubikey neo as ssh identity provider,[],"The yubikey neo can be used for storing ssh identities (among the gpg credentials). It would be cool if one could use these identities with agit.
"
rtyley/agit,open,Screen rotation,[],"When rotating the phone while viewing a file in horizontal mode it says that it crashed. Then it restarts when you click ok and you have to open the file again to view it in panorama mode. Vice versa the same issue. I have a Oneplus one Android 5.0.2 with cm12.0
"
rtyley/agit,open,always open not working when agit involved,[],"I've installed agit on my device, as i like the idea to be able to peruse a repo or two in a convenient way while on the go.

Thing is, having agit installed makes my system ask me, every time I browse a github url (and many others I suppose) in chrome, whether I want to open it in agit or chrome. Clicking chrome and Always does not persist, and soon I get that question again. Generally, answering Always on my system does work, just not for this. Even Always with agit fails to work, but that's not what I want.

I'd be happy to participate in solving this. I have 1.39 from fdroid. CM11M11 on nxs5. Soon be forced to uninstall agit :/
"
