repository,state,title,label,body
AndlyticsProject/andlytics,open,Downloads fell to 0,[],"Hi

A month or so ago my total downloads fell to 0. I've tried deleting all data and resyncing but all of the rest comes in save for the downloads and active installations.

What could be the cause ?

Thanks

Paolo
"
AndlyticsProject/andlytics,open,No data ratings text refers to downloads,[],"The first time one installs the app no data is loaded. When you visit the ""ratings"" tab of a random app there is a text hint shown:

> Andlytics collects data over time. to see a meaningful chart come back as soon as more data is available.
>
> Usually download stats are updated every 24 - 48 hours.

![andlytics-ratings-empty](https://user-images.githubusercontent.com/144518/44195824-7d782100-a13a-11e8-87fa-1ab64a900a16.png)

The text should not refer to ""download stats"" but to ""rating stats"" since the ""ratings"" tab is selected as highlighted in the screenshot above."
AndlyticsProject/andlytics,closed,Dev,[],"Made some changes for the stats. Total downloads were removed from the json and I have not found a replacement. Ran out of time but I figured I would submit the code in case someone else wants to tackle it. 

Also this code compiles on AS 3.1.3"
AndlyticsProject/andlytics,open,Loading Error,[],Since 12.06 I get an error message when loading. Is it a known problem?
AndlyticsProject/andlytics,open,Hi Can I contribute logo or icon for andlytics?,[],"![iconandlytics144x144](https://user-images.githubusercontent.com/33398323/41545216-4b16e4be-734d-11e8-8541-5285a2816e33.png)


"
AndlyticsProject/andlytics,closed,Dev,[],Add support for an adaptive icon
AndlyticsProject/andlytics,open,Adaptive icons,[],"Would you be interested in adding support for adaptive icons to Andlytics?

I've drawn up a couple of versions, [the first](https://adapticon.tooo.io/#/bg=https://imgur.com/download/XV0XoM7/fg=https://imgur.com/download/eQy3FDx) is trying to keep in line with the current logo. [The second](https://adapticon.tooo.io/#/bg=https://imgur.com/download/7dvRwla/fg=https://imgur.com/download/A48aS3a) is my own adaptation. Let me know if you'd be interested in either - I can create a pull request or just attach pngs."
AndlyticsProject/andlytics,open,Logo design proposal,[],Good day! i would like to submit a logo/icon proposal for application. Please message me if you would like . Hoping for your positive respone. Thank You!
AndlyticsProject/andlytics,closed,Dev,[],Fix for null pointer. 
AndlyticsProject/andlytics,closed,Dev,[],"Upgraded to Android Studio 3.0.1
Fixed the issues from January 31st 2018
Added API Level to comments. "
AndlyticsProject/andlytics,open,How to contribute,[],"Thanks for the wonderful app!

We are using Andlytics app for the past two years. We want to contribute to the project by adding more features. We couldn't compile the latest version in github. Is this code same as the one in play store?"
AndlyticsProject/andlytics,closed,Dev,[],Fixed the latest issue as of October 18 2017
