repository,state,title,label,body
miracle2k/android-autostarts,open,Make a github release so that F-Droid will re-build this package?,[],"First of all, big thanks for the app, it's a really good app to understand some of the Android machinery, as well as actually controll some of it.

The question of this issue is -- would it make sense to make a ""release"" here on github? It would then be picked by F-Droid, which will allow re-building it.
The last F-Droid build was a very, very long time ago https://f-droid.org/wiki/page/com.elsdoerfer.android.autostarts  and the build itself is even considered ""incorrect"" by F-Droid client. Hence the ""DisabledAlgorithm"", ""KnownVuln"" badges.
Therefore it no longer even appears on the app list, and in search: https://f-droid.org/packages/#q=autostarts

Please help adding it back by making a release?
Thanks."
miracle2k/android-autostarts,open,disable all for an app,[],some annoying apps have tens of entries
miracle2k/android-autostarts,open,v1.9.8,[],Please release the latest version.
miracle2k/android-autostarts,open,Material design,[],Do you plan to implement it?
miracle2k/android-autostarts,closed,Update version to 64-bit architecture,[],Updating the version so F-droid can redistribute autostarts with the 64-bit architecture fix.
miracle2k/android-autostarts,open,Disabled is not always highlighted,[],Not always disabled rule is highlighted
miracle2k/android-autostarts,open,Sometimes the program does not react on clicking,[],"Sometimes when I click on a rule of startup of an app in the list, Autostarts does not react on touch, so menu where you disable/enable rules does not appear"
miracle2k/android-autostarts,open,Will the program be updated to latest android premissions?,[],"Title. 
 Thanks.
"
miracle2k/android-autostarts,closed,Fix program to work on 64-bit architecture,[],"When calling the root command, on 64-bit architecture, it didn't find the correspondent /system/lib64/ folder, still looking for /system/lib.
Now, it checks the architecture and set the folder accordingly.
"
miracle2k/android-autostarts,open,cant find NFC events,[],"hi,

i cant find the event about an NFC card is detected. i have one app that i want to disable here which hasnt got a disable option itself. could you add this?
"
miracle2k/android-autostarts,open,"Error ""unable to change the state""",[],"I am getting a Error ""unable to change the state"", on Cyanogenmod 13.
The log however does indicate the command succeeds:
[https://paste.ubuntu.com/15610524/](https://paste.ubuntu.com/15610524/)
Maybe you can have a look at it
"
miracle2k/android-autostarts,open,try to call pm also without LD_LIBRARY_PATH,[],"in my case (a CM12 build) LD_LIBRARY_PATH caused a problem and it did't worked as expected. Without it everything is fine.
"
