repository,state,title,label,body
liato/android-bankdroid,open,java.lang.IllegalArgumentException: Illegal character in query,[],"Affected version: v1.9.14 from Google Play Store.
The app crashes immediately if one attempts to login into Appeak with an invalid user name, e.g., `. Iy.`.
```
// java.lang.RuntimeException: An error occurred while executing doInBackground()
//  at android.os.AsyncTask$3.done(AsyncTask.java:309)
//  at java.util.concurrent.FutureTask.finishCompletion(FutureTask.java:354)
//  at java.util.concurrent.FutureTask.setException(FutureTask.java:223)
//  at java.util.concurrent.FutureTask.run(FutureTask.java:242)
//  at android.os.AsyncTask$SerialExecutor$1.run(AsyncTask.java:234)
//  at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1113)
//  at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:588)
//  at java.lang.Thread.run(Thread.java:818)
// Caused by: java.lang.IllegalArgumentException: Illegal character in query at index 45: http://poker.appeak.se/playerInfo/?username=. Iy.
//  at java.net.URI.create(URI.java:733)
//  at org.apache.http.client.methods.HttpGet.<init>(HttpGet.java:80)
//  at eu.nullbyte.android.urllib.Urllib.openAsHttpResponse(Urllib.java:211)
//  at eu.nullbyte.android.urllib.Urllib.openAsHttpResponse(Urllib.java:190)
//  at eu.nullbyte.android.urllib.Urllib.openAsHttpResponse(Urllib.java:179)
//  at eu.nullbyte.android.urllib.Urllib.open(Urllib.java:168)
//  at eu.nullbyte.android.urllib.Urllib.open(Urllib.java:163)
//  at eu.nullbyte.android.urllib.Urllib.open(Urllib.java:154)
//  at com.liato.bankdroid.banking.banks.AppeakPoker.login(AppeakPoker.java:89)
//  at com.liato.bankdroid.banking.banks.AppeakPoker.update(AppeakPoker.java:106)
//  at com.liato.bankdroid.BankEditActivity$DataRetrieverTask.doInBackground(BankEditActivity.java:312)
//  at com.liato.bankdroid.BankEditActivity$DataRetrieverTask.doInBackground(BankEditActivity.java:287)
//  at android.os.AsyncTask$2.call(AsyncTask.java:295)
//  at java.util.concurrent.FutureTask.run(FutureTask.java:237)
//  ... 4 more
```"
liato/android-bankdroid,open,OKQ8 Server Certificate is not trusted for nettbank.edb.com,[],"
[nettbank.edb.com.der.zip](https://github.com/liato/android-bankdroid/files/1670138/nettbank.edb.com.der.zip)
I've attached the server certificate to this issue.

"
liato/android-bankdroid,open,Ica banken certificate issue,[],"When adding Ica banken you get the following issue:
""Server certificate not trusted for host: api.ica.se"""
liato/android-bankdroid,open,Update bank certificates,[],Fixes #683
liato/android-bankdroid,open,Rikskortet wont update,[],"Get the message:
""Fel vid uppdatering
Saldo för följande konto har ej uppdaterats
<rikskortet>""

And get the message when I try and add a new account/update password:
""Kunde ej skapa konto
Server certifacte not trusted for host: www.edenred.se"""
liato/android-bankdroid,closed,Re-enable some Unused warnings,[],Before Android Studio 2.3.0 having these enabled triggered internal errors in Lint. Those errors have now been fixed and the checks can be re-enabled.
liato/android-bankdroid,closed,Upgrade android build tools,[],"gradle 3.3
com.android.tools.build:gradle:2.3.0
buildToolsVersion 25.0.1
sdkVersion 25
"
liato/android-bankdroid,closed,Remove support for Avanza and Avanza mini,[],"Since Avanza has removed the API that Bankdroid relies on. 
There exists a websocket api that can be used, or use the REST api from their website. But currently I have no time for updating the implementation so until then Avanza and Avanza mini should be removed."
liato/android-bankdroid,closed,"Updated certificates for First Card, Osuuspankki and Östgötatrafiken",[],
liato/android-bankdroid,open,Scrollable View changes position on Device Rotation,[],"When I perform this sequence of events, the scrollable view on screen goes back to the top:

1. Press Menu button OR click on More Options (...)
2. Click on About
3. Scroll Down
4. Orientation change"
