repository,state,title,label,body
itds-consulting/android-silent-ping-sms,open,Updated de (German) translation,[],Commit made via [Stringlate](https://lonamiwebs.github.io/stringlate/)
itds-consulting/android-silent-ping-sms,open,LOGO,[],"Hello, @itds-consultingI want to contribute in ""android-silent-ping-sms"" so i  want to designed a new logo for ""android-silent-ping-sms"" and it's free.

I hope you like it. If you like it, I will send you pull request, editable files/original source and .png format files. If there's something you want to change, I'll do it.
if you want i will send you my design

contact me on facebook for fast delivary 
https://www.facebook.com/abdulmalikkhan655"
itds-consulting/android-silent-ping-sms,open,Frequently Asked Question (FAQ) Proposal ,[],"Hello there, I'd like to contribute to your awesome project by writing a Frequent Asked Questions for users self-service. Would love to hear from you, thanks."
itds-consulting/android-silent-ping-sms,open,Message was shown on Oppfo F1,[],
itds-consulting/android-silent-ping-sms,open,logo for SmsPing,[],"hii .. my graphic designer ,, my name is damahsyari, i intend to ask permission to give you a new logo for SMS PING"
itds-consulting/android-silent-ping-sms,closed,Logo design,[],"Hi, I uploaded .png format of my logo design as you wish (different color variations and monochrome versions). I can send editable/original file of logo design on gmail. Have a nice day!

Best Regards,
Baran Pirincal
Visual Communication Designer"
itds-consulting/android-silent-ping-sms,closed,Cancel the silent?,[],"Hey guys, i tried the app and now my friend doesnt receive my sms at all, how can I cancel that?"
itds-consulting/android-silent-ping-sms,closed,Logo proposal for Silent Ping Sms,[],"Hello, I wanted to design a logo for Silent Ping Sms. I hope you like it!

![hadi2](https://user-images.githubusercontent.com/37786733/38467872-bbea9d82-3b46-11e8-8352-b89f7dc5c23a.jpg)

"
itds-consulting/android-silent-ping-sms,open,Suggestion for improvement,"[Label(name=""waiting for response"")]","If you code the DCS octet as 0xD4 as opposed to 0x04, it will reduce the possibility of the recipient being notified in any way. 

I have a rooted phone (am HTC 10) with the original android PDU library (as it is still is included in stock HTC ROMs), and when I send the message generated by your app, it works insofar as correctly indicating that a phone is offline, but for online phones, I receive a blank message (with the senders number).

0x04 (0000 0100) is an 8-bit class 0 message, and since it is 8-bit, no message displays, but at least on the phones I have tested (a Samsung S3 and an HTC One M8), a blank message is received. Since most people are not going to be able to send a true type 0 message (with the PID octet set to 0x40), an alternative is to set the DCS octet bit 6. This, according to the specs (3GPP 23.038.010 version 10), marks the message for automatic deletion. So the bit coding for DCS becomes 0100 0100 or 0xD4.

In my testing, using this change, I still receive an ACK (or delivery report) but the phone does not receive a blank message with senders number."
itds-consulting/android-silent-ping-sms,closed,Bug on Silent Sms Ping: Clicking On send without adding recipients causes the app to crash. ,[],"
#### Expected behavior
Silent Sms Ping is an open source andriod application which helps secretly send a message to a receiver without notifying the user that the message has been received via notification drop box or any other means. Using Silent Sms ping as explained are to carry specific duties without obstacles. 

#### Actual behavior
Simply Opening the application and clicking send without doing anything else such as adding recipients name or going through history. Just simply clicking on send as soon as the application is opened causes the application to crash which is an error.

#### How to reproduce
* Download Silent Sms Ping from F-driod application. 
* Open the application. 
* Click on send. 
* Application Crashes. 

--------------------------------------------------------

* version of the application : **v 3**
* last updated : **12/4/17**

--------------------------------------------------------

* Browser: F-driod / Sms Ping
* Operating system: Andriod 7.0

#### Recording Of The Bug

https://youtu.be/Qcewwd_TAmA
    

<br /><hr/><em>Posted on <a href=""https://utopian.io/utopian-io/@gutzygwin/bug-on-silent-sms-ping-clicking-on-sending-without-adding-recipients-causes-the-app-to-crash"">Utopian.io -  Rewarding Open Source Contributors</a></em><hr/>"
itds-consulting/android-silent-ping-sms,open,"""Failed to send request""","[Label(name=""waiting for response"")]","Hi,
Using SMS Ping v3, I can't send any ping : I systematically get a ""Failed to send request message"".
In catlog, I get the following for each try :
```
intent: smsping.sent
result: 1
pdu (if any):
```
I'm using an LG G4 H815 running LineageOS 13/Android 6.0.1. All my phone numbers are in the international format (set with _Twitch! Contacts Formatter_), though I did try with national format too, for the same result."
itds-consulting/android-silent-ping-sms,closed,Alert when I'm being pinged?,[],"Thank you for creating this app! I've been using it for demonstrative purposes and it blew some people's minds :D

I was wondering: if we can send silent text messages, is there a way to check if we're being pinged? Like, a notification is displayed when someone sends us a silent SMS. Or an option to block such messages. 

Is that possible?"
itds-consulting/android-silent-ping-sms,open,SMS was not silent when sent to blackberry bold,[],"![img_20171206_165818](https://user-images.githubusercontent.com/1034622/33656144-c56c2952-daa7-11e7-9f5b-076d3afab91b.jpg)

there was a random char read by blackberry. but, when I sent to another device(lenovo P70-a) it was sient, no notification at all.

is that blackberry an exception for this app?"
itds-consulting/android-silent-ping-sms,closed,Location not getting,[],"I sent the SMS ping, to someone but i dont get his location. Is this normal?"
itds-consulting/android-silent-ping-sms,closed,Add missing permission for Android Oreo,[],Adds the READ_PHONE_STATE permission to the application which is necessary for the it to work on Android Oreo (8.0).
itds-consulting/android-silent-ping-sms,closed,Is this clone on Play Store illegal?,"[Label(name=""question"")]",https://play.google.com/store/apps/details?id=com.itds.sms.ping
itds-consulting/android-silent-ping-sms,closed,Failed to send request,[],"Worked the first time i installed it, days ago, but not anymore. More exactly it sends messages, as Android warns me about flood when i click many times on the send button, but app seems doing nothing (else than add number to history) and finally i get the error message FAILED TO SEND REQUEST

Between the date it worked and now i installed multiple apps from f-android and gplay (new phone...). And also i opened ingeener menu and did nothing but increase logging verbosity (well im not sure where are the logs located at this point). But not much.

How can i get error messages from SMS Ping and help debug it?
Ty
"
