repository,state,title,label,body
nikclayton/android-squeezer,open,GestureDetector.java line 635,[],"#### in android.view.GestureDetector.onTouchEvent

* Number of crashes: 1
* Impacted devices: 1

There's a lot more information about this crash on crashlytics.com:
[https://fabric.io/squeezer/android/apps/uk.org.ngo.squeezer/issues/5c007148f8b88c2963eea655?utm_medium=service_hooks-github&utm_source=issue_impact](https://fabric.io/squeezer/android/apps/uk.org.ngo.squeezer/issues/5c007148f8b88c2963eea655?utm_medium=service_hooks-github&utm_source=issue_impact)"
nikclayton/android-squeezer,open,AssetManager.java line 559,[],"#### in android.content.res.AssetManager$AssetInputStream.close

* Number of crashes: 1
* Impacted devices: 1

There's a lot more information about this crash on crashlytics.com:
[https://fabric.io/squeezer/android/apps/uk.org.ngo.squeezer/issues/5bf06177f8b88c29635c10c9?utm_medium=service_hooks-github&utm_source=issue_impact](https://fabric.io/squeezer/android/apps/uk.org.ngo.squeezer/issues/5bf06177f8b88c29635c10c9?utm_medium=service_hooks-github&utm_source=issue_impact)"
nikclayton/android-squeezer,open,DownloadStorage.java line 74,[],"#### in uk.org.ngo.squeezer.download.DownloadStorage.hasRemovableMediaStorage

* Number of crashes: 1
* Impacted devices: 1

There's a lot more information about this crash on crashlytics.com:
[https://fabric.io/squeezer/android/apps/uk.org.ngo.squeezer/issues/5bd2e231f8b88c2963421e99?utm_medium=service_hooks-github&utm_source=issue_impact](https://fabric.io/squeezer/android/apps/uk.org.ngo.squeezer/issues/5bd2e231f8b88c2963421e99?utm_medium=service_hooks-github&utm_source=issue_impact)"
nikclayton/android-squeezer,open,ActivityThread.java line 2986,[],"#### in android.app.ActivityThread.handleStartActivity

* Number of crashes: 1
* Impacted devices: 1

There's a lot more information about this crash on crashlytics.com:
[https://fabric.io/squeezer/android/apps/uk.org.ngo.squeezer/issues/5bcd7a3df8b88c2963b67686?utm_medium=service_hooks-github&utm_source=issue_impact](https://fabric.io/squeezer/android/apps/uk.org.ngo.squeezer/issues/5bcd7a3df8b88c2963b67686?utm_medium=service_hooks-github&utm_source=issue_impact)"
nikclayton/android-squeezer,open,ActivityThread.java line 3093,[],"#### in android.app.ActivityThread.reportSizeConfigurations

* Number of crashes: 1
* Impacted devices: 1

There's a lot more information about this crash on crashlytics.com:
[https://fabric.io/squeezer/android/apps/uk.org.ngo.squeezer/issues/5bc876c6f8b88c296341f611?utm_medium=service_hooks-github&utm_source=issue_impact](https://fabric.io/squeezer/android/apps/uk.org.ngo.squeezer/issues/5bc876c6f8b88c296341f611?utm_medium=service_hooks-github&utm_source=issue_impact)"
nikclayton/android-squeezer,open,Editor.java line 5384,[],"#### in android.widget.Editor$SelectionModifierCursorController.onTouchEvent

* Number of crashes: 1
* Impacted devices: 1

There's a lot more information about this crash on crashlytics.com:
[https://fabric.io/squeezer/android/apps/uk.org.ngo.squeezer/issues/5bae1032f8b88c2963a737f9?utm_medium=service_hooks-github&utm_source=issue_impact](https://fabric.io/squeezer/android/apps/uk.org.ngo.squeezer/issues/5bae1032f8b88c2963a737f9?utm_medium=service_hooks-github&utm_source=issue_impact)"
nikclayton/android-squeezer,open,Squeezer does nothing but ask for login,[],"
I installed Squeezer on my new Motorola motoe5 cruise and it keeps asking for a login. max2play running the server on an rPi-3b over wifi. 
My server works fine from Firefox on my PC. My old phone had Android 5 and everything worked fine."
nikclayton/android-squeezer,open,ScanNetworkTask.java line 90,[],"#### in uk.org.ngo.squeezer.util.ScanNetworkTask.doInBackground

* Number of crashes: 1
* Impacted devices: 1

There's a lot more information about this crash on crashlytics.com:
[https://fabric.io/squeezer/android/apps/uk.org.ngo.squeezer/issues/5ba75cd1f8b88c2963f73af3?utm_medium=service_hooks-github&utm_source=issue_impact](https://fabric.io/squeezer/android/apps/uk.org.ngo.squeezer/issues/5ba75cd1f8b88c2963f73af3?utm_medium=service_hooks-github&utm_source=issue_impact)"
nikclayton/android-squeezer,open,Album artist support,[],"Make server version handling more robust. Add support for Album Artists on server versions 7.9 and up. I've made a change to how the main menu is handled to make it easier to conditionally include elements, but I wonder if the original code using arrays was due to some performance constraints? If yes, then this change could be removed (or improved). Fixes #289

<!-- Reviewable:start -->
---
This change is [<img src=""https://reviewable.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.io/reviews/nikclayton/android-squeezer/414)
<!-- Reviewable:end -->
"
nikclayton/android-squeezer,open,"Browse modes, json-rpc",[],"Squeezer's home screen doesn't duplicate the browse modes I set up in LMS/Additional Browse Modes (I find browse by composer really useful). There have been related requests and I think this might be a CLI limitation. If that is the case, will Squeezer ever implement json-rpc?

Anyway, great thanks for the exceptionally nice app."
