repository,state,title,label,body
freezy/android-xbmcremote,open,Rotation support...,[],"It's hacky, but it minimizes the changes to do in the code. The logic (respan a command) is in line with Android recommendations however. And now the screen rotation works.

Disclaimer: I've tested it only with music files.
"
freezy/android-xbmcremote,open,Fix NPEs found in the UI,[],"Trivial fix. Tested in real conditions.
"
freezy/android-xbmcremote,open,Fix for #112 - NPE in android.text.StaticLayout.calculateEllipsis,[],"I tested it with android 5.0.1 on a Nexus 5, it fixes the issue.
"
freezy/android-xbmcremote,open,Refactored InfoManager,[],"Extracted DirectoryParams from getDirectory to increase Cohesion
"
freezy/android-xbmcremote,open, Refactoring Large Method getCoverByThumbnailSize in AbstractManager ,[],"Patch [0/1]
- Refactoring Class AbstractManager 

Patch [1/1]
- Extract method getCoverByThumbnailSize() from getCover()
"
freezy/android-xbmcremote,open,Refactor Large Class Abstract Manager,[],"Added a patchset for the refactoring in the patchset folder, here is a rundown:

[PATCH 0/3] 
- AbstractManager is a Large Class (Code Smell) and it has more than one responsibility.
  Therefore, we extracted Sort attributes and methods to a new class called SortPreferenceMedia.

[PATCH 1/3] Added Preferences For IDE to Ignore File
- Added files to the .gitignore from the preferences that were created by Android Studio

[PATCH 2/3] Refactored AbstractManager
- Extracted KEY_SORT attributes to a new class called SortPreferenceMedia
- Removed Interface ISortableManager from the child classes of AbstractManager

PATCH 3/3] Removed Sort Methods From AbstractManager
- Removed Unnecessary method getSortOrder from AbstractManager
"
freezy/android-xbmcremote,open,Translate res/values to Portuguese,[],"This is the first step towards translating the entire UI to other
languages.  Lots need to be done still as there are many strings hard
coded in the code and in the layout files as well.

More patches are needed, first to replace all hard coded strings with appropriate string resource elements and then a translation of each resource file.
"
freezy/android-xbmcremote,open,Album covers are getting shuffled on list fling,[],"When I fling music albums/movies cover images are shuffled 
"
freezy/android-xbmcremote,open,NPE StaticLayout.CalculateEllipses when viewing movie folders,[],"I'm getting this error when viewing the Folders for our movies.  I have done some investigation into this issue but don't feel comfortable to issue a pull request for the fix required.

The line I believe in question is on line 21 of android-xbmcremote / res / layout / titlebar.xml.

Here is the link of the fix that I believe would fix the issue I'm having.
https://code.google.com/p/android/issues/detail?id=33868

![screenshot_2014-08-19-08-09-49](https://cloud.githubusercontent.com/assets/2992359/3969836/c1036eaa-27c4-11e4-8144-97ba7c6782c9.png)
![screenshot_2014-08-19-08-10-13](https://cloud.githubusercontent.com/assets/2992359/3969837/c63ead3a-27c4-11e4-8c04-13fb022cb246.png)
"
freezy/android-xbmcremote,closed,"Prevent artists, genres and compilations tabs (in music library) from",[],"showing a NullPointerException in case the music library is empty.

This should fix the following issue:
#102 NullPointerException
"
freezy/android-xbmcremote,open,switched to gradle build system,[],"i switched from eclipse adt to android studio and gradle build system. since android-studio is available as beta release maybe you want to switch to the new android build system. it's far more flexible as eclipse adt and ant.
the project structure that i changed is now in the default form of an android studio project.
"
freezy/android-xbmcremote,open,Missing configuration buttons on galaxy s5,[],"It is imposible to configurate app on galaxy s5. Configuration buttons (add host, settings etc.) Are missing.
"
freezy/android-xbmcremote,open,Adding profiles support.,[],"Adding support for changing profiles within the remote control.
Solves issue 655.
"
freezy/android-xbmcremote,open,Update the version on Play Store or F-Droid,[],"Both sources only carry version 1.0.9 from January 2013. Maybe a newer version would fix some of the problems I see when connecting to my Raspbmc with XBMC from 2013-12-04?
"
freezy/android-xbmcremote,closed,"show action overflow in system navigation, again. Fixes #105",[],"If current activity doesn't use actionbar and the device doesn't have a
hardware menu button, the system must add the action overflow button
beside the system navigation, because otherwise the options become
inaccessible.
I implemented a solution based on this blogpost:
http://android-developers.blogspot.de/2012/01/say-goodbye-to-menu-button.html
[...] if you set minSdkVersion to 10 or lower, set targetSdkVersion to
11, 12, or 13, and you do not use ActionBar, the system will add the
legacy overflow button [...] if the device itself doesn't feature a
hardware menu button, thus making the options accessible.
This solves issue #105 where one could not access the options of
RemoteActivity (and others) on newer devices that don't feature a
hardware menu button (which is basically all devices except Samsung's)
"
freezy/android-xbmcremote,closed,Remote Control options menu is gone,[],"In the latest version the legacy android menu button was removed for the ""Remote Control"" activity, but since that activity is not using an actionbar, there is no way left to access that activity's menu, most importantly the ""Text Entry"" option.
"
freezy/android-xbmcremote,closed,Fixes issue #101,[],"Fixes issue #101: Sharing videos from youtube app to xbmcremote stopped working because
Intent.EXTRA_TEXT contained more than just the url and the url itself
changed to a short version (youtu.be/videoID)
"
freezy/android-xbmcremote,open,Socket Timeout errors,[],"https://code.google.com/p/android-xbmcremote/issues/detail?id=618

Bug still exists in latest XBMC Remote 1.0.9 from Play store.
"
freezy/android-xbmcremote,open,NullPointerException,[],"install raspbmc
do not set up music
connect with remote and click Music
popup ""NullPointerException""
"
freezy/android-xbmcremote,open,Can no longer play from YouTube,[],"Trying to share a video from YouTube to XBMC remote results in just a blank screen, back is possible to return to YouTube. No confirmation to open link.

Possibly due to YouTube's share content change in one of the updates as sharing from a YouTube page on browser still works.  
"
freezy/android-xbmcremote,open,Add a mark as watched/unwatched option to longpress dialogue,[],"Both the Movies and Shows don't have an option to manually set them as watched/unwatched. I would really be able to do so for my own overview
"
freezy/android-xbmcremote,open,"Update link to ""Developers Website"" in Google Play listing",[],"In the current listing ""Visit Developers Website"" links to the Google Code project instead of this Github one. Since there isn't a link to this project on the Google Code project as well, it has a serious impact on issues bieng reported and developers contributing, as they cannot find the proper project.

As this is a very easy fix with a lot of potential gain, I hope this gets a high priority from the owners of the Google Play Developer account and/or those of the Google Code repository. 
"
freezy/android-xbmcremote,closed,Fixed remote bug (screen rotate = no keyup event),[],"The button_up event was not being sent to XBMC after a screen rotate in the remote.
Also, the timer for setting_send_repeats mode was not canceled after a
screen rotate, causing it to run indefinitely. Fixed by remembering the
current button being pressed, cleaning up the KeyPressTask, and sending
button_up events where appropriate.

Fixes issue #97 
"
freezy/android-xbmcremote,closed,Scrolling stuck after screen rotate,[],"I submitted this bug to the original repository 3.5 years ago and it was never resolved.

https://code.google.com/p/android-xbmcremote/issues/detail?id=413

The issue is that because the activity is recreated when the screen rotates, the ACTION_UP event is never sent and therefore the timrKeyPress in RemoteController.java is never canceled.

I will be fixing this and issuing a pull request momentarily.
"
freezy/android-xbmcremote,open,More language,[],"I could translate apps to French but the preferences XML need to be rewrite to include r.sting instead of direct text values.

Will make a push request with code when working in my eclipse.
"
freezy/android-xbmcremote,open,SMS Display on TV shows wrong contact image,[],"Love the display of sms texts on the tv, however it seems to always show my own contact picture, rather than the picture of the sender of the text.
"
freezy/android-xbmcremote,closed,Allow using widget on the lock screen,[],
freezy/android-xbmcremote,closed,Fix building with ant,[],"Also add the lib-src directory to the sources to compile.
"
freezy/android-xbmcremote,open,stops running,[],"After installed getting message program stopped.Not sure what to do now
"
freezy/android-xbmcremote,open,"Fix ""Shutdown"" not working & fix NPE in Pictures",[],"Shutdown uses the EventServer and this brings up the shutdown
dialog where you need to choose what to do. This behaviour is not
inline with what we experience on iOS client and makes it hard to
shut down a system from remote as the selection might end up in
dialog close or the first item. Convert the call to JSON-RPC
instead. This will gracefully shutdown the XBMC server and power
off the system
"
freezy/android-xbmcremote,closed,Now playing: Handle duration == -1 in remaining time,[],"Here unknown durations are given as -1, so handle that
when formatting the remaining time.
"
freezy/android-xbmcremote,closed,Work/fix empty lists/sections,[],"Fixes several cases where listing an empty section (No movies, tv episodes, empty playlists etc.) triggers NullPointerExceptions.
"
freezy/android-xbmcremote,closed,Avoid NullPointerExceptions in empty sections,[],"When a section is empty, the result list is omitted from the Json but
the Json result still contains a ""limits"" element. Thus checking for
result.size() == 0 is not robust enough. So check for the actual list
element to exist.
"
freezy/android-xbmcremote,open,Adding songs to playlist queue,[],"When the ""Action on selection"" setting is set to ""Queue Song"", XBMC interrupts the currently playing song to play the new selection.
"
freezy/android-xbmcremote,open,Working PAUSEPLAY/FORWARD/REVERSE hardware keys integration ,[],"(Tested with pebble) on sdk version 8 and above, still runs on 3+. Yo dawg I heard you like remote controls so I added remote control hooks for your remote control so you can control it remotely.
"
freezy/android-xbmcremote,open,rotating phone while in folders shows no media found,[],"If you go to watch your movies, then files (bottom right), go into a folder then rotate the phone, the result shows ""no media found"" and does not return when you rotate the phone back the way it was. 

This works in both starting rotation positions
12.2 stable ( from android store)
git: 20130502-32b1a5e
"
freezy/android-xbmcremote,open,Invalid params on TV shows,[],"Hi
since a few days I have problem with the app when I try to go in the section TV shows I have an error message : ""Invalid params"". Same when I want to dowload posters.
I actually have a folder declarded as category tv shows and it works nice in xbmc. I use the remote control to navigate and it was better with the direct link in the app.
The app worked fine at start but I don't know why not now. I have take screenshot of the problem :
![screenshot_2013-06-30-21-27-38](https://f.cloud.github.com/assets/4896006/727904/a539f7f6-e1cb-11e2-9e53-314af474e8fc.png)
![screenshot_2013-06-30-21-24-02](https://f.cloud.github.com/assets/4896006/727905/b289d296-e1cb-11e2-98eb-85df1c8172a2.png)

Sorry for my engrish ^^
"
freezy/android-xbmcremote,open,Update UI to be more holo-like,[],"Hi, 

first of all I'd like to thank you for that cool remote. What's bugging me a little is the old - school UI. Is anyone currently working on that or do you need help? Maybe I'm the only one who thinks that the UI needs some polish... 

I could help you developing a new UI. :) 
"
