repository,state,title,label,body
ParanoidAndroid/android_packages_apps_ParanoidWallpapers,open,app_name in English,[],
ParanoidAndroid/android_packages_apps_ParanoidWallpapers,closed,Update strings.xml,[],
ParanoidAndroid/android_packages_apps_ParanoidWallpapers,closed,Create strings.xml,[],"The superb Dutch Language
"
ParanoidAndroid/android_packages_apps_ParanoidWallpapers,closed,Arabic translation string,[],
ParanoidAndroid/android_packages_apps_ParanoidWallpapers,closed,Create string.xml,[],"complete polish translation
"
ParanoidAndroid/android_packages_apps_ParanoidWallpapers,closed,Add Russian translation,[],
ParanoidAndroid/android_packages_apps_ParanoidWallpapers,closed,Add arrays.xml,[],
ParanoidAndroid/android_packages_apps_ParanoidWallpapers,closed,Create PT-BR translations,[],
ParanoidAndroid/android_packages_apps_ParanoidWallpapers,closed,ParanoidWallpapers french translation,[],"ROM will get better with full translations
"
ParanoidAndroid/android_packages_apps_ParanoidWallpapers,closed,Add Turkish string,[],
ParanoidAndroid/android_packages_apps_ParanoidWallpapers,closed,Added catalan strings,[],
ParanoidAndroid/android_packages_apps_ParanoidWallpapers,closed,Fix for ADT 22,[],"notifyDataSetChanged() needs to be called now.
"
ParanoidAndroid/android_packages_apps_ParanoidWallpapers,open,crashs everytime here,[],
