repository,state,title,label,body
marunjar/anewjkuapp,open,Support Moodle calendar,[],"What do you think of the idea of adding support for the moodle calendar?
Since the DSGVO somehow enforces the professors to use moodle instead of the institute's own solution, its calendar contains a quite useful list of assignment deadlines.
I already managed to get the ical from moodle without any user interaction, but I have no idea how to include it into this app...

[MoodleCalendar.java](https://github.com/fsteff/anewjkuapp/blob/56e0f90faabe0ac89cef38e4dda3cc5f6d728a84/aNewJKUApp/src/main/java/org/voidsink/anewjkuapp/moodle/MoodleCalendar.java)"
marunjar/anewjkuapp,closed,Dev,[],"- fix calendar permissions
- fix loading from kusss
- new map"
marunjar/anewjkuapp,closed,Login is not stored on phone,[],"Login with wrong student number/password returns an error as expected.
When I enter the correct data, I come to the normal screen. But it's not possible to view any data at all. Furthermore the header says: ""please login"", like no login was added.

With ```adb logcat *:D``` I found some interesting line:

```
03-01 17:11:02.631 21829 21829 I KusssAuthenticatorActivity: finish login to 15*****
03-01 17:11:02.637  2264  3165 W AccountManagerService: insertAccountIntoDatabase: Account {name=15*****, type=org.voidsink.anewjkuapp.account}, skipping since the account already exists
```

But when I looked into the account section of the Settings, ```JKU App``` does not show any accounts added for this app. And the app itself also does not find any accounts to use because the login window is showed at the start.

### System informations

Device: Xperia Z
Android-Version: 7.1.2
LineageOS-Version: 14.1-20190224-NIGHTLY-yuga
LineageOS API-Level: Guava (7)
Current Status of security updates: 5. February 2018
Kernel Version: 3.4.113
SELinux: Strict
Encryption: Yes
"
marunjar/anewjkuapp,closed,merge dev branch,[],"fix event loading
get missing lvas from assessments"
marunjar/anewjkuapp,closed,fix event import,[],import events only for current term
marunjar/anewjkuapp,closed,merge dev branch,[],"improved calendar event handling
new campus map
updated mensa parser, should work again for some time
add button to refresh menu
add link to menu on mensa homepage"
marunjar/anewjkuapp,closed,merge dev branch,[],"ready for Android O
new campus map
lots of small fixes
"
marunjar/anewjkuapp,open,0.45.4 tag doesn't include version bump,[],"This means that f-droid can't automatically pick up the upgrade. See https://gitlab.com/fdroid/fdroiddata/issues/912

Can you change the tag to point to https://github.com/marunjar/anewjkuapp/commit/ba10951656262a590a543796558927c35298b0fb intead?"
marunjar/anewjkuapp,closed,merge Dev,[],"improved networking
improved error handling
updated campus map"
marunjar/anewjkuapp,closed,Dev,[],"merge dev branch

updated map
updated libraries
fixed lint warnings/errors
cleanup"
marunjar/anewjkuapp,closed,Timetable is deleted on refresh,[],"Every time the app is closed and re-opened or the timetable is being refreshed otherwise, the whole thing (including the calendar) gets deleted. 
If the app is closed while re-loading (which sometimes takes up to a few minutes) the data from kusss, the calendar stays empty. 
This problem exists since the update in january (i think). 

Also, if one double-tabs the refresh button, two entries per lva/lessonappear. 

Better: incremental update or replace when loading is finished

Edit: It appears this problem exists only on some devices - mine is a Huawei P9lite, running Android 6.0.1"
marunjar/anewjkuapp,closed,Dev,[],"updated libraries
fix menu layout"
marunjar/anewjkuapp,closed,merge Dev,[],"update libraries
fix calendar and event handling"
