repository,state,title,label,body
thialfihar/apg,open,removed black border around icon,[],
thialfihar/apg,closed,Patch 1,[],
thialfihar/apg,closed,German translations added,[],"Some German translations where missing in the help section. I translated them.
"
thialfihar/apg,closed,Minor change of german language,[],"Zertifizierungen klingt meiner Meinung nach deutlich besser als Zertifikationen und ist auch deutlich gebräuchlicher.
"
thialfihar/apg,closed,Spanish improvements,[],
thialfihar/apg,closed,Add initial Catalan translation.,[],"Submitting already done work ini legacy APG in case someone wants to use it.
"
thialfihar/apg,closed,basque translation,[],"Hello,

This is the basque translation of apg.
"
thialfihar/apg,closed,Correction to Spanish string,[],
thialfihar/apg,closed,Fix some copy paste typos.,[],
thialfihar/apg,closed,Added Russian,[],
thialfihar/apg,closed,Correct Gmail spelling everywhere.,[],
thialfihar/apg,closed,Spanish improvements,[],
thialfihar/apg,closed,Send encrypted messages to other messaging services,[],"I have changed one line of code so encrypted messages
can be sent to other messaging apps like Hangouts, WhatsApp,
SMS etc...
"
thialfihar/apg,closed,PGPSignatureList before PGPLiteralData,[],"There is a problem decrypting messages sent from a blackberry phone with PGP Universal Server.

There is no error or exception, but the message always comes out blank. Messages sent from a blackberry have a PGPSignatureList block before PGPLiteralData and because of this the execution never reaches PGPLiteralData code block to read the actual message text.

This is a quick fix that skips the signature block. Its probably not a proper fix, but at least I can see the message text now.
"
