repository,state,title,label,body
alaskalinuxuser/app_justnotes,closed,"Cannot export: ""you do not have permission to create a directory""",[],"When I tap on Menu > ""Export notes""
I get two toasts in quick succession:

- ""you do not have permission to create a directory""
- ""Error: please check permissions...""

and nothing is exported anywhere. I looked at the app permissions but there is no option for file access, only clipboard access. This is Just Notes 1.9 on Lineage OS 14 on a Moto G 4G."
alaskalinuxuser/app_justnotes,open,FAQ,"[Label(name=""question"")]",Hello there! I see you've a awesome project here and I'd like to request for you to grant me an opportunity to be part of this awesome project although I'm not a developer but I could add to it by helping with the copyright like writing Frequently Asked Questions(FAQ).. Looking forward to hear from you....
alaskalinuxuser/app_justnotes,closed,Can't scroll till the bottom (keyboard) ,"[Label(name=""bug"")]","When the keyboard app is opened (starting to type/selecting the input field), it is not recognized. The scrolling range isn't adapted to the smaller field of view. I can't see the end of the text."
alaskalinuxuser/app_justnotes,closed,app crash,"[Label(name=""bug"")]","step to reproduce:
create new note (""plus"" button) -> write something -> rotate device (from album to portrait orientation or in the opposite direction) -> press save button -> crash.

This happens on AOSP Extended (always) and LineageOS (AFAIR, not always)."
alaskalinuxuser/app_justnotes,closed,Update README.md,[],"Hi,

This small and useless PR adds a button to get your app on F-Droid and Google Play 👍 "
alaskalinuxuser/app_justnotes,open,bug found when copiyng more than thausand word,"[Label(name=""bug"")]","
#### Expected behavior
this justnotes app should be able to copy a word with a number of words over a thousand words. because this application has a feature to copy
#### Actual behavior
when I try to copy a note that contains more than 1000 sentence copy button that should be in use even lost.
#### How to reproduce
-write any sentence that contains more than a thousand words
- then try to copy the word word and print button will be lost.
* Operating system: android lolipop idos 5.1 
device; advan s5e nxt
-app version; justnotes app version 1.9

#### Recording Of The Bug
https://www.youtube.com/watch?v=xVWaFyAUiu4

note; bugs only found when copying more than a thousand words
    

<br /><hr/><em>Posted on <a href=""https://utopian.io/utopian-io/@muhammadarif/bug-found-when-copiyng-more-than-thausand-word"">Utopian.io -  Rewarding Open Source Contributors</a></em><hr/>"
alaskalinuxuser/app_justnotes,closed,Bug in justnotes app,[],"
#### Expected behavior
After giving permission to the app. When you try to import a file you should see only pop up where it says  if you have renamed the file ""yes and no""(i have/haven't done that) 

#### Actual behavior
Apart from this pop up message there is a bug with it when you press the import button. ""Exported file!"" flashes just below the pop up message on your screen. 

#### How to reproduce
Launch the app. 
Write a note. 
Now press the options menu. 
Click on the import notes button. 
The bug appears. 

* App: Justnotes v1. 9
* Operating system: Android Nought 
* Device: Motorola moto g5 plus. 

#### Recording Of The Bug
![20180214_020946.gif](https://res.cloudinary.com/hpiynhbhq/image/upload/v1518555065/tdolc6qobnqs5lxcss3n.gif)

    

<br /><hr/><em>Posted on <a href=""https://utopian.io/utopian-io/@earlpayton/bug-in-justnotes-app"">Utopian.io -  Rewarding Open Source Contributors</a></em><hr/>"
alaskalinuxuser/app_justnotes,open,Justnotes app exports just before import.,"[Label(name=""bug"")]","
#### Expected behavior
After giving permission to the app. When you try to import a file you should see only pop up where it says  if you have renamed the file ""yes and no""(i have/haven't done that) 

#### Actual behavior
Apart from this pop up message there is a bug with it when you press the import button. ""Exported file!"" flashes just below the pop up message on your screen. 

#### How to reproduce
Launch the app. 
Write a note. 
Now press the options menu. 
Click on the import notes button. 
The bug appears. 

* App: Justnotes v1. 9
* Operating system: Android Nought 
* Device: Motorola moto g5 plus. 

#### Recording Of The Bug
![20180214_020946.gif](https://res.cloudinary.com/hpiynhbhq/image/upload/v1518555065/tdolc6qobnqs5lxcss3n.gif)

    

<br /><hr/><em>Posted on <a href=""https://utopian.io/utopian-io/@earlpayton/bug-in-justnotes-app"">Utopian.io -  Rewarding Open Source Contributors</a></em><hr/>"
alaskalinuxuser/app_justnotes,open,arrange items inside lists by dragging?,"[Label(name=""enhancement"")]",this is a feature request. it would be really useful to be able to re-arrange items inside lists by dragging up and down
alaskalinuxuser/app_justnotes,closed,japanese translation,[],Hello!
