repository,state,title,label,body
jtmcn/archwiki-viewer,closed,Added Spanish translation,[],
jtmcn/archwiki-viewer,closed,Added Spanish translation,[],
jtmcn/archwiki-viewer,open,Updated zh-rCN (Chinese (China)) translation,[],"I have translated your application into `zh-rCN` (*Chinese (China)*). Here is the xml:
<details><summary>app/src/main/res/values/array.xml</summary>

```xml

```

</details>
<details><summary>app/src/main/res/values/strings.xml</summary>

```xml
<?xml version=""1.0"" encoding=""utf-8""?>
<resources>
    <string name=""app_name"">ArchWiki 查看器</string>
    <string name=""menu_settings"">选项</string>
    <string name=""share"">分享链接</string>
    <string name=""search"">搜索</string>
    <string name=""exit"">退出</string>
    <string name=""text_size_preference"">文字大小</string>
    <string name=""refresh"">刷新</string>
</resources>

```

</details>


---

*Translation made with [Stringlate](https://github.com/LonamiWebs/Stringlate).*"
jtmcn/archwiki-viewer,closed,Privacy Concern,[],"I have noticed recently that if I browse the ArchWiki on my device using a browser (so not using archwiki-viewer), I get an additional android-like icon in the browser's address bar which, when clicked, opens archwiki-viewer.

I take it this is due to code in archwiki-viewer as opposed to code in the browser?

And it ""looks"" like browser connections are being tracked by archwiki-viewer or there is some trigger when visiting the the [wiki url](https://wiki.archlinux.org/).with the browser.

This raises a security/privacy concern.

Can you please explain what is going on ""behind the scenes"" and what is the purpose of this ""feature""?  If one is already on the ArchWiki page in the browser, why would one need to open archwiki-viewer then?

It seems the value of archwiki-viewer is to be able to browse the wiki quickly without having the full browser open, etc.

Thanks.


"
jtmcn/archwiki-viewer,open,Current version not availanle in F-Droid store,[],"Dear team,

when I take a look in the play store the current version is 1.0.11, in tbe F-Droid store the current version is 1.0.12. What's the reason for this gap? Is there a bug in thr build process? 

Please fix this.

Kind Regards,

Krawei"
jtmcn/archwiki-viewer,closed,Bump verions for small release,[],Also added small check to avoid NPE
jtmcn/archwiki-viewer,closed,French translation,[],"This small PR adds the french translation

You can ping me in the future if there are any new keys to translate ;)

Thanks for this app :)"
jtmcn/archwiki-viewer,open,"Header bar hide/unhide ""exaggerates"" page scroll.",[],"This is a pretty common thing in apps that hide the header on scroll. If it's easier to implement, perhaps an option to always show the header?

If you're not sure what I'm referring to, very slowly scroll at a uniform speed, alternating up and down; you'll see the scroll accelerate when the header moves."
jtmcn/archwiki-viewer,closed,update ger,[],Can you squash the commits?
jtmcn/archwiki-viewer,closed,Use official wikipedia client?,[],"<!-- Remove any sections that aren't applicable.
Replace the empty checkboxes [ ] below with checked ones [x] accordingly -->

I have:
- [x] searched open and closed issues for duplicates
- [x] provided a reproducible result if applicable

----------------------------------------

Is it possible to you the official wikipedia app and change the app name and urls to arch wiki?"
jtmcn/archwiki-viewer,closed,Add GET IT on F-Droid badge,[],"Please, add to the README.md file a badge 'GET IT on F-Droid' badge with link to this app on F-Droid app store."
jtmcn/archwiki-viewer,closed,v1.0.11 missing in F-Droid-Store,[],"When I take a look in the playstore I notice, that the app's current version is v1.0.11.

In the F-Droid store the current version is v1.0. 7. There's no ""unstable""-marked version in the F-Droid store so far.

What's the reason for the difference on the versions? Is there a failure in build process?

Kind Regards,

Krawei"
jtmcn/archwiki-viewer,closed,Update master to latest beta,[],
jtmcn/archwiki-viewer,closed,Update playstore pictures,[],
jtmcn/archwiki-viewer,closed,"Update beta with bug fixes, refreshing pages, and progress bar",[],
