repository,state,title,label,body
VladThodo/behe-keyboard,open,T9 layout support,[],Would be nice to have T9
VladThodo/behe-keyboard,open,Updated tr (Turkish) translation,[],Commit made via [Stringlate](https://lonamiwebs.github.io/stringlate/)
VladThodo/behe-keyboard,open,Updated tr (Turkish) translation,[],Commit made via [Stringlate](https://lonamiwebs.github.io/stringlate/)
VladThodo/behe-keyboard,open,Empty space in lower portion of keyoard spoils consistency,"[Label(name=""bug"")]","When numbers are enabled on the standard layout of the keyboard and the user switches to numbers/symbols via the 123 key, there is some space found below and the row containing the space bar is shifted up by one. The same keys being found in different positions in different parts of the same layout leads to inconsistency. It could be avoided by making up for the missing row with some other special characters.

![screenshot_2018-06-04-23-31-58](https://user-images.githubusercontent.com/12448084/40933617-a3a1e29a-684f-11e8-8574-d2facddc37c1.png)

"
VladThodo/behe-keyboard,open,Remove autocorrect for terminal apps,"[Label(name=""bug"")]",I tried using this in a terminal app but it autocorrected commands and acted strangely. It also replaced words with whitespace.
VladThodo/behe-keyboard,open,Tag for 1.1.3,[],"...is missing, hence the F-Droid build is stuck at 1.1.2."
VladThodo/behe-keyboard,open,Work on text swiping,[],Add Gboard/Swype-like keyboard swiping please.
VladThodo/behe-keyboard,open,Possible solution to app crash with autocorrect on,[],"I am on Android 6.0.1
Moto G4
BeHe 1.1.2 from F-Droid

Text prediction crashes BeHe keyboard. 

Text prediction does not crash my keyboard as long as I have gboard installed.

So I wonder if there is a dependency that gboard might rectify. 

Edit: meant to say text prediction not autocorrection.

"
VladThodo/behe-keyboard,closed,Number keys on standard layout remains the same even after disenabling it,[],"#### Expected behavior
The number keys on standard layout, ought not to show again after disenabling it on the application settings.

#### Actual Behavior 
Number keys on standard layout, still shows even after disenabling it, after click the option menu on the keyboard.

#### How to reproduce
- Download and install the application [here](https://play.google.com/store/apps/details?id=com.vlath.keyboard)
- Lunch the application 
- Click on enable, enable BeHe keyboard, then click ok
- Press back
- Click on select 
- Choose BeHe Keyboard 
- Click on settings, disable Number keys on standard layout
- Press back
- On the test box, type some words
- Click on the option in the keyboard 
- Click on it again

And the number on keys comes back automatically. 


<hr>

Application version: 1.1.3
Operating system: Android v7.0

#### Recording Of The Bug
https://youtu.be/ZQ9nGQrL2PE"
VladThodo/behe-keyboard,open,Predictions not visible in the keyboard,[],"#### Expected behavior<br>
I should be able to view and select the predictions for the word on enabling the predictions.<br>
#### Actual behavior<br>
But the predictions are invisible on the keyboard.<br>
#### How to reproduce<br>
1. Install the app from fdroid.<br>
2. Launch the app and enable the keyboard from your input settings.<br>
3. Go to settings and enable the predictions <br>
4. Try typing some words on test keyboard. The predictions are invisible.<br>
* App Version: 1.1.2<br>
* Device: Samsung Galaxy J5<br>
* Operating System: Android 6.0.1<br>
#### Recording Of The Bug<br>
https://youtu.be/mPH_oRizSTM"
