repository,state,title,label,body
abrensch/brouter,open,Few fixes to travel time computation,[],"Hi,

Here are a few improvements for travel time computation:

* Takes `costfactor` into account for switching to walking mode.
* Better energy computation in hiking mode.
* Reword the `bikerMass` to make it clearer for different modes.

Thanks!"
abrensch/brouter,closed,Fix travel time computation,[],"Hi Arndt,

Thanks for the merge! I saw you pushed an extra commit (https://github.com/abrensch/brouter/commit/6e6c4a18b21db90e9106bafe0be03fcb9b51d4fc), which is totally fine for me. There is just one slight issue, which is fixed in this PR, in that the `computeKinematic` method was not called :/

Best,"
abrensch/brouter,closed,Travel time computation for bikes and foot,[],"Hi,

Here is a first implementation of the basic model (Tobler's hiking function for foot, constant power for bike) from #6.

This is still a WIP:
* It does not work yet at the moment, not exactly sure why.
* The code could probably be improved and constants moved to the profiles.

Best,"
abrensch/brouter,closed,Isochrone,[],"Add Isochrones to BRouter. Obtains areas of reachability from given locations.

How it works: https://maps.openrouteservice.org/
Git: https://github.com/GIScience/openrouteservice"
abrensch/brouter,open,Improve the trekking profile,[],"Hi,

Here is an attempt to improve the trekking profile while modifying it as less as possible. The idea was to really keep the way it is working at the moment but slightly improve some routes using all the available tags. This profile requires #122 first to work fully.

I'll comment in the diff to better explain what the differences are and why I introduced these.

I tried to find minimal tests cases for the features I wanted to improve, a bit like what was thought of in #116. My tests are written in a iPython notebook available [in this repo](https://github.com/Phyks/BrouterTesting) (please feel free to reuse / merge / write PR on this one if you think that's something worth it).

A static copy of my tests cases with detailed descriptions of the expected behaviors is available at https://pub.phyks.me/tmp/BrouterTesting.html (blue is my profile, grey is the original trekking profile, green is what I am likely to do as a human). The tests are, of course, biased towards the areas I am familiar with, but cover a bit of cities / cycleroutes / countries.

Best,

EDIT: The logic described in this profile is probably a bit lengthy and could likely be written in a shorter way, but I think it was easier to read this way, at least for a first review."
abrensch/brouter,closed,Update `lookups.dat`,[],"Hi,

Here is a PR to update the `lookups.dat` with some extra values.

* Add information about the `busway` in opposite direction (see #119). This is required to properly handle [this kind of ways](https://www.openstreetmap.org/way/27773625) for instance (and there is an issue as well for this specific way, but I cannot find it back).
* Add cycleway:left/right:oneway (see #98)
* Add zone:maxspeed tags for traffic calming, the goal here is to penalize the ways without cycling infrastructure based on the average speed (typically, in a city, you'd rather take the slow traffic side ways rather than the large streets with a lot of traffic).

It works for me, hope everything is fine for it to be usable by everyone. Let me know if something is wrong.

Thanks!"
abrensch/brouter,closed,Better process_pbf_planet.sh script,[],"Hi again,

Thanks for merging https://github.com/abrensch/brouter/pull/120! I think I got the issue and the `jar` command to build the `pbfparser.jar` was not working actually I think. That's why it was not working with pbf files I think.

I updated the scripts a bit to ease building segments:

* I defined variables in the script to help change the locations more easily for users.
* I added a doc about the SRTM data sources and which files to use.
* I fixed a few typos (STRM vs SRTM).

The script should be working the same way, assuming it is running from the `misc/scripts/mapcreation` folder.

I tested it on a pbf geographical extract from Geofabrik and it works very well except for a few questions I have left:

1. I don't get the `car-traffic_analysis.brf` lines. What are they for (are they actually generating some output or just here for debugging)? It's using coordinates which are outside my geographical extract, so it's failing at the moment :)

2. Why is the `-DuseDenseMaps=true btools.mapcreator.WayLinker unodes55 waytiles55 bordernodes.dat restrictions.dat ../lookups.dat ../all.brf segments rd5` duplicated, once before the car traffic analysis and once after? (is it expected or is it a bad copy/paste or some other error)

Thanks!"
abrensch/brouter,closed,Complete doc for map creation,[],"Hi,

I was having a look at map creation and the best way to create segments on one's own and felt like this part could use a bit more documentation (especially the `pbfparser` building process which took me some time to figure out).

I reworked a bit the `pbfparser` README with a bit more detailed instructions.

Also, there seems to be a missing argument to `OsmCutter` in the `process_pbf_planet.sh` script.

That being said, the `OsmCutter` line in this script works perfectly fine for me with `bzip -dc *.osm.b2 | java …` but it does not extract any ways (nor gives any error) when I provide it with a pbf extract from https://download.geofabrik.de/. Am I missing something in the `pbfparser` build process?

Best,"
abrensch/brouter,closed,lookups.dat request: busway tag,[],"Hi,

It seems that BRouter is not currently considering `busway` tag in OSM data. Then, a route such as http://www.brouter.de/brouter-web/#map=18/48.82360/2.32775/OpenStreetMap&lonlats=2.32672,48.82308|2.327599,48.823999 is highly penalized.

The configuration on the ground is a shared busway but the busway is contraflow (`busway=opposite_lane`). As BRouter does not consider `busway` tag, it is not possible to edit the `onewaypenalty` to account for this case.

What about adding `busway=opposite_lane` to the `lookups.dat`?

Thanks!"
abrensch/brouter,closed,cycleway:left|right=none leads to a ParseException,[],"Hi,

I'm having a `ParseException` when using `cycleway:left=none` (or `cycleway:right=none` in a profile):

> RouteServer got exception (will continue): java.lang.IllegalArgumentException: ParseException at line 107: unknown lookup value: none
java.lang.IllegalArgumentException: ParseException at line 107: unknown lookup value: none

I might be missing something but it seems this is indeed included in the [lookups.dat](https://github.com/abrensch/brouter/blob/master/misc/profiles2/lookups.dat#L320) file.

Thanks!"
abrensch/brouter,open,WIP - Allow custom nogo weights,[],"Hi,

This PR should allow user to specify custom weights/penalty for each nogo circle. The motivation behind this is that so far the nogos are an all or nothing feature whereas they could potentially offer more control to the user by slightly biasing some areas.

Typically, in France, a lot of cities provide OpenData about road works (a full list of the files I found so far is available at https://framagit.org/phyks/cyclassist/blob/34e0fec0165d3633e1d254f360fcd8c2cdfac78c/scripts/opendata/works.py#L304-389). Some road works might be a complete road closure (nogo as currently implemented) while other might just mean having to deal with some extra pain (only some lanes closed, traffic jam expected etc). The latter ones should be avoided if possible, but not at all cost.

I tried to take care of making it retro-compatible. Please note however that this is my first contact with BRouter code (and Java!) so it might be far from being perfect. If you think this is worth a merge, I'll gladly take any review and fix it to make it mergeable!

The code was tested with a modified version of brouter-web, so it should be working fine.

Thanks!"
