repository,state,title,label,body
notriddle/budget-envelopes,closed,Added Dutch translation,[],:)
notriddle/budget-envelopes,open,"java.lang.NumberFormatException: Invalid long: ""56667503683360224884""",[],"No check of `parseLong` when the input represents a very large value.
```
// java.lang.NumberFormatException: Invalid long: ""56667503683360224884""
//  at java.lang.Long.invalidLong(Long.java:124)
//  at java.lang.Long.parse(Long.java:366)
//  at java.lang.Long.parseLong(Long.java:353)
//  at java.lang.Long.parseLong(Long.java:321)
//  at com.notriddle.budget.EditMoney.getCents(EditMoney.java:51)
//  at com.notriddle.budget.TransferFragment.isOk(TransferFragment.java:86)
//  at com.notriddle.budget.OkFragment.refreshOkButton(OkFragment.java:123)
//  at com.notriddle.budget.TransferFragment.afterTextChanged(TransferFragment.java:99)
//  at android.widget.TextView.sendAfterTextChanged(TextView.java:8004)
//  at android.widget.TextView$ChangeWatcher.afterTextChanged(TextView.java:10165)
//  at android.text.SpannableStringBuilder.sendAfterTextChanged(SpannableStringBuilder.java:1043)
//  at android.text.SpannableStringBuilder.replace(SpannableStringBuilder.java:560)
//  at android.text.SpannableStringBuilder.replace(SpannableStringBuilder.java:492)
//  at android.text.SpannableStringBuilder.replace(SpannableStringBuilder.java:491)
//  at android.text.method.NumberKeyListener.onKeyDown(NumberKeyListener.java:121)
//  at android.widget.TextView.doKeyDown(TextView.java:6095)
//  at android.widget.TextView.onKeyDown(TextView.java:5908)
//  at android.view.KeyEvent.dispatch(KeyEvent.java:2640)
//  at android.view.View.dispatchKeyEvent(View.java:9240)
//  at android.view.ViewGroup.dispatchKeyEvent(ViewGroup.java:1640)
//  at android.view.ViewGroup.dispatchKeyEvent(ViewGroup.java:1640)
//  at android.view.ViewGroup.dispatchKeyEvent(ViewGroup.java:1640)
//  at android.view.ViewGroup.dispatchKeyEvent(ViewGroup.java:1640)
//  at android.view.ViewGroup.dispatchKeyEvent(ViewGroup.java:1640)
//  at android.view.ViewGroup.dispatchKeyEvent(ViewGroup.java:1640)
//  at android.view.ViewGroup.dispatchKeyEvent(ViewGroup.java:1640)
//  at android.view.ViewGroup.dispatchKeyEvent(ViewGroup.java:1640)
//  at com.android.internal.policy.PhoneWindow$DecorView.superDispatchKeyEvent(PhoneWindow.java:2395)
//  at com.android.internal.policy.PhoneWindow.superDispatchKeyEvent(PhoneWindow.java:1727)
//  at android.app.Dialog.dispatchKeyEvent(Dialog.java:753)
//  at com.android.internal.policy.PhoneWindow$DecorView.dispatchKeyEvent(PhoneWindow.java:2310)
//  at android.view.ViewRootImpl$ViewPostImeInputStage.processKeyEvent(ViewRootImpl.java:4127)
//  at android.view.ViewRootImpl$ViewPostImeInputStage.onProcess(ViewRootImpl.java:4089)
//  at android.view.ViewRootImpl$InputStage.deliver(ViewRootImpl.java:3642)
//  at android.view.ViewRootImpl$InputStage.onDeliverToNext(ViewRootImpl.java:3695)
//  at android.view.ViewRootImpl$InputStage.forward(ViewRootImpl.java:3661)
//  at android.view.ViewRootImpl$AsyncInputStage.forward(ViewRootImpl.java:3787)
//  at android.view.ViewRootImpl$InputStage.apply(ViewRootImpl.java:3669)
//  at android.view.ViewRootImpl$AsyncInputStage.apply(ViewRootImpl.java:3844)
//  at android.view.ViewRootImpl$InputStage.deliver(ViewRootImpl.java:3642)
//  at android.view.ViewRootImpl$InputStage.onDeliverToNext(ViewRootImpl.java:3695)
//  at android.view.ViewRootImpl$InputStage.forward(ViewRootImpl.java:3661)
//  at android.view.ViewRootImpl$InputStage.apply(ViewRootImpl.java:3669)
//  at android.view.ViewRootImpl$InputStage.deliver(ViewRootImpl.java:3642)
//  at android.view.ViewRootImpl$InputStage.onDeliverToNext(ViewRootImpl.java:3695)
//  at android.view.ViewRootImpl$InputStage.forward(ViewRootImpl.java:3661)
//  at android.view.ViewRootImpl$AsyncInputStage.forward(ViewRootImpl.java:3820)
//  at android.view.ViewRootImpl$ImeInputStage.onFinishedInputEvent(ViewRootImpl.java:3981)
//  at android.view.inputmethod.InputMethodManager$PendingEvent.run(InputMethodManager.java:2253)
//  at android.view.inputmethod.InputMethodManager.invokeFinishedInputEventCallback(InputMethodManager.java:1874)
//  at android.view.inputmethod.InputMethodManager.finishedInputEvent(InputMethodManager.java:1865)
//  at android.view.inputmethod.InputMethodManager$ImeInputEventSender.onInputEventFinished(InputMethodManager.java:2230)
//  at android.view.InputEventSender.dispatchInputEventFinished(InputEventSender.java:141)
//  at android.os.MessageQueue.nativePollOnce(Native Method)
//  at android.os.MessageQueue.next(MessageQueue.java:323)
//  at android.os.Looper.loop(Looper.java:135)
//  at android.app.ActivityThread.main(ActivityThread.java:5417)
//  at java.lang.reflect.Method.invoke(Native Method)
//  at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:726)
//  at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:616)
```"
notriddle/budget-envelopes,open,java.lang.RuntimeException: Invalid envelope ID,[],"App crashes when rotating your phone.
To reproduce, you can follow instructions (CLICK@193) at <https://ape-report.github.io/report/report-com.notriddle.budget/com.notriddle.budget-195/>.
```
// java.lang.RuntimeException: Invalid envelope ID: 2
//  at com.notriddle.budget.EnvelopeDetailsFragment.loadEnvelopeData(EnvelopeDetailsFragment.java:262)
//  at com.notriddle.budget.EnvelopeDetailsFragment.onLoadFinished(EnvelopeDetailsFragment.java:54)
//  at android.app.LoaderManagerImpl$LoaderInfo.callOnLoadFinished(LoaderManager.java:483)
//  at android.app.LoaderManagerImpl$LoaderInfo.onLoadComplete(LoaderManager.java:451)
//  at android.content.Loader.deliverResult(Loader.java:144)
//  at android.content.AsyncTaskLoader.dispatchOnLoadComplete(AsyncTaskLoader.java:265)
//  at android.content.AsyncTaskLoader$LoadTask.onPostExecute(AsyncTaskLoader.java:92)
//  at android.os.AsyncTask.finish(AsyncTask.java:651)
//  at android.os.AsyncTask.-wrap1(AsyncTask.java)
//  at android.os.AsyncTask$InternalHandler.handleMessage(AsyncTask.java:668)
//  at android.os.Handler.dispatchMessage(Handler.java:102)
//  at android.os.Looper.loop(Looper.java:148)
//  at android.app.ActivityThread.main(ActivityThread.java:5417)
//  at java.lang.reflect.Method.invoke(Native Method)
//  at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:726)
//  at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:616)
```"
notriddle/budget-envelopes,open,Memory Leak,[],"After a double rotation of the EnvelopesActivity there is in heap memory 1 instance more of:

class com.notriddle.budget.EnvelopesFragment @ 0x12c10000
class com.notriddle.budget.EnvelopesActivity @ 0x12c9f800

It should not be like this because the rotations return to the same GUI state and the memory should stay in the same state as well. It could be a symptom of a bad management of the onCreate-onDestroy lifecycle. 

I have encountered this problem on an Android emulator running 7.1.1 os version. 




"
notriddle/budget-envelopes,open,Add notes to envelopes,[],So I can see what part of the budget I put on short term savings.
notriddle/budget-envelopes,open,Accept button doesn't work for incoming revenue,[],"LG Leon, Android 5.0.1.
Budget Envelopes 4.4

I touch up arrow, I can change name and value of the revenue, but Accept button is always in gray. I can't touch it.

I know las issue was a year ago and maybe this app is not being developed anymore, but I like to report bugs... :)"
notriddle/budget-envelopes,open,This project is still alive?!,[],"Hi all,

I've started using this app, but I think that miss some useful features.
I'm a developer and I can help this project, obviously if anyone is interested ;)

Cheers
Michele
"
notriddle/budget-envelopes,open,backing out too quickly crashes,[],
notriddle/budget-envelopes,closed,German translation added.,[],
notriddle/budget-envelopes,open,export to xml,[],"Because of changes to db, importing exports from old versions will quickly become hard to maintain.
Using xml may help with this as any unrecognised tags can simply be ignored.
Something like the `simple-framework` would do the trick.

Also, adding write to external storage permissions would be helpful allowing uses to potentially sync their data.
"
