repository,state,title,label,body
budowski/budoist,open,Sync hasn't worked since Mar 7 2015,[],"Hi there,

My Last sync was on Mar 7 2015. If I press Sync Now then I see the pop-up, 'Sync already running'. Sometimes it will start and get to 30% but then budoist will crash. I've tried rebooting the phone. I'm running the latest 1.3.2 version installed through F-Droid on Cynanogenmod 11, although the syncing had already stopped working when I ran Cyanogenmod 10. Backup function still works, so if there is a workaround I'd be happy to hear that too.
"
budowski/budoist,open,FIXED: To complete a task: Make only the checkbox clickable,[],"A small fix to one of the listed issues.
"
budowski/budoist,open,To complete a task: Make only the checkbox clickable,[],
budowski/budoist,closed,sycning failed,[],"I’m getting a “Syncing failed – The item has an invalid due date string” message.  (The task referenced has been deleted from todoist.)  
"
budowski/budoist,open,completed recurring future task is remain.,[],"Today is Oct. 28. I create a recurring task ""ev 30"" using todoist web. 
And then complete this task by web. 
Todoist web shows ""Nov 30"" but budoist is ""Tuesday"". Tuesday means Oct. 30!! What happend.
"
budowski/budoist,open,Allow log-out,[],
budowski/budoist,open,Maybe: Allow to use Budoist without registering to Todoist?,[],
budowski/budoist,closed,Google Login,[],"Checking with the Todoist developers - how to login via Google..
"
budowski/budoist,open,Remember a project's/item's collapsed state,[],"The various APIs hold this info
"
budowski/budoist,closed,Remove due date for an existing item?,[],"The update_item API doesn't seem to allow this.
Currently verifying this issue with the Todoist developers..
"
budowski/budoist,closed,Allow non-premium users to edit labels?,[],"The API seems to be working for non-premium users as well..
"
budowski/budoist,open,Intercept missed calls and suggest to add them as tasks,"[Label(name=""enhancement"")]","Similar to Astrid, any.do, etc
"
