repository,state,title,label,body
SufficientlySecure/calendar-import-export,open,Newly generated UIDs on export are made persistent,[],"I am using calendar-import-export to have a purely local calendar solution over MTP only, with 3-way-merge of diverging calendars on my desktop and on my smartphone.

An issue in Android is that newly created calendar entries carry no UID for ical by default (I am using Etar on top of Offline Calendar). As I found it, calendar-import-export creates those ad-hoc: they are in the exported ical but with no backlink to the local calendar, which means that you can never re-import those in a valid way since they will always emerge as duplicates.

One solution is in this pull request: if UIDs have to be created, store them in the originating calendar entries.

The pull request is intended as a base for discussion and surely can be improved. One e. g. could argue that changing entries by just exporting them is not what a user expects; hence you could think about a setting which allows you to turn on and off that behaviour. Or to choose between not exporting entries with no UID at all or adding them on-the-fly.

I am  looking forward to your feedback."
SufficientlySecure/calendar-import-export,open,Triggering sync with adb shell command,[],"Hello!

I am trying to script the adb push of my ics file to Android device and then trigger from Linux Bash script / ADB the upload of the ICS file to Android calendar .

So far I tried ICSDroid and failed. ICSDroid does not seem to support any intent I can send to it over ADB to trigger sync: https://forums.bitfire.at/topic/1875/triggering-sync-with-adb-shell-command

Can this be done with ""calendar-import-export""?
Manifest file does seem to mention Load Calendar intent: https://github.com/PrivacyApps/calendar-import-export/blob/185af643e2c4c73bca56c6183382ed3f54cb3b72/CalendarImportExport/src/main/AndroidManifest.xml

Is this the case? How could one trigger ICS file sync from ADB using ""calendar-import-export""?

Thank you!
"
SufficientlySecure/calendar-import-export,open,Updated de (German) translation,[],Commit made via [Stringlate](https://lonamiwebs.github.io/stringlate/)
SufficientlySecure/calendar-import-export,open,"Version 2.6 on Android 2.3.6: ""No calendars found.""",[],"I just installed this app from F-Droid, version 2.6, onto a **Motorola XT320** running **Android 2.3.6 / Gingerbread**. The phone contains **one local calendar**, operated by what appears to be Android's **stock calendar app** of that era. My objective is to extract the (significant amount of) data from this calendar onto a computer. The phone is not connected to a Google account (and never has been). The calendar has never been synced with any other device or service. The device has not been rooted.

Expected behavior: Launching `Calendar Import-Export` should allow me to export my local calendar's data.

Actual behavior: When launching `Calendar Import-Export`, I am immediately confronted with a message stating `No calendars found.` (followed by some advise on how to create one). I can only confirm with `OK`. The app exits.

What's happening here? How I can possibly work around this issue?

---

I posted a longer question detailing my quest and attempts based on other approaches on [StackExchange / Android Enthusiasts](https://android.stackexchange.com/q/203280/278060)."
SufficientlySecure/calendar-import-export,open,"2.5/Android 4.4,2: Crash at Start, no Fürther message",[],"Hi,


first of all: thank you very much for this cool and very useful app!!!

With 2.5 from F-Droid I was able to import my ICS files for a while. Since the last import - whyever - calendar-import crashes directly after app start. Unfortunately no message, only a dialogue ""calender-import has been terminated"".

Any chance to workaround this crash?


Thanks, Michael "
SufficientlySecure/calendar-import-export,open,Silent import failure,[],"Hi, I have two droids with offlincalendars and this app, trying to exchange calendar events between them by exporting, sending by email and importing on the other device.

Everything works flawlessly, the import file is selected, 105 events processed and afterwards 105 events are shown for the offline calendar.

However those 105 events never land in the offline calendar. They are not displayed in the calendar app and if I invoke calendar-import-export again it shows 0 entries for the local calendar.

Looking at adb logcat didn't show anything obvious either. The only thing remotely related that I noticed was 

I/ActivityManager( 2148): Start proc 26904:com.plusonelabs.calendar/u0a27 for broadcast com.plusonelabs.calendar/.EventAppWidgetProvider
D/droidparts-battery-widget( 2330): widgets updated
V/AlarmManager( 2148): done {29818533, *alarm*:android.intent.action.TIME_TICK} [187ms]
I/CastDatabase(25368): Saving the database
I/SQLiteCastStore(25368): Saving 0 CastNetworkInfo instances, 0 CastDeviceInfo instances, 0 paired guest mode devices.
E/SQLiteCastStore(25368): End saving paired guest mode devices
E/loadInstances(26904): widgetId:24
E/loadInstances(26904): java.io.FileNotFoundException: /data/data/com.plusonelabs.calendar/shared_prefs/instanceSettings24.json: open failed: ENOENT (No such file or directory)
E/loadInstances(26904):         at libcore.io.IoBridge.open(IoBridge.java:456)
E/loadInstances(26904):         at java.io.FileInputStream.<init>(FileInputStream.java:76)
E/loadInstances(26904):         at com.plusonelabs.calendar.prefs.SettingsStorage.getBytes(SettingsStorage.java:99)
E/loadInstances(26904):         at com.plusonelabs.calendar.prefs.SettingsStorage.utf8File2String(SettingsStorage.java:91)
E/loadInstances(26904):         at com.plusonelabs.calendar.prefs.SettingsStorage.getJSONObject(SettingsStorage.java:79)
E/loadInstances(26904):         at com.plusonelabs.calendar.prefs.SettingsStorage.loadJson(SettingsStorage.java:42)
E/loadInstances(26904):         at com.plusonelabs.calendar.prefs.InstanceSettings.ensureInstancesAreLoaded(InstanceSettings.java:103)
E/loadInstances(26904):         at com.plusonelabs.calendar.prefs.InstanceSettings.fromId(InstanceSettings.java:74)
E/loadInstances(26904):         at com.plusonelabs.calendar.EventAppWidgetProvider.onUpdate(EventAppWidgetProvider.java:51)
E/loadInstances(26904):         at android.appwidget.AppWidgetProvider.onReceive(AppWidgetProvider.java:66)
E/loadInstances(26904):         at android.app.ActivityThread.handleReceiver(ActivityThread.java:2639)
E/loadInstances(26904):         at android.app.ActivityThread.access$1700(ActivityThread.java:155)
E/loadInstances(26904):         at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1394)


I use that widget https://f-droid.org/packages/com.plusonelabs.calendar/ but this error occured before the import processing was started and might be completely unrelated.
"
SufficientlySecure/calendar-import-export,open,v2.5 ics import error,[],"Application v2.5 shows notification with error while imporing some (not all) files that were exported by it just a few seconds before.  Message has two strings:

Error:
For input string: ""T0""

Downgrade to version 2.4 make problem vanish, then it's possible to import exactly the same files, that caused errors in version 2.5."
SufficientlySecure/calendar-import-export,closed,Fix export of all day events without an end date.,[],"I don't know why this would happen, but a user managed to encounter an
issue related to this.

This fix assumes that if there's no end date, we should assume it's one
day long.

This should fix #66. Requires the user to confirm it indeed fixes it before merging."
SufficientlySecure/calendar-import-export,closed,Proposal Calender Backend instead of import/export.,[],"Hi i wonder if it would be possible to have an .isc calender Backend. Currently there is a local calender backend and this google data kraken online backend, but if we had an .ics backend the calender events would be automatically stored to and loaded from .ics files and no manual import/export would be needed?!"
SufficientlySecure/calendar-import-export,closed,"Import problems in V 2.5: 1. import stops with error message, 2. full-day events > 1 day are shrunk to a 1 full-day event",[],"Dear developers,

I've successfully used this excellent app in the past and also recommended it to a number of people.

Unfortunately, I recently stumbled upon a strange problem in the latest version:
I had exported an Offline Calendar with ""Calendar Import-Export V2.5"" on an Android 6.0.1 (CM13) phone. The export ran fine without any errors.

Then I tried to import that exported file on an Android 7.1 (LineageOS 14.1) phone with the same ""Calendar Import-Export V2.5"".

The file contains 720 entries in total and after 557 entries the import process stops and an error message pops up:

        ERROR
        Error:
        For input string: ""T0""

When I downgrade to V2.4 on the target phone, the error does not occur and the import finishes smoothly.

I tried various parameters in the settings to no avail.

However, I noticed another critical issue with both versions:
Full day events that spread across 2 or more days are only shown as a 1-day event after import. That is critical in my opinion.
Was that actually meant to be fixed in V2.5 (that's how I understood the changelog on Github)?
The issue was reported closed in #50

Thanks for a short feedback & maybe a fix :-)

Floyd"
