repository,state,title,label,body
citiususc/calendula,open,change a schedule loses the history,[],"If you change the schelude , the previous intakes will be lost.

For example, you are taking a medicine each 4 hours, but you changes it to be each 6 hours, you lost the times of the previous intakes."
citiususc/calendula,open,Do not unlock again if still in the app,"[Label(name=""enhancement"")]",When configuring a schedule the app should not ask for ask for your passcode again when youre finished
citiususc/calendula,closed,Crash: When only using the short notification and not the insistent,[],I want to use this app with only a short notification and not a repeating alarm but when I only want to use the short the app chrashes instead of reminding me (technically that is a reminder but not what I was expecting. :D)
citiususc/calendula,open,Set first reminder to first repeat day when repeat on some days option is used.,"[Label(name=""bug"")]","Creating a schedule right now sets the first reminder (Start Date) on the same day it is created as default even if ""repeat on some days"" are used.

I think the first reminder should be set to the first new day that is a valid repeat day on the ""repeat on some days"" option.
If I create a schedule on a Saturday that repeats on Mondays and Thursdays, I expect it to remind me about it only on Mondays and Thursdays and not on the Saturday it was created.
"
citiususc/calendula,closed,Add Notifications management settings (API 26+),"[Label(name=""enhancement""), Label(name=""under-review"")]",Open system notifications setting of Calendula from Notification settings.
citiususc/calendula,closed,Open system notifications settings on Android O or above,[],"Add a preference item to notifications settings in order to open device notification settings for Calendula application. Hide this new item only for Android O or above.
Thanks !"
citiususc/calendula,closed,Update Kotlin to 1.3.0,[],"Kotlin 1.3 is now stable, so update to that version.

This, however:
- Needs careful review to verify everything works as expected
- Needs an upgrade of the AS plugin that isn't offered in the usual way (have to go through Settings).

Release notes: https://blog.jetbrains.com/kotlin/2018/10/kotlin-1-3/
"
citiususc/calendula,closed,gitlab-ci: add generated DB file as an artifact,[],"Since we're generating the DB as a test, we may as well make it
available as an artifact for easier examining."
citiususc/calendula,closed,Merge PR #147 + changes,[]," * Undid unwanted style changes
 * Fixed a typo
 * Added relevant TODOs
 * Minor improvements

Closes #120 "
citiususc/calendula,closed,Merge PR #149 + changes,[],"Restored style to Kotlin Style guide

Closes #145 "
citiususc/calendula,closed,High battery usage,"[Label(name=""under-review"")]","Hi,

Yesterday I setted up new medical plan (2 medicine each 8 hours). And calendula started to drain the battery very fast.

I'm subscribed to beta tester on Google Play.

Screenshot: https://cloud.locolandia.net/s/fC3oreKCxXLRzHb"
citiususc/calendula,closed,Toggle Secure window without restarting CalendulaActivity,"[Label(name=""enhancement"")]",+ Format the file with Android studio tool.
citiususc/calendula,closed,Use HH format instead of kk to display time,[],I replaced kk by HH only for display.
citiususc/calendula,closed,Add notifications vibration settings.,"[Label(name=""enhancement"")]","Hello, i added the support of vibration customization for Android API 25 and below. I'am waiting for your feedback. Thanks"
citiususc/calendula,closed,Toggle Secure window without restarting CalendulaActivity,[],
citiususc/calendula,closed,Toggle Secure window without restarting CalendulaActivity,[],
citiususc/calendula,closed,Use HH format instead of kk to display time,[],"| | | 
|:-------------------------:|:-------------------------:|
|<img width=""1604"" alt=""screen shot before"" src=""https://user-images.githubusercontent.com/22281426/47258056-02165100-d496-11e8-985d-72f48806446e.jpg"">|  <img width=""1604"" alt=""screen shot after"" src=""https://user-images.githubusercontent.com/22281426/47258043-e0b56500-d495-11e8-818e-8d3909fa6bea.jpg"">|


"
citiususc/calendula,closed,Hide vibration and sound for notification settings on Android API 26+,[],"Starting in Android 8.0 (API level 26), all notifications must be assigned to a channel. Users can modify the settings for notification channels, including behaviors such as vibration and alert sound.

More informations in the link below:
https://developer.android.com/training/notify-user/channels"
citiususc/calendula,closed,Add notifications vibration settings.,[],"Hello, i added the support of vibration customization for Android API 25 and below. I'am waiting for your feedback. Thanks"
citiususc/calendula,closed,CONTRIBUTING: emphasize that PR's should not be targeted to master,[],
citiususc/calendula,closed,Features/export db,[],"Fixes #139 by abusing test system.
The DB is produced in the db folder, and only contains default user."
citiususc/calendula,closed,Generate an empty SQLite database during build,"[Label(name=""development"")]","THis database could be given as input to [SchemaSpy](https://sourceforge.net/projects/schemaspy/files/schemaspy/SchemaSpy%205.0.0/) in order to obtain a good documentation of calendula DB.

Even better, we could also create database similar to the production one, which makes schema dump way more useful."
citiususc/calendula,closed,Calendar view shows all hours from 00 to 23,"[Label(name=""question"")]","That's a lot of wasted space and scrolling. May I suggest to collapse empty hours, days, weeks, etc. ?

On a side note, it would be nice to have a summary view in tables, and the option of not taking some meds actively."
citiususc/calendula,closed,compilation error,"[Label(name=""development"")]","![error](https://user-images.githubusercontent.com/15707285/44857018-4fd9be80-ac88-11e8-92ad-f520c0152138.PNG)
"
citiususc/calendula,open,Confirming daily intake via notification after midnight confirms the intake for the next day,"[Label(name=""bug""), Label(name=""under-review"")]","Steps to reproduce:
1. Schedule a daily intake shortly before midnight.
2. Wait for midnight to pass.
3. Click ""Taken"" on the notification.

Result:
- The notification will reappear (with alert) after 5 Minutes.
- In the app, the intake hasn't been confirmed yet.
- Instead, the next occurence of the intake will already be confirmed ~24h ahead of time.
- The erroneously confirmed intake behaves as expected, i.e. shows no notification on the next day.

Untested:
- What happens with non-daily schedules?"
citiususc/calendula,open,"Feature req. :allow custom made interval times, for schedules","[Label(name=""accepted""), Label(name=""enhancement"")]","Currently I am in a bit of a pinch because I take a certain medication; not every 4 OR 6 hours, but need to take or every 5 hours.

My suggestion would be a *custom* button at the bitten of the normally advised medication intervals called custom.
In which you could have total control in how regularly you have to take something.
SAY: every 7 hours and 14minutes.

I have to say you do great work. "
citiususc/calendula,closed,Can't open the add/remove medicine stock dialog,"[Label(name=""bug"")]","# Version

2.5.7 from F-Droid

# Steps to reproduce

1. Edit a medicine
1. Tap the '+' or '-' button

# Expected outcome

The add/remove dialog gets displayed.

# Actual outcome

I get kicked back to the medicine screen.

## Exception

```
FATAL EXCEPTION: main
Process: es.usc.citius.servando.calendula, PID: 6220
java.lang.IllegalStateException: Fragment b{f3e5022 #0 number_dialog} declared target fragment MedicineCreateOrEditFragment{8239cfe #0 id=0x7f0901de android:switcher:2131296734:0} that does not belong to this FragmentManager!
	at android.support.v4.app.p.a(Unknown Source:303)
	at android.support.v4.app.p.e(Unknown Source:38)
	at android.support.v4.app.p.a(Unknown Source:45)
	at android.support.v4.app.d.g(Unknown Source:169)
	at android.support.v4.app.p.b(Unknown Source:38)
	at android.support.v4.app.p.a(Unknown Source:112)
	at android.support.v4.app.p.b(Unknown Source:89)
	at android.support.v4.app.p.f(Unknown Source:21)
	at android.support.v4.app.p$1.run(Unknown Source:2)
	at android.os.Handler.handleCallback(Handler.java:808)
	at android.os.Handler.dispatchMessage(Handler.java:101)
	at android.os.Looper.loop(Looper.java:166)
	at android.app.ActivityThread.main(ActivityThread.java:7425)
	at java.lang.reflect.Method.invoke(Native Method)
	at com.android.internal.os.Zygote$MethodAndArgsCaller.run(Zygote.java:245)
	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:921)
```
    "
citiususc/calendula,open,Create FAQ.md,[],"FAQs for Calendula, from Ayobim account"
citiususc/calendula,closed,Execution failed for task ':Calendula:validateSigningCiAlpha,"[Label(name=""development"")]","![capture](https://user-images.githubusercontent.com/15707285/44151426-ff0e9188-a0bb-11e8-8e53-37ec235836ba.PNG)
"
citiususc/calendula,closed,Full and short description in Italian,[],Added full and short description in Italian.
citiususc/calendula,closed,context.startService(serviceIntent); is causing daily crashes at 1 am,"[Label(name=""under-review"")]","Hello,

I have noticed that the following code : context.startService(serviceIntent); in  calendula/Calendula/src/main/java/es/usc/citius/servando/calendula/scheduling/AlarmReceiver.java is causing daily crashes when the app tries to create the daily schedules for the pills.

This is the error message:
java.lang.IllegalStateException: Not allowed to start service Intent

The root cause of this issue is caused by the api 26 and above, here are some details:

https://stackoverflow.com/questions/46445265/android-8-0-java-lang-illegalstateexception-not-allowed-to-start-service-inten

JobScheduler should be used instead.

Regards"
citiususc/calendula,open,Stock information - show date of running out of stock,"[Label(name=""enhancement"")]","It would be useful, although I can see it could be complicated for some schedules, to show when the stock of some medicine would run out, assuming they are taken on the current schedules.
i.e. as well as showing the number left show the time, e.g.

76 Capsules remaining, sufficient for 36 days - until 18 Aug 2018

or some such. This would be very handy as a check that the supply will last until, for example the next medical appointment.

Thank you for this really useful app."
citiususc/calendula,closed,Added Dutch transation,[],:)
citiususc/calendula,closed,Fix typos in Italian translation,[],Fixing a few typos in the Italian translation.
