repository,state,title,label,body
felixb/callmeter,closed,Feature request: Billing period X days,[],"Hello! 

I would like to have an option to set 30 days billing period.
I have a prepaid plan with packages valid for 30 days. "
felixb/callmeter,closed,"sub_id is prefered over subscription_id, even if subscription_id is used","[Label(name=""bug"")]","There are phones having sub_id and subscription_id in the call logs database.
Currently sub_id is preferred over subscription_id even when sub_id is -1 and subscription_id is holding the sim id.

We need a more clever way of detecting the sim id.

Might be related to #122."
felixb/callmeter,closed,"Two SIM slots shown and counted on, while only one is existing",[],"On my LG G5 (H850 stock ROM) calls are counted on slot 2, while SMS are counted on slot 1.
But the device has only one SIM slot. 
Doesn't really bother me, as long everything is counted correctly, but it's a bit confusing. 
Thx for the App anyhow. "
felixb/callmeter,closed,Dual SIM-id not work,[],"Hi, I have now a new SIM Card and since that time, the SIM-id doesn't work anymore for callings."
felixb/callmeter,closed,support 4 weeks / 28 days billing cycle,"[Label(name=""enhancement"")]",
felixb/callmeter,closed,Cannot write Log Files to SD or elsewhere,[],"""Fehler beim schreiben der Exportdatei"" - ""Error when writing the export file""

Is this Error Message known? A solution on hand maybe? I am using Android 6.0 with an Huawei P9Lite"
felixb/callmeter,closed,can't enter '%'  in advanced pref/numbers group,[],"just trying to setup a new old phone with CM 3.11.11

when trying to enter a number in advanced pref/numbers group like say +66%, % gets stripped, and, a name from phone book appears with +66 / Auser Name
presumedly first user starting with +66 ?

I vaguely recall seeing similar issue long time ago ?

Nexus 5 / Euclidean 20170212 / A 7.1.1 5th Feb 2017 / kernel 3.4.0 "
felixb/callmeter,closed,Feature request: changeable billing progress bar color,[],"Is it possible to make the color of the Billing bar variable on the widgets?
It is only the gray.
"
felixb/callmeter,closed,Sms and minutes  combine ,[],"I have 600min/sms per month and would like to see one counter for both. 
"
felixb/callmeter,open,Widget not displaying in MIUI 7,"[Label(name=""waiting-for-info"")]","So I got a phone with MIUI 7 (it's lollipop 5.1 but customized) and the widget's don't show the information of the plans. It just shows the icon of the app and that's it.

Might this be a configuration problem on my part?
Lollipop problem?
MIUI problem?

Image of the widget: 
![screenshot_2016-08-03-10-22-42_com miui home 1](https://cloud.githubusercontent.com/assets/3405406/17370271/661e6c0a-5969-11e6-9695-20de30fc8ead.png)
http://imgur.com/a/5fIyo
"
felixb/callmeter,closed,feature request: distinguish between in-country call and foreign countries,[],"Since there are a couple of plans available which offer different contingents of talking minuts for in-country calls and other contingents for calls to other countries it would be nice if we could set a filter ('country prefix' or similar) for the widgets. Does this sound plausible? Attached is a screenshot from my phone plan overview, it would be nice if callmeter widgets could recreate this overview on the phone:
![screenshot 2016-06-30 at 14 15 52 pm](https://cloud.githubusercontent.com/assets/3019226/16487793/361e7862-3ecd-11e6-971b-051a160c6d90.png)
"
felixb/callmeter,open,Overestimating data usage compared to Android native metering (and telephone provider),"[Label(name=""bug""), Label(name=""cant-fix"")]","Hi

(Android 5.1 - Moto G - kernel 3.4.42-g89906d6 - 221.201.2.falcon_umts.Retail.en.GB - Call Meter 3G v3.11.11)

Android's build in Data Usage monitor (Settings -> Data Usage) reports monthly data usage that matches the providers data usage but Call Meter 3G v3.11.11 overestimates it for the same period. 

Examples-

**May 13th -Jun 12th**
Mobile provider: 274.33Mb
Native Android data use monitor: 273Mb
Call Meter 3G: 291.99Mb

**Apr 13th - 12th May**
Mobile provider: 439.71Mb
Native Android data use monitor: 440Mb
Call Meter 3G: 448Mb

Given that there isn't a configurable billing mode for data usage and that I imagine the data information is coming from pretty much the same source (the kernel), shouldn't Call Meter's estimation match pretty close to Android's native meter?  Surely if there was going to be a discrepancy it would be Call Meter under recording data?

Any ideas why this might be?  I'd like to use a spreadsheet to try to pin down where this discrepancy might be coming from but can't due to #113  

Warm Regards
Julie
x
"
felixb/callmeter,closed,"Export log to csv - numeric data in mixed, human readable formats (unreadable by spreadsheets, etc)","[Label(name=""enhancement"")]","Hi

I've just tried to use the function to Export log to CSV to analyse data usage via a spreadsheet program.

The numbers for data usage exported to the log appear to be in rounded, mixed, human readable format (e.g. 802.3B, 12.78Mb, 13.03kb) making them pretty much unuseable on spreadsheets or other programs.  Shouldn't this kind of data be exported in a single, raw format (e.g. number of bytes?)

Warm Regards
Julie
x
"
felixb/callmeter,closed,Wildcard doesn't work,[],"+3620% doesn't match on +36201234567

Android, current app version. 

Full formát (not wildcarded) patterns work.
"
felixb/callmeter,closed,Feature Request: common limit for more than one plan,[],"My provider gives me a monthly package of 100 minutes.
The minutes can be used for non roaming and also for roaming calls, but are billed different:
- when non roaming, calls in the package are free, calls outside the package cost 0,15
- when roaming, calls in the package cost 0,05, calls outside the package cost 0,20.

Both roaming and non roaming are counted in the same package.
So i have to count the used minutes in two different plans ( non roaming / roaming ), both using the same counter for decision in package / outside package.
So it would be necessary to have a common limit for two / more plans.

Suggestion: 
- implement ( similar to ""NumberGroup"", ""HoursGroup"" ) a ""LimitGroup"" or ""Common Limits Group"".
- implement in the plans a new limittype, ""Common Limit"", which selects one of the ""Common Limits Group"" / ""LimitGroups"".

Then both plans will increase the common minute package and can do the decision ""in / out of package"".
This would also help if a tariff has a package of ""units"", which can be used for SMS or calls and when minutes have different price than SMS.
"
