repository,state,title,label,body
dschuermann/document-viewer,open,Update Google Play Release,[],"Latest version on Google Play is 2 versions behind the release in F-Droid.  I'm guessing most people install from Google Play, so would be good to update it."
dschuermann/document-viewer,open,"Feature request - Viewing of Open Document files (ODT,ODS)",[],"Hi! 
I just am in the process of switching from windows to linux and try to move away from all closed source software as far as possible.
I converted all my documents to ODT/ODS, but there is no FOSS viewer (let alone useable editor) for android!
I found a closed source viewer, but a FOSS alternative would of course make much more sense for an open format as Open Document.
Thanks in advance,
Greetings"
dschuermann/document-viewer,closed,Mildly improve german translation,[],"Some of the translations were rather awkward (or just wrong), so I corrected them."
dschuermann/document-viewer,open,"Crashes; Oreo 8.1, MuPDF related (crashes aswell)",[],"Tested versions 2.7.9 (armeabi-v7a and arm64-v8a) to 2.8.1 (arm64-v8a).
Application works normally when opening PDF documents via system file explorer. However, if I press the upper left back button to go to file explorer the app can crash, no matter if in bookcase or list view.
If I open the app via app drawer I can access configuration menu and etc. Once I open a document there in its file explorer and switch to another task via recents the app can crash.
If I open a PDF file via system file exporer app behaves normally until I start switching tasks via recents, then it can crash.
When I mean crash, I mean I get a system popup window which tells me “Document Viewer has stopped”.
I have “Show all ANRs” (show **A**pp **N**ot **R**esponding dialog for background apps) enabled in developer options.
Briefly tried MuPDF, crashing behaviour too. MuPDF and this app seem to share code.

Cheers :-) "
dschuermann/document-viewer,open,Feature request: Reading project,[],"Request to be able to add bookmarks across books. This would be useful when studying textbooks for which other reading material is required.

A reading project would start from a ""main book"" (start reading project). Bookmarks would be added as usual but be persistent across books. They should be directly accessible through the menu with a name and an optional thumbnail. One more bookmark would be for to the last page visited in the main book with another entry to reset that bookmark (set to current page).
"
dschuermann/document-viewer,open,Crash after clicking on link without protocol,[],"It is possible to crash the app by clicking on a link without specified protocol.

Steps to reproduce issue:

- Download https://retro.wtf/kilobyte_magazin/KilobyteMagazine2018-2.pdf
- Open document in app
- Go to page 3
- Click on the link (bottom of the page)

-> The app crashes with the following stacktrace:

```

>     --------- beginning of system
> 09-20 21:41:15.271 3426-8296/system_process I/ActivityManager: START u0 {act=android.intent.action.VIEW dat=file://www.patreon.com/kilobytemagazine cmp=org.thosp.yourlocalweather/.LicenseActivity} from uid 10114 on display 0
> 09-20 21:41:15.272 3426-8296/system_process W/ActivityManager: Permission Denial: starting Intent { act=android.intent.action.VIEW dat=file://www.patreon.com/kilobytemagazine cmp=org.thosp.yourlocalweather/.LicenseActivity } from ProcessRecord{2f0a4d5 16639:org.sufficientlysecure.viewer/u0a114} (pid=16639, uid=10114) not exported from uid 10191
> 09-20 21:41:15.296 16639-16639/org.sufficientlysecure.viewer D/AndroidRuntime: Shutting down VM
> 09-20 21:41:15.309 16639-16639/org.sufficientlysecure.viewer I/System.out: Stacktrace is written: /storage/emulated/0/Android/data/org.sufficientlysecure.viewer/files/logs/org.sufficientlysecure.viewer.2.8.1.20180920.214115.stacktrace
>     
>     --------- beginning of crash
> 09-20 21:41:15.309 16639-16639/org.sufficientlysecure.viewer E/AndroidRuntime: FATAL EXCEPTION: main
>     Process: org.sufficientlysecure.viewer, PID: 16639
>     java.lang.SecurityException: Permission Denial: starting Intent { act=android.intent.action.VIEW dat=file://www.patreon.com/kilobytemagazine cmp=org.thosp.yourlocalweather/.LicenseActivity } from ProcessRecord{2f0a4d5 16639:org.sufficientlysecure.viewer/u0a114} (pid=16639, uid=10114) not exported from uid 10191
>         at android.os.Parcel.readException(Parcel.java:1684)
>         at android.os.Parcel.readException(Parcel.java:1637)
>         at android.app.ActivityManagerProxy.startActivity(ActivityManagerNative.java:3101)
>         at android.app.Instrumentation.execStartActivity(Instrumentation.java:1520)
>         at android.app.Activity.startActivityForResult(Activity.java:4229)
>         at android.support.v4.app.BaseFragmentActivityApi16.startActivityForResult(BaseFragmentActivityApi16.java:54)
>         at android.support.v4.app.FragmentActivity.startActivityForResult(FragmentActivity.java:67)
>         at android.app.Activity.startActivityForResult(Activity.java:4187)
>         at android.support.v4.app.FragmentActivity.startActivityForResult(FragmentActivity.java:732)
>         at android.app.Activity.startActivity(Activity.java:4526)
>         at android.app.Activity.startActivity(Activity.java:4494)
>         at org.ebookdroid.core.AbstractViewController.goToURL(AbstractViewController.java:654)
>         at org.ebookdroid.core.AbstractViewController.processLinkTap(AbstractViewController.java:641)
>         at org.ebookdroid.core.AbstractViewController.processLinkTap(AbstractViewController.java:606)
>         at org.ebookdroid.core.AbstractViewController.processTap(AbstractViewController.java:550)
>         at org.ebookdroid.core.AbstractViewController$GestureListener.onSingleTapConfirmed(AbstractViewController.java:789)
>         at android.view.GestureDetector$GestureHandler.handleMessage(GestureDetector.java:300)
>         at android.os.Handler.dispatchMessage(Handler.java:102)
>         at android.os.Looper.loop(Looper.java:154)
>         at android.app.ActivityThread.main(ActivityThread.java:6186)
>         at java.lang.reflect.Method.invoke(Native Method)
>         at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:889)
>         at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:779)
> 09-20 21:41:15.315 3426-8297/system_process W/ActivityManager:   Force finishing activity org.sufficientlysecure.viewer/org.ebookdroid.ui.viewer.ViewerActivity

```"
dschuermann/document-viewer,open,"After swiping from edge of screen, navigation buttons never disappear",[],"First i tap the screen to enable fullscreen.

After swiping from the edge of the screen, the status bar (translucent) and navigation buttons (opaque) appear. Only the status bar disappears, the navigation buttons never disappear and require tapping the screen twice to hide (three times if I'm in the middle of a swipe).

Moto g5 plus, android 7.0"
dschuermann/document-viewer,open,Fails to install on Oreo 8.1,[],"I tried using the latest APK from F-Droid and the slightly older one from Google Play, but they both fail to install on my tablet with LineageOS 15.1.  Strangely, they install fine on my phone, which is also using LineageOS 15.1.

Logcat msgs:
```
07-24 09:10:57.277  1065  2692 I ActivityManager: START u0 {act=android.intent.action.VIEW dat=file:///data/user_de/0/com.android.packageinstaller/no_backup/package2742956882387370461.apk flg=0x10000 cmp=com.android.packageinstaller/.PackageInstallerActivity (has extras)} from uid 10020                                  
07-24 09:10:57.327  5238  5238 I PackageInstaller: No source found for package org.sufficientlysecure.viewer                                                                                                         
07-24 09:10:57.398  1065  1167 I ActivityManager: Displayed com.android.packageinstaller/.PackageInstallerActivity: +90ms (total +230ms)                                                                             
07-24 09:10:57.539   851  1039 W libc    : Unable to set property ""sys.fake_bs_flag0"" to ""FALSE:0"": error code: 0x18                                                                                                  
07-24 09:10:57.541   759  1038 W libc    : Unable to set property ""sys.fake_bs_flag1"" to ""FALSE:0"": error code: 0x18                                                                                                  
07-24 09:10:57.543  1799  2377 I QcrilOemhookMsgTunnel: [0]processOemHookIndication length=21              
07-24 09:10:57.544  1799  1799 D QcrilMsgTunnelIfaceManager: handleMessage what = 0                        
07-24 09:10:59.426  1065  1082 I ActivityManager: START u0 {dat=file:///data/user_de/0/com.android.packageinstaller/no_backup/package2742956882387370461.apk cmp=com.android.packageinstaller/.InstallInstalling (has extras)} from uid 10020                                                                                    
07-24 09:10:59.602  1065  1167 I ActivityManager: Displayed com.android.packageinstaller/.InstallInstalling: +149ms                                                                                                   
07-24 09:10:59.983  1065  1335 W NativeHelper: Failure copying native libraries [errorCode=-113]           
07-24 09:10:59.984  1065  1335 E PackageInstaller: Commit of session 796466799 failed: Failed to extract native libraries, res=-113
07-24 09:11:00.004  1065  2692 I ActivityManager: START u0 {dat=file:///data/user_de/0/com.android.packageinstaller/no_backup/package2742956882387370461.apk flg=0x2000000 cmp=com.android.packageinstaller/.InstallFailed (has extras)} from uid 10020                                                                          
07-24 09:11:00.053  5238  5238 D InstallFailed: Installation status code: 1                                
07-24 09:11:00.101  1065  1167 I ActivityManager: Displayed com.android.packageinstaller/.InstallFailed: +71ms                                                                                                        
07-24 09:11:00.419  1065  1081 I zygote64: Background concurrent copying GC freed 66914(6MB) AllocSpace objects, 39(1976KB) LOS objects, 42% free, 12MB/21MB, paused 564us total 137.594ms                            
07-24 09:11:01.752  1065  2692 I ActivityManager: START u0 {flg=0x10804000 cmp=com.android.systemui/.recents.RecentsActivity} from uid 10026
```"
dschuermann/document-viewer,open,SD Card writing access,[],"Hey all,

I wondered is there a way to grant the application rights to edit files on the sd card? 
I have all my PDF in a folder there and it's actually pretty annoing that it's not possible to delete them from the document viewer directly. Especially since there is a delete function available, but does not work if the pdf is on the sd card.
Nice Regards "
dschuermann/document-viewer,open,Plesse add posibilities to add favorites icons into the top bar,[],"I wish to fast activate auto crop on empty spaces on paper. I also wish to fast activat nightmode. Because not all need this setting, I wish to add a function to add custom icons to the icon bar."
