repository,state,title,label,body
HenriDellal/emerald,closed,Spanish translation,[],"Hi @HenriDellal,
First of all, thank you to you and to all the contributors of Emeral for this awesome, easy to use and minimalistic launcher. Well, I wanted to contribute to this project with a new translation to Spanish.

I translated all the files I understand they are translatable, because there are another files without text to translate. The files translated are:

- `arrays.xml`
- `cwac_colormixer_strings.xml`
- `strings.xml`

I have one suggestion too: why the last string in `strings.xml` is untranslatable? It is easy to translate and if we translate it we could make easier to share with everyone the contributions of each one and  to encourage users to ""Want to help? Report bugs and submit suggestions via..."". What do you think about it?"
HenriDellal/emerald,open,"[Suggestion] Hide ""All Apps"" category",[],"Thanks to Emerald's category management, I find that I don't need the ""All Apps"" view anymore.

Could this become a hide-able option much like Unclassified and History? I only use them during bulk-categorizing. "
HenriDellal/emerald,closed,A bugfix and some minor things,[],
HenriDellal/emerald,closed,Some icons disappear for unknown reason,"[Label(name=""bug"")]",
HenriDellal/emerald,open,[Bug] Icons for uninstalled apps never disappear,[],"The icons for uninstalled apps stay forever, even after a full scan or restarting the launcher. I'm using Android 8.1. This bug might be linked to #90 as it never occured in versions prior to 0.6.0."
HenriDellal/emerald,closed,[Bug] Emerald Launcher crashes on change icon,[],Every time I select change icon emeral crashes. I'm using LineageOS 15.1 (Android 8.1) and never experienced this behaviour on versions below 0.6.0.
HenriDellal/emerald,open,[Suggestion] 'Home button behaviour' options,[],"Currently, Emerald has two options: 
1. Home and All apps;
2. Home and History.

If possible, please add another option: 
3. Home and Unclassified.

Thank you. "
HenriDellal/emerald,closed,Use Storage Access Framework for backup/restore and update german translation,[],This fixes #26 on newer Android versions.
HenriDellal/emerald,closed,Fix issues after migration to AS,[],Re-tag after merge
HenriDellal/emerald,closed,Migrate launcher's data to SQLiteDatabase,[],"﻿The introducing of shortcuts has required the change of the data storing method. Starting from 0.6.0, the launcher will store some data in tables (apps, shortcuts and categories) of the database. There is the only thing left to do before 0.6.0: convert all data from previous versions of the launcher to the newest.

Old structure:
- All apps are stored in .MyCache.
- Every custom category has its *.cat file with the list of apps' activities(just like in .MyCache)
- There is categories.props file to store the list of hidden categories.

New structure:
- Apps are in ""apps"" table, their categories are listed in ""categories"" field of the app entry.
- List of custom categories is stored in ""categories"" table.

The suggested algorithm is:
[ ] Get all category names from filenames and store them in categories table.
[x] Convert .MyCache data to apps table.
[x] Delete .MyCache file.
[ ] For each category file (*.cat): open file, go through it and if application from this file exists, add category to this application entry in apps table, then close and delete the file.
[x] Get hidden categories from categories.props, store them in preferences, then delete the file."
HenriDellal/emerald,closed,Updated fr (French) translation,[],Commit made via [Stringlate](https://lonamiwebs.github.io/stringlate/)
HenriDellal/emerald,open,Settings shortcut,"[Label(name=""enhancement"")]",Settings shortcut should appear in the app list if main bar is disabled.
HenriDellal/emerald,closed,Add option to switch categories using volume buttons,[],"I found this to be useful. The default value of the preference still has to be decided on, since it could confuse users that actually want to change their volume.

Edit: the default is now false"
HenriDellal/emerald,closed,Migrate to Android Studio,[],"This is the import summary, build-emerald.sh probably needs to be updated:

ECLIPSE ANDROID PROJECT IMPORT SUMMARY
======================================

Ignored Files:
--------------
The following files were *not* copied into the new Gradle project; you
should evaluate whether these are still needed in your project and if
so manually move them:

* .gitignore
* LICENSE
* README.md
* build-emerald.sh
* icon.svg

Moved Files:
------------
Android Gradle projects use a different directory structure than ADT
Eclipse projects. Here's how the projects were restructured:

* AndroidManifest.xml => app/src/main/AndroidManifest.xml
* res/ => app/src/main/res/
* src/ => app/src/main/java/

Next Steps:
-----------
You can now build the project. The Gradle project needs network
connectivity to download dependencies.

Bugs:
-----
If for some reason your project does not build, and you determine that
it is due to a bug or limitation of the Eclipse to Gradle importer,
please file a bug at http://b.android.com with category
Component-Tools.

(This import summary is for your information only, and can be deleted
after import once you are satisfied with the results.)
"
HenriDellal/emerald,closed,Migrate to Android Studio?,[],"Currently, I first have to import the project into Android Studio. You can read more here: https://android-developers.googleblog.com/2015/06/an-update-on-eclipse-android-developer.html"
HenriDellal/emerald,closed,Fix reset of app's category data after update,[],
HenriDellal/emerald,open,Can't access popup menu or settings when main bar set to hidden,[],"So I might be overlooking something, but I can't figure out how to access the popup menu (with the items 'launcher settings', 'access hidden apps', 'change wallpaper' and 'full scan') or the settings screen after turning on launcher settings > appearance preferences > hide main bar.

After the Emerald settings disappears from the Android recents screen, there's no way to get to the settings anymore.

Proposed solution: add a menu button (three dots vertical) to the Android navigation bar. As this would not work on devices with hardware buttons, also or instead add the option to open the popup menu by long pressing the home or back button, or long-pressing on empty space in between icons.

Great launcher by the way, only one that I could find that just shows all installed apps on the home screen and can be configured the way I want it--just rows of icons without text, so I can open any app from my home screen with minimal effort. Thanks!"
HenriDellal/emerald,closed,Fix #54,[],"I was also affected by #54, and this fix works for me.

Oh and btw, why was #69 ""unmerged""?"
HenriDellal/emerald,closed,[Q] widgets,[],Widgets are immaculate for many launchers. Whether widgets will be supported or not it should be written​ in Readme IMHO. Thanks
HenriDellal/emerald,closed,"""Always show keyboard"" option",[],
HenriDellal/emerald,closed,Update strings.xml for Indonesian translate,[],
HenriDellal/emerald,closed,Readme Update,[],"I made a readme file with updates to the previous one which includes

Adding the app's icon
Adding more of the app's features
Link to License etc
"
HenriDellal/emerald,open,Improve Home button behaviour option,[],"So the button can switch between Home and any custom category. If this custom category is deleted later then reset setting to ""Don't switch"""
HenriDellal/emerald,closed,Request to do copywriting.,[],"I'll love to do copywriting on your project which includes reordering your readme file, about us, FAQs and privacy policy. These will give more insight of your project to other people.I anticipate your response."
HenriDellal/emerald,closed,Frequently Asked Question (FAQ) Proposal ,[],"Hello there, I'd like to contribute to your awesome project by writing a Frequent Asked Questions for users self-service. Would love to hear from you, thanks."
HenriDellal/emerald,closed,App becomes unresponsive after renaming a category,[],"I was using a custom category named 'Favorite' as the Home. After a couple of weeks I had changed its name to 'Favorite apps'. After that app became unresponsive. Default launcher setting popped up. But, even after setting Emerald as default, app was still unresponsive. I had to clear the data to use it again. 

Phone: Xiaomi Mi Max 2
Android: 7.1.1
Version: 0.5.6.1
Reproducibility: Every time. Tried 3 times. "
HenriDellal/emerald,closed,Let category swipes be smaller,[],"Currently, I have to swipe over about 80% of my (xhdpi) screen, which is inconvenient."
