repository,state,title,label,body
mannd/epmobile,closed,Changelog not updated since version 2.13 n/t,[],
mannd/epmobile,closed,Update README.md,[],"This small and useless PR adds two buttons to get the app easily on F-Droid and Google Play Store

Thanks for this app (my sister use it) ;)"
mannd/epmobile,closed,Create LICENSE,[],
mannd/epmobile,closed,add ATRIA stroke and bleeding risk scores,"[Label(name=""enhancement"")]","http://jaha.ahajournals.org/cgi/doi/10.1161/JAHA.113.000250
http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3698792/
"
mannd/epmobile,closed,add SAMe-TT2R score,"[Label(name=""enhancement"")]","https://en.wikipedia.org/wiki/SAMe-TT2R2_score
On Oct 25, 2015, at 4:52 PM, Mattia Laffi mattialaffi@gmail.com wrote:

I suggest you to add this score.

Regards, Mattia Laffi.

For reference: 
- Updated European Heart Rhythm Association Practical Guide on the use of non-vitamin K antagonist anticoagulants in patients with non-valvular atrial fibrillation - pag.4

-Apostolakis S, Sullivan RM, Olshansky B, Lip GY. Factors affecting quality of anticoagulation control among patients with atrial fibrillation on warfarin: the SAMe-TT(2)R(2) score. Chest 2013;144:1555–63.
- Ruiz-Ortiz M, Bertomeu V, Cequier A, Marin F, Anguita M. Validation of the SAMe-TT2R2 score in a nationwide population of nonvalvular atrial fibrillation patients on vitamin K antagonists. Thromb Haemost 2015;114
- Abumuaileq RR, Abu-Assi E, Raposeiras-Roubin S, Lopez-Lopez A, Redondo-Dieguez A, Alvarez-Iglesias D et al. Evaluation of SAMe-TT2R2 risk score for predicting the quality of anticoagulation control in a real-world cohort of patients with non-valvular atrial fibrillation on vitamin-K antagonists. Europace 2015;17:711–7.
"
mannd/epmobile,closed,"HCM calculator, other algorithms requested","[Label(name=""feature request"")]","From: Gustavo Maid gfmaid@gmail.com
Subject: 
To: mannd@epstudiossoftware.com
Date: Fri, 13 Mar 2015 08:39:47 -0300 (9 weeks, 4 days, 6 hours ago)

Hi, Congratulations for yor software.
Its possible add risk calculator for hypertrophic cardiomyopathy ?

http://www.doc2do.com/hcm/webHCM.html

And its possible add the ACC Algorithm, the Brugada Algorithm, and
Vereckei
algorithm for Wide Complex Tachycardia

http://en.ecgpedia.org/wiki/Approach_to_the_Wide_Complex_Tachycardia

Thank a lot
"
mannd/epmobile,closed,add pacing maneuvers,"[Label(name=""enhancement"")]","such as RVA vs base pacing, paraHisian pacing, etc.
"
mannd/epmobile,closed,add ability to select appropriate body weight measurement a la ios version,[],"see iOS version of Weight Calculator.
"
mannd/epmobile,closed,Coding,"[Label(name=""enhancement"")]","Module with new billing codes needed.
For V2.2
"
mannd/epmobile,closed,add greater than 75 y/o warnings to dabigatran,[],
