repository,state,title,label,body
mick88/filemanager,open,RuntimeException: wonderdroid is not a directory,[],"//package name: com.michaldabski.filemanager
//version: 0.5
 java.lang.RuntimeException: wonderdroid is not a directory
 	at com.michaldabski.filemanager.favourites.FavouriteFolder.<init>(FavouriteFolder.java:48)
 	at com.michaldabski.filemanager.folders.FolderFragment.onOptionsItemSelected(FolderFragment.java:392)
 	at android.app.Fragment.performOptionsItemSelected(Fragment.java:1805)
 	at android.app.FragmentManagerImpl.dispatchOptionsItemSelected(FragmentManager.java:1959)
 	at android.app.Activity.onMenuItemSelected(Activity.java:2569)
 	at com.android.internal.policy.impl.PhoneWindow.onMenuItemSelected(PhoneWindow.java:986)
 	at com.android.internal.view.menu.MenuBuilder.dispatchMenuItemSelected(MenuBuilder.java:742)
 	at com.android.internal.view.menu.MenuItemImpl.invoke(MenuItemImpl.java:152)
 	at com.android.internal.view.menu.MenuBuilder.performItemAction(MenuBuilder.java:881)
 	at com.android.internal.view.menu.ActionMenuView.invokeItem(ActionMenuView.java:547)
 	at com.android.internal.view.menu.ActionMenuItemView.onClick(ActionMenuItemView.java:115)
 	at android.view.View.performClick(View.java:4240)
 	at android.view.View.onKeyUp(View.java:7928)
 	at android.widget.TextView.onKeyUp(TextView.java:5552)
 	at android.view.KeyEvent.dispatch(KeyEvent.java:2647)
 	at android.view.View.dispatchKeyEvent(View.java:7343)
 	at android.view.ViewGroup.dispatchKeyEvent(ViewGroup.java:1393)
 	at android.view.ViewGroup.dispatchKeyEvent(ViewGroup.java:1393)
 	at android.view.ViewGroup.dispatchKeyEvent(ViewGroup.java:1393)
 	at android.view.ViewGroup.dispatchKeyEvent(ViewGroup.java:1393)
 	at android.view.ViewGroup.dispatchKeyEvent(ViewGroup.java:1393)
 	at android.view.ViewGroup.dispatchKeyEvent(ViewGroup.java:1393)
 	at com.android.internal.policy.impl.PhoneWindow$DecorView.superDispatchKeyEvent(PhoneWindow.java:1933)
 	at com.android.internal.policy.impl.PhoneWindow.superDispatchKeyEvent(PhoneWindow.java:1408)
 	at android.app.Activity.dispatchKeyEvent(Activity.java:2384)
 	at com.android.internal.policy.impl.PhoneWindow$DecorView.dispatchKeyEvent(PhoneWindow.java:1860)
 	at android.view.ViewRootImpl$ViewPostImeInputStage.processKeyEvent(ViewRootImpl.java:3791)
 	at android.view.ViewRootImpl$ViewPostImeInputStage.onProcess(ViewRootImpl.java:3774)
 	at android.view.ViewRootImpl$InputStage.deliver(ViewRootImpl.java:3379)
 	at android.view.ViewRootImpl$InputStage.onDeliverToNext(ViewRootImpl.java:3429)
 	at android.view.ViewRootImpl$InputStage.forward(ViewRootImpl.java:3398)
 	at android.view.ViewRootImpl$AsyncInputStage.forward(ViewRootImpl.java:3483)
 	at android.view.ViewRootImpl$InputStage.apply(ViewRootImpl.java:3406)
 	at android.view.ViewRootImpl$AsyncInputStage.apply(ViewRootImpl.java:3540)
 	at android.view.ViewRootImpl$InputStage.deliver(ViewRootImpl.java:3379)
 	at android.view.ViewRootImpl$InputStage.onDeliverToNext(ViewRootImpl.java:3429)
 	at android.view.ViewRootImpl$InputStage.forward(ViewRootImpl.java:3398)
 	at android.view.ViewRootImpl$InputStage.apply(ViewRootImpl.java:3406)
 	at android.view.ViewRootImpl$InputStage.deliver(ViewRootImpl.java:3379)
 	at android.view.ViewRootImpl$InputStage.onDeliverToNext(ViewRootImpl.java:3429)
 	at android.view.ViewRootImpl$InputStage.forward(ViewRootImpl.java:3398)
 	at android.view.ViewRootImpl$AsyncInputStage.forward(ViewRootImpl.java:3516)
 	at android.view.ViewRootImpl$ImeInputStage.onFinishedInputEvent(ViewRootImpl.java:3666)
 	at android.view.inputmethod.InputMethodManager$PendingEvent.run(InputMethodManager.java:1982)
 	at android.view.inputmethod.InputMethodManager.invokeFinishedInputEventCallback(InputMethodManager.java:1698)
 	at android.view.inputmethod.InputMethodManager.finishedInputEvent(InputMethodManager.java:1689)
 	at android.view.inputmethod.InputMethodManager$ImeInputEventSender.onInputEventFinished(InputMethodManager.java:1959)
 	at android.view.InputEventSender.dispatchInputEventFinished(InputEventSender.java:141)
 	at android.os.MessageQueue.nativePollOnce(Native Method)
 	at android.os.MessageQueue.next(MessageQueue.java:132)
 	at android.os.Looper.loop(Looper.java:124)"
mick88/filemanager,open,NullPointerException,[],"//package name: com.michaldabski.filemanager
//version: 0.5
 java.lang.RuntimeException: An error occured while executing doInBackground()
 	at android.os.AsyncTask$3.done(AsyncTask.java:299)
 	at java.util.concurrent.FutureTask.finishCompletion(FutureTask.java:352)
 	at java.util.concurrent.FutureTask.setException(FutureTask.java:219)
 	at java.util.concurrent.FutureTask.run(FutureTask.java:239)
 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1080)
 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:573)
 	at java.lang.Thread.run(Thread.java:841)
 Caused by: java.lang.NullPointerException
 	at com.michaldabski.filemanager.clipboard.Clipboard.pasteFile(Clipboard.java:107)
 	at com.michaldabski.filemanager.clipboard.Clipboard.paste(Clipboard.java:143)
 	at com.michaldabski.filemanager.folders.FolderFragment$4.doInBackground(FolderFragment.java:478)
 	at com.michaldabski.filemanager.folders.FolderFragment$4.doInBackground(FolderFragment.java:448)
 	at android.os.AsyncTask$2.call(AsyncTask.java:287)
 	at java.util.concurrent.FutureTask.run(FutureTask.java:234)"
mick88/filemanager,open,RuntimeException,[],"//package name: com.michaldabski.filemanager
//version: 0.5
 java.lang.RuntimeException: An error occured while executing doInBackground()
 	at android.os.AsyncTask$3.done(AsyncTask.java:299)
 	at java.util.concurrent.FutureTask.finishCompletion(FutureTask.java:352)
 	at java.util.concurrent.FutureTask.setException(FutureTask.java:219)
 	at java.util.concurrent.FutureTask.run(FutureTask.java:239)
 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1080)
 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:573)
 	at java.lang.Thread.run(Thread.java:841)
 Caused by: java.lang.RuntimeException: /storage/sdcard/Music/wonderdroid is anot a directory
 	at com.michaldabski.filemanager.clipboard.Clipboard.paste(Clipboard.java:139)
 	at com.michaldabski.filemanager.folders.FolderFragment$4.doInBackground(FolderFragment.java:478)
 	at com.michaldabski.filemanager.folders.FolderFragment$4.doInBackground(FolderFragment.java:448)
 	at android.os.AsyncTask$2.call(AsyncTask.java:287)
 	at java.util.concurrent.FutureTask.run(FutureTask.java:234)"
mick88/filemanager,open,RuntimeException: Music is not a directory,[],"//package name: com.michaldabski.filemanager
//version: 0.5
 java.lang.RuntimeException: Music is not a directory
 	at com.michaldabski.filemanager.favourites.FavouriteFolder.<init>(FavouriteFolder.java:48)
 	at com.michaldabski.filemanager.folders.FolderFragment.onOptionsItemSelected(FolderFragment.java:392)
 	at android.app.Fragment.performOptionsItemSelected(Fragment.java:1805)
 	at android.app.FragmentManagerImpl.dispatchOptionsItemSelected(FragmentManager.java:1959)
 	at android.app.Activity.onMenuItemSelected(Activity.java:2569)
 	at com.android.internal.policy.impl.PhoneWindow.onMenuItemSelected(PhoneWindow.java:986)
 	at com.android.internal.view.menu.MenuBuilder.dispatchMenuItemSelected(MenuBuilder.java:742)
 	at com.android.internal.view.menu.MenuItemImpl.invoke(MenuItemImpl.java:152)
 	at com.android.internal.view.menu.MenuBuilder.performItemAction(MenuBuilder.java:881)
 	at com.android.internal.view.menu.ActionMenuView.invokeItem(ActionMenuView.java:547)
 	at com.android.internal.view.menu.ActionMenuItemView.onClick(ActionMenuItemView.java:115)
 	at android.view.View.performClick(View.java:4240)
 	at android.view.View.onKeyUp(View.java:7928)
 	at android.widget.TextView.onKeyUp(TextView.java:5552)
 	at android.view.KeyEvent.dispatch(KeyEvent.java:2647)
 	at android.view.View.dispatchKeyEvent(View.java:7343)
 	at android.view.ViewGroup.dispatchKeyEvent(ViewGroup.java:1393)
 	at android.view.ViewGroup.dispatchKeyEvent(ViewGroup.java:1393)
 	at android.view.ViewGroup.dispatchKeyEvent(ViewGroup.java:1393)
 	at android.view.ViewGroup.dispatchKeyEvent(ViewGroup.java:1393)
 	at android.view.ViewGroup.dispatchKeyEvent(ViewGroup.java:1393)
 	at android.view.ViewGroup.dispatchKeyEvent(ViewGroup.java:1393)
 	at com.android.internal.policy.impl.PhoneWindow$DecorView.superDispatchKeyEvent(PhoneWindow.java:1933)
 	at com.android.internal.policy.impl.PhoneWindow.superDispatchKeyEvent(PhoneWindow.java:1408)
 	at android.app.Activity.dispatchKeyEvent(Activity.java:2384)
 	at com.android.internal.policy.impl.PhoneWindow$DecorView.dispatchKeyEvent(PhoneWindow.java:1860)
 	at android.view.ViewRootImpl$ViewPostImeInputStage.processKeyEvent(ViewRootImpl.java:3791)
 	at android.view.ViewRootImpl$ViewPostImeInputStage.onProcess(ViewRootImpl.java:3774)
 	at android.view.ViewRootImpl$InputStage.deliver(ViewRootImpl.java:3379)
 	at android.view.ViewRootImpl$InputStage.onDeliverToNext(ViewRootImpl.java:3429)
 	at android.view.ViewRootImpl$InputStage.forward(ViewRootImpl.java:3398)
 	at android.view.ViewRootImpl$AsyncInputStage.forward(ViewRootImpl.java:3483)
 	at android.view.ViewRootImpl$InputStage.apply(ViewRootImpl.java:3406)
 	at android.view.ViewRootImpl$AsyncInputStage.apply(ViewRootImpl.java:3540)
 	at android.view.ViewRootImpl$InputStage.deliver(ViewRootImpl.java:3379)
 	at android.view.ViewRootImpl$InputStage.onDeliverToNext(ViewRootImpl.java:3429)
 	at android.view.ViewRootImpl$InputStage.forward(ViewRootImpl.java:3398)
 	at android.view.ViewRootImpl$InputStage.apply(ViewRootImpl.java:3406)
 	at android.view.ViewRootImpl$InputStage.deliver(ViewRootImpl.java:3379)
 	at android.view.ViewRootImpl$InputStage.onDeliverToNext(ViewRootImpl.java:3429)
 	at android.view.ViewRootImpl$InputStage.forward(ViewRootImpl.java:3398)
 	at android.view.ViewRootImpl$AsyncInputStage.forward(ViewRootImpl.java:3516)
 	at android.view.ViewRootImpl$ImeInputStage.onFinishedInputEvent(ViewRootImpl.java:3666)
 	at android.view.inputmethod.InputMethodManager$PendingEvent.run(InputMethodManager.java:1982)
 	at android.view.inputmethod.InputMethodManager.invokeFinishedInputEventCallback(InputMethodManager.java:1698)
 	at android.view.inputmethod.InputMethodManager.finishedInputEvent(InputMethodManager.java:1689)
 	at android.view.inputmethod.InputMethodManager$ImeInputEventSender.onInputEventFinished(InputMethodManager.java:1959)
 	at android.view.InputEventSender.dispatchInputEventFinished(InputEventSender.java:141)
 	at android.os.MessageQueue.nativePollOnce(Native Method)
 	at android.os.MessageQueue.next(MessageQueue.java:132)
 	at android.os.Looper.loop(Looper.java:124)"
mick88/filemanager,open,Copyright violation,[],"Hi @mick88 

I found [this app](https://play.google.com/store/apps/details?id=com.farmaapps.filemanager) on the Play Store. Is it a version based on your own app (it looks the same...) ?

If this is the case, and because you are the owner of the source code, feel free to open a request to google [here](https://support.google.com/legal/contact/lr_dmca?product=googleplay) to remove the false app from the Store, if it's your wish ;)

Don't forget to tell Google that:

* The app is licensed under MIT license and this guy is violating it;
* He is falsely claiming he made the app.
* Do not forget to provide a link to this repo."
mick88/filemanager,open,search Bar,[],
mick88/filemanager,open,"""Folder could not be created"" on extSdCard on Samsung Galaxy S5 Android 5.0",[],"1. Go into folder on external card
2. Create new folder

Expected: folder created

Actual: error with message ""Folder could not be created""

Notes: 
1. Build in ""My Files"" file manager created folder in same situation
2. Same with https://github.com/openintents/filemanager/issues/55
3. Card is visible under ""storage/extSdCard"" name
4. Folder is created well on build in memory card
5. SD card worked well on other phones with Androids 4.X
"
mick88/filemanager,open,Seach File,[],"I wanna add on this APP the SearchBar , i think it's will be a good idea , and it's verry essential .
so i need your confirmation to begin .
"
mick88/filemanager,closed,Added German Translation,[],"Hi, I'm using your filemanager on my tablet. So I thought its a good idea to translate it in my language. If its ok for you, I will watch your project and will translate new strings when they come.
BR
"
mick88/filemanager,open,Saved current directory - start application next day - no check for missing folder,[],"I believe the behavior of the app is such:
1. You are working in folder /sdcard/Folder1
2. Exit App
3. Delete folder /sdcard/Folder1 using an outside app or event.
4. Start App - it tries to set default to the now missing folder.

The same sort of thing happens if you change out SDCard and the path is not on both cards.
Adding a File exists check on preference read should solve this - and default to the other paths.

Thanks for the App!
"
