repository,state,title,label,body
brarcher/gift-card-guard,closed,Create privacy policy,[],
brarcher/gift-card-guard,closed,Add Dutch translations,[],
brarcher/gift-card-guard,closed,Transifex config file and translation updates,[],
brarcher/gift-card-guard,closed,Capture config changes in MainActivity,[],"This prevents the about dialog from disappearing when the
screen is rotated.

https://github.com/brarcher/gift-card-guard/issues/42"
brarcher/gift-card-guard,closed,WebView disappears after device rotation,[],"Open About in Menu, WebView dialog shows. But it disppears after device rotation.

![screen shot 2018-04-13 at 3 53 03 pm](https://user-images.githubusercontent.com/38213896/38723152-ca2b21ec-3f32-11e8-8f24-29692b7e285e.png)
Screenshot before rotation


![screen shot 2018-04-13 at 3 53 10 pm](https://user-images.githubusercontent.com/38213896/38723161-cf3556bc-3f32-11e8-9f39-493c19331007.png)
Screenshot after rotation"
brarcher/gift-card-guard,closed,Workaround install crash on Android 5 and below,[],"The aapt2 tool, new to Android Studio 3, creates an APK which fails
to install on Android 5 and below if it contains the following bug:

  https://issuetracker.google.com/issues/64434571

Build tools 27.0.1 has a mitigation. Avoiding aapt2 also avoids hitting
the bug."
brarcher/gift-card-guard,closed,Create CONTRIBUTING.md,[],
brarcher/gift-card-guard,closed,"Update gradle, et al, for Android studio 3",[],
brarcher/gift-card-guard,closed,Update for v0.4.1,[],
brarcher/gift-card-guard,closed,Replace app icon with one by @samymarboy,[],"This icon and feature graphic are contributed under CC0 1.0 Universal license by Samy.

https://github.com/brarcher/gift-card-guard/issues/28"
brarcher/gift-card-guard,closed,README: add transifex info,[],
brarcher/gift-card-guard,closed,Remove requirement to have complete translations,[],"Translations and completeness are now tracked on Transifex:

https://www.transifex.com/na-243/gift-card-guard"
brarcher/gift-card-guard,closed,Travis-CI changes,[],
brarcher/gift-card-guard,closed,clean the readme,[],it removes the all button from fdroid
brarcher/gift-card-guard,closed,Reduce initial heap size of gradle,[],"Several times the Travis-CI build would fail because gradle ran
out of memory. To reduce this, have gradle use a smaller initial
heap size."
brarcher/gift-card-guard,closed,Update for release v0.4,[],
brarcher/gift-card-guard,closed,Update README.md,[],
brarcher/gift-card-guard,closed,Icon,[],Create better icon for application
brarcher/gift-card-guard,closed,Material design icon,[],I'd like to design an icon that follows material design guidelines. 
brarcher/gift-card-guard,closed,Change padding on main screens,[],"The ListView was not displayed in the entire window, which was odd.
Changing to use the entire area.
"
brarcher/gift-card-guard,closed,Reduce min SDK version to 13,[],"The selection of SDK 17 was arbitrarily based on the version
available on my device at the time. As no APIs are being used
at that level, a lower SDK version can be targeted.

All the APIs currently used by the application were available
in SDK 13+. Moving the min SDK version to 13.
"
brarcher/gift-card-guard,closed,Reduce min SDK version to 12,[],"The selection of SDK 17 was arbitrarily based on the version
available on my device at the time. As no APIs are being used
at that level, a lower SDK version can be targeted.

All the APIs currently used by the application were available
in SDK 12+. Moving the min SDK version to 12.
"
