repository,state,title,label,body
codinguser/gnucash-android,open,version 2.4.0 unstable,[],"#### Steps to reproduce the behaviour
1. Install 2.4.0 from Google Play Store

#### Expected behaviour
Not to send crash reports

#### Actual behaviour
Crashes and sends crash report almost hourly.

#### Software specifications
* GnuCash Android version: 2.4.0
* System Android version: 6.0.1
* Device type: Samsung
"
codinguser/gnucash-android,open,translate to farsi,[],translate app menu to Iranian Persian language
codinguser/gnucash-android,open,Crash when scrolling bar chart view,[],"#### Steps to reproduce the behaviour

1. Make sure some transaction data in your account.
2. Enter report page and select bar chart.
3. Scroll bar chart view after data showed.

#### Expected behaviour

The bar chart will scroll and show the transaction name/category to me.

#### Actual behaviour

The app crashed.

#### Software specifications

* GnuCash Android version: 2.4.0
* System Android version: LineageOS 15.1 for cheeseburger.
* Device type:  ONEPLUS 5

I have dig into the crash log, and found that this is a bug of `MPAndroidChart`. The method `getClosestStackIndex` of `com.github.mikephil.charting.highlight.BarHighlighter.java` in `MPAndroidChart` with version `v2.1.3`, doesn't process the occasion that the length of input parameter `range` is `0`. And then I viewed the current code in `MPAndroidChart`, and found they have fixed this bug two years ago. Maybe upgrade `MPAndroidChart` can fix this bug.
 
Oh, upgrading dependency directly will cause building error, because of the API changing.

Thanks."
codinguser/gnucash-android,open,Feature request: Disable gnucash numpad,[],"#### Steps to reproduce the behaviour
Do something that pulls up the custom gnucash numpad (say, add a transaction, and click the amount box)

#### Expected behaviour
The gnucash onscreen numpad doesnt pop up, allowing me to type in a number with my physical keypad, which should also be autoset to number input mode.

#### Actual behaviour
The gnucash custom numpad appears, taking up half the screen. When i try to enter numbers on the physical numpad (i use a galaxy folder 2, one of the few android flipphones), it defaults to text-input, causing me to have to switch input mode.

The suggested solution would be a switch in the settings disabling the custom numpad, and if toggled, instead when you click a number box, just telling the android keyboard to pull up a number input (and not pulling up the gnucash one), which should allow us few smart-flipphone (or blackberry, i guess) users to use our keypads.

#### Software specifications
* GnuCash Android version: 2.4.0
* System Android version: 7.1.1
* Device type: Galaxy folder 2 G1650
"
codinguser/gnucash-android,open,Update gradle wrapper to 4.4 and plugin to 3.1.4,[],Builds successfully in Android Studio and I was able to run it on my phone
codinguser/gnucash-android,closed,Update gradle wrapper to 4.4 and plugin to 3.1.4,[],Builds successfully in Android Studio and I was able to run it on my phone
codinguser/gnucash-android,closed,Soft and Calculator keyboard are shown at the sime,[],"#### Steps to reproduce the behaviour

1. Add a new transaction to any account
2. When in the form, focus amount CalculatorEditText
3. Switch to any another app
4. Switch back to GnuCash
5. The soft keyboard is shown below Calculator keyboard


#### Expected behaviour
The soft keyboard should hide

#### Actual behaviour
The soft keyboard is shown below Calculator keyboard
![demo](https://user-images.githubusercontent.com/182872/45506907-3ccdf080-b756-11e8-9fb9-d317a1a97f85.gif)


#### Software specifications
* GnuCash Android version: master
* System Android version: 19-26 
* Device type: phone and emulator
"
codinguser/gnucash-android,open,"qif export from Android -> ""Transaction date: Unrecognized or inconsistent format."" on loading in desktop",[],"#### Steps to reproduce the behaviour
qif export from Android
Import in gnucash desktop 3.2
""Transaction date: Unrecognized or inconsistent format."" on loading in desktop

#### Expected behaviour
successful transfer of information to the gnucash desktop

#### Actual behaviour
unsuccessful transfer of information to the gnucash desktop

#### Software specifications
* GnuCash Android version: 2.4.0
* System Android version: 7.1.2
* Device type: Note 3
"
codinguser/gnucash-android,open,"Scheduled Exports: when, what time, do they take place?",[],"#### Steps to reproduce the behaviour
1. Schedule export in backup menu. (local directory - no sdcard, QIF, all time, unchecked delete after)
2. Wait

#### Expected behaviour
Exported file to appear in directory either at 00:00 on day or first use of gnucash-android after that time.

#### Actual behaviour
Exported using same filename as original export. Wasn't expecting this because the default original filename includes a date-stamp, which is manifestly wrong on the subsequent export.

#### Software specifications
* GnuCash Android version: 2.4.0
* System Android version: 7.0
* Device type: Galaxy S6
"
codinguser/gnucash-android,open,"Scheduled transactions not maintaining date set, possible causing crash",[],"Entered a transaction which went through my bank account yesterday. It's a regular payment every two weeks on a Friday.

When I scheduled the repeat transactions on the to-post transaction (of yesterday), the date that appeared in the repeated transactions is two weeks (which I set) today (not yesterday).

When I tried to change the posted transaction to correct the error, Android GnuCash crashed. It isn't obvious what is crashing, no error message, but the delay/hang before crashing makes me think it's failing to post to the database through a conflict.

BTW I don't think I should really be posting the reoccurring transactions in Android. Probably better on the desktop version. Depends whether the delete after export function deletes the transaction scheduler/repeater."
codinguser/gnucash-android,open,Transaction screen - actions other than just edit,[],"#### Steps to reproduce the behaviour
1. Click an account
1. Click a transaction in account screen

#### Expected behaviour
- Option to delete the transaction
- Option item to duplicate the transaction
- Option item to move the transaction

#### Actual behaviour
Only ""edit"" button
"
