repository,state,title,label,body
qqq3/good-weather,open,crash when searching after setting 'update location' to true on android 19,[],"I am now using good weather, however, these days i found a reproducible crash:
1.get into the 'widget setting' page, and set 'update locating' to true;
2.get into search page, and type in hint words like 'london';
3.select one from the list, and then the crash happens.

the good weather verison is 4.4, which was downloaded from f-droid;
the device I use is an avd from android studio, android sdk version is 19(4.4), cpu is x86, device type is nexus S;
would you please confirm it  for me ?"
qqq3/good-weather,open,Translation,[],"Hi,

I've noticed that my language is not in the list of available language listed in ""settings"" but it is actually translated, as stated here:
https://hosted.weblate.org/projects/good-weather/strings/

Is there any way to set it up?

Thanks"
qqq3/good-weather,open,Proposal,[],"First of all I would like to say thank you for this great app, I use it every day.
I miss a simple feature which have a lot of other weather App: the possibility to switch the view (current/charts/forecast) with just sliding the finger to the left or to the right of the screen. This would make the program use more comfortable and easier to use.

The program could also show a couple of arrows beside each data, in order to show the up/down trend (temperature, humidity, wind)."
qqq3/good-weather,open,Logo Proposal,[],"It's been awhile since your last update, so I think we should put some beauty on the Project. How about creating a new logo and banner for it ?"
qqq3/good-weather,open,"An error occurred on the ""Refresh icon"" that caused the Crash app",[],"#### Expected behavior
Supposedly, When the user presses <code>""Refresh icon""</code> more than once on the <code>""Daily Forecast""</code> menu, the application will not crash.

#### Actual behavior
At first I did not think it really caused the application to stop. But when I did refresh more than once, the application suddenly happened Crash. That's why I tried to find the error and I found it.

When a user presses <code>""Refresh icon""</code> more than once quickly, on the <code>""Daily Estimates""</code> menu, the app will be paralyzed.

#### How to reproduce
1. Instal App [here](https://play.google.com/store/apps/details?id=com.ATA_Droid.WeatherForecastRadar)
2. Sign in ""Feature Forecast Daily"", Click on ""Refresh icon"" more than once quickly. Then the application will crash.

![Screenshot_2018-05-30-00-15-32-394_com.whatsapp.png](https://cdn.steemitimages.com/DQma6MzQn4uQCSfgMBmXSfS6VqY6n4XUuGZziVoo1Et5qda/Screenshot_2018-05-30-00-15-32-394_com.whatsapp.png)

![Screenshot_2018-05-30-00-15-35-761_com.whatsapp.png](https://cdn.steemitimages.com/DQmPrCi9oUNngAypFp33gQq951Cv3qenkad8nMezPRzaC5w/Screenshot_2018-05-30-00-15-35-761_com.whatsapp.png)

![Screenshot_2018-05-30-00-15-38-810_com.whatsapp.png](https://cdn.steemitimages.com/DQmadLQG7tiUtxRY48N54JyGHUmQLEguMsN6xo7VsEnBXoL/Screenshot_2018-05-30-00-15-38-810_com.whatsapp.png)

#### Environment
* ###### Device : Redmi Note 5A
* ###### System Operating : 7.1.0 Nougat
* ###### App Version : 1.4

***
***

#### <center>Recording Of The Issues</center>
https://youtu.be/z38QRAaZF4A

***

#### <center>Logcat</center>
###### <center>Proof of code error, that application was really Crash</center>

```
05-29 23:42:24.445 20601 20601 E AndroidRuntime: FATAL EXCEPTION: main
05-29 23:42:24.445 20601 20601 E AndroidRuntime: Process: com.ATA_Droid.WeatherForecastRadar, PID: 20601
05-29 23:42:24.445 20601 20601 E AndroidRuntime: java.lang.IndexOutOfBoundsException: Index: 6, Size: 0
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at java.util.ArrayList.get(ArrayList.java:411)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at com.ATA_Droid.WeatherForecastRadar.adapter.WeatherForecastAdapter.onBindViewHolder(WeatherForecastAdapter.java:34)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at com.ATA_Droid.WeatherForecastRadar.adapter.WeatherForecastAdapter.onBindViewHolder(WeatherForecastAdapter.java:13)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.support.v7.widget.RecyclerView$Adapter.onBindViewHolder(RecyclerView.java:6673)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.support.v7.widget.RecyclerView$Adapter.bindViewHolder(RecyclerView.java:6714)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.support.v7.widget.RecyclerView$Recycler.tryBindViewHolderByDeadline(RecyclerView.java:5647)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.support.v7.widget.RecyclerView$Recycler.tryGetViewHolderForPositionByDeadline(RecyclerView.java:5913)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.support.v7.widget.RecyclerView$Recycler.getViewForPosition(RecyclerView.java:5752)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.support.v7.widget.RecyclerView$Recycler.getViewForPosition(RecyclerView.java:5748)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.support.v7.widget.LinearLayoutManager$LayoutState.next(LinearLayoutManager.java:2232)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.support.v7.widget.LinearLayoutManager.layoutChunk(LinearLayoutManager.java:1559)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.support.v7.widget.LinearLayoutManager.fill(LinearLayoutManager.java:1519)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.support.v7.widget.LinearLayoutManager.onLayoutChildren(LinearLayoutManager.java:614)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.support.v7.widget.RecyclerView.dispatchLayoutStep2(RecyclerView.java:3812)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.support.v7.widget.RecyclerView.dispatchLayout(RecyclerView.java:3529)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.support.v7.widget.RecyclerView.onLayout(RecyclerView.java:4082)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.view.View.layout(View.java:17663)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.view.ViewGroup.layout(ViewGroup.java:5577)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.support.design.widget.HeaderScrollingViewBehavior.layoutChild(HeaderScrollingViewBehavior.java:132)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.support.design.widget.ViewOffsetBehavior.onLayoutChild(ViewOffsetBehavior.java:42)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.support.design.widget.AppBarLayout$ScrollingViewBehavior.onLayoutChild(AppBarLayout.java:1361)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.support.design.widget.CoordinatorLayout.onLayout(CoordinatorLayout.java:894)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.view.View.layout(View.java:17663)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.view.ViewGroup.layout(ViewGroup.java:5577)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.widget.RelativeLayout.onLayout(RelativeLayout.java:1079)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.view.View.layout(View.java:17663)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.view.ViewGroup.layout(ViewGroup.java:5577)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.support.v4.widget.DrawerLayout.onLayout(DrawerLayout.java:1171)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.view.View.layout(View.java:17663)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.view.ViewGroup.layout(ViewGroup.java:5577)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.widget.FrameLayout.layoutChildren(FrameLayout.java:323)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.widget.FrameLayout.onLayout(FrameLayout.java:261)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.view.View.layout(View.java:17663)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.view.ViewGroup.layout(ViewGroup.java:5577)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.widget.LinearLayout.setChildFrame(LinearLayout.java:1741)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.widget.LinearLayout.layoutVertical(LinearLayout.java:1585)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.widget.LinearLayout.onLayout(LinearLayout.java:1494)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.view.View.layout(View.java:17663)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.view.ViewGroup.layout(ViewGroup.java:5577)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.widget.FrameLayout.layoutChildren(FrameLayout.java:323)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.widget.FrameLayout.onLayout(FrameLayout.java:261)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.view.View.layout(View.java:17663)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.view.ViewGroup.layout(ViewGroup.java:5577)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.widget.LinearLayout.setChildFrame(LinearLayout.java:1741)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.widget.LinearLayout.layoutVertical(LinearLayout.java:1585)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.widget.LinearLayout.onLayout(LinearLayout.java:1494)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.view.View.layout(View.java:17663)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.view.ViewGroup.layout(ViewGroup.java:5577)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.widget.FrameLayout.layoutChildren(FrameLayout.java:323)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.widget.FrameLayout.onLayout(FrameLayout.java:261)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at com.android.internal.policy.DecorView.onLayout(DecorView.java:730)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.view.View.layout(View.java:17663)
05-29 23:42:24.445 20601 20601 E AndroidRuntime: 	at android.view.ViewGroup.layout(ViewGroup.java:5577)
05-29 23:42:24.446 20601 20601 E AndroidRuntime: 	at android.view.ViewRootImpl.performLayout(ViewRootImpl.java:2388)
05-29 23:42:24.446 20601 20601 E AndroidRuntime: 	at android.view.ViewRootImpl.performTraversals(ViewRootImpl.java:2110)
05-29 23:42:24.446 20601 20601 E AndroidRuntime: 	at android.view.ViewRootImpl.doTraversal(ViewRootImpl.java:1296)
05-29 23:42:24.446 20601 20601 E AndroidRuntime: 	at android.view.ViewRootImpl$TraversalRunnable.run(ViewRootImpl.java:6401)
05-29 23:42:24.446 20601 20601 E AndroidRuntime: 	at android.view.Choreographer$CallbackRecord.run(Choreographer.java:876)
05-29 23:42:24.446 20601 20601 E AndroidRuntime: 	at android.view.Choreographer.doCallbacks(Choreographer.java:688)
05-29 23:42:24.446 20601 20601 E AndroidRuntime: 	at android.view.Choreographer.doFrame(Choreographer.java:623)
05-29 23:42:24.446 20601 20601 E AndroidRuntime: 	at android.view.Choreographer$FrameDisplayEventReceiver.run(Choreographer.java:862)
05-29 23:42:24.446 20601 20601 E AndroidRuntime: 	at android.os.Handler.handleCallback(Handler.java:754)
05-29 23:42:24.446 20601 20601 E AndroidRuntime: 	at android.os.Handler.dispatchMessage(Handler.java:95)
05-29 23:42:24.446 20601 20601 E AndroidRuntime: 	at android.os.Looper.loop(Looper.java:163)
05-29 23:42:24.446 20601 20601 E AndroidRuntime: 	at android.app.ActivityThread.main(ActivityThread.java:6361)
05-29 23:42:24.446 20601 20601 E AndroidRuntime: 	at java.lang.reflect.Method.invoke(Native Method)
05-29 23:42:24.446 20601 20601 E AndroidRuntime: 	at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:904)
05-29 23:42:24.446 20601 20601 E AndroidRuntime: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:794)
```"
qqq3/good-weather,open,In-day forecast evolution,[],"Is it possible to add the view of the in day weather evolution ?
Like in my stock weathr app.

Its a usefull information when you go hiking and want to walk between drops !!

See screenshot below :
![](https://i.imgur.com/hd6srvw.jpg) 

Thanks for the work !"
qqq3/good-weather,open,"Found Bug in Good-weather App ""Setting & Searching"" Didn't working in Landscape Mode",[],"# Expected behavior
Supposedly, the ""Setting & Searching"" both works in Landscape mode as works in Portrait  Mode

# Actual behavior
When I use Setting & Searching in portrait mode it works fine but when I tried this in Landscape mode then this setting didn't change there interface into Landscape mode and another part of Application work perfectly in both modes

# How to reproduce
1 For Download Click [Here](https://play.google.com/store/apps/details?id=org.asdtm.goodweather&hl=en_US)
2 Install and open the app
3 Go to Setting 
4 Now turn App into Landscape mode 
5 Go to Searching and turn App into Landscape Mode 

Device: Samsung J5
Operating system: Android Lollipop 5.1.1 (CPU: Quad-core 1.2 GHz Cortex-A53, RAM: 1.5 GB)
Application Version: 4.4

# Recording Of The Bug

https://youtu.be/H5XorOiHAU0
"
qqq3/good-weather,open,FAQ request,[],"Greetings, I am mayowa, a github promoter and I would love to create a good FAQ page for this project, kindly reply me back to know your consent.
Thanks."
qqq3/good-weather,open,Logo/Icon proposal,[],"Hi good day! I would like to ask for your permission to propose a new designs of logo in your application/project. This issue is not saying that your current logo is unsatisfactory, I would just like to propose new designs. Hoping for your positive response Thank You!"
qqq3/good-weather,open,hi,[],"i design logo/icon for ""open source projects"" on utopian ..
i thınk your project need a good logo whıch make your applıcatıon vıew better..
wanna me desıgn a logo ""free"" for your applıcatıon?

please reply my post... ı ll start do design and share with you and than send a post on website ""utopian.io""..
also u can connect wıth me on discord ""@ahmeterbay#0466"" or emaıl ""ahmeterbay@gmail.com"""
