repository,state,title,label,body
iFixit/iFixitAndroid,open,Fix broken camera permissions Pre-oreo,[],"Due to some permissions and FileProvider changes the last release, older devices didn't have access to the filesystem, and the `Camera` intent couldn't write the files, causing the app to crash. This fixes that.

Also, CopyImage API call was broken due to okhttp requiring a body for POST requests.  Also fixed."
iFixit/iFixitAndroid,closed,Fix broken wikis with periods in the title,[],"I improperly thought that periods weren't allowed in wiki titles - turns out they are.

Easy fix."
iFixit/iFixitAndroid,open,ActivityNotFoundException: No Activity found to handle Intent,[],"//package name: com.dozuki.ifixit
//version: 2.0.1
 android.content.ActivityNotFoundException: No Activity found to handle Intent { act=android.intent.action.VIEW dat=/Item/Philips_screwdrivers }
 	at android.app.Instrumentation.checkStartActivityResult(Instrumentation.java:1632)
 	at android.app.Instrumentation.execStartActivity(Instrumentation.java:1424)
 	at android.app.Activity.startActivityForResult(Activity.java:3390)
 	at android.app.Activity.startActivityForResult(Activity.java:3351)
 	at android.support.v4.app.FragmentActivity.startActivityForResult(FragmentActivity.java:824)
 	at android.app.Activity.startActivity(Activity.java:3587)
 	at android.app.Activity.startActivity(Activity.java:3555)
 	at com.dozuki.ifixit.ui.guide.view.PartsToolsAdapter$1.onClick(PartsToolsAdapter.java:66)
 	at android.view.View.performClick(View.java:4240)
 	at android.view.View$PerformClick.run(View.java:17721)
 	at android.os.Handler.handleCallback(Handler.java:730)
 	at android.os.Handler.dispatchMessage(Handler.java:92)
 	at android.os.Looper.loop(Looper.java:137)
 	at android.app.ActivityThread.main(ActivityThread.java:5103)
 	at java.lang.reflect.Method.invokeNative(Native Method)
 	at java.lang.reflect.Method.invoke(Method.java:525)
 	at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:737)
 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:553)
 	at dalvik.system.NativeStart.main(Native Method)"
iFixit/iFixitAndroid,closed,Close issue #278. Add exception handling to LatLon and make the appli…,[],…cation more resilient in the face of malformed data.
iFixit/iFixitAndroid,closed,Usage of deprecated CookieSyncManager,[],"Hi,

I have found that CookieSyncManager is still in use in WebviewFragment and OpenIDActivity. According to the [doc](https://developer.android.com/reference/android/webkit/CookieSyncManager.html), it is deprecated since Lollipop so it may not guarantee to work.

A better implementation may be to use CookieSyncManager on lower API levels and use APIs of CookieManager to manage the cookies. I found a reference post in stack overflow [here](https://stackoverflow.com/questions/30502411/cookiesyncmanager-is-now-deprecated-what-can-i-use-instead)

Thx."
iFixit/iFixitAndroid,closed,LatLon.java doesn't handle malformed strings or check array length before assigning values,[],"
Consider the simplistic test code I have provided for you. You can remove these errors by throwing your code in a try catch block.
```java
public class TestLatLon {
    public static void main(String[] args) {
        final String TEST_STR1 = ""breakyou"";
        final String TEST_STR2 = ""1"";
        //NumberFormatException
        LatLon testObj = new LatLon(TEST_STR1);
        //ArrayIndexOutOfBoundsException
        LatLon testObj2 = new LatLon(TEST_STR2);
	}
}
```"
iFixit/iFixitAndroid,open,Translations: some sections missing,"[Label(name=""bug"")]","Problem:
-
* Sections like ""techniques"", ""teardowns"", ""related pages"" or ""troubleshooting"" seem to be missing.

![image](https://user-images.githubusercontent.com/276273/27648303-f5488a60-5be2-11e7-9d1d-896ca51b0f18.png)

Originally reported by @tobias-isakeit "
iFixit/iFixitAndroid,open,Translations: no featured guides at the top of the guide list,"[Label(name=""bug"")]","Problem:
-
* No featured guides at the top of the guide list.

![image](https://user-images.githubusercontent.com/276273/27648265-d835f340-5be2-11e7-9427-24756aebb2e9.png)


Originally reported by @tobias-isakeit "
iFixit/iFixitAndroid,open,Translations: categories always English,"[Label(name=""bug"")]","Problem:
-
* Translation from the iFixit category system is still english (e.g. ""skills"" should be ""Fähigkeiten""). Looks like the app grabs the original name (that was given when creating a device or category), not the display title (which you can change in edit mode) - I was checking in the bicycle category where one category was created in lower case.

![image](https://user-images.githubusercontent.com/276273/27648201-a0fd64c6-5be2-11e7-9db1-905dca84df7b.png)

Reported by @tobias-isakeit "
iFixit/iFixitAndroid,open,My Guides: links should take to view instead of edit,[],"From https://github.com/iFixit/iFixitAndroid/issues/266#issuecomment-288501823

*****

It seems like when you tap on a guide from here, it takes you right into edit mode
I wouldn't think that you want to edit a guide most of the time from here, but I might be wrong"
