repository,state,title,label,body
irssiconnectbot/irssiconnectbot,open,Update strings.xml,[],There were some typos and I'm suggesting also some improvements.
irssiconnectbot/irssiconnectbot,open,API Compatibility Issues,[],"Dear developers,

We have recently developed a state-of-the-art static analysis tool for uncovering API compatibility issues in Android apps. Applying this tool to open source apps on F-droid, we have exposed a few instances of compatibility issues and submitting them to development teams for a fix. 

For your app, we have found that this project has accessed the following APIs which are available only on an API level higher than the declared minSdkVersion and which are accessed without proper protection. In other words, if those APIs get called at runtime, it will trigger a NoSuchMethodError and thus result in a crash of the running application.

<android.app.backup.BackupAgentHelper: void onRestore(android.app.backup.BackupDataInput,int,android.os.ParcelFileDescriptor)>:[8,25]
<android.app.backup.BackupAgentHelper: void addHelper(java.lang.String,android.app.backup.BackupHelper)>:[8,25]
<android.app.backup.BackupManager: void <init>(android.content.Context)>:[8,25]
<android.os.StrictMode: void setThreadPolicy(android.os.StrictMode.ThreadPolicy)>:[9,25]
<android.app.Service: void stopForeground(boolean)>:[5,25]
<android.text.AndroidCharacter: void getEastAsianWidths(char[],int,int,byte[])>:[8,25]
<android.app.Activity: android.app.ActionBar getActionBar()>:[11,25]
<android.app.backup.BackupAgentHelper: void onBackup(android.os.ParcelFileDescriptor,android.app.backup.BackupDataOutput,android.os.ParcelFileDescriptor)>:[8,25]
<android.app.ActionBar: void hide()>:[11,25]
<android.view.MenuItem: void setShowAsAction(int)>:[11,25]
<android.app.backup.BackupManager: void dataChanged()>:[8,25]
<android.app.Service: void startForeground(int,android.app.Notification)>:[5,25]

Note that, because of the nature of the static analysis, we cannot confirm whether the flagged APIs would actually be called at runtime (e.g., unreachable code). However, we still believe that those APIs, which may cause compatibility issues, should not be accessed or at least be accessed with proper protections. 

In addition to the aforementioned APIs (i.e., backward-compatibility), which could cause app crashes if accessed, we have also identified that this project has also accessed some APIs that have been removed from the latest public SDK, making the app possibly suffer from forward-compatibility issues.

<org.apache.http.message.AbstractHttpMessage: void addHeader(java.lang.String,java.lang.String)>:[1,22]
<org.apache.http.HttpResponse: org.apache.http.HttpEntity getEntity()>:[1,22]
<java.lang.reflect.Array: java.lang.Object newInstance(java.lang.Class,int[])>:[1,8]
<org.apache.http.impl.client.AbstractHttpClient: org.apache.http.HttpResponse execute(org.apache.http.client.methods.HttpUriRequest)>:[1,22]
<android.graphics.PixelXorXfermode: void <init>(int)>:[1,23]
<org.apache.http.client.methods.HttpPost: void <init>(java.lang.String)>:[1,22]
<org.apache.http.params.HttpProtocolParams: void setUseExpectContinue(org.apache.http.params.HttpParams,boolean)>:[1,22]
<org.apache.http.HttpEntity: java.io.InputStream getContent()>:[1,22]
<org.apache.http.message.BasicNameValuePair: void <init>(java.lang.String,java.lang.String)>:[1,22]
<org.apache.http.client.methods.HttpEntityEnclosingRequestBase: void setEntity(org.apache.http.HttpEntity)>:[1,22]
<android.app.Notification: void setLatestEventInfo(android.content.Context,java.lang.CharSequence,java.lang.CharSequence,android.app.PendingIntent)>:[1,22]
<org.apache.http.impl.client.DefaultHttpClient: void <init>()>:[1,22]
<org.apache.http.impl.client.AbstractHttpClient: org.apache.http.params.HttpParams getParams()>:[1,22]
<org.apache.http.client.entity.UrlEncodedFormEntity: void <init>(java.util.List,java.lang.String)>:[1,22]

We would be very much appreciated if you can acknowledge to us that those reported APIs are indeed problematic for the project’s long-term stability. please let us know if you need any more information relating to this issue report.
"
irssiconnectbot/irssiconnectbot,open,Support for Ed25519/EdDSA ssh key type,[],"Hi.
I would like to request support for the new key type stated in the topic.
 More information: 
* https://en.wikipedia.org/wiki/EdDSA
* https://ed25519.cr.yp.to/

"
irssiconnectbot/irssiconnectbot,closed,"Option ""Swipe left/right"" does not appear to work",[],"After a full factory reset of my phone I noticed that swiping left and right in irssi is now inverted. I checked the settings and found the corresponding setting which was indeed set to ""inverted"" by default. I changed it to normal (non-inverted) but it is still inverted. I also tried ""Default"" which disables swiping left and right entirely.

I only have one phone, so I cannot confirm this on another device, and if the problem cannot be reproduced by anyone, this issue can be closed.

_Phone: Oneplus ""One E1001"".
Server: Debian 3.16.36-1+deb8u2, screen, irssi_"
irssiconnectbot/irssiconnectbot,open,Fix one string in the Swedish localization,[],
irssiconnectbot/irssiconnectbot,open,License Agreement References GPLv3 Text...?,[],"I am being presented with a license agreement upon first run that says, ""ConnectBot is provided under the Apache License, Version 2.0 (the ""License"")."" There are some notes about the Apache 2.0 license and then it says, ""You can view the full text at http://www.gnu.org/licenses/gpl-3.0.txt"". I'm confused. Is this a typo or is there dual-licensing or what? It just doesn't make any sense.
"
irssiconnectbot/irssiconnectbot,open,Cannot connect to recent OpenBSD SSHD.,[],"Hi connecting to my OpenBSD-current server irssi-connectbot hangs and I see the following in the sshd log on the server:

```
May 23 21:13:39 kryten3 sshd[22038]: fatal: no matching mac found: client hmac-sha1-96,hmac-sha1,hmac-md5-96,hmac-md5 server umac-64-etm@openssh.com,umac-128-etm@openssh.com,hmac-sha2-256-etm@openssh.com,hmac-sha2-512-etm@openssh.com,umac-64@openssh.com,umac-128@openssh.com,hmac-sha2-256,hmac-sha2-512 [preauth]
```

Perhaps OpenBSD has a more strict default that expected?
"
irssiconnectbot/irssiconnectbot,open,url scan: allow edit of url before selecting it,[],"I often want to change the url before passing it to the browser 
(e.g. Mutt add '+' signs to long wrapped urls).

So it would be great for the url scanner to allow editting the found urls.
"
irssiconnectbot/irssiconnectbot,open,Accessibility patches ported from Connectbot,[],"This patch is required to use Irssiconnectbot as a library project for SSH connection.
"
irssiconnectbot/irssiconnectbot,open,Exception when using Irssi Connectbot as Library Project,[],"I am using Irssi ConnectBot in my application. Irssi Connectbot works perfect standalone, but I use it with my project it generates exception:

Problem while handling incoming data in relay thread
java.io.IOException: Remote end closed connection
    at org.woltage.irssiconnectbot.transport.SSH.read(SSH.java:588)
    at org.woltage.irssiconnectbot.service.Relay.run(Relay.java:116)
    at java.lang.Thread.run(Thread.java:1019)

I debugged the code, it reads 449 characters in first call of read function but in next call of read, it read 22 characters and gets stopped, then disconnect handler sends message for disconnection.

I have been in this problem for last 2 weeks, moreover I am only copy pasting code from Irssi ConnectBot. No new thing..

any help would be appreciated

Regards
Moonzai
"
