repository,state,title,label,body
gsantner/kimai-android,open,FR: Mobile friendly interface,[],"#### General information
Lollipop

* **App version:** 
1.3.13

* **System:** 
Debian Wheezy

#### Description
HI

Is it possible to make this a app abit more phone screen size friendly? Everything is very small atm. It would be nice if the mobile version rescales the ui and offers bigger fonts.


thanks"
gsantner/kimai-android,closed,Spelling: Language rework,[],
gsantner/kimai-android,closed,Update Turkish translations,[],"<!-- Hello, and thanks for contributing! -->

Fixes issue #

Proposed changes in this pull request:

-
-





<!--
## Contributors document
Add yourself! When adding your information to the `CONTRIBUTORS.md` file, please use the following format:

Schema:  **[Name](Reference)**<br/>~° Text 
Where: 
  * Name: username, first/lastname 
  * Reference: E-Mail, Webpage 
  * Text: Information about / kind of contribution 
Example:
* **[Nice Guy](http://niceguy.web)**<br/>~° German localization 

-->
"
gsantner/kimai-android,open,WebView content get lost after device rotation,[],"#### General information

* **App version:** 
v1.3.12 (25) 
* **System:** 
Android 6, Nexus 4

#### Description
Open app, rotate device twice.

The green ball at the right bottom part of the screen disappear, thus I can't do anything with the app.

![screen shot 2018-04-12 at 10 06 08 pm](https://user-images.githubusercontent.com/38213896/38682617-20ab1f4e-3e9e-11e8-8947-bcc672c2feee.png)
Screenshot before rotation

![screen shot 2018-04-12 at 10 06 26 pm](https://user-images.githubusercontent.com/38213896/38682625-24d5f9ae-3e9e-11e8-83a1-d6db5b7ca75a.png)
Screenshot after the rotation

#### Log
<!-- adb logcat -s de.live.gdev.timetracker -->
"
gsantner/kimai-android,closed,NO VALID PATH FOUND  !!!,"[Label(name=""q/discussion/feedback"")]","Hi I had previouly installed the app before installing kimai server side so it didn't work!!!

Now the back end is working and all I get when I run the app is a white page witch tells me that 
NO VALID PATH verify settings

I have tried reinstalling to no avail

Thanks for the help
Regards"
gsantner/kimai-android,closed,😎,[],💛
gsantner/kimai-android,closed,kanbantest 2,[],kanbantest 2
gsantner/kimai-android,closed,kanbantest 1,[],kanbantest
gsantner/kimai-android,closed,Update CONTRIBUTORS.md,[],Add contributor name of the kab  localization
gsantner/kimai-android,closed,Kabyle localization,[],Kabyle localization
gsantner/kimai-android,closed,Change for issue#22 ?,[],https://github.com/gsantner/kimai-android/issues/22 .
gsantner/kimai-android,closed,Strange default screen,[],"When using the app for the first time, I see:
```
No valid path

Please check your settings!
```
This was confusing because I did not know I could swipe from the left to get access to a menu."
gsantner/kimai-android,closed,Add PT-BR and PT-PT translations (#8) by @TiagoDanin,[],"Reference issue #8
-------

Necessary:
- [x] Check language code: PT-rBR or PT-BR

NOTE: Only the word ""Registry"" is written differently between languages (PT-PT `Registos` and PT-BR `Registro`)."
gsantner/kimai-android,closed,Turkish translation added,[],I've translated it to Turkish.
gsantner/kimai-android,closed,Fix some typos and complete Spanish translation,[],
gsantner/kimai-android,closed,Fix typos in Russian locale,[],
gsantner/kimai-android,closed,Add Ukrainian locale,[],"Also I found few typos in Russian locale, I will create separate PR with fixed"
gsantner/kimai-android,closed,Translations of strings,[],"Hindi translations of `strings.xml`, for #8 "
gsantner/kimai-android,closed,Added spanish translation,[],
gsantner/kimai-android,closed,Support download of files from WebView,"[Label(name=""help wanted"")]","Currently there is no popup or like that asking for download when clicking on something downloadable in android webview. Resolving this will show such a dialog and will save the files in to device external Downloads folder. You need to also ask for EXTERNAL_STORAGE / check permission before saving (marshmallow permissions).

For Kimai you can create an demo account ( it's just one click, no need to enter details) at <https://demo.kimai.org/status.php> (and enter the generated account details in app settings) , goto export in the web menu, select an entry and click e.g. PDF. On desktop this then opens a download dialog for the invoice.pdf, on kimai-android app there is no such thing, nothing happens currently."
gsantner/kimai-android,closed,Add greek translation,[],"Related to #8. 

I've added Greek translation.

Thanks @gsantner ! 
"
