repository,state,title,label,body
proninyaroslav/libretorrent,closed,new project url 404s,[],https://gitlab.com/proninyaroslav/libretorrent 404s
proninyaroslav/libretorrent,closed,Add A Thumbnail to File Manager,[],@proninyaroslav on the add torrent file manager along with the torrent file add add a Thumbnail of this App Icon Instead of Ordinary File Icon
proninyaroslav/libretorrent,closed,Paused torrents resume automatically after app is opened,[],Version 1.7
proninyaroslav/libretorrent,closed,"Why can't the magnetic analysis in China, the torrent file download can not download?",[],"magnet:?xt=urn:btih:a5d5a89c478817ed311a0fe3de68379c5aa54014
magnet:?xt=urn:btih:a5d5a89c478817ed311a0fe3de68379c5aa54014
You can try this magnetic force"
proninyaroslav/libretorrent,closed,Closes silently and downloads stop,[],"I'm using android 8.0.0
After a while, maybe 45 minutes, I notice that LibreTorrent is no longer in my notification menu. 
I open it up again and the downloads are all ""checking"".
I thoughy perhaps it was due to my phone trying to save power by managing background data usage or something, so I disabled any restraints to LibreTorrent in my application settings. It still seems to close randomly however. Any suggestions?"
proninyaroslav/libretorrent,closed,Get name of torrent from magnet link when added.,"[Label(name=""enhancement"")]","Magnet links (almost always) have a title (see https://en.wikipedia.org/wiki/Magnet_URI_scheme). It would be cool if this title got set as the default title when adding magnet links, even when there is no internet yet. (Usecase: I have a RSS feed reader that sometimes includes magnet links, and I might add torrents offline)."
proninyaroslav/libretorrent,closed,Oreo icon shape,[],"Please add support for icon shape
https://material.io/guidelines/style/icons.html"
proninyaroslav/libretorrent,closed,[enhancement] change program language from settings,"[Label(name=""enhancement"")]","Currently LibreTorrent uses system language. Request to have to option to manually choose the display language:
Default
English
French
Spanish
[...]"
proninyaroslav/libretorrent,closed,Pausing/resuming torrent on program does not reflect on notification,[],"If I pause or resume a torrent in the main window, the notification keep displaying ""PAUSE/RESUME SHUTDOWN"", only changes if I use the notification itself to change the download state."
proninyaroslav/libretorrent,closed,Needs An Update With New Features,[],The Last Update We Got is About More than 2 Months Ago and Now Requests An Update With Some New Features
proninyaroslav/libretorrent,closed,how to support magnet link download？,[],
proninyaroslav/libretorrent,closed,TorrentStateCode.FINISHED returns nothing.,[],"If we stop seeding torrent is removed from the downloaded page in the sample app.
I tried to replace  TorrentStateCode.SEEDING to TorrentStateCode.FINISHED but it's not showing the finished torrent list
"
proninyaroslav/libretorrent,closed,Can you please add different accent colours in the app?,"[Label(name=""duplicate"")]","Currently, the app has three themes, but all of them have a purple accent colour. Could you add the option to change the purple accent colour? "
proninyaroslav/libretorrent,closed,how to change the server host in lan,[],"I want to use the p2p in LAN, so I should  change the server host. but I can not find any ip or server host in your code?"
proninyaroslav/libretorrent,closed,Notification Actions,[],"App Version: 1.6
It would be helpful if an option **'Pause/resume torrents' and 'Add torrents'** is added to _Settings > Foreground notification_ ,which can help user to add torrent from Notification panel itself and also retains the pause /resume actions"
proninyaroslav/libretorrent,closed,App Crashes,[],When Try To Add Torrent Via Magnetic Link . The App Suddenly Crashes
proninyaroslav/libretorrent,closed,An Error On The Notification,[],"When Opens The App It Shows Foreground Notification and it Contains 
Pause / Resume and Shut Down Buttons

On Launching The Button On Notification Is Showing Pause But No Downloads Were Going On

On Click It Changes To Resume And Needs To Click Once Again This Button In Order
To Start Download"
proninyaroslav/libretorrent,closed,Some Changes To Notification Request,[],"The Function Of the Notification Used On The Apps Are To Prevent the App That Being Closed By  the 
System 

But There Is No Need Of Notofications When There No Torrents Are Downloading

Which Will Reduce The Apps Ram And Battery Usage

Please Do A Change to Show The Notification Only If Any Torrents 
Are Downloading"
proninyaroslav/libretorrent,closed,java.lang.RuntimeException,[],"```
Fatal Exception: java.lang.RuntimeException: android.os.TransactionTooLargeException: data parcel size 3216184 bytes
       at android.app.ActivityThread$StopInfo.run(ActivityThread.java:4156)
       at android.os.Handler.handleCallback(Handler.java:751)
       at android.os.Handler.dispatchMessage(Handler.java:95)
       at android.os.Looper.loop(Looper.java:154)
       at android.app.ActivityThread.main(ActivityThread.java:6682)
       at java.lang.reflect.Method.invoke(Method.java)
       at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:1520)
       at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:1410)
```"
