repository,state,title,label,body
guardianproject/lildebi,open,App(0.5.4) stays stuck at startup on LineageOS14.1 (Android 7.1.2),[],"Lildebi version : 0.5.4
OS : LineageOS 14.1
Android version : 7.1.2

App stays stuck at startup (at best the title bar is displayed)."
guardianproject/lildebi,open,"""Download a dev build"" link in wiki main page is 404 broken",[],This link: https://guardianproject.info/builds/lildebi/
guardianproject/lildebi,open,/lib in LD_LIBRARY_PATH cause libc6 installation failure,[],"I'm trying to install Debian jessie on my Samsung GT-S6102. The following error occured:

> Preparing to unpack .../libc6_2.19-18+deb8u6_armel.deb ...                                               
>                                                                                                         
> LD_LIBRARY_PATH contains the traditional /lib directory,                                                                 
> but not the multiarch directory /lib/arm-linux-gnueabi.                                                  
> It is not safe to upgrade the C library in this situation;                                               
> please remove the /lib/directory from LD_LIBRARY_PATH and                                                
> try again.                                                                                               
>                                                                                                                          
> dpkg: error processing archive /var/cache/bootstrap/libc6_2.19-18+deb8u6_armel.deb (--unpack):               
>  subprocess new pre-installation script returned error exit status 1                             

LD_LIBRARY_PATH content is /lib:/vendor/lib:/system/lib

I think that installer script must remove /lib from LD_LIBRARY_PATH before calling second stage of debootstrap."
guardianproject/lildebi,closed,Release 0.4,[],
guardianproject/lildebi,open,Support for arm64,[],"Since jessie Debian provides support for arm64 (aka aarch64). Lil' Debi provides no support for debootstrapping Debian arm64.
"
guardianproject/lildebi,open,Lil' Debi should not depend on Koush's Superuser,[],"CM 13.0 handles the root permissions on its own, through the Privacy Guard. Thus, it's not necessary to install Superuser. Even though, Lil' Debi won't continue without Superuser installed.
"
guardianproject/lildebi,open,Unable to install using rndis0 network interface (USB tethering),[],"Hello! I have a tablet running Replicant flavour of Android.
I have internet connection via USB tethering to my main GNU/Linux system:
http://redmine.replicant.us/projects/replicant/wiki/ReplicantUSBNetworking

The problem with it is what Lil' Debi says ""Status: Network required for install"".

My netcfg is as follows:
lo       UP                                   127.0.0.1/8  
ifb0     DOWN                                   0.0.0.0/0  
ifb1     DOWN                                   0.0.0.0/0  
sit0     DOWN                                   0.0.0.0/0  
ip6tnl0  DOWN                                   0.0.0.0/0  
rndis0   UP                                  10.42.0.93/24  

My Android terminal seems to see the network just fine as well as my browser and F-Droid software repository.

Can Lil' Debi treat this as valid network connection? 
"
guardianproject/lildebi,open,apt-get does not work when _apt sandbox user exists in Ubuntu 16.04,[],"This issue was a real pain.
First I was getting ""permission denied"" socket error temporarily can't resolve blah when trying apt-get update.
I tried so many different things.
My one theory was that there was a conflict between ubuntu names/groups and android names/groups.
So I backed up passwd group and gshadow, removed everything inside them except for root.
Then ran apt-get update and it worked perfectly.

Then I did diffs on the files, and painstakingly merged the old entries back in, making sure there were no UID and GID conflicts and no duplicates. I found a few common users/groups. But they likely would not have been created as duplicates by android-permissions.deb.

Anyway, after putting all the users and groups back, I discovered that apt-get was broken again.

Then finally I figured out it's the _apt user which is used for an apt sandbox.
Adding the _apt user to the inet (GID 3003) group does not help, disabling SElinux did not help.
This issue occured with Ubuntu 16.04 on CM 13 Android 6.0.1 Kernel 3.4 and SElinux.

Workaround: simply remove the _apt user. Apt can function without sandboxing.
"
guardianproject/lildebi,closed,ubuntu 16.04 armhf possible?,[],"I got debian working on my Samsung Galaxy S5 (CM13 Android 6.0.1) by tarring it and copying it from my S3 (CM11 Android 4.4)

Now that I know chroot works on my S5, I tried Ubuntu 16.04 armhf, (I figured this phone has vfpv4, so it should work)
I did first stage debootstrap on my x86 PC `--foreign --arch armhf`, tar, push, untar @ /data/xenial
Here I'm trying to chroot Ubuntu while Debian is running in the background.

EDIT:
I got this working. I just finished the whole debootstrap on my PC with qemu then also mimmicked the lildebi scripts better. It worked.

```
root@klte:/ # mount | grep debian/system
/dev/block/mmcblk0p23 on /data/debian/system type ext4 (ro,seclabel,relatime,errors=panic,data=ordered)
/dev/block/mmcblk0p23 on /data/debian/data/debian/system type ext4 (ro,seclabel,relatime,errors=panic,data=ordered)
root@klte:/ # mount /dev/block/mmcblk0p23 /data/xenial/system -o ro,seclabel,relatime,errors=panic,data=ordered


root@klte:/ # mount -o bind /dev /data/xenial/dev
root@klte:/ # cd /data/data/info.guardianproject.lildebi/app                                                                                                      
app_bin/
root@klte:/data/data/info.guardianproject.lildebi/app_bin # TERM=linux \
HOME=/root \
HOSTNAME=xenial \
DEBIAN_FRONTEND=noninteractive \
PATH=$app_bin:/usr/sbin:/usr/bin:/sbin:/bin:/system/sbin:/system/bin:/system/xbin \
./chroot /data/xenial

root@xenial:/ # /bin/bash
ERROR: ld.so: object 'libsigchain.so' from LD_PRELOAD cannot be preloaded (cannot open shared object file): ignored.
I have no name!@localhost:/# echo $SHELL
/system/bin/sh
I have no name!@localhost:/# exit
exit
root@xenial:/ # echo $SHELL
/system/bin/sh
root@xenial:/ # exit
root@klte:/data/data/info.guardianproject.lildebi/app_bin #
```

I've repeated the test with SELINUX disabled: no diff.

@eighthave @godlessfather @SDkie is it a problem with the way the ubuntu armhf binaries have been built?

I compared the binaries from the Debian chroot

```
root@localhost:/# file /data/{debian,xenial}/bin/bash
/data/debian/bin/bash: ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-linux.so.3, for GNU/Linux 2.6.32, BuildID[sha1]=8ab870f6f5cbbb621b85763f557b41832a3f3181, stripped
/data/xenial/bin/bash: ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-linux-armhf.so.3, for GNU/Linux 2.6.32, BuildID[sha1]=3b053d97ab6f0b39d06f6a7dc204f5398b29cb68, stripped
```

```
#from cat /proc/cpuinfo
Features    : swp half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 idiva idivt
Hardware    : Qualcomm MSM8974PRO-AC

#RbPi2 (for comparison)
Features    : half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 idiva idivt vfpd32 lpae evtstrm
Hardware    : BCM2709
```

Wikipedia [ARM VFP](https://en.wikipedia.org/wiki/ARM_architecture#Floating-point_.28VFP.29) says 
""In Debian Linux, and derivatives such as Ubuntu, armhf (ARM hard float) refers to the ARMv7 architecture including the additional VFP3-D16 floating-point hardware extension (and Thumb-2) above.""
vfpv3===VFP3-D16
lpae === large physical address extension
? === thumb2
evtstrm === ?

**Maybe the way I'm getting into the chroot is not good enough**
I copied bash from debian to bash2 on xenial.
I tried to run it `./bash2: No such file or directory` (it does exist and is executable)

BTW: At first I tried to run stage 2 in one line, similar to how it's done in create-debian-setup.sh but there were lots of these ld.so LD_PRELOAD errors, and it kept trying to change ownership on /system (which was luckily ro). Then I think my kernel panicked and phone rebooted.
"
guardianproject/lildebi,open,Running KVM on Samsung Galaxy S3 / S5,[],"I know this idea is quite ambitious and quite a long shot.
But the geek in me would like to be able to run a modern kernel.

**Booting mainline very unlikely**
There's probably no point in trying to compile a mainline kernel to work on my Samsung Galaxy S3/S5, as the phone has blob hardware drivers, and the kernels they use (especially the S3) are customized Android kernels.

**So plan B is to boot the mainline kernel inside KVM :)**

Samsung Galaxy
S3 CPU: Exynos 4412 Quad (cpuid says SMDK4x12) (debian chroot working) 3.0.64 kernel
S5 CPU: Qualcomm MSM8974-AC Snapdragon 801 (debian chroot not working yet) 3.4 kernel

These are Armv7 CPUs.
Relevant reading on this topic is the early experiments getting the RaspberryPi 2 to boot in HYP mode instead of SVC mode.
These days RbPi bootloader enters HYP automatically so this hack is no longer required for the RbPi.
Basically the old bootloader started the kernel in SVC mode.
So the hack-solution to get the CPU into HYP mode, was to compile this code to binary, then concatenate it onto the beginning of the linux kernel binary.

The main requirement is getting the phone to boot in HYP mode.
I don't know if it's booting in HYP mode, likely it will be SVC mode.

The Hardkernel U3 uses the Exynos 4412 SoC
http://www.hardkernel.com/main/products/prdt_info.php?g_code=G138733896281
You can see they support hyp mode on Uboot for it
https://github.com/hardkernel/linux/blob/dc8cceddf4aa27d1703aca9f10a5552e3cce5d25/arch/arm/mach-exynos/headsmp.S

So somewhere in this repo, should be appropriate code /instructions that I could compile and concatenate onto the beginning of my kernel.
https://github.com/hardkernel/u-boot

After figuring out how to get the CPU into HYP mode I'd recompile the CM kernel with KVM support.
"
