repository,state,title,label,body
hauckwill/linconnect-client,open,GooglePlay trouble,[],"Sorry! This content is not available in your country yet.

That's what i get when clicking on google play install link.

Perhaps, an apk should be in releases? Just for those who can't use google"
hauckwill/linconnect-client,open,Project migrated to gradle + wifi ssid check added,[],
hauckwill/linconnect-client,open,Create strings.xml,[],"ru_RU locale
"
hauckwill/linconnect-client,open,Duplicated notifications,[],"I am using linconnect between a Galaxy S5 and Mageia 5. I have no idea what version of linconnect I am running.

Whenever linconnect sees a new email on my phone, it displays alerts for that email plus the previous 8 or 10 emails. Sometimes it sends those 8 or 10 alerts 2 or 3 times in a row. This happens with every new email, not just the first time after I configure the app in the phone with the IP address of the desktop.
"
hauckwill/linconnect-client,open,No scan autostart,[],"This commit prevents client from starting to listen multicast when linconnect starts. Also, linconnect server discovery can be canceled just by tapping on ""Scanning network for servers .."" button
"
hauckwill/linconnect-client,open,Notifications not works with wifi tethering,[],"Only test message works
on android 4.4.2
"
hauckwill/linconnect-client,open,Not show whatsapp message,[],"The content (text) of whatsapp message not appear in the notification, only the number of message.
"
hauckwill/linconnect-client,open,Set custom sound for notifications on per app basis,[],"I know it's probably should be done in new application and few of them are on market already.
But still would be nice to have such feature.
"
hauckwill/linconnect-client,closed,This fixes an exception when a SpannableString was casted to a String.,[],"Both Objects provide the same output when used with toString()
"
hauckwill/linconnect-client,closed,No source for 2.21,[],"We at FDroid, a free/libre/opensource app ""store"", received the request to package 2.21 found in the playstore. The verCode in the Manifest is still at 2.20, did you forget to push the changes?
"
hauckwill/linconnect-client,open,Recent version has problems with SMS text,"[Label(name=""bug"")]","After the recent update the text from incoming SMS is not displayed anymore.
The source (name+photo) and application (via SMS/MMS) is correctly displayed, but not the content.
"
hauckwill/linconnect-client,closed,Trouble installing,[],"Sorry wrong one, meant to be in server
"
hauckwill/linconnect-client,open,windows server information added,[],
hauckwill/linconnect-client,open,Need to store android notifications in a text file on android device itself,[],"Is there any way to store the android notifications in text file on the device itself, ie on persistent storage?
"
hauckwill/linconnect-client,open,Enable sending notifications over regular network (3g),"[Label(name=""enhancement"")]","Can you enable sending notification over regular networks?
In case I use public IP address for notification server I can't receive them untill device connects to wifi.
"
hauckwill/linconnect-client,open,No notifications received from android after hello from android test successful,"[Label(name=""bug"")]","Using android 4.4 x86 in qemu.

![lca](https://cloud.githubusercontent.com/assets/1709805/4093567/40bd6818-2f9e-11e4-9d8b-a19105b424eb.jpg)
- Using custom IP address
- Hello from android test works, but nothing else notifies

![not](https://cloud.githubusercontent.com/assets/1709805/4093444/f917ad1c-2f9c-11e4-8d20-20ef081cfb55.jpg)
- Refresh server list does not find any servers

![lcu](https://cloud.githubusercontent.com/assets/1709805/4093599/7d163560-2f9e-11e4-80ed-4ab912fda29d.jpg)
- Linconnect  notifications enabled
- All app notifications enabled

Tried
- skype
- hangouts
- clock
"
hauckwill/linconnect-client,closed,"Blocks ""Ok Google"" when enabled in Accessibility",[],"On Nexus 5, after enabling LinConnect in `Settings > Accessibility > Services`, the phone stops responding to ""Ok Google"" words both in app screens and home screen. Disabling LinConnect there fixes the issue immediately.

On a contrary, LastPass, having similar privilege requirements (""Observe your actions"") does not affect the ""Ok Google"" function.

Android version: 4.4.4
LinConnect version: 2.20
"
hauckwill/linconnect-client,open,Notification from new apps,"[Label(name=""enhancement"")]","When a new application, you notice him automatically activated. Would be a choice to receive or not to receive alerts from the new applications.
"
hauckwill/linconnect-client,closed,Improvments for Translations,[],
hauckwill/linconnect-client,open,support for dismissing notifications,"[Label(name=""enhancement"")]","Hey there, 
how about adding support for dismissing the phone's notifications directly from the popup?
Greetings!
"
hauckwill/linconnect-client,open,How about bluetooth support?,"[Label(name=""enhancement"")]","I really like this application, but don't use it over wifi. I meddled with it a bit to get it working(hackish) over bluetooth. How about adding that as an experimental feature? I could look into the server as well. 
"
hauckwill/linconnect-client,closed,Crash when updating other apps,[],"The client crashes almost always whenever other apps are installed/updated. Possibly not handling the nic being busy?
"
hauckwill/linconnect-client,closed,Provide .apk for downloading,[],"For users w/o a Google account it would be nice to have an apk here.
"
hauckwill/linconnect-client,open,Provide .apk for downloading,"[Label(name=""enhancement"")]","For users w/o a Google account it would be nice to have an apk here.
"
hauckwill/linconnect-client,closed,Crash when incoming/outcoming call,[],"Always crashes at the time of incoming/outcoming call. I've just send stacktrace to Google Play (4.1.2 / SGS2)
"
hauckwill/linconnect-client,open,Make IP setup specific to a SSID,"[Label(name=""enhancement"")]","It would be beneficial to have a set up that does not attempt to connect unless connected to the correct network to use the connection.
"
hauckwill/linconnect-client,closed,Donate via Bitcoin shown twice.,[],"Donate via Bitcoin shown twice within the android application at the bottom.
"
