repository,state,title,label,body
brarcher/loyalty-card-locker,open,Oreo adaptive icon shape,[],"Please add support for icon shape
https://developer.android.com/guide/practices/ui_guidelines/icon_design_adaptive
https://material.io/guidelines/style/icons.html

you should fix it to upload new version to google play
https://www.xda-developers.com/google-play-app-updates-must-target-android-8-0/"
brarcher/loyalty-card-locker,open,Feature request: Android based watch support,"[Label(name=""enhancement""), Label(name=""help wanted"")]","I have an amazfit Stratos which is Android 5.1 based with a 320x300 pixel resolution. The app installs and works with a bit of tweaking of the fonts, however the title bar of an individual barcode is too large and takes up too much of the screen. Could you please include an optimisation for a smaller screen?

Thanks"
brarcher/loyalty-card-locker,open,Feature Request: Swipe to scroll between cards,[],"Requesting a feature to allow swiping to scroll between cards, rather than having to return to the main screen and select an alternate card."
brarcher/loyalty-card-locker,closed,Norwegian Bokmål translation,[],"I don't use Transifex anymore because it does not respect liberty, and suggest registering the project on hosted Weblate instead."
brarcher/loyalty-card-locker,open,Save related coupons,[],"Some stores serve coupons as barcodes. Would be nice to be able to store them along the cards.

<img src=""https://user-images.githubusercontent.com/1408843/47157368-752e9480-d2e9-11e8-9ade-3c1457dcf044.png"" width=""300"">

I'm often using [Revolution IRC](https://github.com/MCMrARM/revolution-irc) which channel handling could be useful here to seperate the main barcode view. You could swipe across all different cards with customizable names (#264) until you're at the coupons section. That's a simple scrollable list with customizable notes above.

Of course they often have an expiration date so this is a bit related to #229. I've thought of adding a red color to the barcode which then can deleted by a long press. Maybe a striked out text or something similar would work too.

<img src=""https://user-images.githubusercontent.com/1408843/47156538-9f7f5280-d2e7-11e8-8ad7-b56a24e1721b.png"" height=""300""> <img src=""https://user-images.githubusercontent.com/1408843/47156544-a4440680-d2e7-11e8-8b3f-19bda5a67b0b.png"" height=""300""> <img src=""https://user-images.githubusercontent.com/1408843/47156545-a4440680-d2e7-11e8-9bbb-725b84f457ce.png"" height=""300"">"
brarcher/loyalty-card-locker,open,Add search feature,[],Add a search menu item to the main screen. The search would cover both the store name and note field. This will be useful for those who have large lists of cards.
brarcher/loyalty-card-locker,open,Add setting for size of colored letter on main screen,[],"If someone wants to see more entries on the main screen, the font size of the titled can be reduced. However, the size of the colored letter does not change. In order to get more cards on the main screen the color letter font size also needs to be configurable."
brarcher/loyalty-card-locker,open,Bug - the card id is lost when put long note,[],"Take this only as an information. I do not know your time and its up to you to fix it as it is not the bug that will block using this application.

There is an bug. When I put long note it does not show the card id and the notes are put up under bar code.
I think this should work like that the card ID must be shown every time and the notes must be not shown. I think the best is that every part must have its own place and this cannot be over written. The top part of title should have small place because the picture feature is in the far future and the test should have small place.
The second part bar code must have the begist place.
Teh third part note must have the fixed size and if the text is longer then show it for click or by rolling left or right like it is normal for android itself.
See the screenshot.
![screenshot_20181015-112359](https://user-images.githubusercontent.com/44057715/46943196-6fc61580-d06f-11e8-8f34-fa25963707e4.png)
Best Regards"
brarcher/loyalty-card-locker,closed,Update for v0.25.1,[],
brarcher/loyalty-card-locker,closed,Update translations,[],
