repository,state,title,label,body
micolous/metrodroid,open,ricaricami: Add birth date.,[],Thanks to @lambia
micolous/metrodroid,open,Big lint pass,[],
micolous/metrodroid,open,Move nfc-felica-lib to project proper,[],"nfc-felica-lib is treated pretty much like part of the project, so put it in project proper."
micolous/metrodroid,closed,Podorozhnik: Fix grouping of serial number digits,[],
micolous/metrodroid,open,Restructure ClassicCardTransitFactory to reuse EarlyCheck for normal …,[],…check
micolous/metrodroid,open,Add a possibility to import MCT files directly in Metrodroid,[],
micolous/metrodroid,closed,Implement parser for Zolotaya Korona.,[],"Zolotaya Korona is MFC-based system used across Russia. I could get my hands
on 2 cards from Iaroslavl and one from Krasnodar.
"
micolous/metrodroid,closed,Add Litacka ID and change message for different kinds of unauthorized cards,[],
micolous/metrodroid,closed,Fix NPE when loading supported card list,[],
micolous/metrodroid,closed,Set of small and lint fixes,[],
micolous/metrodroid,open,felica: code to read Felica Lite,[],"Felica lite has following quirks:

* No system code list
* At least some variants respond to any system code
* Attempting to read above 0x20 results in disconnected tag

While on it, fix to keep already read data in case of disconnect"
micolous/metrodroid,closed,When trying alternate static keys dedup them.,[],"Many keys are repeated in static keysets, no need to try them a lot of times."
micolous/metrodroid,closed,Easycard couple of cleanups,[],
micolous/metrodroid,closed,Implement parser for Danish Rejsekort and Stockholm SLAccess,[],"It should be able to parse other cards following RKF standard which
covers most of the cards in Norway, Sweden and Denmark but I have no other
card to test"
micolous/metrodroid,closed,New function formatNumber,[],"Often it's needed to pretty-print the serial and every transit data solves it
itself in an ugly way. Have a central function for this."
micolous/metrodroid,closed,SunCard from Orlando,[],It has only serial stored on it
micolous/metrodroid,closed,Small lint pass,[],
micolous/metrodroid,closed,Danish Rejsekort and RKF standard,[],
micolous/metrodroid,closed,Fix OOM when exporting large cardset,[],
micolous/metrodroid,closed,Fix mfcdump_convert,[],
micolous/metrodroid,closed,Implement parser for French vending machines (Selecta),[],"Well this is not a transit agency but the card is a typical stored value card
like the ones used by transit agencies"
micolous/metrodroid,closed,Fix OOM when exporting large cardset,[],
micolous/metrodroid,closed,Switch TransitData to return list of trips and subscriptions rather than array,[],On top of factories branch.
micolous/metrodroid,closed,Read serial for AT HOP,[],On top of factories branch.
micolous/metrodroid,closed,Try well-known keys at the same time as loaded static keys,[],"It makes no sense to add well-known keys to user list, so pretend that
they are always in the list.

This speeds up scanning hugely as current code waits to bruteforce all
keys."
micolous/metrodroid,closed,tmoney: Read DF,[],It is useful to read expiry date among other things
micolous/metrodroid,closed,Fix crash in farebotxml2files,[],
micolous/metrodroid,closed,Use common Intercode format in AdelaideSubscription,[],
