repository,state,title,label,body
mkulesh/microMathematics,closed,Improve writing in README.md,[],"Problem: grammar, spelling, word choice
-Fix grammar issues
-Fix spelling issues
-Improve word choice to better explain the product
-Capitalize title to be more visually appealing"
mkulesh/microMathematics,closed,Add Chinese Translation ,"[Label(name=""enhancement"")]","There are two parts:
- Traditional Chinese Translation (#80)
- Simplified Chinese Translation (#78)"
mkulesh/microMathematics,closed,Traditional Chinese Translation,[],
mkulesh/microMathematics,closed,XXE in ImportFromSMathStudio.java,"[Label(name=""bug"")]","# The Issue

An XML External Entity attack is a type of attack against an application that parses XML input. This attack occurs when XML input containing a reference to an external entity is processed by a weakly configured XML parser. This attack may lead to the disclosure of confidential data, denial of service, server side request forgery, port scanning from the perspective of the machine where the parser is located, and other system impacts.

# Where the Issue Occurred

The following code snippets display the usage of `DocumentBuilderFactory` without securely disabling entities:

https://github.com/mkulesh/microMathematics/blob/1b8a59e5464e37457342ffff85cf9fa506042b7d/app/src/main/java/com/mkulesh/micromath/io/ImportFromSMathStudio.java#L179"
mkulesh/microMathematics,closed,Simplified Chinese Translation,[],
mkulesh/microMathematics,closed,could I translate this into Chinese?,[],I guess that I just need to translate the string.xml
mkulesh/microMathematics,open,Poor swiping scrolling controls,[],"Moto G5 Plus, rooted, Magisk and Xposed, Android 7.0.
Tested on latest microMathematics+ on F-Droid and microMathematics on Play Store.

The app feels very uncomfortable to use because of poor swiping controls. I would say the app is *unpredictable and completely uncontrollable*.

- If I swipe once, the canvas scrolls along with my finger. If I let go and swipe again, the canvas keeps moving on its own, instead of following my finger (which other properly-designed apps do). The second swipe only takes effect after I let go of the screen.
- Sometimes swiping twice causes the app to zoom in/out instead of scrolling twice (followed by some scrolling due to momentum).
- The document zoom sometimes changes randomly.
- I can zoom in so far I get text with letters flickering on top of each other, with toast ""Not enough memory for plot visualization"".
- Pinch-to-zoom does not zoom around the locations of my 2 fingers. Instead the document scrolls about an unpredictable and uncontrollable point. And the document changes location 1/2 second after I let go of pinch-to-zoom or double-tap zoom.
    - If you pinch in the middle of a text field, it jumps to the ""right"" location. If your cursor is in a text field but you scroll down then pinch, it jumps from your current location to the text field.
- When I tap in a text field, the keyboard pushes the document around, causing it to move in unpredictable ways. I think it's trying to keep the cursor visible on-screen, and not covered by the keyboad."
mkulesh/microMathematics,open,3D Plot with indexed variable,[],"A 3D plot y(x1,x2) does plot y against x1 and x2. If one of the variables is indexed, say y(x1[N],x2), then the plot axes are N and x2. Shouldn't the axes be x1[N] and x2? An example is attached. 
Even zip won't work so 

`<?xml version='1.0' encoding='UTF-8' standalone='yes' ?>
<micromath xmlns:mmt=""http://micromath.mkulesh.com"">
  <formulaList documentVersion=""2"" author=""ken"" title=""dog_river"" description="""" textWidth=""60"" significantDigits=""6"" scale=""0.48428"" redefineAllowed=""true"">
    <text_fragment>
      <term key=""text"" text=""Dog swims across river.&#10;From Xint,Yint toward dock at 0,0.&#10;rdv is current/dog speed &lt;1.0&#10;"" />
    </text_fragment>
    <equation>
      <term key=""leftTerm"" text=""Xint"" />
      <term key=""rightTerm"" text=""2.0"" />
    </equation>
    <equation inRightOfPrevious=""true"">
      <term key=""leftTerm"" text=""Yint"" />
      <term key=""rightTerm"" text=""1.0"" />
    </equation>
    <equation>
      <term key=""leftTerm"" text=""rdv1"" />
      <term key=""rightTerm"" text=""0.3"" />
    </equation>
    <equation inRightOfPrevious=""true"">
      <term key=""leftTerm"" text=""rdv2"" />
      <term key=""rightTerm"" text=""0.5"" />
    </equation>
    <equation inRightOfPrevious=""true"">
      <term key=""leftTerm"" text=""rdv3"" />
      <term key=""rightTerm"" text=""0.7"" />
    </equation>
    <equation>
      <term key=""leftTerm"" text=""C(rdv)"" />
      <term key=""rightTerm"" code=""mult"">
        <term key=""leftTerm"" code=""power"">
          <term key=""leftTerm"" text=""Xint"" />
          <term key=""rightTerm"" text=""rdv"" />
        </term>
        <term key=""rightTerm"" code=""identity"">
          <term key=""argTerm"" code=""divide_slash"">
            <term key=""leftTerm"" text=""Xint"" />
            <term key=""rightTerm"" code=""plus"">
              <term key=""leftTerm"" text=""Yint"" />
              <term key=""rightTerm"" code=""sqrt_layout"">
                <term key=""argTerm"" code=""plus"">
                  <term key=""leftTerm"" code=""power"">
                    <term key=""leftTerm"" text=""Xint"" />
                    <term key=""rightTerm"" text=""2"" />
                  </term>
                  <term key=""rightTerm"" code=""power"">
                    <term key=""leftTerm"" text=""Yint"" />
                    <term key=""rightTerm"" text=""2"" />
                  </term>
                </term>
              </term>
            </term>
          </term>
        </term>
      </term>
    </equation>
    <equation>
      <term key=""leftTerm"" text=""N1"" />
      <term key=""rightTerm"" text=""200"" />
    </equation>
    <equation inRightOfPrevious=""true"">
      <term key=""leftTerm"" text=""x"" />
      <term key=""rightTerm"" code=""equidistant_interval"">
        <term key=""minValue"" text=""0"" />
        <term key=""nextValue"" code=""divide"">
          <term key=""leftTerm"" text=""Xint"" />
          <term key=""rightTerm"" text=""N1"" />
        </term>
        <term key=""maxValue"" text=""Xint"" />
      </term>
    </equation>
    <equation>
      <term key=""leftTerm"" text=""y(x,rdv)"" />
      <term key=""rightTerm"" code=""mult"">
        <term key=""leftTerm"" code=""divide"">
          <term key=""leftTerm"" text=""1"" />
          <term key=""rightTerm"" text=""2"" />
        </term>
        <term key=""rightTerm"" code=""minus"">
          <term key=""leftTerm"" code=""divide"">
            <term key=""leftTerm"" code=""power"">
              <term key=""leftTerm"" text=""x"" />
              <term key=""rightTerm"" code=""identity"">
                <term key=""argTerm"" code=""plus"">
                  <term key=""leftTerm"" text=""rdv"" />
                  <term key=""rightTerm"" text=""1"" />
                </term>
              </term>
            </term>
            <term key=""rightTerm"" code=""content:com.mkulesh.micromath.link.C"">
              <term key=""argTerm"" text=""rdv"" />
            </term>
          </term>
          <term key=""rightTerm"" code=""divide"">
            <term key=""leftTerm"" code=""content:com.mkulesh.micromath.link.C"">
              <term key=""argTerm"" text=""rdv"" />
            </term>
            <term key=""rightTerm"" code=""power"">
              <term key=""leftTerm"" text=""x"" />
              <term key=""rightTerm"" code=""identity"">
                <term key=""argTerm"" code=""minus"">
                  <term key=""leftTerm"" text=""rdv"" />
                  <term key=""rightTerm"" text=""1"" />
                </term>
              </term>
            </term>
          </term>
        </term>
      </term>
    </equation>
    <text_fragment>
      <term key=""text"" text=""&#10;More points near zero&#10;"" />
    </text_fragment>
    <equation>
      <term key=""leftTerm"" text=""N"" />
      <term key=""rightTerm"" code=""equidistant_interval"">
        <term key=""minValue"" text=""0"" />
        <term key=""nextValue"" text=""1"" />
        <term key=""maxValue"" text=""N1"" />
      </term>
    </equation>
    <equation>
      <term key=""leftTerm"" text=""x1[N]"" />
      <term key=""rightTerm"" code=""mult"">
        <term key=""leftTerm"" text=""Xint"" />
        <term key=""rightTerm"" code=""power"">
          <term key=""leftTerm"" code=""divide"">
            <term key=""leftTerm"" code=""content:com.mkulesh.micromath.index.x"">
              <term key=""argTerm"" text=""N"" />
            </term>
            <term key=""rightTerm"" text=""Xint"" />
          </term>
          <term key=""rightTerm"" text=""4"" />
        </term>
      </term>
    </equation>
    <equation>
      <term key=""leftTerm"" text=""y2(x)"" />
      <term key=""rightTerm"" text=""0.0"" />
    </equation>
    <text_fragment>
      <term key=""text"" text=""&#10;Path with various currents&#10;"" />
    </text_fragment>
    <plot_function width=""667"" height=""667"" axes_style=""boxed"" xLabelsNumber=""4"" yLabelsNumber=""4"" gridLineColor=""#FFE0E0E0"" xType=""linear"" yType=""linear"" functionsNumber=""4"">
      <term key=""yMaxValue"" text="""" />
      <term key=""yFunction1"" color=""#FF0000FF"" width=""6"" lineStyle=""solid"" shapeType=""none"" shapeSize=""300"" code=""content:com.mkulesh.micromath.link.y:2"">
        <term key=""argTerm1"" text=""x"" />
        <term key=""argTerm2"" text=""rdv1"" />
      </term>
      <term key=""yFunction2"" color=""#FFFF0080"" width=""6"" lineStyle=""dashed"" shapeType=""none"" shapeSize=""300"" code=""content:com.mkulesh.micromath.link.y:2"">
        <term key=""argTerm1"" text=""x"" />
        <term key=""argTerm2"" text=""rdv2"" />
      </term>
      <term key=""yFunction3"" color=""#FF008A39"" width=""6"" lineStyle=""dotted"" shapeType=""none"" shapeSize=""300"" code=""content:com.mkulesh.micromath.link.y:2"">
        <term key=""argTerm1"" text=""x"" />
        <term key=""argTerm2"" text=""rdv3"" />
      </term>
      <term key=""yFunction4"" color=""#FF003899"" width=""5"" lineStyle=""dash_dot"" shapeType=""none"" shapeSize=""300"" code=""content:com.mkulesh.micromath.link.y2"">
        <term key=""argTerm"" text=""x"" />
      </term>
      <term key=""yMinValue"" text="""" />
      <term key=""xMinValue"" text="""" />
      <term key=""xFunction1"" text=""x"" />
      <term key=""xFunction2"" text=""x"" />
      <term key=""xFunction3"" text=""x"" />
      <term key=""xFunction4"" text=""x"" />
      <term key=""xMaxValue"" text="""" />
    </plot_function>
    <text_fragment>
      <term key=""text"" text=""&#10;Close to zero&#10;"" />
    </text_fragment>
    <plot_function width=""688"" height=""688"" axes_style=""boxed"" xLabelsNumber=""4"" yLabelsNumber=""4"" gridLineColor=""#FF787878"" xType=""linear"" yType=""linear"" functionsNumber=""2"">
      <term key=""yMaxValue"" text=""0.2"" />
      <term key=""yFunction1"" color=""#FF0000FF"" width=""6"" lineStyle=""solid"" shapeType=""none"" shapeSize=""300"" code=""content:com.mkulesh.micromath.link.y:2"">
        <term key=""argTerm1"" code=""content:com.mkulesh.micromath.index.x1"">
          <term key=""argTerm"" text=""N"" />
        </term>
        <term key=""argTerm2"" text=""0.8"" />
      </term>
      <term key=""yFunction2"" color=""#FFFF0080"" width=""6"" lineStyle=""dashed"" shapeType=""none"" shapeSize=""300"" code=""content:com.mkulesh.micromath.link.y:2"">
        <term key=""argTerm1"" text=""x"" />
        <term key=""argTerm2"" text=""0.8"" />
      </term>
      <term key=""yMinValue"" text=""-0.3"" />
      <term key=""xMinValue"" text="""" />
      <term key=""xFunction1"" code=""content:com.mkulesh.micromath.index.x1"">
        <term key=""argTerm"" text=""N"" />
      </term>
      <term key=""xFunction2"" text=""x"" />
      <term key=""xMaxValue"" text=""0.01"" />
    </plot_function>
    <equation>
      <term key=""leftTerm"" text=""p2"" />
      <term key=""rightTerm"" code=""equidistant_interval"">
        <term key=""minValue"" text=""0.3"" />
        <term key=""nextValue"" text=""0.35"" />
        <term key=""maxValue"" text=""0.8"" />
      </term>
    </equation>
    <text_fragment>
      <term key=""text"" text=""&#10;3D Plot&#10;"" />
    </text_fragment>
    <plot_contour plotStyle=""surface"" width=""667"" height=""667"" axes_style=""boxed"" meshLines=""false"" meshFill=""true"" meshOpacity=""181"" rotation=""335"" elevation=""20"" xLabelsNumber=""4"" yLabelsNumber=""4"" gridLineColor=""#FFE0E0E0"" xType=""linear"" yType=""linear"" zLabelsNumber=""10"" colorMap=""coldhot"">
      <term key=""yMaxValue"" text="""" />
      <term key=""yMinValue"" text="""" />
      <term key=""xMinValue"" text="""" />
      <term key=""zFunction"" code=""content:com.mkulesh.micromath.link.y:2"">
        <term key=""argTerm1"" text=""x"" />
        <term key=""argTerm2"" text=""p2"" />
      </term>
      <term key=""xMaxValue"" text="""" />
    </plot_contour>
    <text_fragment>
      <term key=""text"" text=""&#10;Axis should be x1[N] not N?&#10;"" />
    </text_fragment>
    <plot_contour plotStyle=""surface"" width=""667"" height=""667"" axes_style=""boxed"" meshLines=""false"" meshFill=""true"" meshOpacity=""181"" rotation=""335"" elevation=""20"" xLabelsNumber=""4"" yLabelsNumber=""4"" gridLineColor=""#FFE0E0E0"" xType=""linear"" yType=""linear"" zLabelsNumber=""10"" colorMap=""coldhot"">
      <term key=""yMaxValue"" text="""" />
      <term key=""yMinValue"" text="""" />
      <term key=""xMinValue"" text="""" />
      <term key=""zFunction"" code=""content:com.mkulesh.micromath.link.y:2"">
        <term key=""argTerm1"" code=""content:com.mkulesh.micromath.index.x1"">
          <term key=""argTerm"" text=""N"" />
        </term>
        <term key=""argTerm2"" text=""p2"" />
      </term>
      <term key=""xMaxValue"" text="""" />
    </plot_contour>
  </formulaList>
</micromath>`




"
mkulesh/microMathematics,closed,Implement logarithmic scale for function plot,"[Label(name=""enhancement"")]",
mkulesh/microMathematics,closed,habrahabr.ru → habr.com,[],"Update links in `README.md`

habrahabr.ru → habr.com

- https://habr.com/post/93946/

geektimes.ru → geektimes.com

- https://geektimes.com/post/300291/"
