repository,state,title,label,body
niteshpatel/ministocks,closed,Widget size shrunk due to default widget margin changes in API 14+,"[Label(name=""bug"")]",
niteshpatel/ministocks,closed,Brazilian Portuguese APK version,[],"Brazilian Portuguese APK version: 
https://chasqueweb.ufrgs.br/~slomp/edu01027/traducoes/mini-stocks-pt_BR.apk"
niteshpatel/ministocks,closed,Google quotes not working,"[Label(name=""bug"")]",Quotes sourced from Google such as .DJI and .IXIC are not working.  These quotes should not be sourced from Google for the time being.
niteshpatel/ministocks,closed,Brazilian Portuguese translation,[],Brazilian Portuguese translation
niteshpatel/ministocks,closed,Application force closing on widget add,[],"This is very useful widget and I like it. Yesterday I tried to install the widget from Google Play on new Samsung Galaxy Note 8 and it failed. The same error happened on emulator. Locale on device is English-UK. After investigation, I found that crash is in class WidgetView.java, method getTimeStamp().

Fatal error: java.lang.ArrayIndexOutOfBoundsException: length=1; index=1 
The crash happens in line:
`String fullDate = parts[0] + "" "" + parts[1];`

I commented out entire ""if"" block and the error disappeared. 
"
niteshpatel/ministocks,closed,Reformatted code,[],The code was reformatted so that we have consistency throughout.
niteshpatel/ministocks,closed,#39 UI Automator,[],Automated tests using UI Automator
niteshpatel/ministocks,closed,Global variable sync,[],
niteshpatel/ministocks,closed,Code Clean Up,[],"Renaming of vague variables to something more relevant.
Addition of comments to provide context / flag code for feature implementation
WIP for #31, can will be continued throughout project to maintain readability. "
niteshpatel/ministocks,closed,Classes and mockup,[],Added final documents required for Sprint 1
niteshpatel/ministocks,closed,Pr chris,[],downgrade to 3.0.1
niteshpatel/ministocks,closed,Fake Pull Request,[],Fake Pull Request
niteshpatel/ministocks,closed,Jeff pr,[],"Demonstrating ability to create a branch, push to it and create a pull request."
niteshpatel/ministocks,closed,Component diagram,[],"Addition of Component diagram, and showing the ability to make a pull request."
niteshpatel/ministocks,open,Portfolio Settings,[],"i can not set the quantity of my shares between 0 and 1. Example:0,5
you need this for bitcoin or similar share, when you get 1/20 or 0,3 of value."
niteshpatel/ministocks,closed,misalignment between quotes fetched and symbols suggested,[],"The last update of ministock (build 71) solves the 90% of my problems, but it is worth stressing that other quotes like stock on european markets and currency exchange rates are not available from the new source. 
However the app continues to suggest these symbols using a yahoo api and this seems misleading"
niteshpatel/ministocks,closed,ministocks stoped updating stocks,[],"checked on top one-plus 2
with stocks from Nasdaq / NYSE"
niteshpatel/ministocks,closed,Update README.md,[],"This small and useless PR adds two buttons to get your app on F-Droid and Play Store ;)

Thanks for this app"
niteshpatel/ministocks,closed,Only allowing 4 stocks in 2x2 widget,[],"Latest update removed ability to select 10 stocks. Tried installing previous versions, but still only displaying 4 stocks slots. Using One Plus One, Android version 6.0.1"
niteshpatel/ministocks,closed,Samsung Galaxy S8+ Widget not auto-updating,[],"I love this app when it was on my Note 4, but since I update to the Galaxy S8+ the widget will not automatically update. I have checked the update options in the app. I have also turned off ""Optimize battery usage"" for the app  and the ""App power monitor"". If you could please advise. Thanks"
niteshpatel/ministocks,closed,Data retrieval for IXIC and DJI no longer working,"[Label(name=""bug"")]",The Google Finance API used to retrieve data for DJI and IXIC are no longer working
niteshpatel/ministocks,closed,Ministock does not work on Note8,[],"Been using the app for years. Just installed on my Note8 and what was working on every phone, including my S7 Edge now aborts every time I try to add the widget to a screen ""Ministock has Stopped""."
niteshpatel/ministocks,closed,Use https in QuoteRepositories and helps,[],"There are some http URLs that already redirect to https. To avoid these unnecessary redirects, use https directly."
niteshpatel/ministocks,open,Option to show two decimal places for percentage change,[],Requested by a user stating that other financial sites provide this level of precision.
niteshpatel/ministocks,open,Support resizing widgets,"[Label(name=""enhancement"")]","Some people have non-standard resolutions and the resize option would allow them to take up less space on their screens and still show all the detail on the widget.

Simply offering a small widget size is not a good idea, as this would cause option bloat, and this is a non-standard request that resizing would cater for the whole class thereof.
"
niteshpatel/ministocks,closed,^DWCPF returns no data from the Yahoo data source so get it from Google instead,"[Label(name=""enhancement"")]","Add ^DWCPF to the list of quotes we get from Google instead of Yahoo.
"
niteshpatel/ministocks,closed,Storing the buy price in the portfolio with 4dp only retains up to the 3rd dp,"[Label(name=""bug"")]",
niteshpatel/ministocks,closed,Stocks with a value under 10 can show too many decimal places after reboot,"[Label(name=""bug"")]","When a quote has a value less than ten, e.g. 1.34 it can show extra decimal places after boot, for example 1.3400 instead of 1.34 even if the incoming source data only has 2 decimal places.

We should not use more decimal places than supplied in the source data.
"
niteshpatel/ministocks,closed,Decimal points and commas are not appearing for some users on portfolio input fields,"[Label(name=""bug"")]","This seems to have changed after the last release when I changed the way the input mask is determined by using a key listening instead of input type.

The reason for the change was that the options you can provide when using an input type allow you to include a 'dot' as a key, but not a locale determined decimal separator (which is bizarre).  

Basically the aim is to get only numerals, plus the sign operator where relevant, and the dot or comma as per locale.  Having both dot and comma is acceptable (the edit control will parse the number correctly).
"
niteshpatel/ministocks,closed,Calculation of holding in portfolio is incorrect in some locales,"[Label(name=""bug"")]","The holding calculation needs to take into account the locale so the locale specific decimal separator is handled correctly.
"
niteshpatel/ministocks,closed,Run tests as part of CI build,"[Label(name=""enhancement"")]",
niteshpatel/ministocks,closed,Portfolio is not showing stock description,"[Label(name=""bug"")]","On the portfolio screen ""No description"" is shown for stocks, even when the stock description is shown on the wide widgets - in other words data is there but not being used.
"
niteshpatel/ministocks,open,Refactor  - store incoming prices as BigDecimals ,"[Label(name=""enhancement"")]","Prices should be stored as BigDecimals. The formatting of numbers to strings should be done elsewhere (currently in StockQuote)
1. Add StockQuote.rawPrice : BigDecimal. This has the value of the raw data from source.
2. Move formatting code to StockQuote.getPrice() - make it use priceBigDecimal.
3. Remove StockQuote.price
4. Move formatting code to another class

. 
"
