repository,state,title,label,body
MirakelX/mirakel-android,open,Misuses of multiple SQL statements in an execSQL(),[],"Hello,
I've spotted some misuses of multiple SQL statements in an execSQL(). In fact, the second INSERTs do not get executed by SQLite like this. Please consider reviewing and fixing it.
Best,
Csaba"
MirakelX/mirakel-android,closed,Use BufferedOutputStream,[],"fixes Taskwarrior sync problems on android 7
http://stackoverflow.com/questions/39439811/android-n-dataoutputstream-writeint-behaviour-changed
TW error: INFO expecting 0 bytes."
MirakelX/mirakel-android,closed,"Problem building Mirakel (generate_v14_compatible_resources.py Error:(37, 0) CreateProcess error=193, %1 is not a valid Win32 application",[],"I've can't get to build Mirakel, after other problems I've gotten to the point that is say:

Error:(37, 0) CreateProcess error=193, %1 is not a valid Win32 application

Which has to do with this line:
def script = (rootDir.toString()+""/build/scripts/generate_v14_compatible_resources.py --res-dir ""+res_dir+"" --res-v14-compatibility-dir ""+res_v14_dir+"""").execute()

I don't need API 14 anyway, how can I make it build for API17 at least?"
MirakelX/mirakel-android,open,recruit new maintainers,[],"I was thinking if you do not have much time to develop Mirakel, you could ask some new guys from community to become a maintainer and give them commit access. Those might be just long-term contributors or just people you trust.
"
MirakelX/mirakel-android,open,repeated reminders,[],"Hey guys,

I use mirakel a lot and I really like the feature that task could be repeated. It helps me managing my daily workflow. However, for repeated tasks I have to set due date and then those tasks are visible in my task list.

I would like to have some tasks visible in my tasklist only at the date when  those tasks should be done and not all time as it is with repeated tasks. When I set a reminder then the task is visible in my list only at the date when it is reminded.

Could there be added option to have **repeated reminders**?

Thanks
"
MirakelX/mirakel-android,closed,Unable to Import the Project,[],"Hello,
 Im getting this ""Error:(64, 0) F:\mirakel-android-master\new_ui\local.properties (The system cannot find the file specified)"" While importing project in windows machine, Any idea about the cause?
"
MirakelX/mirakel-android,open,"""Help us!"" page links to JIRA for issues",[],"The [Help us! page, section ""Report Bugs and Features""](http://mirakel.azapps.de/help_us.html#report-bugs-and-features) points the visitor to an JIRA instance that points to the GitHub issues page. The Help us! page should point directly to the GitHub issues page.
"
MirakelX/mirakel-android,open,Task priority doesn't match up Taskwarrior,[],"In Mirakel task without a priority gets priority value of 0 and tasks with ""low"" priority -2. So tasks without priority are listed higher. But when using sync with Taskwarrior, tasks set with ""low"" priority in TW get higher urgency and are listed higher than tasks with no priority. I suggest giving TW tasks with ""low"" priority a value of 0 and tasks no priority a value of -1. Then tasks would be listed in same order in both programs. If this can't be default, would be nice if it was a settings option.
"
MirakelX/mirakel-android,open,Hide keyboard when entering the date/hour,[],"When we stablish the date and the notifications, the keyboard appears (Android 4.3 and 5.1.1) so it's a bit confusing because we don't see the hour to due the notification and it's annoying. 

Could you please do something? 

Thanks beforehand
"
MirakelX/mirakel-android,closed,NullPointerException when syncing with a TaskServer,"[Label(name=""Taskwarrior""), Label(name=""bug""), Label(name=""duplicate"")]","I get the following error when trying to sync with a Taskwarrior server (taken using Android built-in bug reporting tool):

```
01-13 19:48:28.961 31776 31794 E ACRA    : ACRA caught a NullPointerException for de.azapps.mirakelandroid
01-13 19:48:28.961 31776 31794 E ACRA    : java.lang.NullPointerException: Attempt to invoke virtual method 'boolean android.database.sqlite.SQLiteDatabase.inTransaction()' on a null object reference
01-13 19:48:28.961 31776 31794 E ACRA    :  at de.azapps.mirakel.model.MirakelInternalContentProvider.withTransaction(MirakelInternalContentProvider.java:441)
01-13 19:48:28.961 31776 31794 E ACRA    :  at de.azapps.mirakel.model.list.ListMirakel.create(ListMirakel.java:404)
01-13 19:48:28.961 31776 31794 E ACRA    :  at de.azapps.mirakel.model.list.ListMirakel.newList(ListMirakel.java:369)
01-13 19:48:28.961 31776 31794 E ACRA    :  at de.azapps.mirakel.sync.taskwarrior.TaskWarriorSync.createProjects(TaskWarriorSync.java:470)
01-13 19:48:28.961 31776 31794 E ACRA    :  at de.azapps.mirakel.sync.taskwarrior.TaskWarriorSync.doSync(TaskWarriorSync.java:167)
01-13 19:48:28.961 31776 31794 E ACRA    :  at de.azapps.mirakel.sync.taskwarrior.TaskWarriorSync.sync(TaskWarriorSync.java:554)
01-13 19:48:28.961 31776 31794 E ACRA    :  at de.azapps.mirakel.sync.taskwarrior.TaskWarriorSync.doSync(TaskWarriorSync.java:127)
01-13 19:48:28.961 31776 31794 E ACRA    :  at de.azapps.mirakel.sync.taskwarrior.TaskWarriorSync.sync(TaskWarriorSync.java:554)
01-13 19:48:28.961 31776 31794 E ACRA    :  at de.azapps.mirakel.sync.taskwarrior.services.SyncAdapter.onPerformSync(SyncAdapter.java:116)
01-13 19:48:28.961 31776 31794 E ACRA    :  at android.content.AbstractThreadedSyncAdapter$SyncThread.run(AbstractThreadedSyncAdapter.java:272)
```

Thanks!
"
