repository,state,title,label,body
matburt/mobileorg-android,open,Cant select sync options on setup wizard,[],"I have a LG X Power with Android 6.0.1 and the setup wizard gives me only the option to sync with SSH. There are no other option, even when I go to Settings, etc. Can someome help me please..."
matburt/mobileorg-android,open,Cant select sync options on setup wizard,[],"I have a LG X Power with Android 6.0.1 and the setup wizard gives me only the option to sync with SSH. There are no other option, even when I go to Settings, etc. Can someome help me please..."
matburt/mobileorg-android,open,can't find local ssh key (java.io.FileNotFoundException),[],"Using different file explorers, the ssh key file still can't be addressed.

    04-01 03:15:29.543  6589  7478 D MobileOrg: java.net.ConnectException: Connection refused
    04-01 03:15:29.543  6589  7478 E MobileOrg: SSH Connection failed
    04-01 03:15:29.545  6589  7478 D MobileOrg: java.io.FileNotFoundException: /storage_root/Download/ssh_host_rsa_key (No such file or directory)
    04-01 03:15:29.546  6589  7478 I MobileOrg: SSH Get index file failed
(on LineageOS for microG 14.1)

Has anyone seen this problem?
"
matburt/mobileorg-android,open,Crash when selecting local filesystem in Setup Wizard,[],"Only on some devices:

NOKIA 3
mobileorg-android 0.9.13
Android 7.1.1


NO crash on: SAMSUNG Galaxy Tab A 
mobileorg-android 0.9.13
Android 7.1.1

This is what logcat says when it happens (see below)

tldr, This is line 3 
...
03-02 06:51:46.487  1862  1862 E AndroidRuntime: java.lang.NullPointerException: Attempt to get length of null array
...

Does anyone have an idea? Sadly I don't.

```
03-02 06:51:46.487  1862  1862 E AndroidRuntime: FATAL EXCEPTION: main
03-02 06:51:46.487  1862  1862 E AndroidRuntime: Process: com.matburt.mobileorg.donate, PID: 1862
03-02 06:51:46.487  1862  1862 E AndroidRuntime: java.lang.NullPointerException: Attempt to get length of null array
03-02 06:51:46.487  1862  1862 E AndroidRuntime: 	at java.util.Arrays.sort(Arrays.java:1259)
03-02 06:51:46.487  1862  1862 E AndroidRuntime: 	at com.matburt.mobileorg.donate.Gui.Wizard.LocalDirectoryBrowser.browseTo(LocalDirectoryBrowser.java:38)
03-02 06:51:46.487  1862  1862 E AndroidRuntime: 	at com.matburt.mobileorg.donate.Gui.Wizard.LocalDirectoryBrowser.<init>(LocalDirectoryBrowser.java:13)
03-02 06:51:46.487  1862  1862 E AndroidRuntime: 	at com.matburt.mobileorg.donate.Gui.Wizard.Wizards.SDCardWizard.createSDcardFolderSelector(SDCardWizard.java:34)
03-02 06:51:46.487  1862  1862 E AndroidRuntime: 	at com.matburt.mobileorg.donate.Gui.Wizard.Wizards.SDCardWizard.setupFirstPage(SDCardWizard.java:27)
03-02 06:51:46.487  1862  1862 E AndroidRuntime: 	at com.matburt.mobileorg.donate.Gui.Wizard.Wizards.Wizard.<init>(Wizard.java:34)
03-02 06:51:46.487  1862  1862 E AndroidRuntime: 	at com.matburt.mobileorg.donate.Gui.Wizard.Wizards.SDCardWizard.<init>(SDCardWizard.java:21)
03-02 06:51:46.487  1862  1862 E AndroidRuntime: 	at com.matburt.mobileorg.donate.Gui.Wizard.Wizards.Wizard.getWizard(Wizard.java:105)
03-02 06:51:46.487  1862  1862 E AndroidRuntime: 	at com.matburt.mobileorg.donate.Gui.Wizard.WizardActivity.onCheckedChanged(WizardActivity.java:112)
03-02 06:51:46.487  1862  1862 E AndroidRuntime: 	at android.widget.RadioGroup.setCheckedId(RadioGroup.java:173)
03-02 06:51:46.487  1862  1862 E AndroidRuntime: 	at android.widget.RadioGroup.-wrap0(RadioGroup.java)
03-02 06:51:46.487  1862  1862 E AndroidRuntime: 	at android.widget.RadioGroup$CheckedStateTracker.onCheckedChanged(RadioGroup.java:351)
03-02 06:51:46.487  1862  1862 E AndroidRuntime: 	at android.widget.CompoundButton.setChecked(CompoundButton.java:159)
03-02 06:51:46.487  1862  1862 E AndroidRuntime: 	at android.widget.CompoundButton.toggle(CompoundButton.java:115)
03-02 06:51:46.487  1862  1862 E AndroidRuntime: 	at android.widget.RadioButton.toggle(RadioButton.java:76)
03-02 06:51:46.487  1862  1862 E AndroidRuntime: 	at android.widget.CompoundButton.performClick(CompoundButton.java:120)
03-02 06:51:46.487  1862  1862 E AndroidRuntime: 	at android.view.View$PerformClick.run(View.java:22808)
03-02 06:51:46.487  1862  1862 E AndroidRuntime: 	at android.os.Handler.handleCallback(Handler.java:836)
03-02 06:51:46.487  1862  1862 E AndroidRuntime: 	at android.os.Handler.dispatchMessage(Handler.java:103)
03-02 06:51:46.487  1862  1862 E AndroidRuntime: 	at android.os.Looper.loop(Looper.java:203)
03-02 06:51:46.487  1862  1862 E AndroidRuntime: 	at android.app.ActivityThread.main(ActivityThread.java:6293)
03-02 06:51:46.487  1862  1862 E AndroidRuntime: 	at java.lang.reflect.Method.invoke(Native Method)
03-02 06:51:46.487  1862  1862 E AndroidRuntime: 	at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:1084)
03-02 06:51:46.487  1862  1862 E AndroidRuntime: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:945)
```"
matburt/mobileorg-android,open,Is this project being developed?,[],It looks like this project has not had any work done in a while. Is there any plan to restart? Does it make sense to switch to syncorg instead? 
matburt/mobileorg-android,open,MobileOrg Regex Error When Synching Through SSH,[],"Since Dropbox synching stopped working, I switched over to SSH/SCP as a transport. It seemed to be working initially, but know it fails on synching and will just bring down the filenames without any content. Notification bar gives error that says: ""Error: Syntax error in regex pattern near index 176.."""
matburt/mobileorg-android,open,Dropbox to stop working September 28 2017,[],"I received this note from my dropbox account this morning.  It sounds like there was already made an attempt to contact the developer but I didn't see an issue in github.  Please feel free to close if duplicate.   

""On September 28, 2017, we’ll be making some changes to Dropbox that will likely affect the following 3rd party apps linked to your Dropbox account: MobileOrg Android. You’re receiving this email because you’ve used these apps at least once within the past month.

While we’ve informed all developers about our upcoming changes, the developers for the apps listed above have yet to update their apps accordingly. If they don’t update their apps before September 28, these apps will no longer be able to access Dropbox. That said, any data already saved in Dropbox won’t be affected and will still be accessible from our official web, mobile, and desktop clients.""
"
matburt/mobileorg-android,open,How to get/install latest (2016?) version - only see 0.9.13 on Google Play - says file corrupt,[],"I got an email from Dropbox saying because I use Dropbox with MobileOrg and things might break if mobileorg isn't fixed by September 28, 2017.  So I came here to see if anyone was talking about it, and I noticed:
- I'm still using version 0.9.13 from 2013
- there are releases of a 2.0 and other versions under the Releases here on github
But when I tried installing them (by going to github in chrome on my phone) and clicking on the apk for those releases, it tries to install it but the lateset one starts installing but then fails saying the package is corrupt. 
Am I doing something wrong?  How am I supposed to get and install the versions in the Releases?
"
matburt/mobileorg-android,open,Path problem,[],"Hi, thanks for your work.
I have met a problem when I used SSH for sync.
The first time I logged in following the wizard, in the ""Path"" item I wrote the absolute path ""/root/OrgMobile/index.org"" (""/root/OrgMobile"" the same result) , where my agenda files exist. However, after I pressed the ""OK"" button, I got  ""Path does not exist or is not a valid repository.""

I love the app, please tell me what is the problem, many thanks !"
matburt/mobileorg-android,closed,Hy can you tell me were I cant find the way yo cync over webDAV?,[],
