repository,state,title,label,body
SpazeDog/mounts2sd,open,API Compatibility Issues,[],"Dear developers,

We have recently developed a state-of-the-art static analysis tool for uncovering API compatibility issues in Android apps. Applying this tool to open source apps on F-droid, we have exposed a few instances of compatibility issues and submitting them to development teams for a fix. 

For your app, we have found that this project has accessed the following APIs which are available only on an API level higher than the declared minSdkVersion and which are accessed without proper protection. In other words, if those APIs get called at runtime, it will trigger a NoSuchMethodError and thus result in a crash of the running application.

<android.app.FragmentManager: android.app.FragmentTransaction beginTransaction()>:[11,25]
<android.app.FragmentTransaction: int commit()>:[11,25]
<android.app.Fragment: void onPause()>:[11,25]
<android.app.Fragment: void setRetainInstance(boolean)>:[11,25]
<android.app.FragmentManager: android.app.Fragment findFragmentByTag(java.lang.String)>:[11,25]
<android.app.Fragment: void onDestroy()>:[11,25]
<android.app.Fragment: void onStart()>:[11,25]
<android.app.Fragment: void onCreate(android.os.Bundle)>:[11,25]
<android.app.Fragment: void onAttach(android.app.Activity)>:[11,25]
<android.content.SharedPreferences.Editor: void apply()>:[9,25]
<android.app.Fragment: android.app.FragmentManager getChildFragmentManager()>:[17,25]
<android.app.Activity: android.app.FragmentManager getFragmentManager()>:[11,25]
<android.app.Fragment: void onResume()>:[11,25]
<android.app.Fragment: android.app.Activity getActivity()>:[11,25]
<android.app.Fragment: android.app.Fragment getParentFragment()>:[17,25]
<android.app.FragmentTransaction: android.app.FragmentTransaction add(android.app.Fragment,java.lang.String)>:[11,25]
<android.app.Fragment: void <init>()>:[11,25]

Note that, because of the nature of the static analysis, we cannot confirm whether the flagged APIs would actually be called at runtime (e.g., unreachable code). However, we still believe that those APIs, which may cause compatibility issues, should not be accessed or at least be accessed with proper protections. 

In addition to the aforementioned APIs (i.e., backward-compatibility), which could cause app crashes if accessed, we have also identified that this project has also accessed some APIs that have been removed from the latest public SDK, making the app possibly suffer from forward-compatibility issues.

NONE

We would be very much appreciated if you can acknowledge to us that those reported APIs are indeed problematic for the project’s long-term stability. please let us know if you need any more information relating to this issue report.
"
SpazeDog/mounts2sd,closed,empty paths to binaries,[],"Hi, I own Motorola Photon Q and I tried your script to work around CM13 (6.0 Marshamllow) problem with writing to external sdcard and found weird _bug_.

I just added
`Log v ""grep binary: '$_grep'""`
before mmcdevice lookup 
`for mmcPartition in system data cache; do
....`

```
$ logcat| grep -i mounts2sd
04-04 23:56:25.115   194   194 I sysinit : Running /system/etc/init.d/10mounts2sd-runner 
04-05 00:56:28.335   656   656 V Mounts2SD: Setting up the script enviroment 
04-05 00:56:29.354   703   703 V Mounts2SD: Using the shell environment '/system/xbin/busybox sh' 
04-05 00:56:30.022   736   736 V Mounts2SD: Using the busybox binary located at '/system/xbin/busybox' 
04-05 00:56:31.182   805   805 V Mounts2SD: Collecting MMC partition information 
04-05 00:56:31.632   843   843 V Mounts2SD: grep binary: '' 
04-05 00:56:32.015   869   869 V Mounts2SD: Located the 'system' partition at '' 
04-05 00:56:32.507   900   900 V Mounts2SD: Located the 'data' partition at '' 
04-05 00:56:33.017   929   929 V Mounts2SD: Located the 'cache' partition at '' 
04-05 00:56:33.450   957   957 V Mounts2SD: Optimizing MMC devices and partitions 
04-05 00:56:34.816  1045  1045 V Mounts2SD: Setting optimized mount parameters on '' 
04-05 00:56:35.373  1082  1082 V Mounts2SD: Setting optimized mount parameters on '' 
04-05 00:56:36.054  1147  1147 V Mounts2SD: Setting optimized mount parameters on '' 
04-05 00:56:37.570  1245  1245 I Mounts2SD: The system partition is S-On protected and it is therefore not possible to link system content to the '/system' location! 
04-05 00:56:50.998   974   974 W PackageManager: Unknown permission android.permission.ACCESS_SUPERUSER in package com.spazedog.mounts2sd
04-05 00:56:52.483   974  2010 W PackageManager: Unknown permission android.permission.ACCESS_SUPERUSER in package com.spazedog.mounts2sd
04-05 00:57:22.061   974  2836 I ActivityManager: Start proc 4666:com.spazedog.mounts2sd/u0a87 for broadcast com.spazedog.mounts2sd/.ReceiverBoot
04-05 00:57:22.283  4666  4666 W System  : ClassLoader referenced unknown path: /data/app/com.spazedog.mounts2sd-1/lib/arm
04-05 00:57:22.503  4711  4711 D su      : Checking whether app [uid:10087, pkgName: com.spazedog.mounts2sd] is allowed to be root
04-05 00:57:25.834  4666  5193 I RootFW.ShellExtender::run(): Running attempt number 1 [( busybox test -e '/mounts2sd-tmp/safemode.result' && echo true ) || ( busybox test ! -e '/mounts2sd-tmp/safemode.result' && echo false ) 2>/dev/null]
04-05 00:57:25.952  4666  5208 I RootFW.ShellExtender::run(): Running attempt number 1 [( busybox test -e '/mounts2sd-tmp/init.type' && echo true ) || ( busybox test ! -e '/mounts2sd-tmp/init.type' && echo false ) 2>/dev/null]
04-05 00:57:28.128  4666  5480 I RootFW.ShellExtender::run(): Running attempt number 1 [( busybox test -e '/mounts2sd-tmp/e2fsck.result' && echo true ) || ( busybox test ! -e '/mounts2sd-tmp/e2fsck.result' && echo false ) 2>/dev/null]
04-05 00:57:31.086  4711  4711 D su      : Finishing su operation for app [uid:10087, pkgName: com.spazedog.mounts2sd]
```

It looks like $_grep is empty and I suspect that $_awk has same problem. What can be the reason?
"
SpazeDog/mounts2sd,open,Reverse Mount Not Available,[],"It seems the ""Reverse Mount"" option disappeared in the current version (3.4.8)
"
SpazeDog/mounts2sd,open,ZRAM settings has no effect on ZRAM,[],"Android 4.2.2, stock based (prestigio phone).

This is a quick fix for the script:

```
--- mounts2sd.sh.orig   2015-04-10 17:30:24.653286825 +0200
+++ mounts2sd.sh    2015-04-10 17:21:33.030236383 +0200
@@ -112,6 +112,7 @@ touch
 seq
 date
 swapon
+swapoff
 mkswap
 insmod
 readlink
@@ -974,6 +975,9 @@ ProcessMemory() {
                         fi

                     elif $_test -b /dev/block/zram0 || ( $_test -e /system/lib/modules/zram.ko && $_insmod /system/lib/modules/zram.ko ); then
+                        $_swapoff /dev/block/zram0;
+                        $_sleep 0.5;
+                        $_echo 1 > /sys/block/zram0/reset;
                         $_echo ""$(($(($(($lMemory * $lSize)) / 100)) * 1024))"" > /sys/block/zram0/disksize
                         lDevice=/dev/block/zram0 && $_mkswap $lDevice >/dev/null
```

You need to stop zram first, reset its value, then start it again with new value (this is what this patch do). However, UI still reports ZRAM as ""disabled"", apparently the app itself needs a fix.
"
SpazeDog/mounts2sd,open,"e2fsck and tune2fs installed, but script doesn't see them",[],"Mounts2SD does not see `e2fsck` and `tune2fs` binaries from _/system/(x)bin_. `sqlite3` binary is properly detected. Note: my busybox does not have support for e2fsck (only for fsck) or tune2fs, that's why I have binaries for those.
"
SpazeDog/mounts2sd,open,issue with HTC desire 816..,[],"I installed the app, gave it root access then installed the scripts from settings.. rebooted the device but nothing happened. and found this log message : 
""E/The script has been invoked without super user permissions!"" 
didn't quite understand the cause as I'm with no coding or developing experience.
my device is rooted with init.d support & system write enabled of course but no S-OFF.
"
SpazeDog/mounts2sd,open,Recomended app/cache cleaning tools with Mounts2SD,[],"I am loving Mounts2SD, after struggling with link2sd over 3 reinstalls i found this app and it works better than i hoped

i am using HTC Desire-Bravo, managed to get Liquid smooth on android 4.4.4 which is running great.

my usage of ur app is Cache enabled, all content options ticked, the 4gb SD is seperated into fat32 SD and 1.48gb ext4 partition.

i have been using SD maid, CM cleanmaster and ES task manager to clean cache and junk data out of the phone, but the last time the extended partition was broken (link2sd) was due to a cleaner program running and it entirely broke everything, needed to wipe and restart. im certiain it was CM cleanmaster that did it.

My question is which of these cleaning programs would you think safe to use in the phone without breaking Mounts2SD or the partition.

im scared to run any of them now :S , this old phone is as good as new and i want it to stay running smooth.

Thankyou for any advice you can give :D 
"
SpazeDog/mounts2sd,open,Create scrap2do,[],
SpazeDog/mounts2sd,open,s-on detection fails to detect s-off,[],"""You device is S-On protected"" but it isn't. I had to upgrade the radio so had to knock it off and it's till is, just checked in bootloader.
v3.4.8 installed from gplay. device is htc desirehd, using cm11-20141115-unofficial-m12-ace by mustaavalkosta, which is android v4.4.4. supersu is present as well (not that it's related).

(Normal update results failure to copy due to cannot boot into recovery due to ""limited toolbox binary"". It was not trivial to figure out that recovery.zip is a seperate file to be downloaded and cwm installed. It wasn't trivial either to figure out that /system is low on free space and I had to remove some system ringtones to make space for 65k script in recovery.zip. Just sayin'. :smiley: )
"
SpazeDog/mounts2sd,open,/system/etc/mounts2sd.sh: line 1: 1: not found,[],"I recently installed mounts2sd on a i9300 (Samsung Galaxy S3) with Replicant (Android 4.2.2). I followed the instruction and created a proper partition layout, but still Mounts2SD can't locate any external sdcard. A look at the adb logcat output shows me a forever on going error line:

```
I/run-parts( 1899): /system/etc/mounts2sd.sh: line 1: 1: not found
```

Any suggestions?
"
