repository,state,title,label,body
metinkale38/namaz-vakti-android,closed,İmsakiye sadece bir aylık ,[],"İmsakiye sadece bir aylık gösteriyor. Bir aydan daha ileri tarihli namaz vakitleri 00:00 olarak gözüküyor. Bazen otomatik yenileme yapmıyor. Bir ay boyunca yenileme yapılmazsa saat 00:00 da namaz vakti gibi uyarı veriyor, ezan okuyor. Namaz vakitleri güncellemesini uygulamada neyin tetiklediğini çözemedim. Namaz vakitleri diyanet'ten alındığında oluyor galiba. "
metinkale38/namaz-vakti-android,closed,How you are reducing the apk size its almost 22Mb?In playstore it shows 6Mb,[],
metinkale38/namaz-vakti-android,closed,how to compare time for current prayer time and next prayer time please tell me,[],
metinkale38/namaz-vakti-android,open,"The app crash when you, use Manuel city chooser","[Label(name=""bug"")]","#### Expected behavior
when using the Manuel city choose it is not so-pose to crash. and you are trying to select the new city it crash.

#### Actual behavior
when the app is been launch click on the red plus button, using Manuel city chooser it crash.

#### How to reproduce
- Launch the app.
- Click on the red plus button and use Manuel city chooser
- Then select country 

* Browser/App version: 3.7
* Operating system: Android version 7.0

#### Recording Of The Bug
https://youtu.be/zzDhKm2jb9g
"
metinkale38/namaz-vakti-android,open,"The app crashes when clicking on the ""(+)"" feature and while searching for ""Auto Location""","[Label(name=""bug"")]","#### Expected behavior
when accessing feature (+) and while searching for ""Auto Location"", it should not return to home page without command.


#### Actual behavior
When accessing the (+) and while searching for ""Auto Location"" feature in the app and once inside the feature the app suddenly returns to the home page automatically. I have accessed and tried to repeat it, but the error persists.

#### How to reproduce
1. Install the application.
2. Open the app.
3. Click on the feature (+) in the app and click on location search feature select the location you want to access, then you will see the application will automatically return to the home page.

----
- Device: Redmi Note 5A
- Operating system: 7.1.2 N2GHz
- (CPU: Octa-core Max 1.40 GHz, RAM: 3 GB)

Application Version: 
3.6.5

#### Recording Of The Bug

https://youtu.be/mhwIx_Nprh4"
metinkale38/namaz-vakti-android,open,London Times Vakitleri,"[Label(name=""bug"")]","Selamın Aleyküm

London Times dan alınan verilerde vakitler sürekli öğleden önce (am - pm çalışmıyor) olarak görünmekte "
metinkale38/namaz-vakti-android,closed,Bildirim Sesleri,[],"Selamın Aleyküm Metin Bey,

uygulama da alarmları etkin hale getiriyorum ve ezan seslerinden herhangi birini seçip indiriyorum, ardından vakit geldiğinde bildirim sesi çalmıyor bu indirilen sesler ile alakalı sanırım çünkü telefon hafızasından seçilen sesler çalıyor

"
metinkale38/namaz-vakti-android,open,Bug seen when trying to share app,"[Label(name=""bug"")]","Expected behavior
The should be able to be share when share button i s clicked on.

Actual behaviour
When share button is clicked on,the application failed to share.

How to reproduce
Download prayer time from Fdroid
Install the app
Run the app
Complete all the instructions
Click on share

Browser: prayer times v 3.7
Operating system:Android 7.0

Recording of the bug
https://youtu.be/FEF6tbGgLHE"
metinkale38/namaz-vakti-android,closed,making logo proposal,[],"Hi @metinkale38  , I am a graphics designer, i see you making a very great project, an i hope can be helpfully contribute to your interesting project by providing a new redesign logo if you dont mind. If you permit me i will begin to start to make it :) 

thanks and best regards!"
metinkale38/namaz-vakti-android,closed,imzalanmış apk çöküyor - signed apk crashes,[],"# http://markdownnotes.com/app/#/1tvat2r/
# only signed apk crashes
![namazvakti](https://user-images.githubusercontent.com/23321772/40468316-b324ac5c-5f35-11e8-9b00-97128ca071e3.gif)
20sec gif

"
metinkale38/namaz-vakti-android,open,"When accessing the feature and turning the rotation into landscape mode, the app returns to the home page","[Label(name=""bug"")]","#### Expected behavior
when accessing the feature and turning the rotation into landscape mode, it should not return to the home page without a command.

#### Actual behavior
When accessing some features in the app and after inside the feature, I change the rotation to landscape mode, the app suddenly returns to the home page automatically. I have accessed all the features and tried to change the rotation from portrait to landscape mode, but the error persists.

#### How to reproduce
1. Install the application
2. Open the app
3. Click on one of the in-app features, once inside the feature then change the rotation to landscape mode, **then you will see the app will automatically return to the home page**

----
- Device: Xiaomi Redmi 4X
- Operating system: Marshmallow, 6.0.1 mmb29m (CPU: Octa-core Max 1.9 GHz, RAM: 2 GB)
- Application Version: 3.7

#### Recording Of The Bug
https://www.youtube.com/watch?v=Yi5K3PKDJOY"
metinkale38/namaz-vakti-android,open,Crash app when accessing Restore / Backup feature,"[Label(name=""bug"")]","#### Expected behavior
Supposedly, the Backup / Restore feature works normally and does not cause crashes in the application.

#### Actual behavior
When I click on the Backup / Restore feature in the settings feature, the Application stops automatically.

#### How to reproduce

1. Get the Prayer Times app on F-Droid
2. After you successfully install the app, Open the app.
3. Enter the settings menu
4. Click the Restore / Backup feature, then the app will stop.

***
***

* Browser : Redmi Note 5A
* System Operating : 7.1.0 Nougat
* App Version : 3.7

#### Recording Of The Bug
https://youtu.be/PhQznzeUjSs

#### Logcat
```
05-17 00:52:58.149 12216 12216 E AndroidRuntime: FATAL EXCEPTION: main
05-17 00:52:58.149 12216 12216 E AndroidRuntime: Process: com.metinkale.prayer, PID: 12216
05-17 00:52:58.149 12216 12216 E AndroidRuntime: java.lang.RuntimeException: Unable to start activity ComponentInfo{com.metinkale.prayer/com.metinkale.prayerapp.settings.BackupRestoreActivity}: java.lang.NullPointerException: Attempt to invoke virtual method 'java.io.File com.metinkale.prayerapp.settings.BackupRestoreActivity$a.b(int)' on a null object reference
05-17 00:52:58.149 12216 12216 E AndroidRuntime: 	at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2741)
05-17 00:52:58.149 12216 12216 E AndroidRuntime: 	at android.app.ActivityThread.handleLaunchActivity(ActivityThread.java:2802)
05-17 00:52:58.149 12216 12216 E AndroidRuntime: 	at android.app.ActivityThread.-wrap12(ActivityThread.java)
05-17 00:52:58.149 12216 12216 E AndroidRuntime: 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1549)
05-17 00:52:58.149 12216 12216 E AndroidRuntime: 	at android.os.Handler.dispatchMessage(Handler.java:102)
05-17 00:52:58.149 12216 12216 E AndroidRuntime: 	at android.os.Looper.loop(Looper.java:163)
05-17 00:52:58.149 12216 12216 E AndroidRuntime: 	at android.app.ActivityThread.main(ActivityThread.java:6361)
05-17 00:52:58.149 12216 12216 E AndroidRuntime: 	at java.lang.reflect.Method.invoke(Native Method)
05-17 00:52:58.149 12216 12216 E AndroidRuntime: 	at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:904)
05-17 00:52:58.149 12216 12216 E AndroidRuntime: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:794)
05-17 00:52:58.149 12216 12216 E AndroidRuntime: Caused by: java.lang.NullPointerException: Attempt to invoke virtual method 'java.io.File com.metinkale.prayerapp.settings.BackupRestoreActivity$a.b(int)' on a null object reference
05-17 00:52:58.149 12216 12216 E AndroidRuntime: 	at com.metinkale.prayerapp.settings.BackupRestoreActivity.onItemClick(BackupRestoreActivity.java:83)
05-17 00:52:58.149 12216 12216 E AndroidRuntime: 	at com.metinkale.prayerapp.MainActivity.onCreate(MainActivity.java:151)
05-17 00:52:58.149 12216 12216 E AndroidRuntime: 	at com.metinkale.prayerapp.settings.BackupRestoreActivity.onCreate(BackupRestoreActivity.java:62)
05-17 00:52:58.149 12216 12216 E AndroidRuntime: 	at android.app.Activity.performCreate(Activity.java:6865)
05-17 00:52:58.149 12216 12216 E AndroidRuntime: 	at android.app.Instrumentation.callActivityOnCreate(Instrumentation.java:1119)
05-17 00:52:58.149 12216 12216 E AndroidRuntime: 	at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2694)
05-17 00:52:58.149 12216 12216 E AndroidRuntime: 	... 9 more
```

#### Proof Of Work Done
http://www.github.com/rezamusic881
"
