repository,state,title,label,body
nadam/nfc-reader,closed,background gone dark,[],one of the last updates - my S8  now has the background in a very dark colour and its hard to read the tag details - email and contact info highlighted - just nothing else
nadam/nfc-reader,open,Fyi,[],"
Does not 
d9wnload"
nadam/nfc-reader,open,Can't read from OnePlus 3,[],"Not important to me personally.

However I tried your app on my OnePlus 3T with a NFC tag that I know I can read from other apps on the same device. And nothing happens.



"
nadam/nfc-reader,open,Wrong settings screen displayed on Android 8 to enable NFC,[],"When NFC is not enabled, the app launches the network settings screen to enable it.
But on Android 8, it's enabled on the ""connected devices"" screen.

My phone: Nexus 5x running Android 8

Thanks for the app!
![screenshot_20171115-093716](https://user-images.githubusercontent.com/2139164/32826544-15537e7c-c9e9-11e7-8196-b81d9523dab1.png)
![screenshot_20171115-093659](https://user-images.githubusercontent.com/2139164/32826545-1582f5da-c9e9-11e7-888e-b534009302f4.png)

"
nadam/nfc-reader,open,How to get data from MRT card,[],"I am trying to read values from ez-link Singapore MRT card. Below image is my current output:
![current_output](https://user-images.githubusercontent.com/1648750/29816169-b596fefe-8ce5-11e7-8d8c-426fea0f35ac.jpg)

How fetch values like travel history/ current balance, refer below image:
![expected_output](https://user-images.githubusercontent.com/1648750/29816229-ee333a02-8ce5-11e7-8d44-fa515e83ab36.jpg)

"
nadam/nfc-reader,closed,tag technology support,[],I have a question related to this. Does this supports all tech technologies other than NDEF mentioned in Table 1 & 2 on Official Android Documentation [here](https://developer.android.com/guide/topics/connectivity/nfc/advanced-nfc.html)
nadam/nfc-reader,open,Crashes on phone without NFC,[],Please fix that
nadam/nfc-reader,closed,update the french translation,[],notify me in the future if there is any new key to translate ;)
nadam/nfc-reader,closed,Add beautiful buttons to get the app ;),[],
nadam/nfc-reader,closed,Licensing terms,[],"I can't find any licensing terms with the source code. Does this mean you release it to the public domain? Or do any other terms apply?
when in doubt, go with Apache License 2.0 please :)"
nadam/nfc-reader,open,Feature request: Only scan when app is open,[],"If I set the phone down on a library book (really, just holding it near), the app opens and interrupts anything else I'm doing. For example, reading a book in one hand, streaming a video on my phone in the other, and when my phone got near the book it read the NFC tag in the book and cut off the video.

Please enable a setting to only scan when the app is open with primary focus, or just set that by default."
nadam/nfc-reader,closed,Convert to Library,[],"Hi Adam,

Thanks for sharing the code of your app. It makes an excellent case study.  I am planning to fork your code and refactor it slightly so that it can be used as a Library. Mainly I will be changing getView to getRecord.

I will give you full credit. I just wanted to check with you a couple of things:
1. Do you see it as a complete solution and if not what features are missing? I will add these to the backlog.
2. Would you prefer the repository was hosted on your account so that you get full credit and I am just a contributor?

Thanks from one Adam to another,
Adam.
"
nadam/nfc-reader,closed,"Add ""clear all"" button",[],
nadam/nfc-reader,closed,Save tag information ,[],"???
"
nadam/nfc-reader,closed,"Does not give card details, only ID",[],"Card reader does not give the card details, it only shows a tag id. Can you please tell me how to solve this issue?
"
nadam/nfc-reader,closed,NFC app not reading HID iCLASS DH card,[],"I'm wondering if there are any setting or functionally that can be added to read these types of cards ( HID iCLASS DH) 

Thank you,
"
nadam/nfc-reader,closed,simple correction,[],
nadam/nfc-reader,closed,Many folders are missing in the zip-folder,[],"Hello,
I've just downloaded the zip-file and compiled it but then there are everywhere errors and I think it's only because of the imports of some folders which aren't in the download-zip-file:

import se.anyro.nfc_reader.R;

import android.app.Activity;
import android.app.AlertDialog;
import android.app.PendingIntent;
import android.content.DialogInterface;
import android.content.Intent;
import android.nfc.NdefMessage;
import android.nfc.NdefRecord;
import android.nfc.NfcAdapter;
import android.nfc.Tag;
import android.nfc.tech.MifareClassic;
import android.nfc.tech.MifareUltralight;
import android.os.Bundle;
import android.os.Parcelable;
import android.provider.Settings;
import android.view.LayoutInflater;
import android.widget.LinearLayout;
import android.widget.TextView;

All those and some others aren't possible to import because the folder is missing, or am I wrong?

best regards, 
Robert
"
nadam/nfc-reader,closed,wrong tag type detected,[],"the reader shows a NTAG203 as Mifare Ultralight C
"
nadam/nfc-reader,closed,Compilation.Closed. I found in issue 4. ,[],"Hi,
I downloaded last version but it cannot compile. I cannot find R. guavalib.jar is correct location. Can you please help. I cannot find R. Some error lines in below.

import se.anyro.nfc_reader.R;
 setContentView(R.layout.tag_viewer);
 mTagContent = (LinearLayout) findViewById(R.id.list);

Regards,
"
nadam/nfc-reader,closed,French translation + small README update,[],
nadam/nfc-reader,closed,Forward the raw data to a port on the phone,[],"hi,
There is a very good usecase for using the phone's NFC reader on the desktop by connecting it with ADB and running a portforward.

For example, on the phone you could do 

echo Just testing' | nc -l -p 1112  #putting it on port 1112

on the desktop,
do a port forward ""adb tcp:1111 tcp:1112""
read the data from port 1111 - nc 127.0.0.1 1111

Not only this, you could now get desktop apps to read from the forwarded port and have access to the NFC scan data.

Could you add a feature to push NFC scan _raw data_ to a port on android - you can hardcode this.

thanks!
"
nadam/nfc-reader,closed,GowthamContribution,[],
nadam/nfc-reader,closed,How to write profile change vibration mode  tag to nfc tag ,[],
nadam/nfc-reader,closed,Regarding nfc reader application run issue,[],
nadam/nfc-reader,closed,Source code did not contain R.java and BuildConfig.java in your source package !,[],"as title.

I download source package and try to build, but it complained. I search all over your commit check-in, and I cannot find those two files R.java and BuildConfig.java. Can you please also check in those two files ?

Those two files were generated automatically, but without those two files, it cannot be compiled successfully in Windows Eclipse IDE environment. Please provide it to me. Thanks.

-tommy
"
