repository,state,title,label,body
tjg1/nori,open,Slideshow,[],"I don't know if this is the right place to ask for this but I think it'll be very cool if we were able to slideshow through a search, I'm asking for this because I've seen it in other apps like ""anime box"" which I happened not to like at all except for this feature, as I'm really enjoying your app I wanted to try asking for this.
Thanks for the awesome app and a good morning, afternoon or night also regards :)"
tjg1/nori,open,Coverage and Hydrus,[],"List of *booru that Nori should cover https://github.com/CuddleBear92/Hydrus-Presets-and-Scripts  
Also Nori could use future Hydrus-API to allow self-hosted *boorus to exist  
(The API is currently in the drafting process, needs people to propose features)"
tjg1/nori,open,F-Droid is still stuck at version tag 2017.06.1,[],Somehow nobody and nothing over at F-Droid has yet compiled the new update.
tjg1/nori,open,"Grabs scaled-down (sample-sized) images even though ""Conserve Bandwidth"" is disabled",[],"I use Danbooru and I'm not using any other booru, so I can't say whether it's a localised problem or not for sure.
But chances are it only happens with Danbooru - it broke recently, didn't it? "
tjg1/nori,open,Trying to view images on Danbooru  not working,[],"It spits out this

""Unable to resolve host ""danbooru.donmai.ushttps"": no address associated with hostname""

In settings, I set the name of the service to 'danbooru' and the URL to 'https://danbooru.donmai.us', and with no Username or Password/APIkey."
tjg1/nori,open,Updated fr (French) translation,[],
tjg1/nori,open,"Add support for Gelbooru ""notes""",[],"Notes on Gelbooru are often a fairly key part of viewing an image, as they're most often used to display translations. If you need an example of what supporting them might look like on a mobile client, animeboxes has this implemented.

The problem, though, is that there's no API endpoint exposed for retreiving the notes of an image, at least as far as I can tell. They're loaded into the page on the backend before it's retrieved by the browser, in a `section` tag with the id `notes`.

I'm honestly not sure how animeboxes does it unless they just parse the HTML for loading an image in general, but they're able to tell whether a post has notes or not before giving you the option to load them. This is possible with the API in some earlier versions of gelbooru it seems like with the `has_notes` field, but I'm not seeing it when I'm querying the current API"
tjg1/nori,open,Thumbnail downloads,[],Adding the feature of holding down and multi-selecting thumbnails to download in original resolution.
tjg1/nori,open,Inform users why no results are displaying.,[],"Tried your app by first going to settings and messing with the filters. Searched but seemingly nothing happened. Changed filter settings and results came.
How does users know if it actually performed the query or not?"
tjg1/nori,open,Meta tags such as sorting raise exception.,[],"Observed on booru-like services.

Adding ""order:score"" to a query yelds a java exception "
tjg1/nori,open,Add an option to load videos even on metered connection,[],"I can't load videos without connecting to Wi-Fi.
However I don't use Wi-Fi since it's slower in my area and my LTE is free.

# How to reproduce

- Disable Wi-Fi and enable mobile data
- Click on a video thumbnail (I used Gelbooru)

# Suggestions

- Add an option in the settings to load videos even on metered connections"
tjg1/nori,open,Created fr (French) translation,[],Partial translation 40% left. Commit made via Stringlate.
