repository,state,title,label,body
guardianproject/notecipher,open,Feature request: Import/export,[],"Please add ""Import"" and ""Export"" options."
guardianproject/notecipher,open,How do Notecipher backup?,[],Where is the Notecipher file with the user submitted data located?
guardianproject/notecipher,open,Enter passphrase,[],"I use a bluetooth keyboard would be nice to be able to hit enter 
"
guardianproject/notecipher,open,NoteCipher force closes on Huawei Union,[],"Model number: Y538
Build number: Y538C237B150
CPU: Quad core 1.1 GHz
RAM: 1.0GB
Internal storage: 292 MB free
                              8.00 GB total
Resolution: 480 x 854
Android version: 5.1.1
Android security patch level: Dec 1, 2015
Baseband version: 11306101
Kernel version: 3.10.49-gc9c3b8c
Android@localhost #1
Fri Dec 18 06:42:11 CST 2015

EMUI Version: EMUI 3.1
Hardware version: HL1Y538A1M
"
guardianproject/notecipher,open,Phone wiped. .  recovered backup folders. .  cipher doesn't find them: (,[]," I am experiencing a similar scenario:  My phone went missing(gallaxy noteII). After offering $20,  waiting,.. nothing_.. then $200... suffice to say;  some innocent street urchin managed, for his girlfriend.. to sell it back to us after a wld goose chase, for $20! 

 Anyways, aside the miracle story involving prayers to both the ascended self in time, as well as root coriographers of the universal construct... my phone had a recovey option from the factory reset boot window. Using recovery, we managed to salvage nearly all apps file folders on both the native; and ectended memory key. The .apks' themselves had to be recovered from the Google play repository. Most of the apps re-adopted the saved work folders on disk. Alas; NoteCipher has not as of yet been one of them.

 When i reinstalled it.. did not re-adopt... even after entering the exact same password to spring it into action. I had half of a short novel started, and various synopsiss' for other works in those AES 256 encrypted files, and would so like to find them, and gain re-entry! 

 Lot of work in there ... hoping all is not lost. . .  do they have a recogniseable file extention?  Can anyone suggest a course of action to help us? 
"
guardianproject/notecipher,open,Phone wiped. .  recovered backup folders. .  cipher doesn't find them: (,[]," I am experiencing a similar scenario:  My phone went missing(gallaxy noteII). After offering $20,  waiting,.. nothing_.. then $200... suffice to say;  some innocent street urchin managed, for his girlfriend.. to sell it back to us after a wld goose chase, for $20! 

 Anyways, aside the miracle story involving prayers to both the ascended self in time, as well as root coriographers of the universal construct... my phone had a recovey option from the factory reset boot window. Using recovery, we managed to salvage nearly all apps file folders on both the native; and ectended memory key. The .apks' themselves had to be recovered from the Google play repository. Most of the apps re-adopted the saved work folders on disk. Alas; NoteCipher has not as of yet been one of them.

 When i reinstalled it.. did not re-adopt... even after entering the exact same password to spring it into action. I had half of a short novel started, and various synopsiss' for other works in those AES 256 encrypted files, and would so like to find them, and gain re-entry! 

 Lot of work in there ... hoping all is not lost. . .  do they have a recogniseable file extention?  Can anyone suggest a course of action to help us? 
"
guardianproject/notecipher,open,App Install Location,[],"The internal memory of my device is quite small, this PR should allow users to easily move the app to the microSD.

""To allow the system to install your application on the external storage, modify your manifest file to include the android:installLocation attribute in the element, with a value of either ""preferExternal"" or ""auto""."" (source: https://developer.android.com/guide/topics/data/install-location.html)

Thank you very much for your awesome app :)
"
guardianproject/notecipher,open,Feature request: Remember font size changing between sessions,[],"Qutting notecipher causes any font size changes to be lost.

It'd be nice if notecipher remembered the font size change between sessions or possibly per note.

Version info:
Notecipher: 0.0.7.1 from F-Droid
ROM version: cm-11-20141115-SNAPSHOT-M12-maguro (android 4.4.4)
"
guardianproject/notecipher,open,Making the text in a note smaller actually makes it larger.,[],"When in a note, selecting 'smaller' causes the  text in the note to be made bigger instead of smaller.

Selecting bigger makes the text bigger as expected.

Reproducible all the time even in a new note.

Version info:
Notecipher: 0.0.7.1 from F-Droid
ROM version: cm-11-20141115-SNAPSHOT-M12-maguro (android 4.4.4)
"
guardianproject/notecipher,open,"Won't open, force closes on Sony Xperia Z2",[],"force closes upon opening app. I'm using Sony Xperia Z2, Android 4.4.2 
"
