repository,state,title,label,body
caarmen/nounours-android,closed,"Remove the ""nounours"" flavor.",[],"Now we have just two flavors:
* bugdroid: contains only the bugdroid character
* full: contains the nounours and bugdroid characters"
caarmen/nounours-android,open,Issue #23: Move the wear app to a new package: ca.rmen.nounours.wear,[],
caarmen/nounours-android,open,Play store distribution cleanup,[],"Currently we have 3 apps, with 6 apks:
* ca.rmen.nounours.lwp.robot: ""Bugdroid Buddy"" (phone + wear)
* ca.rmen.nounours.lwp.rainbow: ""My buddy Nounours"" (phone + wear)
* ca.rmen.nounours: ""Nounours and friends"" (phone + wear)

We can simplify this, still having 3 apps, but only 3 apks:
* ca.rmen.nounours.lwp.robot: ""Bugdroid Buddy"" (phone)
* ca.rmen.nounours: ""Nounours and friends"" (phone)
* ca.rmen.nounours.wear: ""Noonoors watch face"" (wear, new app)

We can decommission ca.rmen.nounours.lwp.rainbow...

Ideally I'd like to only manage two apps: one phone and one wear, but I don't want to kill either ""Bugdroid Buddy"" or ""Nounours and friends"" because of downloads and nostalgia... So instead I'll keep them both and add a new app for the watch face.

"
caarmen/nounours-android,closed,Add adaptive launcher icons.,[],
caarmen/nounours-android,closed,Split the apk into two: handheld and wear,[],"It's no longer required to embed the wear apk inside the handheld apk, even for android wear 1.x.

References:
https://developer.android.com/training/wearables/apps/packaging
https://developer.android.com/google/play/publishing/multiple-apks"
caarmen/nounours-android,closed,Update environment,[],
caarmen/nounours-android,open,NullPointerException,[],"//package name: ca.rmen.nounours
//version: 3.4.3
 java.lang.NullPointerException
 	at ca.rmen.nounours.android.handheld.compat.EnvironmentCompat.getExternalFilesDir(EnvironmentCompat.java:48)
 	at ca.rmen.nounours.android.handheld.util.AnimationUtil.saveAnimation(AnimationUtil.java:93)
 	at ca.rmen.nounours.android.handheld.AnimationSaveService.handleActionSaveAnimation(AnimationSaveService.java:100)
 	at ca.rmen.nounours.android.handheld.AnimationSaveService.onHandleIntent(AnimationSaveService.java:80)
 	at android.app.IntentService$ServiceHandler.handleMessage(IntentService.java:65)
 	at android.os.Handler.dispatchMessage(Handler.java:99)
 	at android.os.Looper.loop(Looper.java:137)
 	at android.os.HandlerThread.run(HandlerThread.java:61)"
caarmen/nounours-android,open,IllegalStateException: Not recording,[],"//package name: ca.rmen.nounours
//version: 3.4.5
 java.lang.IllegalStateException: Not recording
 	at ca.rmen.nounours.NounoursRecorder.stop(NounoursRecorder.java:110)
 	at ca.rmen.nounours.android.handheld.MainActivity.stopRecording(MainActivity.java:346)
 	at ca.rmen.nounours.android.handheld.MainActivity.access$300(MainActivity.java:77)
 	at ca.rmen.nounours.android.handheld.MainActivity$2.onClick(MainActivity.java:404)
 	at android.view.View.performClick(View.java:4240)
 	at android.view.View.onKeyUp(View.java:7928)
 	at android.view.KeyEvent.dispatch(KeyEvent.java:2647)
 	at android.view.View.dispatchKeyEvent(View.java:7343)
 	at android.view.ViewGroup.dispatchKeyEvent(ViewGroup.java:1393)
 	at android.view.ViewGroup.dispatchKeyEvent(ViewGroup.java:1393)
 	at android.view.ViewGroup.dispatchKeyEvent(ViewGroup.java:1393)
 	at com.android.internal.policy.impl.PhoneWindow$DecorView.superDispatchKeyEvent(PhoneWindow.java:1933)
 	at com.android.internal.policy.impl.PhoneWindow.superDispatchKeyEvent(PhoneWindow.java:1408)
 	at android.app.Activity.dispatchKeyEvent(Activity.java:2384)
 	at com.android.internal.policy.impl.PhoneWindow$DecorView.dispatchKeyEvent(PhoneWindow.java:1860)
 	at android.view.ViewRootImpl$ViewPostImeInputStage.processKeyEvent(ViewRootImpl.java:3791)
 	at android.view.ViewRootImpl$ViewPostImeInputStage.onProcess(ViewRootImpl.java:3774)
 	at android.view.ViewRootImpl$InputStage.deliver(ViewRootImpl.java:3379)
 	at android.view.ViewRootImpl$InputStage.onDeliverToNext(ViewRootImpl.java:3429)
 	at android.view.ViewRootImpl$InputStage.forward(ViewRootImpl.java:3398)
 	at android.view.ViewRootImpl$AsyncInputStage.forward(ViewRootImpl.java:3483)
 	at android.view.ViewRootImpl$InputStage.apply(ViewRootImpl.java:3406)
 	at android.view.ViewRootImpl$AsyncInputStage.apply(ViewRootImpl.java:3540)
 	at android.view.ViewRootImpl$InputStage.deliver(ViewRootImpl.java:3379)
 	at android.view.ViewRootImpl$InputStage.onDeliverToNext(ViewRootImpl.java:3429)
 	at android.view.ViewRootImpl$InputStage.forward(ViewRootImpl.java:3398)
 	at android.view.ViewRootImpl$InputStage.apply(ViewRootImpl.java:3406)
 	at android.view.ViewRootImpl$InputStage.deliver(ViewRootImpl.java:3379)
 	at android.view.ViewRootImpl$InputStage.onDeliverToNext(ViewRootImpl.java:3429)
 	at android.view.ViewRootImpl$InputStage.forward(ViewRootImpl.java:3398)
 	at android.view.ViewRootImpl$AsyncInputStage.forward(ViewRootImpl.java:3516)
 	at android.view.ViewRootImpl$ImeInputStage.onFinishedInputEvent(ViewRootImpl.java:3666)
 	at android.view.inputmethod.InputMethodManager$PendingEvent.run(InputMethodManager.java:1982)
 	at android.view.inputmethod.InputMethodManager.invokeFinishedInputEventCallback(InputMethodManager.java:1698)
 	at android.view.inputmethod.InputMethodManager.finishedInputEvent(InputMethodManager.java:1689)
 	at android.view.inputmethod.InputMethodManager$ImeInputEventSender.onInputEventFinished(InputMethodManager.java:1959)
 	at android.view.InputEventSender.dispatchInputEventFinished(InputEventSender.java:141)
 	at android.os.MessageQueue.nativePollOnce(Native Method)
 	at android.os.MessageQueue.next(MessageQueue.java:132)
 	at android.os.Looper.loop(Looper.java:124)
 	at android.app.ActivityThread.main(ActivityThread.java:5103)
 	at java.lang.reflect.Method.invokeNative(Native Method)
 	at java.lang.reflect.Method.invoke(Method.java:525)
 	at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:737)
 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:553)
 	at dalvik.system.NativeStart.main(Native Method)"
caarmen/nounours-android,open,IllegalArgumentException when unlockCanvasAndPost,[],"//package name: ca.rmen.nounours
//version: 3.4.5
 java.lang.IllegalArgumentException
 	at android.view.Surface.nativeUnlockCanvasAndPost(Native Method)
 	at android.view.Surface.unlockCanvasAndPost(Surface.java:255)
 	at android.view.SurfaceView$4.unlockCanvasAndPost(SurfaceView.java:844)
 	at ca.rmen.nounours.android.common.nounours.AndroidNounours.displayImage(AndroidNounours.java:171)
 	at ca.rmen.nounours.Nounours.setImage(Nounours.java:736)
 	at ca.rmen.nounours.android.common.nounours.AnimationHandler$AnimationTask.run(AnimationHandler.java:117)
 	at android.os.Handler.handleCallback(Handler.java:730)
 	at android.os.Handler.dispatchMessage(Handler.java:92)
 	at android.os.Looper.loop(Looper.java:137)
 	at android.os.HandlerThread.run(HandlerThread.java:61)"
caarmen/nounours-android,closed,API Compatibility Issues,[],"Dear developers,

We have recently developed a state-of-the-art static analysis tool for uncovering API compatibility issues in Android apps. Applying this tool to open source apps on F-droid, we have exposed a few instances of compatibility issues and submitting them to development teams for a fix. 

For your app, we have found that this project has accessed the following APIs which are available only on an API level higher than the declared minSdkVersion and which are accessed without proper protection. In other words, if those APIs get called at runtime, it will trigger a NoSuchMethodError and thus result in a crash of the running application.

```
<android.service.wallpaper.WallpaperService.Engine: void onDestroy()>:[7,25]
<android.app.Notification.Builder: android.app.Notification.Builder addAction(android.app.Notification.Action)>:[21,25]
<android.service.wallpaper.WallpaperService.Engine: android.view.SurfaceHolder getSurfaceHolder()>:[7,25]
<android.app.ActionBar: void hide()>:[11,25]
<android.service.dreams.DreamService: void setFullscreen(boolean)>:[17,25]
<android.service.wallpaper.WallpaperService.Engine: void onSurfaceChanged(android.view.SurfaceHolder,int,int,int)>:[7,25]
<android.app.Notification.Builder: void <init>(android.content.Context)>:[11,25]
<android.content.res.Resources: int getColor(int,android.content.res.Resources.Theme)>:[23,25]
<android.app.Notification.Builder: android.app.Notification.Builder addAction(int,java.lang.CharSequence,android.app.PendingIntent)>:[16,25]
<android.graphics.drawable.Icon: android.graphics.drawable.Icon createWithResource(android.content.Context,int)>:[23,25]
<android.service.dreams.DreamService: void onDreamingStarted()>:[17,25]
<android.service.dreams.DreamService: void onDreamingStopped()>:[17,25]
<android.service.wallpaper.WallpaperService.Engine: void setTouchEventsEnabled(boolean)>:[7,25]
<android.service.dreams.DreamService: void setInteractive(boolean)>:[17,25]
<android.service.wallpaper.WallpaperService.Engine: void onCreate(android.view.SurfaceHolder)>:[7,25]
<android.app.Activity: void invalidateOptionsMenu()>:[11,25]
<android.app.Notification.Builder: android.app.Notification.Builder setSmallIcon(int)>:[11,25]
<android.app.Notification.Action.Builder: void <init>(android.graphics.drawable.Icon,java.lang.CharSequence,android.app.PendingIntent)>:[23,25]
<android.app.Notification.Builder: android.app.Notification.Builder setContentTitle(java.lang.CharSequence)>:[11,25]
<android.app.Notification.Builder: android.app.Notification.Builder setContentText(java.lang.CharSequence)>:[11,25]
<android.app.Notification.Builder: android.app.Notification getNotification()>:[11,25]
<android.app.Activity: android.app.ActionBar getActionBar()>:[11,25]
<android.service.dreams.DreamService: void setContentView(int)>:[17,25]
<android.app.Notification.Builder: android.app.Notification build()>:[16,25]
<android.service.dreams.DreamService: void onAttachedToWindow()>:[5,25]
<android.app.ActionBar: void show()>:[11,25]
<android.app.Notification.Builder: android.app.Notification.Builder setContentIntent(android.app.PendingIntent)>:[11,25]
<android.service.dreams.DreamService: android.view.View findViewById(int)>:[17,25]
<android.app.ActionBar: void setDisplayHomeAsUpEnabled(boolean)>:[11,25]
<android.content.Context: java.io.File getExternalFilesDir(java.lang.String)>:[8,25]
<android.app.Notification.Action.Builder: android.app.Notification.Action build()>:[21,25]
<android.service.dreams.DreamService: void onDetachedFromWindow()>:[5,25]
<android.view.View: void setSystemUiVisibility(int)>:[11,25]
<android.view.Display: int getRotation()>:[8,25]
```

Note that, because of the nature of the static analysis, we cannot confirm whether the flagged APIs would actually be called at runtime (e.g., unreachable code). However, we still believe that those APIs, which may cause compatibility issues, should not be accessed or at least be accessed with proper protections. 

In addition to the aforementioned APIs (i.e., backward-compatibility), which could cause app crashes if accessed, we have also identified that this project has also accessed some APIs that have been removed from the latest public SDK, making the app possibly suffer from forward-compatibility issues.

NONE

We would be very much appreciated if you can acknowledge to us that those reported APIs are indeed problematic for the project’s long-term stability. please let us know if you need any more information relating to this issue report.
"
