repository,state,title,label,body
gateship-one/odyssey,closed,Update strings.xml,[],
gateship-one/odyssey,closed,Colons in filenames cause crash,"[Label(name=""bug"")]","If a music file has a colon in the filename, the app crashes if you try to play it. It also crashes when opening, even to view, an m3u playlist if the playlist contains a file with a colon in the filename.

Changing the name of the file fixes the issue, even if the colon remains in the title metadata. Maybe the application takes the colon to reference an external filesystem? Otherwise filename character escaping might just need to include a colon?

I really enjoy this app, I've been using it daily for a few months. Thanks for all your hard work!

App Version from FDROID, 1.1.15
Lineage OS, 14.1
Android 7.1.2"
gateship-one/odyssey,closed,Update strings.xml,[],
gateship-one/odyssey,open,[FR] id3v2 support,[],id3v2 tags which show up as Chinese characters. I don't want to go back to id3v1 tags because they are not long enough to contain performer and title information for many of my albums and tracks.
gateship-one/odyssey,open,[FR] album shuffle support,[],"As far as I can tell, Odyssey's shuffling happens within a given playlist.  It works be nice if, for instance, it could 1) operate over the entire library and 2) also be album-oriented rather than track oriented (i.e., play the tracks from each album in order, but play the albums themselves in a random order).  (And a nice bonus if it can do artist-then-album shuffle so the next album that gets played is equally likely to be from any artist.)

Thanks!"
gateship-one/odyssey,closed,[FR] Delete a track/album from Odyssey,[],"Music files can be stored in different directories on a smartphone, like download, music, specific folders etc… Odyssey aggregate all the files letting us the possibility to play everything from one interface, wich is pretty cool. It would be nice to also have the possibility to delete files from the music player."
gateship-one/odyssey,open,[FR] New sort criteria,[],"Actually there is just one way to sort the album view and it’s by name A-Z. It would be useful to have other way to sort this, like date added, release date etc…"
gateship-one/odyssey,closed,Propose New logo,[],"Hi, check out my blog here. I made a logo for your app. If you like it, I will send the file to you. :)

![](https://steemitimages.com/0x0/https://res.cloudinary.com/hpiynhbhq/image/upload/v1521039999/xjkml8rsulpwvzzvhq6h.png)

https://steemit.com/utopian-io/@naufal/new-icon-logo-design-for-odyssey-music-player"
gateship-one/odyssey,open,Music cast,[],"Hello,

I like Odyssey this cool open source music player.

Many people listen music wireless.
With the bluetooth no problem, but the sound is poor.
Other possibility, for a HiFi sound, the WiFi, DLNA,...

ChromeCast and ChromeCast audio are a way for listen music, wireless, for cheaper.
Is-it possible include compatibilty to cast this? (even if theAPI is maybe not free software)

Thank-you."
gateship-one/odyssey,closed,Update strings.xml,[],
