repository,state,title,label,body
raphaelm/opacclient,closed,Cannot access TUM library. ,[],Both authenticated and anonymous access for TUM Unibibliothek is failing with server error. Is it still supported? 
raphaelm/opacclient,closed,Fix errors in README.md,[],"-Capitalize features to be consistent with others
-""hestitate"" -> ""hesitate"""
raphaelm/opacclient,open,[WIP] implement support for NetBiblio,"[Label(name=""libopac""), Label(name=""new opac api"")]",
raphaelm/opacclient,open,Improve lent item list format and add branch,"[Label(name=""enhancement""), Label(name=""user interface"")]","Make items of lent items list look a bit nicer and clearer:
- Remove trailing delimiter for items without author (author string is empty but not null) (see second item in example below)
- Change title/author delimiter from ‘,’ to ‘.’ and print title in bold for better readability and clarity (see e.g. third item where is wasn't particularly clear where the title ends and the author starts)
- Remove details about person after ¬ sign (at least Dresden municipal library often has further information such as author, editor, producer etc. after the person's name) (see first and last item)

Add branch information to the list. I regularly borrow books from different branches of the same library. When I need to return a book I want to see what other books I hold from the same branch. This was only possible by clicking for details of each individual item which is quite cumbersome for a longer list.

![comparison](https://user-images.githubusercontent.com/19879328/48057652-d513af00-e1b4-11e8-8077-5b2e909e903e.jpg)


"
raphaelm/opacclient,closed,Library data outdated: Fachhochschule Bielefeld,"[Label(name=""library data"")]","Thank you very much for the usefull app!

Lately, the WebOPAC of Bielefeld University of Applied Sciences / Fachhochschule Bielefeld has been updated and moved to a new domain. Could you please check whether the new WebOPAC is still compatible with Web Opac App and update the library data?

As far as I can see, only the _baseurl_ changed from _https://netbz05.fh-bielefeld.de/webOPACClient_ to _https://bib5w.fh-bielefeld.de/webOPACClient_."
raphaelm/opacclient,open,pmb (open source library system),"[Label(name=""libopac""), Label(name=""new opac api"")]","Hello,
I've been looking everywhere, but I don't think you're supporting pmb (sigb.net) a french but not that small open source library system.

Have you any plan about it ?

thanks !!"
raphaelm/opacclient,closed,no support anymore for fdroid?,[],"hi there
unfortunately its already 10 days ago that wenopac got an update on googleplay/yalpstore. im using the f-droid version but it is still at version 5.4.4. will webopac not be released on fdroid anymore? "
raphaelm/opacclient,closed,Make status indicator circles accessible for color-blind people,[],Changed the status icons to make it more visible for color blind people. Adjusted also the size of the status indicators. The same colors were used as the one before. 
raphaelm/opacclient,closed,Fix icon misaligned in landscape mode,[],Fixed icon size in relation to the space left and adjusted the top drawer height. No overlapping of the icon should occur in landscape mode anymore. 
raphaelm/opacclient,closed,Implement support for Koha,"[Label(name=""libopac""), Label(name=""new opac api"")]",fixes #101 
raphaelm/opacclient,closed,smartBib (VuFind variant): Search and account support,"[Label(name=""enhancement""), Label(name=""libopac"")]","This adjusts the existing VuFind API to be also compatible with [smartBib](https://www.subkom.de/smartbib/), a VuFind variant by subkom. It also implements all account features for smartBib. They were tested using the new OPAC of Recklinghausen county libraries at https://www.bib-kreisre.de/."
raphaelm/opacclient,open,Detect media types for iOPAC libraries,"[Label(name=""enhancement"")]",
raphaelm/opacclient,open,iOPAC: detect media types,"[Label(name=""enhancement""), Label(name=""libopac"")]","Especially to show them in favorites list

Suggested by Stadtbücherei Eckernförde in internal support ticket # 2336579."
raphaelm/opacclient,open,"[WIP] Update to Android 9 ""Pie"", Gradle plugin 3.2.0-beta05, and AndroidX 1.0.0-rc01",[],"the future is coming! 😉 

TODO:

- [ ] Test everything
    - [x] compiles successfully 
    - [x] launch and basic functionality on Android P
    - [ ] compatibility with old Android versions
    - [ ] reminder service
- [ ] Update multiline-collapsingtoolbar library
- [ ] Check for other library updates"
raphaelm/opacclient,open,"Use Android ""app shortcuts""","[Label(name=""easy""), Label(name=""new feature""), Label(name=""user interface"")]","Since Android 7.1 (or possibly later versions depending on device manufacturer), there are ""shortcuts"" that one can use by long-pressing an icon in the launcher). We could use these e.g. as direct links to the areas of the app (search, account, favorites).

https://developer.android.com/guide/topics/ui/shortcuts/

A user suggested that we could show lent media here and allow to extend the lending period with one tap - but I think space is too limited (max 5 items, just one short line of text per item)."
