repository,state,title,label,body
fossasia/open-event-android,closed,chore(deps): bump rxjava from 2.2.3 to 2.2.4,"[Label(name=""dependencies"")]","Bumps [rxjava](https://github.com/ReactiveX/RxJava) from 2.2.3 to 2.2.4.
<details>
<summary>Release notes</summary>

*Sourced from [rxjava's releases](https://github.com/ReactiveX/RxJava/releases).*

> ## 2.2.4
> [Maven](http://search.maven.org/#artifactdetails%7Cio.reactivex.rxjava2%7Crxjava%7C2.2.4%7C)
> 
> #### API changes
> 
>   - [Pull 6278](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6278): Add `Maybe`/`Single`/`Completable` `materialize` operator, 
>   - [Pull 6278](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6278): Add `Single.dematerialize(selector)` operator.
>   - [Pull 6281](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6281): Add `Flowable`/`Observable` `dematerialize(selector)` operator.
> 
> #### Bugfixes
> 
>   - [Pull 6258](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6258): Fix cancel/dispose upon upstream switch for some operators.
>   - [Pull 6269](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6269): Call the `doOn{Dispose|Cancel}` handler at most once.
>   - [Pull 6283](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6283): Fix `Observable.flatMap` to sustain concurrency level.
>   - [Pull 6297](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6297): Fix refCount eager disconnect not resetting the connection.
> 
> #### Documentation changes
> 
>   - [Pull 6280](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6280): Improve the package docs of `io.reactivex.schedulers`.
>   - [Pull 6301](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6301): Add missing `onSubscribe` null-checks to NPE docs on `Flowable`/`Observable` `subscribe`.
>   - [Pull 6303](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6303): Fix incorrect image placement in `Flowable.zip` docs.
>   - [Pull 6305](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6305): Explain the non-concurrency requirement of the `Emitter` interface methods.
>   - [Pull 6308](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6308): Explain the need to consume both the group sequence and each group specifically with `Flowable.groupBy`.
>   - [Pull 6311](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6311): Explain that `distinctUntilChanged` requires non-mutating data to work as expected.
> 
> #### Wiki changes
> 
>   - [Pull 6260](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6260): Add `generate` examples to `Creating-Observables.md`.
>   - [Pull 6267](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6267): Fix `Creating-Observables.md` docs stlye mistake.
>   - [Pull 6273](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6273): Fix broken markdown of `How-to-Contribute.md`.
>   - [Pull 6266](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6266): Update Error Handling Operators docs.
>   - [Pull 6291](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6291): Update Transforming Observables docs.
> 
> #### Other changes
> 
>   - [Pull 6262](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6262): Use JUnit's assert format for assert messages for better IDE interoperation.
>   - [Pull 6263](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6263): Inline `SubscriptionHelper.isCancelled()`.
>   - [Pull 6275](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6275): Improve the `Observable`/`Flowable` `cache()` operators.
>   - [Pull 6287](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6287): Expose the Keep-Alive value of the IO `Scheduler` as System property.
>   - [Pull 6321](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6321): Fix `Flowable.toObservable` backpressure annotation.
</details>
<details>
<summary>Changelog</summary>

*Sourced from [rxjava's changelog](https://github.com/ReactiveX/RxJava/blob/2.x/CHANGES.md).*

> ### Version 2.2.4 - November 23, 2018 ([Maven](http://search.maven.org/#artifactdetails%7Cio.reactivex.rxjava2%7Crxjava%7C2.2.4%7C))
> 
> #### API changes
> 
>   - [Pull 6278](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6278): Add `Maybe`/`Single`/`Completable` `materialize` operator, 
>   - [Pull 6278](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6278): Add `Single.dematerialize(selector)` operator.
>   - [Pull 6281](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6281): Add `Flowable`/`Observable` `dematerialize(selector)` operator.
> 
> #### Bugfixes
> 
>   - [Pull 6258](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6258): Fix cancel/dispose upon upstream switch for some operators.
>   - [Pull 6269](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6269): Call the `doOn{Dispose|Cancel}` handler at most once.
>   - [Pull 6283](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6283): Fix `Observable.flatMap` to sustain concurrency level.
>   - [Pull 6297](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6297): Fix refCount eager disconnect not resetting the connection.
> 
> #### Documentation changes
> 
>   - [Pull 6280](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6280): Improve the package docs of `io.reactivex.schedulers`.
>   - [Pull 6301](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6301): Add missing `onSubscribe` null-checks to NPE docs on `Flowable`/`Observable` `subscribe`.
>   - [Pull 6303](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6303): Fix incorrect image placement in `Flowable.zip` docs.
>   - [Pull 6305](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6305): Explain the non-concurrency requirement of the `Emitter` interface methods.
>   - [Pull 6308](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6308): Explain the need to consume both the group sequence and each group specifically with `Flowable.groupBy`.
>   - [Pull 6311](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6311): Explain that `distinctUntilChanged` requires non-mutating data to work as expected.
> 
> #### Wiki changes
> 
>   - [Pull 6260](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6260): Add `generate` examples to `Creating-Observables.md`.
>   - [Pull 6267](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6267): Fix `Creating-Observables.md` docs stlye mistake.
>   - [Pull 6273](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6273): Fix broken markdown of `How-to-Contribute.md`.
>   - [Pull 6266](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6266): Update Error Handling Operators docs.
>   - [Pull 6291](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6291): Update Transforming Observables docs.
> 
> #### Other changes
> 
>   - [Pull 6262](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6262): Use JUnit's assert format for assert messages for better IDE interoperation.
>   - [Pull 6263](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6263): Inline `SubscriptionHelper.isCancelled()`.
>   - [Pull 6275](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6275): Improve the `Observable`/`Flowable` `cache()` operators.
>   - [Pull 6287](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6287): Expose the Keep-Alive value of the IO `Scheduler` as System property.
>   - [Pull 6321](https://github-redirect.dependabot.com/ReactiveX/RxJava/pull/6321): Fix `Flowable.toObservable` backpressure annotation.
</details>
<details>
<summary>Commits</summary>

- [`6ae765a`](https://github.com/ReactiveX/RxJava/commit/6ae765a899969682263acef757480df95b026783) Release 2.2.4
- [`3e4ae38`](https://github.com/ReactiveX/RxJava/commit/3e4ae3856f184d5783d34ffc5c468d91e67d77d8) Fix Flowable#toObservable backpressure support ([#6321](https://github-redirect.dependabot.com/ReactiveX/RxJava/issues/6321))
- [`ac3b5b1`](https://github.com/ReactiveX/RxJava/commit/ac3b5b195b8abf6086c21c7601ff5d054e0041d4) Change javadoc explanation for Mutable List ([#6314](https://github-redirect.dependabot.com/ReactiveX/RxJava/issues/6314))
- [`7058126`](https://github.com/ReactiveX/RxJava/commit/7058126ad4763a0ba6bcbf8433792f04426f5a77) Javadoc: explain that distinctUntilChanged requires non-mutating data to work...
- [`f800b30`](https://github.com/ReactiveX/RxJava/commit/f800b30f044497ea11f23986d3d6260e7ea69f2b) Javadoc updates for RXJava Issue 6289 ([#6308](https://github-redirect.dependabot.com/ReactiveX/RxJava/issues/6308))
- [`e82b82e`](https://github.com/ReactiveX/RxJava/commit/e82b82edf874e69ed51896987a4c987d3f5af9f2) Javadoc : Explain explicitly about non-concurrency for Emitter interface meth...
- [`6afd2b8`](https://github.com/ReactiveX/RxJava/commit/6afd2b8d6c96ae9f76f5dc4802b9e8385c7b12ee) 2.x: Fix refCount eager disconnect not resetting the connection ([#6297](https://github-redirect.dependabot.com/ReactiveX/RxJava/issues/6297))
- [`390b7b0`](https://github.com/ReactiveX/RxJava/commit/390b7b0633ddbec364d2f78e624be5312a6ef198) 2.x: Update Transforming Observables docs ([#6291](https://github-redirect.dependabot.com/ReactiveX/RxJava/issues/6291))
- [`2334d88`](https://github.com/ReactiveX/RxJava/commit/2334d880a18d95161aa5d07657104e8639b23b3c) Fix(incorrect image placement) ([#6303](https://github-redirect.dependabot.com/ReactiveX/RxJava/issues/6303))
- [`55f3bb2`](https://github.com/ReactiveX/RxJava/commit/55f3bb2a366c5667c682021fe56726479f29bc3b) Add missing onSubscribe null-checks to NPE docs on Flowable/Observable subscr...
- Additional commits viewable in [compare view](https://github.com/ReactiveX/RxJava/compare/v2.2.3...v2.2.4)
</details>
<br />

[![Dependabot compatibility score](https://api.dependabot.com/badges/compatibility_score?dependency-name=io.reactivex.rxjava2:rxjava&package-manager=gradle&previous-version=2.2.3&new-version=2.2.4)](https://dependabot.com/compatibility-score.html?dependency-name=io.reactivex.rxjava2:rxjava&package-manager=gradle&previous-version=2.2.3&new-version=2.2.4)

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot ignore this [patch|minor|major] version` will close this PR and stop Dependabot creating any more for this minor/major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)
- `@dependabot use these labels` will set the current labels as the default for future PRs for this repo and language
- `@dependabot use these reviewers` will set the current reviewers as the default for future PRs for this repo and language
- `@dependabot use these assignees` will set the current assignees as the default for future PRs for this repo and language
- `@dependabot use this milestone` will set the current milestone as the default for future PRs for this repo and language
- `@dependabot badge me` will comment on this PR with code to add a ""Dependabot enabled"" badge to your readme

Additionally, you can set the following in your Dependabot [dashboard](https://app.dependabot.com):
- Update frequency (including time of day and day of week)
- Automerge options (never/patch/minor, and dev/runtime dependencies)
- Pull request limits (per update run and/or open at any time)
- Out-of-range updates (receive only lockfile updates, if desired)
- Security updates (receive only security updates, if desired)

Finally, you can contact us by mentioning @dependabot.

</details>"
fossasia/open-event-android,closed,fix: added screenshots of the app to README.md,[],"Fixes #707 

Changes: There is a screenshots section in the README.md file but no screenshots were uploaded there. I uploaded some screenshots from the app and also fixed some minor grammatical errors.

Screenshots for the change:

![screenshot from 2018-11-23 23-42-02](https://user-images.githubusercontent.com/41234408/48960058-e966f280-ef8f-11e8-9471-e9d83680a11d.png)
![screenshot from 2018-11-23 23-42-08](https://user-images.githubusercontent.com/41234408/48960067-eec43d00-ef8f-11e8-9543-55f42149699b.png)
![screenshot from 2018-11-23 23-42-13](https://user-images.githubusercontent.com/41234408/48960070-f1bf2d80-ef8f-11e8-9c84-13579fef0441.png)
"
fossasia/open-event-android,closed,No screenshots in README.md,[],"**Describe the chore**
The README.md file has a section for screenshots in it, but no screenshots have been uploaded. I would like to upload some screenshots of the app to the document.

![screenshot from 2018-11-23 23-57-44](https://user-images.githubusercontent.com/41234408/48957011-101b2e00-ef7c-11e8-83ed-0b3ee5e748e8.png)


**Would you like to work on the issue?**
<!-- Please let us know if you can work on it or the issue should be assigned to someone else. -->
- [X] Yes
- [ ] No

"
fossasia/open-event-android,closed,fix: added screenshots in README.md,[],"Fix for issue #707 

There is a screenshots section in the README.md file but no screenshots were uploaded there. I uploaded some screenshots from the app and also fixed some minor grammatical errors.

![screenshot from 2018-11-23 23-42-02](https://user-images.githubusercontent.com/41234408/48956596-e3661700-ef79-11e8-83b9-a832a3258b76.png)
![screenshot from 2018-11-23 23-42-08](https://user-images.githubusercontent.com/41234408/48956602-ee20ac00-ef79-11e8-8b6f-d55bf228b378.png)
![screenshot from 2018-11-23 23-42-13](https://user-images.githubusercontent.com/41234408/48956603-f11b9c80-ef79-11e8-963f-453c4f43e03d.png)
"
fossasia/open-event-android,closed,Adding a login button Events tab,[],"**Describe the feature you'd like**
<!-- A clear and concise description of what you want to happen. -->
There is no specific button open login screen, only way to open it is opening tickets or profile tab.
There should be a option to login on first tab(that is events tab), probably a FAB would be the best.



**Would you like to work on the issue?**
<!-- Please let us know if you can work on it or the issue should be assigned to someone else. -->
- [x] Yes
- [ ] No

"
fossasia/open-event-android,closed,Opening Login screen first,[],"**Describe the feature you'd like**
<!-- A clear and concise description of what you want to happen. -->
In my opinion Login Screen should open first on first launch of the app (like most of the apps have) , user would have an option to login later .

Some member please confirm if it is right thing, I would start working on it.

**Would you like to work on the issue?**
<!-- Please let us know if you can work on it or the issue should be assigned to someone else. -->
- [x] Yes
- [ ] No
- Other:
"
fossasia/open-event-android,closed,chore: Toast notification text for successful login,[],"Changed Toast notification text to "" Welcome back ! "" From "" success "".

Fixes #697 
"
fossasia/open-event-android,closed,chore(deps): bump adapter-rxjava2 from 2.4.0 to 2.5.0,"[Label(name=""dependencies"")]","Bumps adapter-rxjava2 from 2.4.0 to 2.5.0.

[![Dependabot compatibility score](https://api.dependabot.com/badges/compatibility_score?dependency-name=com.squareup.retrofit2:adapter-rxjava2&package-manager=gradle&previous-version=2.4.0&new-version=2.5.0)](https://dependabot.com/compatibility-score.html?dependency-name=com.squareup.retrofit2:adapter-rxjava2&package-manager=gradle&previous-version=2.4.0&new-version=2.5.0)

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot ignore this [patch|minor|major] version` will close this PR and stop Dependabot creating any more for this minor/major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)
- `@dependabot use these labels` will set the current labels as the default for future PRs for this repo and language
- `@dependabot use these reviewers` will set the current reviewers as the default for future PRs for this repo and language
- `@dependabot use these assignees` will set the current assignees as the default for future PRs for this repo and language
- `@dependabot use this milestone` will set the current milestone as the default for future PRs for this repo and language
- `@dependabot badge me` will comment on this PR with code to add a ""Dependabot enabled"" badge to your readme

Additionally, you can set the following in your Dependabot [dashboard](https://app.dependabot.com):
- Update frequency (including time of day and day of week)
- Automerge options (never/patch/minor, and dev/runtime dependencies)
- Pull request limits (per update run and/or open at any time)
- Out-of-range updates (receive only lockfile updates, if desired)
- Security updates (receive only security updates, if desired)

Finally, you can contact us by mentioning @dependabot.

</details>"
fossasia/open-event-android,closed,chore(deps): bump logging-interceptor from 3.11.0 to 3.12.0,"[Label(name=""dependencies"")]","Bumps logging-interceptor from 3.11.0 to 3.12.0.

[![Dependabot compatibility score](https://api.dependabot.com/badges/compatibility_score?dependency-name=com.squareup.okhttp3:logging-interceptor&package-manager=gradle&previous-version=3.11.0&new-version=3.12.0)](https://dependabot.com/compatibility-score.html?dependency-name=com.squareup.okhttp3:logging-interceptor&package-manager=gradle&previous-version=3.11.0&new-version=3.12.0)

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot ignore this [patch|minor|major] version` will close this PR and stop Dependabot creating any more for this minor/major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)
- `@dependabot use these labels` will set the current labels as the default for future PRs for this repo and language
- `@dependabot use these reviewers` will set the current reviewers as the default for future PRs for this repo and language
- `@dependabot use these assignees` will set the current assignees as the default for future PRs for this repo and language
- `@dependabot use this milestone` will set the current milestone as the default for future PRs for this repo and language
- `@dependabot badge me` will comment on this PR with code to add a ""Dependabot enabled"" badge to your readme

Additionally, you can set the following in your Dependabot [dashboard](https://app.dependabot.com):
- Update frequency (including time of day and day of week)
- Automerge options (never/patch/minor, and dev/runtime dependencies)
- Pull request limits (per update run and/or open at any time)
- Out-of-range updates (receive only lockfile updates, if desired)
- Security updates (receive only security updates, if desired)

Finally, you can contact us by mentioning @dependabot.

</details>"
fossasia/open-event-android,closed,chore(deps): bump retrofit from 2.4.0 to 2.5.0,"[Label(name=""dependencies"")]","Bumps [retrofit](https://github.com/square/retrofit) from 2.4.0 to 2.5.0.
<details>
<summary>Changelog</summary>

*Sourced from [retrofit's changelog](https://github.com/square/retrofit/blob/master/CHANGELOG.md).*

> Version 2.5.0 *(2018-11-18)*
> ----------------------------
> 
>  * New: Built-in support for Kotlin's `Unit` type. This behaves the same as Java's `Void` where the body
>    content is ignored and immediately discarded.
>  * New: Built-in support for Java 8's `Optional` and `CompletableFuture` types. Previously the 'converter-java8'
>    and 'adapter-java8' dependencies were needed and explicitly adding `Java8OptionalConverterFactory` and/or
>    `Java8CallAdapterFactory` to your `Retrofit.Builder` in order to use these types. Support is now built-in and
>    those types and their artifacts are marked as deprecated.
>  * New: `Invocation` class provides a reference to the invoked method and argument list as a tag on the
>    underlying OkHttp `Call`. This can be accessed from an OkHttp interceptor for things like logging, analytics,
>    or metrics aggregation.
>  * New: Kotlin extension for `Retrofit` which allows you call `create` passing the interface type only as
>    a generic parameter (e.g., `retrofit.create<MyService>()`).
>  * New: Added `Response.success` overload which allows specifying a custom 2xx status code.
>  * New: Added `Calls.failure` overload which allows passing any `Throwable` subtype.
>  * New: Minimal R8 rules now ship inside the jar requiring no client configuration in the common case.
>  * Fix: Do not propagate fatal errors to the callback. They are sent to the thread's uncaught
>    exception handler.
>  * Fix: Do not enqueue/execute an otherwise useless call when the RxJava type is disposed by `onSubscribe`.
>  * Fix: Call `RxJavaPlugins` assembly hook when creating an RxJava 2 type.
>  * Fix: Ensure both the Guava and Java 8 `Optional` converters delegate properly. This ensures that converters
>    registered prior to the optional converter can be used for deserializing the body type.
>  * Fix: Prevent `[**Path**](https://github.com/Path)` values from participating in path-traversal. This ensures untrusted input passed as
>    a path value cannot cause you to make a request to an un-intended relative URL.
>  * Fix: Simple XML converter (which is deprecated) no longer wraps subtypes of `RuntimeException`
>    or `IOException` when it fails.
>  * Fix: Prevent JAXB converter from loading remote entities and DTDs.
>  * Fix: Correctly detect default methods in interfaces on Android (API 24+). These still do not work, but
>    now a correct exception will be thrown when detected.
>  * Fix: Report more accurate exceptions when a `[**QueryName**](https://github.com/QueryName)` or `[**QueryMap**](https://github.com/QueryMap)` precedes a `[**Url**](https://github.com/Url)` parameter.
>  * Update OkHttp dependency to 3.12.
</details>
<details>
<summary>Commits</summary>

- [`40621bf`](https://github.com/square/retrofit/commit/40621bf538f6d48af182350adc880406c53dc67c) [maven-release-plugin] prepare release parent-2.5.0
- [`8bd6c99`](https://github.com/square/retrofit/commit/8bd6c990a728955f91646156b78244061ea91a2a) Prepare next development version
- [`5d6650a`](https://github.com/square/retrofit/commit/5d6650a97d9c0f24526f4aeac2ae494bc601785e) Merge pull request [#2967](https://github-redirect.dependabot.com/square/retrofit/issues/2967) from square/jakew/robo/2018-11-18
- [`23592bc`](https://github.com/square/retrofit/commit/23592bcf6a54c5ed470cd534651c70161ee97990) Merge pull request [#2968](https://github-redirect.dependabot.com/square/retrofit/issues/2968) from square/jakew/okhhtp/2018-11-18
- [`01e024b`](https://github.com/square/retrofit/commit/01e024b99000b39f730de5422b5ccea3db760709) Update OkHttp to 3.12
- [`7d8dd16`](https://github.com/square/retrofit/commit/7d8dd16664356dffddaf27fa2acd886fe38d5ca5) Update Robolectric
- [`f0cad11`](https://github.com/square/retrofit/commit/f0cad11becfcc878e8ef4bca38ab0d19962e9eb0) Merge pull request [#2962](https://github-redirect.dependabot.com/square/retrofit/issues/2962) from square/jakew/completable-future-android/2018-11-16
- [`bc62069`](https://github.com/square/retrofit/commit/bc620698b4e684c7991b2b26be8171803246a61f) Merge pull request [#2963](https://github-redirect.dependabot.com/square/retrofit/issues/2963) from square/jakew/nullability/2018-11-16
- [`7dcac1d`](https://github.com/square/retrofit/commit/7dcac1d492cd4eaaedac94d30fdd7f5f8d699e9b) Merge pull request [#2964](https://github-redirect.dependabot.com/square/retrofit/issues/2964) from square/jakew/header-tests/2018-11-16
- [`07cb4ae`](https://github.com/square/retrofit/commit/07cb4ae1ed8f3c9ce5f559a306e8dd950a52b47a) Add tests for form and multipart header values and overrides
- Additional commits viewable in [compare view](https://github.com/square/retrofit/compare/parent-2.4.0...parent-2.5.0)
</details>
<br />

[![Dependabot compatibility score](https://api.dependabot.com/badges/compatibility_score?dependency-name=com.squareup.retrofit2:retrofit&package-manager=gradle&previous-version=2.4.0&new-version=2.5.0)](https://dependabot.com/compatibility-score.html?dependency-name=com.squareup.retrofit2:retrofit&package-manager=gradle&previous-version=2.4.0&new-version=2.5.0)

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot ignore this [patch|minor|major] version` will close this PR and stop Dependabot creating any more for this minor/major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)
- `@dependabot use these labels` will set the current labels as the default for future PRs for this repo and language
- `@dependabot use these reviewers` will set the current reviewers as the default for future PRs for this repo and language
- `@dependabot use these assignees` will set the current assignees as the default for future PRs for this repo and language
- `@dependabot use this milestone` will set the current milestone as the default for future PRs for this repo and language
- `@dependabot badge me` will comment on this PR with code to add a ""Dependabot enabled"" badge to your readme

Additionally, you can set the following in your Dependabot [dashboard](https://app.dependabot.com):
- Update frequency (including time of day and day of week)
- Automerge options (never/patch/minor, and dev/runtime dependencies)
- Pull request limits (per update run and/or open at any time)
- Out-of-range updates (receive only lockfile updates, if desired)
- Security updates (receive only security updates, if desired)

Finally, you can contact us by mentioning @dependabot.

</details>"
