repository,state,title,label,body
open-keychain/open-keychain,open,Mail address is case sensitive,[],"Encryption in K9-mail fails, if the to-mail address is in upper case. Me@MailServer.Example is not matched to
me@mailserver.example

## Expected Behavior
I would expect, match of addresses is not case sensitive.

"
open-keychain/open-keychain,open,Feature Request: Support company wide single public PGP keys for external email sender.,[],"#### Background:
There are solutions out there where all in- and outgoing emails of a company is encrypted and decrypted on a ""email gateway"" by some PGP implementation using the same key for all company's email addresses. Unfortunately the key is associated only with one - maybe fictional - email address. (e.g. <pgp@example.com>)

As a communication partner of the employees of such a company, I need to register my PGP key with the IT-department of the said company. Reading emails send by them with k-9 using _OpenKeychain_ just works fine. (There is a warning regarding the email not being signed which is reasonable [the warning, not the missing signature])

However, when sending emails to an email recipient inside that company, I seems impossible to encrypt the email with k-9 using _OpenKeychain_ by the said PGP key which does not have the recipients address as alias.

#### Disclaimer:

I don't want to discuss whether the solution of a single key for a company is a reasonable one. It just does exist.
In any case, a technical similar situation might arise if a contact keeps a PGP key after changing his/her email address, but I haven't managed to import the updated public PGP key yet which would contain the new email address as alias.

#### Feature Request:
(_The use case is that I am **not** working for the said company, but communicate with employees of it._)

Add **some** way of associating or using **any choosen key** one-time or per default for an email recipient.

#### Ideas / approaches:
(This is from the users view, not considering implementation aspects)
- There is a tab ""identities"" in the extended options for a public key. Have an option there to add email addresses this key is suitable for also. (Kind of user defined aliases)
- Allow a public PGP key to be used for **any** email address of a contact if the given identity matches any email address listed in the addressbook for that contact. To use this feature for the situation described above, one would simple add the ""fictional address"" of the PGP key to any contact within the company in question.
- [Probably worst approach as it has the most probability for accidentally using wrong keys] Generally allow to pick any public PGP key for encryption if no key with an id matching the recipients email address was found. (May even if its found - optionally enabled by some ""exports settings"")

#### Solutions used somewhere else:
- _GPG Suite_ for _OS X_ has some hidden feature to accommodate to the situation described: https://gpgtools.tenderapp.com/kb/how-to/how-to-add-an-e-mail-address-to-an-existing-public-key-using-key-mapping

- Enigmail has rules which associate any key with a user defined pattern. (e.g. ""Ends with example.com"")

- With PGP/_GnuPG_ command line tools, you can just encrypt any text by any key."
open-keychain/open-keychain,open,Use new external NFC sweetspot library,[],"<!--- Provide a general summary of your changes in the title above -->

## Description
Externalizes the NFC sweetspot stuff into a new library.

## Types of changes
- ✅ Bug fix (non-breaking change which fixes an issue)
"
open-keychain/open-keychain,closed,"Update NFC sweetspot data, and extract into separate module",[],Preparing to extract nfc sweetspot part into separate library
open-keychain/open-keychain,closed,Not able to connect to key server,[],"App is not connecting to key server for update or search.

click search keys in home page, enter a string click search

error: an error occured when searching for keys

click update keys:

error: import of <n> keys failed

Does this app needs any android feature for hkps:// protocol to work?

I have given data access to this app

i use Android / F-droid version 5.2 (52009)"
open-keychain/open-keychain,open,Crash when scanning a QR code whose public key isn't uploaded to key server.,[],"<!--- Provide a general summary of the issue in the title above -->

## Expected Behavior
<!--- If you're describing a bug, tell us what should happen -->
<!--- If you're suggesting a change/improvement, tell us how it should work -->
Successfully import the public key after scanning the QR code provided by the OpenKeychain APP.

## Current Behavior
<!--- If describing a bug, tell us what happens instead of the expected behavior -->
<!--- If suggesting a change/improvement, explain the difference from the current behavior -->
OpenKeychain just crashed after scanning a QR code. Later I figured out that it could because the public key I wanted to import hasn't been uploaded to the key server.

## Possible Solution
<!--- Not obligatory, but suggest a fix/reason for the bug, -->
<!--- or ideas how to implement the addition or change -->
Don't show QR code at all if the user chose not to publish the public key in the key pair creation process.

## Steps to Reproduce (for bugs)
<!--- Provide a link to a live example, or an unambiguous set of steps to -->
<!--- reproduce this bug. Include code to reproduce, if relevant -->
1. Let someone else create a key pair and do NOT check ""Publish on keyservers"" before creating the key.
2. Tap the key just created and there's a QR code on the top right corner.
3. Scan the QR code with your OpenKeychain.
4. Your OpenKeychain crashes.

## Context
<!--- How has this issue affected you? What are you trying to accomplish? -->
<!--- Providing context helps us come up with a solution that is most useful in the real world -->

## Your Environment
<!--- Include relevant details about the environment you experienced the bug in -->
* Android Version: 8.1.0
* Device Model: OnePlus 5T and the Android emulator in Android SDK
* OpenKeychain Version: 5.2
* From Google Play or F-Droid?: F-Droid
 
"
open-keychain/open-keychain,closed,Gladle sync failed in a android studio,[],"
I am trying to sync the code with android studio but i always got these errors

Configuration 'compile' is obsolete and has been replaced with 'implementation' and 'api'.
It will be removed at the end of 2018. For more information see: http://d.android.com/r/tools/update-dependency-configurations.html

Configuration 'testCompile' is obsolete and has been replaced with 'testImplementation' and 'testApi'.
It will be removed at the end of 2018. For more information see: http://d.android.com/r/tools/update-dependency-configurations.html

Configuration 'testApi' is obsolete and has been replaced with 'testImplementation'.
It will be removed at the end of 2018. For more information see: http://d.android.com/r/tools/update-dependency-configurations.html

Unable to resolve dependency for ':libkeychain@debug/compileClasspath': Could not resolve project :openpgp-api-lib.
Open File
Show Details

What do i have to do to make it work?  Do i have to change the build.gradle upgrading the code changing those words or what? please somebody"
open-keychain/open-keychain,closed,fix secret key export compatibility with gnupg,[],"## Description
Under some circumstances, keys that had no passphrase were ""encrypted"" with an empty passphrase, rather than no passphrase at all. This should now be fixed.

## How has this been tested?
Unit tests included :+1: 

## Types of changes
- ✅ Bug fix (non-breaking change which fixes an issue)
"
open-keychain/open-keychain,open,[BUG?] Installing OpenKeyChain deleted contacts2.db (thus all android contacts),[],"After installing OpenKeyChain 5.2 from F-Droid my contacts of Android (LineageOS 15.1@FP2) vanished completely (only 2 contacts survived).

I checked /data/data/com.android.providers.contacts/databases/contacts2.db this file only contains 2 of my hundreds contacts anymore.
I store contacts only local at the device without using any cloud-solution.

Only these 2 contacts are visible in stock contact app (and are the most recent changed).
Also the favorites in the stock contact app vanished.

I cannot prove, that openckeychain is the reason of this behaviour, but I noticed this 1 hour after installing without doing anythin else with this device. I have currently no time to reproduce this again as I neet my contacts. I restored a backup (stored at my PC) using AirMore (luckily successfull).

## Your Environment
<!--- Include relevant details about the environment you experienced the bug in -->
* Android Version: LineageOS 15.1-20180910-NIGHLTY-FP2
* Device Model: Fairphone 2
* OpenKeychain Version: 5.2 
* From Google Play or F-Droid?: F-Droid
 
"
open-keychain/open-keychain,closed,Issues with 1822direkt bank key,[],"My bank recently updated their pgp infrastructure in an attempt to support MDC. They changed their key ( https://www.1822direkt.de/pgp5key.asc ) and went from Cryptix OpenPGP to BCPG 1.60. Since then I can't decrypt their messages anymore that they send, encrypted with my public key. The decryption works fine with Thunderbird + Enigmail, but K9 + openkeychain can't decrypt them. I tried decrypting the message body from clipboard to make sure K9 is not involved in this issue, but I only get the message

""no encrypted data with known secret key found""

Not quite sure why, since on my end my keys stayed the same.

## Expected Behavior
BCPG decryption is possible

## Current Behavior
""no encrypted data with known secret key found""

## Steps to Reproduce (for bugs)
1. try to decrypt the message below
2. get error message

## Your Environment
* Android Version: 7.1.2
* Device Model: redmi 4x (santoni) on resurrection remix
* OpenKeychain Version: 5.2 52009
* From Google Play or F-Droid?: google play store

The problematic message:
```
-----BEGIN PGP MESSAGE-----
Version: BCPG v1.60

hQIMA50n90XpDXX/AQ/8D4nMnHxTpVjkuPRmhyq2Sobjw+SDH5MgNR6VbfVyaXwI
G09eyIYr8XiG+d9memcYe4MMR6XBReDaS4xEACt6EBUJAqhye7RQQoVBtYF8QP9d
5eg/un0ISjIKfKct8jch5cQE0cE/EmBKFqNOFC1B0mda1T49ZIdaEddWraS5yf6W
1PfNz2XcefGSfzHNodjcakzCms/AqqBk2Jh4vk0tJJDxjmaAN52zDIzhjy61vQ7z
mFB3kahi4pJ2UzeJ4HF5wZx+2dgeqwPkVGMB+fMEPXnd3trkOKLlrYBocjsDDrIB
LSNO3pe17xhSdiyIvb2MDszTdmfADxFBVlLNDuBcxuVjUR44iEz8LXz5gi2HCpx/
JSkJJUbp+AEcCZ8k3kgP8t41d2XBS5EZ3QRXvv2/id2I2DbG/phc6sEPY3x6UJMN
CPY2o/3lK3JhKFO9vrCdcKkRLAK3ijP+ECbk8meFq504YY5YddN9ybjGDmmpo6po
7vQgHt+s8HXz+QZQJ8n4KJLSdi1Q3wvDv9nBKDJqIYWF5Ho0xng0zEOLSzarYPdL
LR+fJzkeBU6Cyls+JIBeGvOhbqRg0lMCqG/ZqlHX1ONExqXi2yHU3RsASTZew2Br
VFiZ4AfmXCLYRELeUzpupoa29ACGKfCkCWOlUnIVXYj2Sa2ntiU0SgqO/T9PwFjS
waYBrKkrNQIKpoMbYN8DHLIHaThtVUtTYwE6xYmnhoOz0raODFzvjvNrTg2Czi4x
lrodAqnhEKYHX9rqhPtFM1cQiZGTJxYFgWCtPD8U86Ljxfp/ND0XXNpf4KXAdaZf
zSeeBul3BW85cnDZ4YGpQCKbR4sPl1M4AUlMIuGXSjkY+MgZjLtg3XbzwCM+1jpu
HcORALY09kO6fQTIFkIPuXbnQMYj1uk+eRVy2sgh9BGMqsTVdYiSDlaj90YgspFQ
Zjf/4OOVTporQ7FWUt6atI2y8BnCBO6nDkC6fP8sh6E5BMdqjw7tFZAEpy5sGxvM
mg+/8hkToMivajYFb0FxJZxp0eOYpPqJvNGlw8cRQhdMiJ6PwZhFV+pFscQ5Hwwp
Q1ovyYSiBzcVlmLVtjeLoYVtHLlkGYf20IZpwTJ8ld40R6Gnw3cvOYwbfN6rwE4r
Ol2mqTYI9vX1SVCL2svMXG2lPAqfA+/y6pYh2tIOmZNtkQDeRoaMdFfBmCQXF8Xq
Y4WssjFTDJmAmexZRypu5yVxF+FxPgNbzzRQjjsvo5BqDOp/6taZuhovCI7czf0f
FsYMtKrZeB6QIadTvioVgf4YeJJ9PikPqpEM/BUt7ZpQsBofcZLsKAYFTJZShIms
SZalQdg9aDkseeZKKhLO+9QECXU2puUnZ1PnkUIKMmbDZ3oqlIkOb6E3XnBbvLj2
Jsu6k3NjwHSi88Ca37/7AtOKVJ2Dv1Hm5xa6oEpYce2GV3/YxNrXa87859wlr5Z7
9D7Dhgf6EJMQgdCi1EbTAZeH1mGXlxPfy8zlP2xW2hWkoHTfEMBP/w==
=ofKw
-----END PGP MESSAGE-----
```
Infos about my public key:
```
:public key packet:
        version 4, algo 1, created 1463182997, expires 0
        pkey[0]: [4096 bits]
        pkey[1]: [17 bits]
        keyid: 9D27F745E90D75FF
:user ID packet: ""<my mail address>""
:signature packet: algo 1, keyid 9D27F745E90D75FF
        version 4, created 1463182997, md5len 0, sigclass 0x13
        digest algo 2, begin of digest 8a 38
        hashed subpkt 2 len 4 (sig created 2016-05-13)
        hashed subpkt 27 len 1 (key flags: 23)
        hashed subpkt 9 len 4 (key expires after 5y0d0h0m)
        hashed subpkt 11 len 5 (pref-sym-algos: 9 8 7 3 2)
        hashed subpkt 21 len 5 (pref-hash-algos: 8 2 9 10 11)
        hashed subpkt 22 len 3 (pref-zip-algos: 2 3 1)
        hashed subpkt 30 len 1 (features: 01)
        hashed subpkt 23 len 1 (key server preferences: 80)
        subpkt 16 len 8 (issuer key ID 9D27F745E90D75FF)
        data: [4095 bits]
:public sub key packet:
        version 4, algo 1, created 1463182997, expires 0
        pkey[0]: [4096 bits]
        pkey[1]: [17 bits]
        keyid: 6E695BC4304554A2
:signature packet: algo 1, keyid 9D27F745E90D75FF
        version 4, created 1463182997, md5len 0, sigclass 0x18
        digest algo 2, begin of digest d9 33
        hashed subpkt 2 len 4 (sig created 2016-05-13)
        hashed subpkt 27 len 1 (key flags: 0C)
        hashed subpkt 9 len 4 (key expires after 5y0d0h0m)
        subpkt 16 len 8 (issuer key ID 9D27F745E90D75FF)
        data: [4094 bits]
```"
