repository,state,title,label,body
oliexdev/openScale,open,changed saving issue if scale does only scan weigth and then shut down,[],disable BT when scan done 
oliexdev/openScale,closed,much better BT connection,[],"dont send user data again if scale got it
save weight only after 2500ms or if all data completed

"
oliexdev/openScale,open,Android Bluetooth library,"[Label(name=""enhancement"")]","With all the Bluetooth hacks and problems around Android, maybe we should consider using a Bluetooth library like [SweetBlue](https://github.com/iDevicesInc/SweetBlue) or [RxAndroidBle](https://github.com/Polidea/RxAndroidBle)

I will create a experimental branch for the experimental development but does anybody have a experience of those libraries or does know a better open-source library?"
oliexdev/openScale,closed,fix gender sending/send on every value we get,[],"changed gender code (in document different, but this change shows male as male)
send user info on every data received (since the scale is not getting this data on first try)"
oliexdev/openScale,closed,added initial Support for Senssun,[],"working.
some things to do:
1. Initial Command not sent to Scale every time (best touch Scale, wait until OpenScale connects with it and then weight)
2. 2 saves (one weight only, second with fat ....)
"
oliexdev/openScale,open,Bug at sync between silvercrest sbf75 &sony xperia xz1 compact,"[Label(name=""bug"")]","**Describe the bug**
Application crashes when receiving data from silvercrest sbf75 scale

**To Reproduce**
Steps to reproduce the behavior:
1. Start app
2. Start scale by stepping on it
3. Measure begins, App connects to scale
4. Unexpected error

**Expected behavior**
The App should sync with the scale and begin receiving data

**Debug log**
Build version: 1.8.3 
Current date: 2018-11-24 09:05:32 
Device: Sony G8441 
 
Stack trace:  
java.lang.StringIndexOutOfBoundsException: length=4; regionStart=4; regionLength=3
	at java.lang.StringFactory.newStringFromBytes(StringFactory.java:71)
	at java.lang.StringFactory.newStringFromBytes(StringFactory.java:54)
	at com.health.openscale.core.bluetooth.BluetoothBeurerSanitas.onBluetoothDataChange(BluetoothBeurerSanitas.java:359)
	at com.health.openscale.core.bluetooth.BluetoothCommunication$GattCallback$8.run(BluetoothCommunication.java:759)
	at android.os.Handler.handleCallback(Handler.java:789)
	at android.os.Handler.dispatchMessage(Handler.java:98)
	at android.os.Looper.loop(Looper.java:251)
	at android.app.ActivityThread.main(ActivityThread.java:6572)
	at java.lang.reflect.Method.invoke(Native Method)
	at com.android.internal.os.Zygote$MethodAndArgsCaller.run(Zygote.java:240)
	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:767)

"
oliexdev/openScale,closed,Bluetooth unreliable for Medisana BS 444 since 1.8.3,"[Label(name=""enhancement"")]","**Describe the bug**
Bluetooth connects but the connection drops immediately. Sync only happens for about 20% of my connection attempts. 

**To Reproduce**
Steps to reproduce the behavior:
1. Activate Bluetooth through Bluetooth icon
2. Wait for connection to establish
3. Connection drops
4. Repeat till the sync happens

Reproduced with [latest dev version](https://github.com/oliexdev/openScale/releases/tag/travis-dev-build): Yes

**Expected behavior**
Previous version had a success rate of at least 95%.

**Debug log**
[openScale_2018-11-22_09-50.txt](https://github.com/oliexdev/openScale/files/2609360/openScale_2018-11-22_09-50.txt)
"
oliexdev/openScale,closed,"""INLIFE"" scale support, (same design as the ""Accuway"" scale)","[Label(name=""scale support"")]","Hi can you add support for the InLife scale it appears to have the same design as the Accuway scale, might just be a clone/rebrand, 
[btsnoop_hci-1.log](https://github.com/oliexdev/openScale/files/2597563/btsnoop_hci-1.log)
[openScale_2018-11-19_18-19.txt](https://github.com/oliexdev/openScale/files/2597812/openScale_2018-11-19_18-19.txt)

(155.2 lb at time of log)

Official APP is here
https://play.google.com/store/apps/details?id=com.fs.fsfat&hl=en_US

Scale:
https://www.kilimall.co.ke/item-2554833-inlife-electronic-digital-weight-scale-qhc-with-bl-white.html

I can take a photo if we can get it working, I have a feeling its just a Accuway scale being re-branded, it might be possible different hardware/firmware though."
oliexdev/openScale,closed,Error when load data,"[Label(name=""bug"")]","Balance model: icomon

Build version: 1.8.3 
Build date: 1979-11-30 00:00:00 
Current date: 2018-11-13 22:56:38 
Device: Motorola Moto G (5) Plus 
 
Stack trace:  
java.lang.NullPointerException: Attempt to invoke virtual method 'void com.health.openscale.core.datatypes.ScaleMeasurement.setMuscle(float)' on a null object reference
	at com.health.openscale.core.bluetooth.BluetoothMGB.onBluetoothDataChange(BluetoothMGB.java:182)
	at com.health.openscale.core.bluetooth.BluetoothCommunication$GattCallback$8.run(BluetoothCommunication.java:759)
	at android.os.Handler.handleCallback(Handler.java:790)
	at android.os.Handler.dispatchMessage(Handler.java:99)
	at android.os.Looper.loop(Looper.java:164)
	at android.app.ActivityThread.main(ActivityThread.java:6626)
	at java.lang.reflect.Method.invoke(Native Method)
	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:438)
	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:811)
"
oliexdev/openScale,closed,"Beurer BF700 listed as ""not supported""","[Label(name=""scale support"")]","**Describe the bug**
The app sees the scale, but shows it as not supported.
![screenshot_20181111-151715](https://user-images.githubusercontent.com/1309590/48314146-a5eeaa80-e5c5-11e8-97b7-c34427c210f0.jpg)

**To Reproduce**
Steps to reproduce the behavior:
1. Open Bluetooth scanning menu
2. See BF700 in the list – shown as ""device not supported""

Reproduced with v1.8.3

**Expected behavior**
BF700 listed as supported (since the README claims it's supported)

**Debug log**
[openScale_2018-11-11_15-26.txt](https://github.com/oliexdev/openScale/files/2569452/openScale_2018-11-11_15-26.txt)

"
