repository,state,title,label,body
OpenArchive/openarchive,open,Improved formating of doc markdown file.,[],
OpenArchive/openarchive,open,Need issue Template ,"[Label(name=""enhancement""), Label(name=""help wanted"")]",Create template for QA testers: https://blog.github.com/2016-02-17-issue-and-pull-request-templates/
OpenArchive/openarchive,open,Clean install is not prompting user to install Orbot or give information about that feature,"[Label(name=""bug"")]","OA version 0.0.18

Phone
Moto G first generation running Android 5.1.1"
OpenArchive/openarchive,open,Error uploading image not detected,[],"Here's the feedback that you asked for in the OTF-active mailing list.

## Description

I was testing the application (my first use of the application and archive.org). I was trying to upload an image, but I'm in a train, so the internet connection is not really stable and the upload failed. The app did not detect that and kept showing ""Uploading image""

Edit: I'm using the 0.0.18-alpha-1 version: https://github.com/OpenArchive/openarchive-android/releases/download/0.0.18-alpha-1/OpenArchive-0.0.18-alpha-1-releaseflavor-release.apk

## Steps to reproduce

1. Make a photo
1. Upload the image with the OA Android app
2. Disconnect your internet

## Expected behaviour

The app shows a message saying ""upload failed"" and preferably also a retry-button.

## Actual behaviour

App keeps saying ""Uploading image"". To retry you have to click back, click your image again and click upload again.

## Screenshot

![image](https://user-images.githubusercontent.com/832723/45418302-733b3b00-b684-11e8-88b2-e0d47b868b19.png)

"
OpenArchive/openarchive,open,"Thumbnails, media disappear when Google Photos remove","[Label(name=""bug"")]","When you clean/remove data using Google Photos, the thumbnail and photos disappear from OpenArchive. We need to cache a copy of the thumbnail in the OA app, and possibly the media as well."
OpenArchive/openarchive,open,NearbyShare - phone doesn't show up on other phone,"[Label(name=""bug"")]","Using two moto-g's (1st gen and Moto G3), both have bluetooth enabled, but only the Moto-G3 sees the Moto-G1 and they don't connect.
![img_3793](https://user-images.githubusercontent.com/2231711/45360776-713e8280-b585-11e8-8fb9-2d5180115f27.JPG)
"
OpenArchive/openarchive,open,NearbyShare issue - unclear if devices are connected via bluetooth,"[Label(name=""bug"")]","Using old moto-g and Lenovo androids.

you can find both devices on each, but it is not apparent if they are connected - need language to say ""now you are connected to [phone type] (will add screenshots during QA sprint next week)."
OpenArchive/openarchive,open,app crashes when trying to share a photo with nearby ,[],"Trying to share a photo using nearby feature either causes the app to stop (Case 1) or nothing seems to happen (seems broken) -Case 2

**Case 1**
I'm connected to wifi.
open my OpenArchive. 
Tap on a photo I want to share.
Tap on the nearby icon.
Get an error message saying 'OpenArchive has Stopped'.
Tap 'Close app'.
Relaunch. 
Try again. Same steps. App stops!

Device: Moto G play
OS: Android 6.0.1
App version: 0.0.17 RC 1

**Case 2**
I'm connected to wifi.
Open my OpenArchive.
Tap on a photo I want to share. 
Tap the nearby icon.
App wants to make my tablet visable on bluetooth-tap allow.
searching for devices.
Device found. Tap on the device to connect.
On the tablet, processing circle never moves past 0%. 
Another device (motoG) never detects the device (tablet). 
File never shared. The screen remains on Nearby screen.

Device: Nexus 7
OS: Android 5.1.1
App version: 0.0.17 RC 1

"
OpenArchive/openarchive,open,Add SSH/SCP/SFTP support,"[Label(name=""enhancement"")]","Seems like we can use JSCH to do this pretty easily.

https://mvnrepository.com/artifact/com.jcraft/jsch/0.1.54
https://github.com/hierynomus/sshj

https://github.com/codeallthethingz/jscp/blob/master/src/main/java/com/wonderant/ssh/Jscp.java
https://medium.com/@ldclakmal/scp-with-java-b7b7dbcdbc85

"
OpenArchive/openarchive,open,Video recorder option fails to upload the file,[],"Fabby Testing on Galaxy J7 Perx
Android 7.0
App version: 0.0.17-beta-7

When a video is recorded using the video icon in the app the upload fails"
OpenArchive/openarchive,open,Archive.org issue to consider,"[Label(name=""wontfix"")]","When an account is ""deleted"" from Archive.org and then a new account is opened using the same email all the files from the previous account are shown."
OpenArchive/openarchive,open,Deleted items stay listed in the account,"[Label(name=""question""), Label(name=""wontfix"")]","Fabby Testing on Galaxy J7 Perx
Android 7.0
App version:  0.0.17-beta-7
When an item is deleted from the app and the Archive library the name of the file stays listed in the Archive account, even when  it can not longer be open.
"
OpenArchive/openarchive,open,Upload link sends you to error screen,[],"It takes a few minutes after the link is displayed to work. Before that it takes you to screen that says "" the item cannot be found""

Fabby Testing on Galaxy J7 Perx
Android 7.0
App version:  0.0.17-beta-7

![screenshot_20180615-155929](https://user-images.githubusercontent.com/28932186/41492680-7d92f544-70b5-11e8-9a58-7d744aa5d1e3.png)
"
OpenArchive/openarchive,open,App crashed when uploading audio,[],"When trying to upload audio made in-app

Natalie testing on:
Moto G
OS: Android 5.1
App version: 0.017-beta-5"
OpenArchive/openarchive,open,Hangs for over 3 mins and counting when trying to upload image,"[Label(name=""bug"")]","Hangs when uploading via Import image or video from gallery -  Reproduced 3x
Do not have an audio file to upload/test from gallery, forthcoming...

NOTE: does not hang when using it for photo taken w/in app., uploading video w/in app, uploading audio w/in app.

Natalie testing on:
Moto G
OS: Android 5.1
App version: 0.017-beta-5"
OpenArchive/openarchive,open,need message during delay when signing up for a virtual library card,"[Label(name=""enhancement"")]"," Add ‘processing’ feedback while user is ‘waiting’ for their virtual card to be created.

Tiff tested
Moto G play
OS: Android 6.0.1 
App version: beta-4
"
OpenArchive/openarchive,open,"Back button takes back to homepage, not to most recent page","[Label(name=""bug"")]","Tapping the back button on my device always brings me to the ‘home’/’sign in’ screen. Not back to where I just was... I can’t navigate through the app easily.

Tiff tested
Moto G play
OS: Android 6.0.1 
App version: beta-4
"
OpenArchive/openarchive,open,the virtual library card question is confusing,"[Label(name=""enhancement"")]","Natalie suggestion: Perhaps we just say: Create you Internet Archive account for free!

Tiff: Why do I need a virtual library card? What is it? Is it my account log in?

Tiff tested
Moto G play
OS: Android 6.0.1 
App version: beta-4



"
OpenArchive/openarchive,open,ToS link broken ,"[Label(name=""adminstrative"")]","Terms and agreements is a 404 page. Link is broken open-archive.org/terms
Need to make page/find terms
 
For both me and Tiff

Tiff Testing on:
Moto G play
OS: Android 6.0.1 
App version: beta-4

Natalie testing on:
Moto G
OS: Android 5.1
App version: 0.017-beta-5"
