repository,state,title,label,body
openfoodfacts/openfoodfacts-androidapp,open,New Crowdin translations,[],Enjoy!
openfoodfacts/openfoodfacts-androidapp,closed,New Crowdin translations,[],Enjoy!
openfoodfacts/openfoodfacts-androidapp,closed,New Crowdin translations,[],Enjoy!
openfoodfacts/openfoodfacts-androidapp,open,Adding a tweakable call to action in home,"[Label(name=""home"")]","Adding a tweakable call to action in home that would use a file on the Open Food Facts server, and that we could update on the fly.

![image](https://user-images.githubusercontent.com/1689815/48661748-66b5d300-ea77-11e8-8685-fa1dbe6aa669.png)
"
openfoodfacts/openfoodfacts-androidapp,closed,New Crowdin translations,[],Enjoy!
openfoodfacts/openfoodfacts-androidapp,open,Added MaterialDialog for visual feedback when clicking (Take Your Pictures).,"[Label(name=""image upload""), Label(name=""product browsing"")]","## Description
Added MaterialDialog for visual feedback when clicking (Take Your Pictures). Changes have been in ""OpenFoodAPIClient"" file.
## Related issues and discussion
#1978 There is no visual feedback on uploading image using ""Take more pictures""
 
 ## Screen-shots

![screenshot_2018-11-14-23-17-53-269](https://user-images.githubusercontent.com/32436867/48501926-6396c900-e864-11e8-8b18-1f288c9b7e5b.jpeg)

"
openfoodfacts/openfoodfacts-androidapp,closed,New Crowdin translations,[],Enjoy!
openfoodfacts/openfoodfacts-androidapp,open,Errors with % in Nutrition Facts,"[Label(name=""bug""), Label(name=""nutrition facts"")]","Input item in database (Barcode: 0834266007424, last edit by me: 2018-11-13-03.05.00-UTC)

Errors (in ""per serving"" values):
Calcium: 0.15 % DV (label value is 15% DV)
Magnesium: 0.02% DV (label value is 6% DV)
Iron: 0.00% DV (label value is 8% DV)
Phosphorus: 0.15% DV (label value is 15%)

Inputting label values and ""Save Edits"" doesn't fix errors.

OpenFoodFacts version 2.9.7
LineageOS version 15.1
Android version 8.1.0

"
openfoodfacts/openfoodfacts-androidapp,closed, Fixed issue where nutrient units were not being converted to thecorrect units.,[],"## Description

Fixed issue where nutrient units were not being converted to the correct units.
Also fixed some errors in calculating the values in CalculateDetails activity, and refactored some code and added comments.

## Related issues and discussion
fixes #1984 

## Screenshots
For https://world-es.openfoodfacts.org/producto/8480017371676 

![image](https://user-images.githubusercontent.com/2354602/48305546-749cae80-e4e1-11e8-8465-1eeb8117910f.png)

"
openfoodfacts/openfoodfacts-androidapp,open,java.lang.IllegalArgumentException  android.view.MotionEvent.nativeGetAxisValue,"[Label(name=""android 8.0""), Label(name=""bug""), Label(name=""galaxy phones""), Label(name=""version 297"")]","``` 
java.lang.IllegalArgumentException: 
  at android.view.MotionEvent.nativeGetAxisValue (MotionEvent.java)
  at android.view.MotionEvent.getX (MotionEvent.java:2519)
  at android.support.v4.view.ViewPager.onInterceptTouchEvent (ViewPager.java:57)
  at android.view.ViewGroup.dispatchTouchEvent (ViewGroup.java:2696)
  at android.view.ViewGroup.dispatchTransformedTouchEvent (ViewGroup.java:3159)
  at android.view.ViewGroup.dispatchTouchEvent (ViewGroup.java:2844)
  at android.view.ViewGroup.dispatchTransformedTouchEvent (ViewGroup.java:3159)
  at android.view.ViewGroup.dispatchTouchEvent (ViewGroup.java:2844)
  at android.view.ViewGroup.dispatchTransformedTouchEvent (ViewGroup.java:3159)
  at android.view.ViewGroup.dispatchTouchEvent (ViewGroup.java:2844)
  at android.view.ViewGroup.dispatchTransformedTouchEvent (ViewGroup.java:3159)
  at android.view.ViewGroup.dispatchTouchEvent (ViewGroup.java:2844)
  at android.view.ViewGroup.dispatchTransformedTouchEvent (ViewGroup.java:3159)
  at android.view.ViewGroup.dispatchTouchEvent (ViewGroup.java:2844)
  at android.view.ViewGroup.dispatchTransformedTouchEvent (ViewGroup.java:3159)
  at android.view.ViewGroup.dispatchTouchEvent (ViewGroup.java:2844)
  at com.android.internal.policy.DecorView.superDispatchTouchEvent (DecorView.java:600)
  at com.android.internal.policy.PhoneWindow.superDispatchTouchEvent (PhoneWindow.java:1871)
  at android.app.Activity.dispatchTouchEvent (Activity.java:3384)
  at android.support.v7.view.WindowCallbackWrapper.dispatchTouchEvent (WindowCallbackWrapper.java:2)
  at android.support.v7.view.WindowCallbackWrapper.dispatchTouchEvent (WindowCallbackWrapper.java:2)
  at com.android.internal.policy.DecorView.dispatchTouchEvent (DecorView.java:562)
  at android.view.View.dispatchPointerEvent (View.java:12782)
  at android.view.ViewRootImpl$ViewPostImeInputStage.processPointerEvent (ViewRootImpl.java:5662)
  at android.view.ViewRootImpl$ViewPostImeInputStage.onProcess (ViewRootImpl.java:5457)
  at android.view.ViewRootImpl$InputStage.deliver (ViewRootImpl.java:4950)
  at android.view.ViewRootImpl$InputStage.onDeliverToNext (ViewRootImpl.java:5003)
  at android.view.ViewRootImpl$InputStage.forward (ViewRootImpl.java:4969)
  at android.view.ViewRootImpl$AsyncInputStage.forward (ViewRootImpl.java:5106)
  at android.view.ViewRootImpl$InputStage.apply (ViewRootImpl.java:4977)
  at android.view.ViewRootImpl$AsyncInputStage.apply (ViewRootImpl.java:5163)
  at android.view.ViewRootImpl$InputStage.deliver (ViewRootImpl.java:4950)
  at android.view.ViewRootImpl$InputStage.onDeliverToNext (ViewRootImpl.java:5003)
  at android.view.ViewRootImpl$InputStage.forward (ViewRootImpl.java:4969)
  at android.view.ViewRootImpl$InputStage.apply (ViewRootImpl.java:4977)
  at android.view.ViewRootImpl$InputStage.deliver (ViewRootImpl.java:4950)
  at android.view.ViewRootImpl.deliverInputEvent (ViewRootImpl.java:7719)
  at android.view.ViewRootImpl.doProcessInputEvents (ViewRootImpl.java:7659)
  at android.view.ViewRootImpl.enqueueInputEvent (ViewRootImpl.java:7620)
  at android.view.ViewRootImpl$WindowInputEventReceiver.onInputEvent (ViewRootImpl.java:7830)
  at android.view.InputEventReceiver.dispatchInputEvent (InputEventReceiver.java:185)
  at android.view.InputEventReceiver.nativeConsumeBatchedInputEvents (InputEventReceiver.java)
  at android.view.InputEventReceiver.consumeBatchedInputEvents (InputEventReceiver.java:176)
  at android.view.ViewRootImpl.doConsumeBatchedInput (ViewRootImpl.java:7793)
  at android.view.ViewRootImpl$ConsumeBatchedInputRunnable.run (ViewRootImpl.java:7857)
  at android.view.Choreographer$CallbackRecord.run (Choreographer.java:911)
  at android.view.Choreographer.doCallbacks (Choreographer.java:723)
  at android.view.Choreographer.doFrame (Choreographer.java:652)
  at android.view.Choreographer$FrameDisplayEventReceiver.run (Choreographer.java:897)
  at android.os.Handler.handleCallback (Handler.java:789)
  at android.os.Handler.dispatchMessage (Handler.java:98)
  at android.os.Looper.loop (Looper.java:164)
  at android.app.ActivityThread.main (ActivityThread.java:6938)
  at java.lang.reflect.Method.invoke (Method.java)
  at com.android.internal.os.Zygote$MethodAndArgsCaller.run (Zygote.java:327)
  at com.android.internal.os.ZygoteInit.main (ZygoteInit.java:1374)
```"
