repository,state,title,label,body
chaosbastler/opentraining,open,How to create own training set?,[],"When starting training, I can only select the example training set. Howcan I define my own training set? E.g. how can I select the desired muscle groups to target and exercises?"
chaosbastler/opentraining,open,Download exercises - statusbar,[],"Actually, i'm not sure if there is something downloading i let it now run for about 30 minutens and its still not finished.
Maybe let it fetch online how much is available and then drop a 14/60 kind of statusbar.

But the author wrote already that he does not intend to maintain it anymore. "
chaosbastler/opentraining,open,How do I see the data of my exercises?,[],"App shows no menu entry to view past exercises.  This seems very weird.  Why am I asked to input weights and durations when my data is not going to be useful later?

Versoin 0.7.5 F-Droid."
chaosbastler/opentraining,open,Customize the recovery phase time?,[],"Is there a way to change the 30sec time?
Many thanks"
chaosbastler/opentraining,closed,Are submodules used (as suggested by README)?,[],"The readme tells to `git submodule init` and `git submodule update`, but I cannot find any references to submodules.
"
chaosbastler/opentraining,closed,Which gradle vesion should be used?,"[Label(name=""wontfix"")]","The gradle file says `task wrapper (type: Wrapper) { gradleVersion = ""1.11"" }`, but plug-in requires 2.2.1.
"
chaosbastler/opentraining,closed,Broken conversion from SVG to PNG,[],"`https://github.com/chaosbastler/opentraining/blob/master/app/svg/exercises/xport-width%3D1200` is actually PNG file, but the file name suggest it was actually meant as an commandline option. Could you check this?
"
chaosbastler/opentraining,closed,Refactoring of OpenTraining for course,[],"[Changelog.pdf](https://github.com/chaosbastler/opentraining/files/49409/Changelog.pdf)
This refactoring was done in the scope of a design pattern course at Concordia University.
"
chaosbastler/opentraining,closed,"Updated to Display Images for Those that have them, and otherwise displa...",[],"...y the exercise description on ExerciseTypeDetail
"
chaosbastler/opentraining,open,Exercise Title - Case,[],"Case on ""axe hold"" does not match the case standard presented by the others. (for example ""Arnold Shoulder Press"" and ""Bear Walk""). There are a few others with capitalization defects. (""Barbell shrugs instead of ""Barbell Shrugs"").
"
chaosbastler/opentraining,closed,Japanese translation of exercises.,[],"Hello, Christian
I translated exercise data in assets folder.
"
chaosbastler/opentraining,open,"Show date of last training        Bei Auswahl des Workout beim Trainingstart wäre die Angabe des Datum des letzten Trainings (Splittraining) hilfreich, dann brauch ich keinen Kalender.","[Label(name=""enhancement""), Label(name=""low_priority"")]","When selecting a workout the date of the last training should be shown(-> split training)
"
chaosbastler/opentraining,open,Change order of exercises in workouts,"[Label(name=""feature request"")]",
chaosbastler/opentraining,open,Edit custom exercises,"[Label(name=""feature request"")]","Users should be able to edit their created exercises
"
chaosbastler/opentraining,open,Support super set Training,"[Label(name=""low_priority"")]","Some ideas:

1: When you create a plan, select which exercises belong together to a super set

2: When you train a super set and finished ex. no 1, directly open the next exercise of the super set
"
chaosbastler/opentraining,open,Display description if there's no image,"[Label(name=""enhancement"")]","The app should display the description of the exercise when there is no image but an description.
"
chaosbastler/opentraining,closed,No icons for custom exercises,"[Label(name=""bug"")]","The app does not create an icon for a custom exercise
"
chaosbastler/opentraining,closed,IllegalArgumentException causes crash in FExListActivity,[],"java.lang.RuntimeException: Unable to start activity ComponentInfo{de.skubware.opentraining/de.skubware.opentraining.activity.start_training.FExListActivity}: java.lang.IllegalArgumentException: Entry not contained.
at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2305)
at android.app.ActivityThread.handleLaunchActivity(ActivityThread.java:2359)
at android.app.ActivityThread.access$700(ActivityThread.java:165)
at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1326)
at android.os.Handler.dispatchMessage(Handler.java:99)
at android.os.Looper.loop(Looper.java:137)
at android.app.ActivityThread.main(ActivityThread.java:5455)
at java.lang.reflect.Method.invokeNative(Native Method)
at java.lang.reflect.Method.invoke(Method.java:525)
at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:1187)
at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:1003)
at dalvik.system.NativeStart.main(Native Method)
Caused by: java.lang.IllegalArgumentException: Entry not contained.
at de.skubware.opentraining.basic.FitnessExercise.isTrainingEntryFinished(FitnessExercise.java:327)
at de.skubware.opentraining.activity.start_training.FExListFragment.setWorkout(FExListFragment.java:135)
at de.skubware.opentraining.activity.start_training.FExListActivity.onCreate(FExListActivity.java:81)
at android.app.Activity.performCreate(Activity.java:5372)
at android.app.Instrumentation.callActivityOnCreate(Instrumentation.java:1104)
at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2267)
... 11 more

App Version: 0.6.2
Android Version: 4.3
"
chaosbastler/opentraining,closed,NullPointerException causes crash in CreateWorkoutActivity,"[Label(name=""bug"")]","java.lang.RuntimeException: Unable to start activity ComponentInfo{de.skubware.opentraining/de.skubware.opentraining.activity.create_workout.ExerciseTypeDetailActivity}: java.lang.NullPointerException
at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:1970)
at android.app.ActivityThread.handleLaunchActivity(ActivityThread.java:1995)
at android.app.ActivityThread.access$600(ActivityThread.java:128)
at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1161)
at android.os.Handler.dispatchMessage(Handler.java:99)
at android.os.Looper.loop(Looper.java:137)
at android.app.ActivityThread.main(ActivityThread.java:4517)
at java.lang.reflect.Method.invokeNative(Native Method)
at java.lang.reflect.Method.invoke(Method.java:511)
at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:995)
at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:762)
at dalvik.system.NativeStart.main(Native Method)
Caused by: java.lang.NullPointerException
at de.skubware.opentraining.activity.create_workout.ExerciseTypeDetailFragment.onCreateOptionsMenu(ExerciseTypeDetailFragment.java:259)
at android.support.v4.app.Fragment.performCreateOptionsMenu(Fragment.java:1582)
at android.support.v4.app.FragmentManagerImpl.dispatchCreateOptionsMenu(FragmentManager.java:1956)
at android.support.v4.app.FragmentActivity.onCreatePanelMenu(FragmentActivity.java:225)
at android.support.v7.app.ActionBarActivity.superOnCreatePanelMenu(ActionBarActivity.java:232)
at android.support.v7.app.ActionBarActivityDelegateICS.onCreatePanelMenu(ActionBarActivityDelegateICS.java:147)
at android.support.v7.app.ActionBarActivity.onCreatePanelMenu(ActionBarActivity.java:199)
at android.support.v7.app.ActionBarActivityDelegateICS$WindowCallbackWrapper.onCreatePanelMenu(ActionBarActivityDelegateICS.java:285)
at com.android.internal.policy.impl.PhoneWindow.preparePanel(PhoneWindow.java:420)
at com.android.internal.policy.impl.PhoneWindow.invalidatePanelMenu(PhoneWindow.java:773)
at android.app.Activity.invalidateOptionsMenu(Activity.java:2664)
at android.support.v4.app.ActivityCompatHoneycomb.invalidateOptionsMenu(ActivityCompatHoneycomb.java:29)
at android.support.v4.app.FragmentActivity.supportInvalidateOptionsMenu(FragmentActivity.java:648)
at android.support.v7.app.ActionBarActivity.supportInvalidateOptionsMenu(ActionBarActivity.java:170)
at android.support.v4.app.Fragment.setHasOptionsMenu(Fragment.java:803)
at de.skubware.opentraining.activity.create_workout.ExerciseTypeDetailFragment.onCreate(ExerciseTypeDetailFragment.java:111)
at android.support.v4.app.Fragment.performCreate(Fragment.java:1477)
at android.support.v4.app.FragmentManagerImpl.moveToState(FragmentManager.java:893)
at android.support.v4.app.FragmentManagerImpl.moveToState(FragmentManager.java:1104)
at android.support.v4.app.BackStackRecord.run(BackStackRecord.java:682)
at android.support.v4.app.FragmentManagerImpl.execPendingActions(FragmentManager.java:1467)
at android.support.v4.app.FragmentActivity.onStart(FragmentActivity.java:570)
at android.app.Instrumentation.callActivityOnStart(Instrumentation.java:1137)
at android.app.Activity.performStart(Activity.java:4607)
at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:1943)
... 11 more

App Version: 0.7
Android Version: 4.0.3
"
chaosbastler/opentraining,open,Documentation,[],"Documentation should be maintained for both the End Users and the Developers. Github provides a basic wiki system which should be sufficient for now. Depending on the growth of the application, there may need to be consideration given to move on to something a bit more flexible. 

The benefits of documenting in a single location (i.e. the wiki)
- Accessibility to Up To Date relevant information
- Source Controlled. Can roll back if necessary
- Can be linked from within the application for End User Help functionality
- Can be Used as an easy means to keep valid references to Licenses
- Perfect for Development Environment Setup Information
- Good For General Development Documentation (i.e. details on bug-fixes)

Considerations for documentation
- How To Articles (For Developers and End Users)
- Exercises
- Settings
- Revision History (changelog - Just needs copied from already existing source)
"
chaosbastler/opentraining,closed,Synchronization Error,"[Label(name=""duplicate"")]","Version: 0.6.2
Device: Asus - Nexus 7

Description of Issue:
I came across this issue on my android tablet when attempting to sync exercises in a production release environment. Application (Version above) was downloaded from Google Play Store. 

The Error Received:
Error during synchronization:
org.json.JSONException: Value /api/v1/license/1/ at license of type java.lang.String cannot be converted to int
"
