repository,state,title,label,body
guardianproject/orweb,open,Orfox screen is immune to capture by screencast,[],"This is quite bizarre.  I wanted to capture the Orfox screen to supply it for bug https://github.com/guardianproject/Orweb/issues/72, but it could not be captured. I'm using the stock screencast tool that originally posted at https://code.google.com/p/androidscreencast/ but apparently it's no longer available.  These are the commands I use to execute it:
```
typeset -a jars=(/usr/local/androidscreencast/*.jar)
java -cp ""$(IFS=:; printf %s ""${jars[*]}"")"" net.srcz.android.screencast.Main . &
```
That has always worked and still works.  But exceptionally, as soon as I put the Orfox window in focus on the phone, screencast freezes on the previous screen and cannot display Orfox.  When I exit Orfox, screencast works again.

It's a strange bug.  Whoever solves this might want to keep good notes on what causes it, because this bug could actually become a security feature.  Imagine an app prompting for some sensitive bit of info that should never be recorded.. an app could invoke the bug herein to deliberately block screen capture."
guardianproject/orweb,open,"""The proxy server is refusing connections"" error on AOS 6 (marshmellow)",[],"This is a new AOS 6 device configured as follows:

Netguard
* runs in white list mode with VPN privileges. This means all apps are blocked by default, and whitelisted apps are forced through Orbot.
* is set to filter all traffic and SOCK5-proxy it to port 9050
* Orbot, Orweb & F-Droid all have the ""apply rules and conditions"" box unticked, so they are exempt from Netguard processing.

Orbot
* does not have VPN privileges
* listens on port 9050

F-Droid
* set to use Orbot (this is simply a toggle and strangely has no port parameter - how does it know to use port 9050?)

Orfox
* has no config option for using Orbot.  No port parameter either.  How can I be sure that Orfox knows what to connect to?

F-Droid and Orfox are both set to bypass Netguard and connect to Orbot.  F-droid works.  Orfox times out when trying to visit check.torproject.org and eventually says ""The proxy server is refusing connections"".

This may be irrelevant, but this command was executed the first time the new phone was USB-attached:
```
  $ for app in com.android.printspooler\
               com.google.android.apps.cloudprint\
               com.google.android.feedback\
               com.google.android.gm\
               com.google.android.googlequicksearchbox\
               com.google.android.onetimeinitializer\
               com.google.android.youtube; do adb shell ""pm disable --user 13 $app""; done
```
I've attached a screenshot (which I needed to crudely take using another camera due to bug https://github.com/guardianproject/Orweb/issues/73)

![orfox_fail](https://user-images.githubusercontent.com/18015852/43688329-e24bb210-98e6-11e8-810a-b09f5c72ecbb.png)

"
guardianproject/orweb,closed,"rudimentary panic support, translation and build fixes",[],"This is the first, basic support for responding to panic triggers.  It clears the cache.  I so far have not gotten it to clear the current web page.  Any ideas there?

Lots of translation fixes and updates are included.

This includes lots of build fixes that I needed to do in order to get it to build at all.  I then added the standard build scripts.
"
guardianproject/orweb,closed,minor translation updates,[],"This mostly just includes the source and translated files for the app store description.  It includes a fix for a syntax error in an XML file.
"
guardianproject/orweb,closed,Critical: WebRTC IP Leak,[],"Critical leak of IP information using WebRTC RTCpeerconnection.
When JavaScript is enabled the browser allows for direct peer connections to ICE server that reveals the real user IP address.
"
guardianproject/orweb,closed,Add a progress bar ?,[],"You can't actually know if a website is loading or not, it's pretty anoying.
"
guardianproject/orweb,open,Orweb is vulnerable to FREAK attack,[],"https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2015-0204

A test website can be found here: https://freakattack.com/
"
guardianproject/orweb,closed,Fixed Spelling/Grammar,[],"Trivial. But needed.
"
guardianproject/orweb,closed,Javascript request,[],"I think most orweb users and users of any kind of tor products assume the product is secure by default, and the developer community is making sure that that is the case.
One of this default security settings is having javascript disabled, however the reality is that sometimes you will be forced to enable javascript to properly use a site. With tor-browser/firefox this is a no brainer with the use of noscript, in the case of orweb you have to ""manually"" enable the setting.

The problem, the way I see it, is that the setting will remain enabled from then on and it will be like that for every site you surf from then on, unless you disable it.
I'm a fairly technical person and I can see myself disabling the setting and forgetting about it, let alone the regular user who just wants the privacy with no hassle.

Would you guys consider a workaround for this ? One idea is to never save the javascript settings between browser restarts, I'm sure most users can live with the burden of enabling javascript when they need it.

Thanks.
"
guardianproject/orweb,closed,Spanish translations,[],"Fixed some translations.

**Please, bring from arrays.xml**:

```
<string-array name=""cookiePreferences""><item>Accept all cookies</item>
<item>Only accept whitelisted cookies</item>
<item>Block all cookies</item>
</string-array>
```

In Spanish:

```
<string-array name=""cookiePreferences""><item>Aceptar todas las cookies</item>
<item>Aceptar sólo las cookies de la lista blanca</item>
<item>Bloquear todas las cookies</item>
</string-array>
```
"
guardianproject/orweb,open,Why a clear history option when Orweb does not store history,[],"It states [here](https://guardianproject.info/apps/orweb/) that Orweb doesn't store browser history, yet the application has a menu option for clearing the history/cache!
"
guardianproject/orweb,closed,https-only option?,[],"Sometimes I don't want even the tor network to see my traffic -- hence wishing to be in a https-only mode.  Does this make sense?  is it possible to implement?
"
guardianproject/orweb,open,Wrong or spoofable URL in the address bar or title,[],"If a webpage contains a HTTP redirect, the wrong URL is shown in the address bar in the end. You can try it with e.g. https://tinyurl.com/161 which redirects to http://www.google.com/ . During loading the forwarded URL is displayed. Afterwards the title bar will show _page title_ | _original URL_. The address bar does also contain the original instead of the actual URL.

The title bar showing the URL is also vulnerable to _address spoofing_ with enabled JavaScript. In my tests the address could be spoofed with example three, four, five and seven. Examples were taken from here: https://ios.browsr-tests.com/alt/native.abs.php
"
guardianproject/orweb,closed,updated German translation,[],"updated German translation, sync from Transifex 19.07.2014
"
guardianproject/orweb,open,Socks proxy not supported,[],"I'm trying to get Orweb 0.61 (latest from f-Droid) running on my (rooted) Nexus 10 Android 4.4.4 tablet. Orweb should get access through an tor proxy running on the same network. I've configured Orweb to the proxy address and port of that tor (socks) proxy and ""socks"" as proxy type. 

But it won't work, Orweb won't connect with the socks protocol, instead it seems to use http proctocol (logged by tor in log file) 

Is Socks not supported by current version of Orweb ? 
"
guardianproject/orweb,open,removeUnproxyeableElements not working / not called,[],"Hello,

this function in [Browser.java#L1560](https://github.com/guardianproject/Orweb/blob/d33164dead36dfc6b6fdfe574093e0c7c43e5b22/src/info/guardianproject/browser/Browser.java#L1560) isn't called anymore. Maybe you want to remove it?

``` java
private String removeUnproxyeableElements (InputStream is, String encoding)
```

Anyway, it wouldn't filter encapsulated elements like `<<audio>video` correctly.
"
guardianproject/orweb,open,Ip Leakage through HTML5 Multimedia Elements and Downloads,[],"Orweb is vulnerable to real ip disclosure via HTML5 Video Audio elements and via downloads. More information can be found on http://xordern.net/why-you-really-shouldn't-use-orweb-anymore.html and https://guardianproject.info/2013/08/21/orweb-security-advisory-possible-ip-leakage-with-html5-videoaudio/.

Furthermore, Downloads are performed with the internal Download Manager which also bypasses Orbot and could be used to disclose the real ip.

Live demo: http://xordern.net/checkip
Download check: http://xordern.net/checkip?extended

Tested with Orweb 0.5.2 on Android 4.3
"
guardianproject/orweb,open,"x-wap-profile and X-Requested-With defeat user-agent, de-anonymize users",[],"I'm using Orweb 0.6 via F-Droid.
On my phone, Orweb sends the following HTTP headers (among others) via port 8118 to Tor on port 9050:
x-wap-profile: http://218.249.47.94/Xianghe/MTK_Phone_JB_UAprofile.xml
X-Requested-With: info.guardianproject.browser

I don't know why/where that is added, but these pieces of information certainly defeat the purpose of configurable user-agent strings.  (I didn't check this systematically, but I send the above headers with the default User Agent setting and also pretending to be TorBrowserBundle.)
People using rare phones (such as myself) are probably identified uniquely.

For the record, here is a sample GET request:
GET / HTTP/1.1
Host: heise.de
Pragma: no-cache
Cache-Control: no-cache
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,_/_;q=0.8
x-wap-profile: http://218.249.47.94/Xianghe/MTK_Phone_JB_UAprofile.xml
X-Requested-With: info.guardianproject.browser
User-Agent: Mozilla/5.0 (Windows NT 6.1; rv:10.0) Gecko/20100101 Firefox/10.0
Accept-Encoding: gzip,deflate
Accept-Language: de-DE, en-US
Accept-Charset: utf-8, utf-16, *;q=0.7
Connection: close
"
guardianproject/orweb,closed,Orbot WARNs DNSPort and TransPort public address specified,[],"Sorry, I reported this issue in the wrong place.

I have the same issue reported here:
https://trac.torproject.org/projects/tor/ticket/7254#no2

Using 13.0.7-BETA-1 downloaded from the play store.
"
guardianproject/orweb,open,Ignores proxy setting on kitkat,[],"cyanogenmod 11.0 20140320. Orbot running, privoxy running, strace shows Orweb is not even connecting to privoxy process. Orweb has default config (proxy 127.0.0.1:8118).

When manually connecting with telnet to 127.0.0.1:8118, tor connection works OK.
"
guardianproject/orweb,closed,Fix typo in 'Deutsch',[],"It must be 'Deutsch' not 'Deutsche'.
"
guardianproject/orweb,closed,Basque translations added,[],
guardianproject/orweb,closed,Updated Orweb useragents,[],"I updated the user agent to match more current version as a fix to issue #48
https://github.com/guardianproject/Orweb/issues/48 
"
guardianproject/orweb,open,User agent strings are outdated,[],"This makes it easier to single out user traffic

Examples

The Tor Browser Bundle says it uses firefox 10 the current version is 24
Firefox is version 3.5, the current version is 26
IE is version 8, the current version is 11 (as far as I know)
iPhone is  iOS 3_1_2, the current version is iOS 7_0_4

These combined with #47 this makes users stand out a lot
"
