repository,state,title,label,body
nguillaumin/osmtracker-android,open,Feature Requests: Log trackpoint accuracy and GPSImgDirection,[],"I use OSMTracker extensively for surveying work. Two bits of data that would be hugely useful to me are GPS accuracy of tracks (which I guess can be saved in a trackpoint field, similarly to how point accuracy is saved?) and the GPSImgDirection (ie: compass bearing) EXIF tag added to photos or saved in the corresponding GPX file. This would help greatly in visualising track accuracy and also understanding which direction the camera was pointing when a photo was taken.

I've never helped with app development before but I do know the basics of software development so am happy to try and implement this if you can help me figure out where to start!"
nguillaumin/osmtracker-android,open,incrementally numbered waypoints,[],"Should address issue #82.

A new button (type=""incwp"") which generates incrementally numbered waypoints. The format of the waypoint text is by default ""WPT_0000"", ""WPT_0001""... The user can specify a different format in the button layout XML file if desired."
nguillaumin/osmtracker-android,open,allow editing/deleting waypoints,[],"This PR allows editing or deleting existing waypoints. Tap on a waypoint in the list to open a dialogue to edit/delete.

I also slightly modified the layout of the waypoint list to accommodate for longer waypoint names."
nguillaumin/osmtracker-android,open,Tags lost when stopping track,[],"I noticed that when I stop the track (by tapping the disk icon in the top screen action bar), any tags I previously assigned to the track get overwritten by ""osmtracker"". Repro steps as far as I can tell:

- Start new track
- Assign tags to it, e.g. ""holiday,usa,bike"". Confirm them by tapping the SAVE button (disk icon)
- Stop the track
- Resume tracking
- Stop the track

Now long tap the track in the list, select ""details"" and you see the tracks ""holiday,usa,bike"" have been replaced by the default ""osmtracker"" again.

Not sure whether this is on purpose or a bug. I wouldn't know in which situation the behaviour would be useful, though."
nguillaumin/osmtracker-android,open,Fix: Upload-track-icon does not dissapear when scrolling any more.,[],"Problem fixed: When have too many tracks and you scroll all over them eventually some track-status-icons disappear.

I have tested with all the icons and some at the same time. It works fine.

This PR fix the issue #113
"
nguillaumin/osmtracker-android,closed,Updating develop branch,[],The develop branch is some commits behind master.
nguillaumin/osmtracker-android,open,GPX file failed to import in Open StreetMap,[],"The message i get when i upload a trace:

> Hi,

>It looks like your GPX file

>  osm_upload201855087.gpx

>with the description

  >juan

>and the following tags:

>  osmtracker

>failed to import. Here's the error:

```
  Unable to read data from /store/rails/gpx/traces/2829773.gpx (errno=Success)
  XML parser at line 0 column 0
```

>More information about GPX import failures and how to avoid
>them can be found at:
"
nguillaumin/osmtracker-android,open,Include the track's tags into the GPX file,[],"I put the track's tags into the GPX file. Format:

```
<extensions>
  <tags>
    holiday2018,bike
  </tags>
</extensions>
```
Comment: According to the GPX specification, every element inside `<extensions>` should use a private namespace, so actually it should read for example `<osmtracker:tags>` (only an example, the exact name would be up for discussion). I didn't do it because all other places in the app which use `<extensions>` also don't do it."
nguillaumin/osmtracker-android,open,Motion detection/minimum distance between subsequent track points,[],"I found it would be useful to have kind of a ""motion detection"" to avoid polluting the track with redundant points while the user is standing still. The PR implements this in a most simple way by using Android LocationManager.requestLocationUpdates's parameter ""minDistance"". A new preference has been introduced to set the threshold (value in meters):

Settings -> GPS logging distance"
nguillaumin/osmtracker-android,open,map view: names unreadable,[],"This is how map view looks like in the closest zoom on my  Nexus 6:

![obrazek](https://user-images.githubusercontent.com/9153595/47152097-fed76580-d2db-11e8-9b5c-b56bffe3219f.png)

The names of the streets and building are simply unreadable so I don't know whether they are correct or they need updating. I cannot zoom in anymore to get them bigger.

Mapnik on PC (www.openstreetmap.org) is readable without problems. Most likely this is related to display DPI but I could not find any option in the settings regarding DPI."
