repository,state,title,label,body
mikifus/padland,closed,Fix the forgotten versionname,[],"...so F-Droid can build

/LE: on a second thought, the Tag already points to the wrong commit, not sure it will help F-Droid ( [I've worked around it](https://gitlab.com/fdroid/fdroiddata/merge_requests/3473/diffs) ), but at least for consistency."
mikifus/padland,closed,Allow to open an existing pad by giving the full URL,[],"As stated in the summary, it should also be possible to open a pad by just giving the full URL."
mikifus/padland,open,Allow to simply copy URL of a pad,[],"As mentioned in the summary, simply allow to copy a pad's URL from the main menu and maybe from inside the pad could be an handy feature."
mikifus/padland,open,Allow import/export/backup of pads,[],"It would be a pretty handy feature to be able to import/export one or more pads, and also everything, for backup/transfer purpose."
mikifus/padland,open,Recognize URL schemes to propose opening pads directly into Padland,[],"It would be really nice to be able to directly open pads URLs, like clicking one anywhere in Android and besides allowing to open it in the browser, also offer to open it into padland.

I'm not sure this is possible as there isn't really a defined URI like `git://` and so on so it would require to use either the whole list of known instances, or some keywords in URLs (risk of false positives I guess)."
mikifus/padland,open,Add support for MyPads and password-protected pads,[],"Some services now rely on MyPads, something on top of traditional pads to manage them with an account, be able to have a ""library of pads"" or protect them with a password.
For example, the one with Framasoft can be found here: https://mypads.framapad.org/mypads/?/login
Trying to open such a document seems as of now to result in a white, empty screen and stuck the application. It's still possible to go back (no crash), but not even a screen stating this is unsupported.

So, this is kind of a double issue, but unsupported pads and so on should be presented as being unsupported, and the best would be to support MyPad and password-protected pads."
mikifus/padland,closed,"""onReceivedError"" does not execute in API level < 23.",[],"Hi,

I found that you have used `onReceivedError(WebView view, WebResourceRequest request, WebResourceError error)` in [PadViewActivity](https://github.com/mikifus/padland/blob/38f7e6651940f8cf603b860d53d9cd99d1935bd8/app/src/main/java/com/mikifus/padland/PadViewActivity.java), which is added in API level 23. However, it does not exist in API level < 22, meaning that the code logic you wrote to handle webview error will not take effect. (See this [link](https://stackoverflow.com/questions/32769505/webviewclient-onreceivederror-deprecated-new-version-does-not-detect-all-errors))

To fix this issue, add deprecated `onReceivedError (WebView view, int errorCode, String description, String failingUrl)` to make it compatible for API level < 22.

Thanks."
mikifus/padland,closed,Can't add existing pad - pad name not accepted,[],"Created this pad: https://etherpad.wikimedia.org/p/thisisonlysomerandomtestcase

When I try to add the pad to Padland (note: I've added the wikimedia Server to my server list) by entering _thisisonlysomerandomtestcase_ in the field _Pad name_ and press _Create or go to_ I get this message _**The pad name contains invalid characters**_ and the pad is not opened.

Is the name maybe too long?"
mikifus/padland,open,Hide the chat window,[],"When I load a pad, the chat window is always displayed in full size. I think it would be better if it started out minimalised, or smaller at least. Even better would be if the chat window could be displayed on a different panem such that I could swipe left and right to switch between pad and chat window. Thanks!"
mikifus/padland,closed,Parse padname & server from URL,[],"I often have a URL and right now, I have to manually cut out the pad name, as well as the server, when in fact this should be trivially possible for the app to do. Please consider this a wishlist! ;) "
mikifus/padland,closed,Update strings.xml,[],Now it should works
