repository,state,title,label,body
SecUSo/privacy-friendly-pedometer,open,Daily count,[],"This app is great and work very well. Thank you. But I have noticed an issue: if I did a lot of steps near the end of the day, the morning after I found  the steps splitted between the new day and the day before. (i.e. yesterday 6/3/2018 I walked 14000 steps, until 11p.m., this morning I woke up with 1500 steps, for today, and 12500 for yesterday).
"
SecUSo/privacy-friendly-pedometer,open,Monthly and Weekly overview should calculate and display an average distance per day,"[Label(name=""enhancement"")]",
SecUSo/privacy-friendly-pedometer,closed,LOGO,[],
SecUSo/privacy-friendly-pedometer,open,it does not work well,[],"huawei P10, Android 7, F-Droid installled, prozessor is not allowed to sleep
pedometer does not start automatically in the morning
when it starts, it forgot the counted steps after some minutes
when the screen is on, the app sometimes count steps
more often it doesn't count
one have to switch the date back and forth to see new counted steps
i am walking a defined distance and count my own steps - the app shows most of the time a totally different result
compared with samsung health the app shows only the half or two-thirds of health
in this case I trust health more, because I know the distances I am walking
what can i do?"
SecUSo/privacy-friendly-pedometer,open,Reaccess of tutorial via nav drawer,"[Label(name=""bug"")]",
SecUSo/privacy-friendly-pedometer,closed,V2.0,[],
SecUSo/privacy-friendly-pedometer,open,Copyright violation,[],"Hi @SecUSo

I found [this app ](https://play.google.com/store/apps/details?id=com.driviodevs.pedometer) on the Google Play Store. This guy just took the source code, added some ads and put it on the Store, without warning this is free software...

As you are the owner of the source code, feel free to open a request to google [here](https://support.google.com/legal/contact/lr_dmca?product=googleplay) to remove the false app from the Store, if it's your wish ;)

Don't forget to tell Google that:

* The app is licensed under GNU GPL v3 and this guy is violating it by distributing the app without distributing the source code;
* He is falsely claiming he made the app;
* Also tell them that this guy has done the same thing already with other apps. Probably this is worth mentioning. (I watch him)"
SecUSo/privacy-friendly-pedometer,open,Sensitivity: make it 1-15 instead of 1-7,"[Label(name=""investigation required"")]","Settings -> General -> Sensitivity have 7 different modes:
* very high
* higher
* high
* normal
* low
* lower
* very low

Its not sufficient as mentioned [here](https://github.com/SecUSo/privacy-friendly-pedometer/issues/52#issuecomment-315669411).

To solve the issue I suggest that you replace them with a number scale that can be scrolled."
SecUSo/privacy-friendly-pedometer,open,"Add ""Bicycling"" mode","[Label(name=""enhancement"")]","I think it would be a good idea to add ""Bicycling"" next to ""Walking"" and ""Running""."
SecUSo/privacy-friendly-pedometer,closed,Make it simpler to quit,"[Label(name=""duplicate"")]","Please make it possible to shut down the app directly from the notification bar, and from the app itself too."
SecUSo/privacy-friendly-pedometer,closed,Do not update the notification bar every step,[],Its extremely annoying to receive notification messages every single step you take. Please remove notification messages completely.
SecUSo/privacy-friendly-pedometer,closed,Feature request: Import/export,"[Label(name=""duplicate"")]","I would like to export my data to a file that I can import later so I can overview my exercise over long-term.
"
SecUSo/privacy-friendly-pedometer,open,Add reset possibility to general settings in the app,"[Label(name=""enhancement"")]",I don't find where to delete all data.
SecUSo/privacy-friendly-pedometer,closed,Add a Sensitivity disclaimer pop-up at first run,"[Label(name=""enhancement""), Label(name=""v2.0"")]","Yonjuni [said](https://github.com/SecUSo/privacy-friendly-pedometer/issues/52#issuecomment-314758976)
> Depending on the device and sensitivity setting not all steps are counted in Privacy Friendly Pedometer. Therefore, we recommend to try different sensivity settings.

Please inform your users with a pop-up saying that the Settings -> General -> Sensitivity should be calibrated."
SecUSo/privacy-friendly-pedometer,closed,Step Count is not updating when app opens,"[Label(name=""in discussion""), Label(name=""v2.0"")]",Step Counting is not update while walking with application open mode.and compare with other apps steps are not accurate.counting is updated in background only #3
SecUSo/privacy-friendly-pedometer,closed,Stopping background counting,"[Label(name=""duplicate"")]","I want to have background counting while in training mode but not when it is not activated. However, desactivating the option from the settings panel doesn't interrupt the program. I want to do this so it doesn't consume battery when I don't want to.

Thanks"
SecUSo/privacy-friendly-pedometer,open,ClassNotFoundException,"[Label(name=""bug"")]","Reported from Android 6 exclusively 

`
java.lang.RuntimeException: 
  at android.app.ActivityThread.handleReceiver(ActivityThread.java:2724)
  at android.app.ActivityThread.-wrap14(ActivityThread.java:0)
  at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1431)
  at android.os.Handler.dispatchMessage(Handler.java:102)
  at android.os.Looper.loop(Looper.java:148)
  at android.app.ActivityThread.main(ActivityThread.java:5443)
  at java.lang.reflect.Method.invoke(Native Method:0)
  at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:728)
  at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:618)
Caused by: java.lang.ClassNotFoundException: 
  at dalvik.system.BaseDexClassLoader.findClass(BaseDexClassLoader.java:56)
  at java.lang.ClassLoader.loadClass(ClassLoader.java:511)
  at java.lang.ClassLoader.loadClass(ClassLoader.java:469)
  at android.app.ActivityThread.handleReceiver(ActivityThread.java:2719)
`"
SecUSo/privacy-friendly-pedometer,open,ClassNotFoundException,"[Label(name=""bug"")]","Reported from Android 6 exclusively 

`
java.lang.RuntimeException: 
  at android.app.ActivityThread.handleReceiver(ActivityThread.java:2724)
  at android.app.ActivityThread.-wrap14(ActivityThread.java:0)
  at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1431)
  at android.os.Handler.dispatchMessage(Handler.java:102)
  at android.os.Looper.loop(Looper.java:148)
  at android.app.ActivityThread.main(ActivityThread.java:5443)
  at java.lang.reflect.Method.invoke(Native Method:0)
  at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:728)
  at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:618)
Caused by: java.lang.ClassNotFoundException: 
  at dalvik.system.BaseDexClassLoader.findClass(BaseDexClassLoader.java:56)
  at java.lang.ClassLoader.loadClass(ClassLoader.java:511)
  at java.lang.ClassLoader.loadClass(ClassLoader.java:469)
  at android.app.ActivityThread.handleReceiver(ActivityThread.java:2719)
`"
SecUSo/privacy-friendly-pedometer,open,Close #18 : Export csv,[],Add the possibility to export step count in a csv file
SecUSo/privacy-friendly-pedometer,closed,"Can you detect cheating, such as shaking your cell phone?",[], 
SecUSo/privacy-friendly-pedometer,closed,Fix issue in compilation with string fr,[],Fix issue of compilation with values in french concerning <a> link
SecUSo/privacy-friendly-pedometer,closed,java.lang.NumberFormatException in java.lang.Integer.parseInt,"[Label(name=""bug""), Label(name=""v2.0"")]","Reported from Android 7

`java.lang.RuntimeException: Unable to create service org.secuso.privacyfriendlyactivitytracker.services.HardwareStepDetectorService: java.lang.NumberFormatException: For input string: """"
	at android.app.ActivityThread.handleCreateService(ActivityThread.java:3201)
	at android.app.ActivityThread.-wrap5(ActivityThread.java)
	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1567)
	at android.os.Handler.dispatchMessage(Handler.java:102)
	at android.os.Looper.loop(Looper.java:154)
	at android.app.ActivityThread.main(ActivityThread.java:6119)
	at java.lang.reflect.Method.invoke(Native Method)
	at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:886)
	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:776)
Caused by: java.lang.NumberFormatException: For input string: """"
	at java.lang.Integer.parseInt(Integer.java:533)
	at java.lang.Integer.parseInt(Integer.java:556)
	at org.secuso.privacyfriendlyactivitytracker.services.AbstractStepDetectorService.onCreate(AbstractStepDetectorService.java:191)
	at android.app.ActivityThread.handleCreateService(ActivityThread.java:3191)
	... 8 more
`"
SecUSo/privacy-friendly-pedometer,closed,Time always in UTC,"[Label(name=""bug""), Label(name=""v2.0"")]",
SecUSo/privacy-friendly-pedometer,closed,android.view.ViewRootImpl$CalledFromWrongThreadException: Only the original thread that created a view hierarchy can touch its views.,"[Label(name=""bug""), Label(name=""v2.0"")]","`android.view.ViewRootImpl$CalledFromWrongThreadException: Only the original thread that created a view hierarchy can touch its views.
	at android.view.ViewRootImpl.checkThread(ViewRootImpl.java:6603)
	at android.view.ViewRootImpl.requestLayout(ViewRootImpl.java:919)
	at android.view.View.requestLayout(View.java:18738)
	at android.view.View.requestLayout(View.java:18738)
	at android.view.View.requestLayout(View.java:18738)
	at android.view.View.requestLayout(View.java:18738)
	at android.view.View.requestLayout(View.java:18738)
	at android.view.View.requestLayout(View.java:18738)
	at android.support.v4.widget.DrawerLayout.requestLayout(DrawerLayout.java:1265)
	at android.view.View.requestLayout(View.java:18738)
	at android.view.View.requestLayout(View.java:18738)
	at android.view.View.requestLayout(View.java:18738)
	at android.view.View.requestLayout(View.java:18738)
	at android.view.View.requestLayout(View.java:18738)
	at android.view.View.requestLayout(View.java:18738)
	at android.widget.RelativeLayout.requestLayout(RelativeLayout.java:360)
	at android.view.View.requestLayout(View.java:18738)
	at android.support.v7.widget.RecyclerView.requestLayout(RecyclerView.java:3806)
	at android.support.v7.widget.RecyclerView$RecyclerViewDataObserver.onChanged(RecyclerView.java:4891)
	at android.support.v7.widget.RecyclerView$AdapterDataObservable.notifyChanged(RecyclerView.java:11101)
	at android.support.v7.widget.RecyclerView$Adapter.notifyDataSetChanged(RecyclerView.java:6590)
	at org.secuso.privacyfriendlyactivitytracker.fragments.MonthlyReportFragment$2.run(MonthlyReportFragment.java:332)
	at android.os.AsyncTask$SerialExecutor$1.run(AsyncTask.java:234)
	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1113)
	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:588)
	at java.lang.Thread.run(Thread.java:818)`"
