repository,state,title,label,body
SecUSo/privacy-friendly-sudoku,open,Allow switching between big and small numbers easily,[],"When adding small numbers, sometimes it becomes obvious that that number can only be in one box, and so I need to switch to big numbers, enter it, then back to small numbers to continue working through the puzzle.

I'd like to propose allowing to enter big numbers when in small numbers mode by long-pressing in a box, and vice versa. I think this will help make the app more user-friendly."
SecUSo/privacy-friendly-sudoku,open,Translation to Polish language,[],Translation to Polish language
SecUSo/privacy-friendly-sudoku,open,Update strings.xml,[],Rechtschreibfehler behoben
SecUSo/privacy-friendly-sudoku,closed,Adding an 16x16 variant,[],"Maybe you could add an 16x16 variant?
I find the 12x12 a bit wired because the layout is not square... "
SecUSo/privacy-friendly-sudoku,open,Allow creating personal Sudoku puzzles ,"[Label(name=""enhancement"")]","Hello,
I've been using your app for some time and really like it. I'd really like to be able to add personal puzzles in order to be able to solve them in your neat interface.
Thanks "
SecUSo/privacy-friendly-sudoku,open,Highlight cells with distinct color ,[],"It would be helpful if we could see cells populated originally in one color, cells populated by us in another color, and cells penciled in with a given value in a third color."
SecUSo/privacy-friendly-sudoku,closed,fix build outside Android Studio,[],"gradle needs to know where to get the com.android.tools.build:gradle
plugin, this is only available form the google() repo now.

Also make ./gradlew executable."
SecUSo/privacy-friendly-sudoku,open,Main screen for play is broken,[],"Phone : Wiko Ozzy
Android version : 4.2.2
App version : 2.1.1
Language : French

### Scenario :
Open the application
Open a new 9*9 game

### Expected behaviour :
Game is playable

### Current behaviour :
Screen is broken
  
![screenshot_2018-01-05-00-59-11](https://user-images.githubusercontent.com/13867472/34590051-ad55050e-f1b4-11e7-8b72-528944e89909.png)
"
SecUSo/privacy-friendly-sudoku,closed,Update French translation,[],
SecUSo/privacy-friendly-sudoku,closed,Implement a dark/night mode,"[Label(name=""enhancement"")]",
SecUSo/privacy-friendly-sudoku,open,Copyright violation,[],"Hi @SecUSo

I found [this app](https://play.google.com/store/apps/details?id=org.kesk.tahk) and also [this one](https://play.google.com/store/apps/details?id=org.vana.kaabu) on the Google Play Store. This guy just took your source code, added some ads in it or made it payable and put it on the Store, without warning this is free software...

As you are the owner of the source code, feel free to open a request to google [here](https://support.google.com/legal/contact/lr_dmca?product=googleplay) to remove the false app from the Store, if it's your wish ;)

Don't forget to tell Google that:

* The app is licensed under GNU GPL v3 license and this guy is violating it;
* He is falsely claiming he made the app."
SecUSo/privacy-friendly-sudoku,open,high CPU-usage & unlimited increase of battery temperature,[],"I recognized a constant high CPU usage, which results in a unlimited increase and harmful battery temperature. I tried to configure the app to minimalistic features but this doesn't solve the issue.

On the Fairphone 2 it takes about 5 min and on the HTC One m8 it takes about 15 min to resch > 42°C. Both devices running LineageOS 14.1

It's pity, because this is the best Sudoku app i ever played on Android and i would be totally happy to play one round without a break."
SecUSo/privacy-friendly-sudoku,open,WinScreen vanishes when turning device.,"[Label(name=""bug"")]",
SecUSo/privacy-friendly-sudoku,open,Add missing translations,"[Label(name=""bug"")]","Settings:
- Highlight input mistakes"
SecUSo/privacy-friendly-sudoku,open,Reseting a solved Sudoku does not clean up mistakes,"[Label(name=""bug"")]","1. Open Sudoku
2. Solve it with mistakes
3. Clear board
4. Mistakes still highlighted

![screenshot_2017-07-10-12-19-22](https://user-images.githubusercontent.com/7099812/28057584-b555c164-6620-11e7-8919-9f80f2d041ff.png)
"
SecUSo/privacy-friendly-sudoku,closed,NullPointer in AboutActivity,"[Label(name=""bug""), Label(name=""v2.1.0"")]","`
java.lang.RuntimeException: 
  at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2583)
  at android.app.ActivityThread.handleLaunchActivity(ActivityThread.java:2665)
  at android.app.ActivityThread.-wrap11(ActivityThread.java:0)
  at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1499)
  at android.os.Handler.dispatchMessage(Handler.java:111)
  at android.os.Looper.loop(Looper.java:207)
  at android.app.ActivityThread.main(ActivityThread.java:5765)
  at java.lang.reflect.Method.invoke(Native Method:0)
  at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:789)
  at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:679)
Caused by: java.lang.NullPointerException: 
  at org.secuso.privacyfriendlysudoku.ui.AboutActivity.onCreate(AboutActivity.java:23)
  at android.app.Activity.performCreate(Activity.java:6318)
  at android.app.Instrumentation.callActivityOnCreate(Instrumentation.java:1113)
  at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2530)
`

"
SecUSo/privacy-friendly-sudoku,open,NullPointer onClick in Tutorial,"[Label(name=""bug""), Label(name=""v2.1.0"")]","`
java.lang.NullPointerException: 
  at org.secuso.privacyfriendlysudoku.ui.TutorialActivity.launchHomeScreen(TutorialActivity.java:133)
  at org.secuso.privacyfriendlysudoku.ui.TutorialActivity.access$000(TutorialActivity.java:30)
  at org.secuso.privacyfriendlysudoku.ui.TutorialActivity$2.onClick(TutorialActivity.java:103)
  at android.view.View.performClick(View.java:5721)
  at android.widget.TextView.performClick(TextView.java:10949)
  at android.view.View$PerformClick.run(View.java:22624)
  at android.os.Handler.handleCallback(Handler.java:739)
  at android.os.Handler.dispatchMessage(Handler.java:95)
  at android.os.Looper.loop(Looper.java:148)
  at android.app.ActivityThread.main(ActivityThread.java:7407)
  at java.lang.reflect.Method.invoke(Native Method:0)
  at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:1230)
  at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:1120)
`"
